"Export for HP:0002664"
"Disease id","Disease name"
"ORPHA:2092","Focal dermal hypoplasia"
"ORPHA:124","Blackfan-Diamond anemia"
"OMIM:153600","MACROGLOBULINEMIA, WALDENSTROM, SUSCEPTIBILITY TO, 1"
"ORPHA:2026","Gingival fibromatosis-hypertrichosis syndrome"
"ORPHA:33001","Lymphedema-distichiasis syndrome"
"OMIM:603688","PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY"
"OMIM:218649","CRANIOSYNOSTOSIS-MENTAL RETARDATION SYNDROME OF LIN AND GETTIG"
"ORPHA:2027","Gingival fibromatosis-progressive deafness syndrome"
"ORPHA:169105","Good syndrome"
"ORPHA:1956","Erythromelalgia"
"OMIM:269000","SC PHOCOMELIA SYNDROME"
"ORPHA:280785","Bullous diffuse cutaneous mastocytosis"
"ORPHA:910","Xeroderma pigmentosum"
"OMIM:253250","MULIBREY NANISM"
"OMIM:228600","HYALINE FIBROMATOSIS SYNDROME"
"ORPHA:2024","Hereditary gingival fibromatosis"
"ORPHA:454","Acquired ichthyosis"
"OMIM:601224","POTOCKI-SHAFFER SYNDROME"
"ORPHA:95613","Pituitary apoplexy"
"OMIM:617174","EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 2"
"ORPHA:100075","Gastric neuroendocrine tumor"
"OMIM:151590","LICHEN SCLEROSUS ET ATROPHICUS"
"ORPHA:2023","Undifferentiated pleomorphic sarcoma"
"ORPHA:52022","Potocki-Shaffer syndrome"
"OMIM:254700","MYELOPROLIFERATIVE DISEASE, AUTOSOMAL RECESSIVE"
"ORPHA:44890","Gastrointestinal stromal tumor"
"ORPHA:717","Catecholamine-producing tumor"
"ORPHA:3283","His bundle tachycardia"
"ORPHA:55","Oculocutaneous albinism"
"ORPHA:2028","Juvenile hyaline fibromatosis"
"ORPHA:46488","Linear IgA dermatosis"
"ORPHA:913","Zollinger-Ellison syndrome"
"ORPHA:2884","Piebaldism"
"OMIM:601675","TRICHOTHIODYSTROPHY 1, PHOTOSENSITIVE"
"OMIM:608571","ULNAR/FIBULAR RAY DEFECT AND BRACHYDACTYLY"
"ORPHA:125","Bloom syndrome"
"ORPHA:261102","Distal 7q11.23 microduplication syndrome"
"ORPHA:42775","PHACE syndrome"
"OMIM:120435","LYNCH SYNDROME I"
"OMIM:256370","NEPHROTIC SYNDROME, TYPE 4"
"OMIM:300033","MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA, TRANSLOCATED TO, 7"
"ORPHA:97279","Insulinoma"
"ORPHA:653","Multiple endocrine neoplasia type 2"
"ORPHA:85112","Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome"
"ORPHA:52416","Mantle cell lymphoma"
"OMIM:613029","GLIOMA SUSCEPTIBILITY 3"
"ORPHA:2098","Acromesomelic dysplasia, Grebe type"
"OMIM:180730","ROMBO SYNDROME"
"OMIM:194080","DENYS-DRASH SYNDROME"
"OMIM:607685","HYPEREOSINOPHILIC SYNDROME, IDIOPATHIC"
"OMIM:140850","HEMANGIOMAS, CAVERNOUS, OF FACE AND SUPRAUMBILICAL MIDLINE RAPHE"
"ORPHA:1160","Chylous ascites"
"ORPHA:321","Multiple osteochondromas"
