"Export for HP:0001626"
"Disease id","Disease name"
"OMIM:257200","NIEMANN-PICK DISEASE, TYPE A"
"ORPHA:33001","Lymphedema-distichiasis syndrome"
"OMIM:103900","GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM"
"OMIM:137560","GIANT PLATELET SYNDROME WITH THROMBOCYTOPENIA"
"OMIM:274000","THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME"
"OMIM:218649","CRANIOSYNOSTOSIS-MENTAL RETARDATION SYNDROME OF LIN AND GETTIG"
"ORPHA:100008","ACys amyloidosis"
"OMIM:610773","MITOCHONDRIAL PHOSPHATE CARRIER DEFICIENCY"
"OMIM:611087","POLYHYDRAMNIOS, MEGALENCEPHALY, AND SYMPTOMATIC EPILEPSY"
"ORPHA:98791","Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16"
"ORPHA:280785","Bullous diffuse cutaneous mastocytosis"
"OMIM:608644","CILIARY DYSKINESIA, PRIMARY, 3"
"ORPHA:58","Alexander disease"
"ORPHA:191","Cockayne syndrome"
"OMIM:253250","MULIBREY NANISM"
"OMIM:158310","MUCOEPITHELIAL DYSPLASIA, HEREDITARY"
"OMIM:144300","HYPERLIPOPROTEINEMIA, TYPE II, AND DEAFNESS"
"ORPHA:95613","Pituitary apoplexy"
"OMIM:616414","AUTOIMMUNE INTERSTITIAL LUNG, JOINT, AND KIDNEY DISEASE"
"ORPHA:193","Cohen syndrome"
"ORPHA:95619","Iatrogenic or traumatic pituitary deficiency"
"ORPHA:90652","Otopalatodigital syndrome type 2"
"ORPHA:2022","Endomyocardial fibroelastosis"
"ORPHA:77260","Gaucher disease type 2"
"OMIM:614300","HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY"
"ORPHA:192","Coffin-Lowry syndrome"
"OMIM:300000","OPITZ GBBB SYNDROME, TYPE I"
"ORPHA:717","Catecholamine-producing tumor"
"ORPHA:3283","His bundle tachycardia"
"ORPHA:650","LCAT deficiency"
"ORPHA:85445","AA amyloidosis"
"ORPHA:3412","VACTERL with hydrocephalus"
"ORPHA:1695","Non-distal trisomy 10q"
"OMIM:617021","HYDROPS, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA"
"ORPHA:238468","Hypohidrotic ectodermal dysplasia"
"OMIM:247610","LYMPHOID INTERSTITIAL PNEUMONIA"
"OMIM:608571","ULNAR/FIBULAR RAY DEFECT AND BRACHYDACTYLY"
"OMIM:608149","KAGAMI-OGATA SYNDROME"
"ORPHA:42775","PHACE syndrome"
"OMIM:212080","CARDIAC LIPIDOSIS, FAMILIAL"
"ORPHA:1427","Otospondylomegaepiphyseal dysplasia"
"OMIM:277740","WHITE FORELOCK WITH MALFORMATIONS"
"ORPHA:100006","ABeta amyloidosis, Dutch type"
"ORPHA:981","Internal carotid agenesis"
"OMIM:613172","CARDIOMYOPATHY, DILATED, 1DD"
"OMIM:612098","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 11"
"ORPHA:79312","Vitamin B12-unresponsive methylmalonic acidemia type mut-"
"ORPHA:653","Multiple endocrine neoplasia type 2"
"OMIM:612199","CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS"
"OMIM:609122","ANEURYSM, INTRACRANIAL BERRY, 3"
"OMIM:180730","ROMBO SYNDROME"
"OMIM:612518","CILIARY DYSKINESIA, PRIMARY, 10"
"OMIM:194080","DENYS-DRASH SYNDROME"
"OMIM:613576","ECTODERMAL DYSPLASIA-SYNDACTYLY SYNDROME 2"
"OMIM:613769","RETINITIS PIGMENTOSA 44"
"OMIM:300855","OGDEN SYNDROME"
"ORPHA:321","Multiple osteochondromas"
"OMIM:147920","KABUKI SYNDROME 1"
"ORPHA:3019","Ramon syndrome"
"OMIM:613611","CHOANAL ATRESIA AND LYMPHEDEMA"
"OMIM:220500","DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME"
"ORPHA:258","Congenital muscular dystrophy type 1A"
"OMIM:227650","FANCONI ANEMIA, COMPLEMENTATION GROUP A"
"ORPHA:220489","Rare hereditary hemochromatosis"
"OMIM:601992","FRIEDREICH ATAXIA 2"
"OMIM:613428","RETINITIS PIGMENTOSA 54"
"ORPHA:77261","Gaucher disease type 3"
"OMIM:610947","CORONARY ARTERY DISEASE, AUTOSOMAL DOMINANT 2"
"OMIM:616938","COFFIN-SIRIS SYNDROME 5"
"ORPHA:254509","Iatrogenic botulism"
"ORPHA:1826","Frontometaphyseal dysplasia"
"ORPHA:56","Alkaptonuria"
"ORPHA:716","Phenylketonuria"
"ORPHA:63259","Iniencephaly"
"ORPHA:79242","Holocarboxylase synthetase deficiency"
"ORPHA:1296","Lambert syndrome"
"ORPHA:583","Mucopolysaccharidosis type 6"
"ORPHA:90653","Stickler syndrome type 1"
"OMIM:611554","LEOPARD SYNDROME 2"
"OMIM:123550","CRYOGLOBULINEMIA, FAMILIAL MIXED"
"OMIM:605822","SPONDYLOOCULAR SYNDROME"
"ORPHA:96147","Kleefstra syndrome due to 9q34 microdeletion"
"ORPHA:1759","Thoraco-abdominal enteric duplication"
"OMIM:613327","LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 4"
"OMIM:255960","MYXOMA, INTRACARDIAC"
"ORPHA:3286","Catecholaminergic polymorphic ventricular tachycardia"
"ORPHA:658","Non-histaminic angioedema"
"ORPHA:69078","Liposarcoma"
"OMIM:616818","IGA NEPHROPATHY, SUSCEPTIBILITY TO, 3"
"OMIM:613677","HYPERALDOSTERONISM, FAMILIAL, TYPE III"
"OMIM:615084","MITOCHONDRIAL DNA DEPLETION SYNDROME 11"
"OMIM:610717","NEUTRAL LIPID STORAGE DISEASE WITH MYOPATHY"
"OMIM:613740","CARDIOMYOPATHY, DILATED, 1T"
"OMIM:187300","TELANGIECTASIA, HEREDITARY HEMORRHAGIC, OF RENDU, OSLER, AND WEBER"
"ORPHA:228429","Generalized congenital lipodystrophy with myopathy"
"ORPHA:330001","Wild type ATTR amyloidosis"
"ORPHA:195","Cat-eye syndrome"
"ORPHA:190","Coats disease"
"ORPHA:3419","Van Regemorter-Pierquin-Vamos syndrome"
"ORPHA:329","Congenital factor XI deficiency"
"OMIM:136760","FRONTONASAL DYSPLASIA 1"
"OMIM:115310","PARAGANGLIOMAS 4"
"ORPHA:2753","Orofaciodigital syndrome type 4"
"OMIM:613355","CHROMOSOME 17q23.1-q23.2 DELETION SYNDROME"
"OMIM:612940","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB"
"OMIM:613254","TUBEROUS SCLEROSIS 2"
"ORPHA:1420","Lethal chondrodysplasia, Moerman type"
"OMIM:271960","SUBAORTIC STENOSIS--SHORT STATURE SYNDROME"
"OMIM:615396","LEFT VENTRICULAR NONCOMPACTION 10"
"OMIM:302060","BARTH SYNDROME"
"OMIM:147800","AASE-SMITH SYNDROME I"
"ORPHA:158000","Juvenile xanthogranuloma"
"OMIM:614815","JOUBERT SYNDROME 18"
"ORPHA:98850","Aggressive systemic mastocytosis"
"ORPHA:279947","Postorgasmic illness syndrome"
"OMIM:249660","MESANGIAL SCLEROSIS, DIFFUSE RENAL, WITH OCULAR ABNORMALITIES"
"ORPHA:314034","7p22.1 microduplication syndrome"
"OMIM:236680","HYDROLETHALUS SYNDROME 1"
"ORPHA:2414","Congenital pulmonary lymphangiectasia"
"OMIM:610883","POTOCKI-LUPSKI SYNDROME"
"OMIM:143850","ORTHOSTATIC HYPOTENSIVE DISORDER, STREETEN TYPE"
"OMIM:611876","BRUGADA SYNDROME 4"
"ORPHA:33276","Kaposi sarcoma"
"OMIM:615248","CARDIOMYOPATHY, DILATED, 1KK"
"OMIM:184800","STERNUM, PREMATURE OBLITERATION OF SUTURES OF"
"ORPHA:251066","8p11.2 deletion syndrome"
"ORPHA:198","Occipital horn syndrome"
"OMIM:609040","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 9"
"OMIM:231000","GAUCHER DISEASE, TYPE III"
"ORPHA:3346","Tracheal agenesis"
"OMIM:156610","SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 1"
"OMIM:210250","SITOSTEROLEMIA"
"OMIM:607330","LATHOSTEROLOSIS"
"ORPHA:439218","KCNQ2-related epileptic encephalopathy"
"OMIM:300590","CORNELIA DE LANGE SYNDROME 2"
"OMIM:228100","VISCERAL STEATOSIS, CONGENITAL"
"OMIM:107320","ANTIPHOSPHOLIPID SYNDROME, FAMILIAL"
"OMIM:254940","CAREY-FINEMAN-ZITER SYNDROME"
"ORPHA:158014","Rosaï-Dorfman disease"
"ORPHA:3287","Takayasu arteritis"
"ORPHA:654","Nephroblastoma"
"ORPHA:252054","Hemangioblastoma"
"OMIM:613485","LONG QT SYNDROME 13"
"ORPHA:1425","Desbuquois syndrome"
"ORPHA:324","Fabry disease"
"ORPHA:231580","Primary unilateral adrenal hyperplasia"
"OMIM:616975","NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART"
"OMIM:614458","THIAMINE METABOLISM DYSFUNCTION SYNDROME 5 (EPISODIC ENCEPHALOPATHY TYPE)"
"ORPHA:199","Cornelia de Lange syndrome"
"ORPHA:247257","Inhalational anthrax"
"OMIM:115200","CARDIOMYOPATHY, DILATED, 1A"
"OMIM:211930","CAMPTODACTYLY WITH FIBROUS TISSUE HYPERPLASIA AND SKELETAL DYSPLASIA"
"ORPHA:34587","Glycogen storage disease due to LAMP-2 deficiency"
"OMIM:153100","LYMPHEDEMA, HEREDITARY, IA"
"OMIM:612776","HYPOGLOSSIA WITH SITUS INVERSUS"
"OMIM:615378","ATRIAL FIBRILLATION, FAMILIAL, 14"
"ORPHA:596","X-linked centronuclear myopathy"
"DECIPHER:81","15q26 overgrowth syndrome"
"ORPHA:85446","Wild type ABeta2M amyloidosis"
"OMIM:271500","SPLENOPORTAL VASCULAR ANOMALIES"
"OMIM:615147","RETINAL DYSTROPHY, IRIS COLOBOMA, AND COMEDOGENIC ACNE SYNDROME"
"ORPHA:276630","Symptomatic form of Coffin-Lowry syndrome in female carriers"
"OMIM:243200","INTRACRANIAL HYPERTENSION, IDIOPATHIC"
"ORPHA:1358","Carey-Fineman-Ziter syndrome"
"OMIM:613153","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 5"
"ORPHA:83453","Vulvovaginal gingival syndrome"
"ORPHA:319251","Rift valley fever"
"ORPHA:1434","Choroideremia-hypopituitarism syndrome"
"OMIM:225050","ECTODERMAL DYSPLASIA, HYPOHIDROTIC, WITH HYPOTHYROIDISM AND CILIARYDYSKINESIA"
"OMIM:608837","CARNEY COMPLEX VARIANT"
"OMIM:201000","CARPENTER SYNDROME 1"
"OMIM:108000","ARTERIES, ANOMALIES OF"
"OMIM:243310","BARAITSER-WINTER SYNDROME 1"
"ORPHA:1764","Familial dysautonomia"
"ORPHA:582","Mucopolysaccharidosis type 4"
"ORPHA:178475","Wound botulism"
"OMIM:182210","SHPRINTZEN OMPHALOCELE SYNDROME"
"OMIM:606054","PROPIONIC ACIDEMIA"
"ORPHA:95484","Aneurysm or dilatation of ascending aorta"
"OMIM:178500","PULMONARY FIBROSIS, IDIOPATHIC"
"OMIM:181750","SCLERODERMA, FAMILIAL PROGRESSIVE"
"OMIM:611719","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 5"
"ORPHA:261243","16p13.11 microduplication syndrome"
"ORPHA:261","Emery-Dreifuss muscular dystrophy"
"ORPHA:52","Alagille syndrome"
"ORPHA:1354","Heart defects-limb shortening syndrome"
"OMIM:276700","TYROSINEMIA, TYPE I"
"OMIM:259900","HYPEROXALURIA, PRIMARY, TYPE I"
"OMIM:261800","PIERRE ROBIN SYNDROME"
