"Export for HP:0000951"
"Disease id","Disease name"
"OMIM:139100","GRAYING OF HAIR, PRECOCIOUS"
"ORPHA:2901","Neuralgic amyotrophy"
"OMIM:118330","CHEILITIS GLANDULARIS"
"OMIM:212067","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE I/IIx"
"ORPHA:264200","14q22q23 microdeletion syndrome"
"ORPHA:85283","X-linked intellectual disability, Miles-Carpenter type"
"ORPHA:31150","Tangier disease"
"OMIM:603554","OMENN SYNDROME"
"ORPHA:139491","Hemochromatosis type 4"
"ORPHA:2064","Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome"
"OMIM:114140","CALLOSITIES, HEREDITARY PAINFUL"
"OMIM:233710","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME B-POSITIVE,TYPE II"
"OMIM:103285","ADULT SYNDROME"
"OMIM:615577","IMMUNODEFICIENCY, COMMON VARIABLE, 10"
"ORPHA:342","Familial Mediterranean fever"
"ORPHA:284227","TEMPI syndrome"
"OMIM:122440","CORNEODERMATOOSSEOUS SYNDROME"
"ORPHA:139402","Drug rash with eosinophilia and systemic symptoms"
"ORPHA:3191","Subaortic stenosis-short stature syndrome"
"ORPHA:1446","Ring chromosome 22 syndrome"
"OMIM:237900","HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATALBREASTFEEDING JAUNDICE, INCLUDED"
"ORPHA:52429","Branchiootic syndrome"
"ORPHA:231111","Drug-induced lupus erythematosus"
"ORPHA:56425","Cold agglutinin disease"
"ORPHA:1920","Toluene embryopathy"
"ORPHA:1318","Campomelia, Cumming type"
"OMIM:252250","MONOCYTE CHEMOTACTIC DISORDER"
"OMIM:262020","PILODENTAL DYSPLASIA WITH REFRACTIVE ERRORS"
"OMIM:608233","HERMANSKY-PUDLAK SYNDROME 2"
"ORPHA:363618","LMNA-related cardiocutaneous progeria syndrome"
"ORPHA:285","Ehlers-Danlos syndrome, hypermobility type"
"ORPHA:84","Fanconi anemia"
"OMIM:615828","MENTAL RETARDATION, AUTOSOMAL DOMINANT 24"
"ORPHA:280794","Pseudoxanthomatous diffuse cutaneous mastocytosis"
"ORPHA:2388","Choreoacanthocytosis"
"ORPHA:2990","Autosomal recessive multiple pterygium syndrome"
"ORPHA:79235","Crigler-Najjar syndrome type 2"
"ORPHA:2028","Juvenile hyaline fibromatosis"
"OMIM:606721","LIPODYSTROPHY WITH CONGENITAL CATARACTS AND NEURODEGENERATION"
"ORPHA:1336","Hyperkeratosis-hyperpigmentation syndrome"
"OMIM:617237","IMMUNODEFICIENCY 49"
"OMIM:116860","CEREBRAL CAVERNOUS MALFORMATIONS"
"OMIM:600803","GALLBLADDER DISEASE 1"
"OMIM:601214","NAXOS DISEASE"
"ORPHA:499","Kerion celsi"
"ORPHA:2481","Neurocutaneous melanocytosis"
"ORPHA:2897","Pityriasis rubra pilaris"
"ORPHA:3098","Rhizomelic syndrome, Urbach type"
"OMIM:219095","CUTANEOUS PHOTOSENSITIVITY AND COLITIS, LETHAL"
"ORPHA:56044","Carcinoma of gallbladder and extrahepatic biliary tract"
"ORPHA:85212","Fetal Gaucher disease"
"OMIM:606772","MENTAL RETARDATION, OBESITY, MANDIBULAR PROGNATHISM, AND EYE AND SKINANOMALIES"
"ORPHA:2573","Moyamoya disease"
"ORPHA:1556","Cutis marmorata telangiectatica congenita"
"OMIM:127550","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 1"
"OMIM:614493","WISKOTT-ALDRICH SYNDROME 2"
"OMIM:312830","SCARF SYNDROME"
"ORPHA:158668","Epidermolysis bullosa simplex due to plakophilin deficiency"
"OMIM:224300","DYSOSTEOSCLEROSIS"
"OMIM:613341","LEBER CONGENITAL AMAUROSIS 14"
"ORPHA:538","Lymphangioleiomyomatosis"
"OMIM:314300","TORTICOLLIS, KELOIDS, CRYPTORCHIDISM, AND RENAL DYSPLASIA"
"OMIM:616507","OSTEOGENESIS IMPERFECTA, TYPE XVII"
"OMIM:273400","TETRAMELIC DEFICIENCIES, ECTODERMAL DYSPLASIA, DEFORMED EARS, ANDOTHER ABNORMALITIES"
"OMIM:617341","CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 2"
"ORPHA:1214","Progressive hemifacial atrophy"
"OMIM:617402","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC"
"ORPHA:2612","Linear nevus sebaceus syndrome"
"ORPHA:3137","Alpha-N-acetylgalactosaminidase deficiency"
"OMIM:305450","OPITZ-KAVEGGIA SYNDROME"
"OMIM:150400","TOOTH AGENESIS, SELECTIVE, 4"
"OMIM:154400","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE"
"ORPHA:758","Pseudoxanthoma elasticum"
"ORPHA:377","Gorlin syndrome"
"ORPHA:3224","Deafness-genital anomalies-metacarpal and metatarsal synostosis syndrome"
"ORPHA:79473","Porphyria variegata"
"OMIM:139090","GRAY PLATELET SYNDROME"
"ORPHA:91132","Ichthyosis-hypotrichosis syndrome"
"ORPHA:85414","Systemic-onset juvenile idiopathic arthritis"
"OMIM:300977","SCHOLTE SYNDROME"
"ORPHA:193","Cohen syndrome"
"OMIM:275240","TINEA IMBRICATA, SUSCEPTIBILITY TO"
"OMIM:608594","LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1"
"OMIM:613254","TUBEROUS SCLEROSIS 2"
"ORPHA:69078","Liposarcoma"
"ORPHA:1666","Dextrocardia"
"OMIM:602540","ICHTHYOSIS, HYSTRIX-LIKE, WITH DEAFNESS"
"OMIM:614976","CARPENTER SYNDROME 2"
"OMIM:616265","PEELING SKIN SYNDROME 3"
"OMIM:182212","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME"
"ORPHA:183713","Pyogenic bacterial infections due to MyD88 deficiency"
"ORPHA:158014","Rosaï-Dorfman disease"
"OMIM:131850","EPIDERMOLYSIS BULLOSA DYSTROPHICA, PRETIBIAL"
"OMIM:175850","POROKERATOSIS PLANTARIS, PALMARIS, ET DISSEMINATA"
"OMIM:613038","PITUITARY HORMONE DEFICIENCY, COMBINED, 1"
"ORPHA:902","Werner syndrome"
"OMIM:112300","BOOK SYNDROME"
"OMIM:179850","DOWLING-DEGOS DISEASE"
"OMIM:191950","URTICARIA, FAMILIAL LOCALIZED HEAT"
"OMIM:600906","ECTODERMAL DYSPLASIA WITH MENTAL RETARDATION AND SYNDACTYLY"
"OMIM:227646","FANCONI ANEMIA, COMPLEMENTATION GROUP D2"
"ORPHA:1643","Xp22.3 microdeletion syndrome"
"ORPHA:580","Mucopolysaccharidosis type 2"
"OMIM:258315","OMODYSPLASIA 1"
"OMIM:614814","ADAMS-OLIVER SYNDROME 3"
"ORPHA:175","Cartilage-hair hypoplasia"
"OMIM:147770","JOHNSON NEUROECTODERMAL SYNDROME"
"ORPHA:281201","Keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome"
"OMIM:500007","CYCLIC VOMITING SYNDROME"
"OMIM:253290","MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE"
"OMIM:609057","NEPHROPATHY WITH PRETIBIAL EPIDERMOLYSIS BULLOSA AND DEAFNESS"
"ORPHA:2850","Alopecia-intellectual disability syndrome"
"OMIM:602875","ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE"
"OMIM:232220","GLYCOGEN STORAGE DISEASE IB"
"ORPHA:1839","Hereditary mucoepithelial dysplasia"
"ORPHA:65250","Perineural cyst"
"OMIM:616913","BLEEDING DISORDER, PLATELET-TYPE, 20"
"ORPHA:1809","Hidrotic ectodermal dysplasia, Halal type"
"ORPHA:955","Acroosteolysis dominant type"
"OMIM:226735","EPIDERMOLYSIS BULLOSA WITH DIAPHRAGMATIC HERNIA"
"OMIM:300968","MENTAL RETARDATION, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED"
