"Export for HP:0025031"
"Disease id","Disease name"
"OMIM:616095","MONOCARBOXYLATE TRANSPORTER 1 DEFICIENCY"
"OMIM:257200","NIEMANN-PICK DISEASE, TYPE A"
"OMIM:137560","GIANT PLATELET SYNDROME WITH THROMBOCYTOPENIA"
"OMIM:274000","THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME"
"OMIM:218649","CRANIOSYNOSTOSIS-MENTAL RETARDATION SYNDROME OF LIN AND GETTIG"
"ORPHA:59","Allan-Herndon-Dudley syndrome"
"ORPHA:169105","Good syndrome"
"OMIM:611087","POLYHYDRAMNIOS, MEGALENCEPHALY, AND SYMPTOMATIC EPILEPSY"
"OMIM:141800","HEMOGLOBIN--ALPHA LOCUS 1"
"ORPHA:58","Alexander disease"
"ORPHA:254504","Inhalational botulism"
"ORPHA:191","Cockayne syndrome"
"OMIM:253250","MULIBREY NANISM"
"OMIM:158310","MUCOEPITHELIAL DYSPLASIA, HEREDITARY"
"OMIM:236450","HUTTERITE CEREBROOSTEONEPHRODYSPLASIA SYNDROME"
"ORPHA:95613","Pituitary apoplexy"
"OMIM:137210","GASTRIC VOLVULUS, INTRATHORACIC"
"ORPHA:193","Cohen syndrome"
"ORPHA:2023","Undifferentiated pleomorphic sarcoma"
"ORPHA:90652","Otopalatodigital syndrome type 2"
"ORPHA:77260","Gaucher disease type 2"
"OMIM:614300","HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY"
"ORPHA:192","Coffin-Lowry syndrome"
"OMIM:300000","OPITZ GBBB SYNDROME, TYPE I"
"OMIM:617425","IMMUNOSKELETAL DYSPLASIA WITH NEURODEVELOPMENTAL ABNORMALITIES"
"ORPHA:650","LCAT deficiency"
"ORPHA:85445","AA amyloidosis"
"ORPHA:2028","Juvenile hyaline fibromatosis"
"ORPHA:178481","Intestinal botulism"
"ORPHA:3412","VACTERL with hydrocephalus"
"OMIM:617021","HYDROPS, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA"
"ORPHA:238468","Hypohidrotic ectodermal dysplasia"
"OMIM:203700","MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE)"
"OMIM:608149","KAGAMI-OGATA SYNDROME"
"OMIM:120435","LYNCH SYNDROME I"
"ORPHA:1427","Otospondylomegaepiphyseal dysplasia"
"ORPHA:79312","Vitamin B12-unresponsive methylmalonic acidemia type mut-"
"ORPHA:653","Multiple endocrine neoplasia type 2"
"OMIM:612199","CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS"
"OMIM:613668","MICROCEPHALY, POSTNATAL PROGRESSIVE, WITH SEIZURES AND BRAIN ATROPHY"
"OMIM:614376","SHORT-RIB THORACIC DYSPLASIA 5 WITH OR WITHOUT POLYDACTYLY"
"OMIM:300855","OGDEN SYNDROME"
"OMIM:147920","KABUKI SYNDROME 1"
"OMIM:616111","MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 9"
"OMIM:190440","TRIGONOCEPHALY 1"
"ORPHA:258","Congenital muscular dystrophy type 1A"
"OMIM:223000","LACTASE DEFICIENCY, CONGENITAL"
"OMIM:244450","KAUFMAN OCULOCEREBROFACIAL SYNDROME"
"ORPHA:220489","Rare hereditary hemochromatosis"
"OMIM:613217","DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL"
"ORPHA:1756","Caudal duplication"
"ORPHA:586","Cystic fibrosis"
"ORPHA:77261","Gaucher disease type 3"
"OMIM:616938","COFFIN-SIRIS SYNDROME 5"
"ORPHA:217266","BNAR syndrome"
"ORPHA:254509","Iatrogenic botulism"
"OMIM:237900","HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATALBREASTFEEDING JAUNDICE, INCLUDED"
"OMIM:614385","COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7"
"ORPHA:63259","Iniencephaly"
"ORPHA:79242","Holocarboxylase synthetase deficiency"
"OMIM:600145","SACRAL DEFECT WITH ANTERIOR MENINGOCELE"
"ORPHA:1296","Lambert syndrome"
"ORPHA:583","Mucopolysaccharidosis type 6"
"ORPHA:96147","Kleefstra syndrome due to 9q34 microdeletion"
"ORPHA:1759","Thoraco-abdominal enteric duplication"
"OMIM:613327","LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 4"
"OMIM:615863","DIARRHEA 7"
"ORPHA:66629","Goldberg-Shprintzen megacolon syndrome"
"ORPHA:658","Non-histaminic angioedema"
"ORPHA:69078","Liposarcoma"
"OMIM:615513","IMMUNODEFICIENCY 14"
"OMIM:615084","MITOCHONDRIAL DNA DEPLETION SYNDROME 11"
"OMIM:610717","NEUTRAL LIPID STORAGE DISEASE WITH MYOPATHY"
"OMIM:187300","TELANGIECTASIA, HEREDITARY HEMORRHAGIC, OF RENDU, OSLER, AND WEBER"
"ORPHA:228429","Generalized congenital lipodystrophy with myopathy"
"OMIM:616809","HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 6"
"OMIM:276710","TYROSINEMIA, TYPE III"
"ORPHA:330001","Wild type ATTR amyloidosis"
"OMIM:603516","SPINOCEREBELLAR ATAXIA 10"
"ORPHA:195","Cat-eye syndrome"
"OMIM:616341","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 30"
"OMIM:616278","BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5"
"ORPHA:329","Congenital factor XI deficiency"
"OMIM:115310","PARAGANGLIOMAS 4"
"OMIM:260570","PELGER-HUET-LIKE ANOMALY AND EPISODIC FEVER WITH ABDOMINAL PAIN"
"OMIM:306000","GLYCOGEN STORAGE DISEASE IXA"
"ORPHA:2753","Orofaciodigital syndrome type 4"
"OMIM:616672","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 27"
"OMIM:612940","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB"
"OMIM:616322","MYASTHENIC SYNDROME, CONGENITAL, 3B, FAST-CHANNEL"
"ORPHA:1420","Lethal chondrodysplasia, Moerman type"
"ORPHA:97927","Peripheral resistance to thyroid hormones"
"OMIM:183350","SPLENOMEGALY SYNDROME WITH SPLENIC GERMINAL CENTER HYPOPLASIA ANDREDUCED CIRCULATING T-HELPER CELLS"
"OMIM:214200","CEROID STORAGE DISEASE"
"ORPHA:99857","Secondary syringomyelia"
"OMIM:233710","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME B-POSITIVE,TYPE II"
"ORPHA:98850","Aggressive systemic mastocytosis"
"ORPHA:137867","Madras motor neuron disease"
"OMIM:616708","DESANTO-SHINAWI SYNDROME"
"OMIM:606612","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH OR WITHOUTMENTAL RETARDATION), TYPE B, 5"
"ORPHA:581","Mucopolysaccharidosis type 3"
"OMIM:236680","HYDROLETHALUS SYNDROME 1"
"ORPHA:2414","Congenital pulmonary lymphangiectasia"
"ORPHA:3350","Tremor-nystagmus-duodenal ulcer syndrome"
"OMIM:610883","POTOCKI-LUPSKI SYNDROME"
"ORPHA:99852","Ravine syndrome"
"OMIM:249310","MEGALOCORNEA-MENTAL RETARDATION SYNDROME"
"OMIM:604802","HUNTINGTON DISEASE-LIKE 3"
"ORPHA:33276","Kaposi sarcoma"
"OMIM:617069","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 3"
"OMIM:143500","GILBERT SYNDROME"
"OMIM:270710","FITZSIMMONS-GUILBERT SYNDROME"
"ORPHA:251066","8p11.2 deletion syndrome"
"OMIM:616304","MYASTHENIC SYNDROME, CONGENITAL, 17"
"OMIM:240150","HYPERVITAMINOSIS A, SUSCEPTIBILITY TO"
"ORPHA:198","Occipital horn syndrome"
"OMIM:231000","GAUCHER DISEASE, TYPE III"
"OMIM:175505","POLYPOSIS OF GASTRIC FUNDUS WITHOUT POLYPOSIS COLI"
"OMIM:242520","ICHTHYOSIS, HEPATOSPLENOMEGALY, AND CEREBELLAR DEGENERATION"
"OMIM:210250","SITOSTEROLEMIA"
"OMIM:607330","LATHOSTEROLOSIS"
"ORPHA:1299","Branchioskeletogenital syndrome"
"OMIM:614862","PEROXISOME BIOGENESIS DISORDER 4A (ZELLWEGER)"
"ORPHA:439218","KCNQ2-related epileptic encephalopathy"
"ORPHA:587","Muir-Torre syndrome"
"OMIM:300590","CORNELIA DE LANGE SYNDROME 2"
