"Export for HP:0001871"
"Disease id","Disease name"
"OMIM:603467","FANCONI ANEMIA, COMPLEMENTATION GROUP F"
"OMIM:615767","IMMUNODEFICIENCY, COMMON VARIABLE, 11"
"ORPHA:666","Osteogenesis imperfecta"
"ORPHA:31150","Tangier disease"
"OMIM:603554","OMENN SYNDROME"
"OMIM:113970","BURKITT LYMPHOMA"
"OMIM:233710","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME B-POSITIVE,TYPE II"
"OMIM:615577","IMMUNODEFICIENCY, COMMON VARIABLE, 10"
"ORPHA:284227","TEMPI syndrome"
"ORPHA:139402","Drug rash with eosinophilia and systemic symptoms"
"OMIM:612301","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7"
"OMIM:607554","ATRIAL FIBRILLATION, FAMILIAL, 3"
"OMIM:189990","V-MYB AVIAN MYELOBLASTOSIS VIRAL ONCOGENE HOMOLOG"
"OMIM:206300","ANEMIA, NONSPHEROCYTIC HEMOLYTIC, ASSOCIATED WITH ABNORMALITY OF REDCELL MEMBRANE"
"OMIM:613978","HEMOGLOBIN H DISEASE"
"OMIM:607847","NEUTROPENIA, NONIMMUNE CHRONIC IDIOPATHIC, OF ADULTS"
"ORPHA:231111","Drug-induced lupus erythematosus"
"ORPHA:56425","Cold agglutinin disease"
"OMIM:613495","IMMUNODEFICIENCY, COMMON VARIABLE, 5"
"OMIM:118900","CIRRHOSIS, FAMILIAL"
"OMIM:608957","CD8 DEFICIENCY, FAMILIAL"
"ORPHA:1318","Campomelia, Cumming type"
"OMIM:608233","HERMANSKY-PUDLAK SYNDROME 2"
"ORPHA:363618","LMNA-related cardiocutaneous progeria syndrome"
"ORPHA:84","Fanconi anemia"
"ORPHA:280794","Pseudoxanthomatous diffuse cutaneous mastocytosis"
"ORPHA:2388","Choreoacanthocytosis"
"OMIM:142470","FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 2"
"ORPHA:397685","Familial hyperprolactinemia"
"OMIM:262890","SCOTT SYNDROME"
"OMIM:116860","CEREBRAL CAVERNOUS MALFORMATIONS"
"ORPHA:2481","Neurocutaneous melanocytosis"
"ORPHA:85212","Fetal Gaucher disease"
"ORPHA:1556","Cutis marmorata telangiectatica congenita"
"OMIM:127550","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 1"
