"Export for HP:0001392"
"Disease id","Disease name"
"OMIM:249630","MENTAL RETARDATION, BUENOS AIRES TYPE"
"ORPHA:333","Farber disease"
"OMIM:560000","RENAL TUBULOPATHY, DIABETES MELLITUS, AND CEREBELLAR ATAXIA"
"OMIM:608022","DIAPHANOSPONDYLODYSOSTOSIS"
"OMIM:151660","LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2"
"ORPHA:31150","Tangier disease"
"OMIM:603554","OMENN SYNDROME"
"ORPHA:139491","Hemochromatosis type 4"
"OMIM:238970","HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA SYNDROME"
"OMIM:233710","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME B-POSITIVE,TYPE II"
"OMIM:601847","CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC 2"
"OMIM:174050","POLYCYSTIC LIVER DISEASE"
"ORPHA:139402","Drug rash with eosinophilia and systemic symptoms"
"OMIM:600001","HEART DEFECTS, CONGENITAL, AND OTHER CONGENITAL ANOMALIES"
"OMIM:218600","BALLER-GEROLD SYNDROME"
"OMIM:613978","HEMOGLOBIN H DISEASE"
"ORPHA:3191","Subaortic stenosis-short stature syndrome"
"OMIM:237900","HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATALBREASTFEEDING JAUNDICE, INCLUDED"
"ORPHA:56425","Cold agglutinin disease"
"OMIM:118900","CIRRHOSIS, FAMILIAL"
"ORPHA:2796","Pachydermoperiostosis"
"ORPHA:53693","GRACILE syndrome"
"ORPHA:1318","Campomelia, Cumming type"
"OMIM:608233","HERMANSKY-PUDLAK SYNDROME 2"
"ORPHA:363618","LMNA-related cardiocutaneous progeria syndrome"
"OMIM:268020","RETINITIS PIGMENTOSA, DEAFNESS, MENTAL RETARDATION, AND HYPOGONADISM"
"ORPHA:99873","Hand-Schüller-Christian disease"
"ORPHA:84","Fanconi anemia"
"ORPHA:2388","Choreoacanthocytosis"
"ORPHA:79235","Crigler-Najjar syndrome type 2"
"OMIM:611561","MECKEL SYNDROME, TYPE 5"
"OMIM:613730","HEMORRHAGIC DESTRUCTION OF THE BRAIN, SUBEPENDYMAL CALCIFICATION,AND CATARACTS"
"ORPHA:95720","Thyroid hypoplasia"
"ORPHA:157","Carnitine palmitoyltransferase II deficiency"
"OMIM:116860","CEREBRAL CAVERNOUS MALFORMATIONS"
"OMIM:600803","GALLBLADDER DISEASE 1"
"OMIM:613812","BILE ACID SYNTHESIS DEFECT, CONGENITAL, 3"
"OMIM:615704","POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS"
"ORPHA:100075","Gastric neuroendocrine tumor"
"OMIM:617068","PORTAL HYPERTENSION, NONCIRRHOTIC"
"OMIM:613561","MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 2"
"ORPHA:56044","Carcinoma of gallbladder and extrahepatic biliary tract"
"ORPHA:252164","Benign schwannoma"
"ORPHA:85212","Fetal Gaucher disease"
"ORPHA:110","Bardet-Biedl syndrome"
"OMIM:127550","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 1"
"OMIM:231670","GLUTARIC ACIDEMIA I"
"OMIM:213300","JOUBERT SYNDROME 1"
"OMIM:600880","BUDD-CHIARI SYNDROMEMEMBRANOUS OBSTRUCTION OF INFERIOR VENA CAVA, INCLUDED"
"ORPHA:294","Fetal cytomegalovirus syndrome"
"ORPHA:79279","Alpha-N-acetylgalactosaminidase deficiency type 1"
"OMIM:613387","FATTY LIVER DISEASE, NONALCOHOLIC, SUSCEPTIBILITY TO, 2"
"ORPHA:205","Crigler-Najjar syndrome"
"OMIM:617341","CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 2"
"ORPHA:90308","Klippel-Trénaunay syndrome"
"OMIM:604387","NEPHRONOPHTHISIS 3"
"ORPHA:313906","Congenital pancreatic cyst"
"OMIM:613280","HYPERMANGANESEMIA WITH DYSTONIA 1"
"OMIM:260400","SHWACHMAN-DIAMOND SYNDROME"
"ORPHA:425","Apolipoprotein A-I deficiency"
"OMIM:156810","MICROGASTRIA-LIMB REDUCTION DEFECTS ASSOCIATION"
"ORPHA:79301","Congenital bile acid synthesis defect type 1"
"OMIM:220110","MITOCHONDRIAL COMPLEX IV DEFICIENCY"
"OMIM:606812","FUMARASE DEFICIENCY"
"OMIM:607765","BILE ACID SYNTHESIS DEFECT, CONGENITAL, 1"
"ORPHA:3111","Rotor syndrome"
"OMIM:242520","ICHTHYOSIS, HEPATOSPLENOMEGALY, AND CEREBELLAR DEGENERATION"
"ORPHA:261265","17q12 microdeletion syndrome"
"ORPHA:732","Polymyositis"
"OMIM:608540","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IK"
"OMIM:614922","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11"
"OMIM:610199","DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM"
"ORPHA:85414","Systemic-onset juvenile idiopathic arthritis"
"OMIM:614727","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIK"
"OMIM:611721","COMBINED SAPOSIN DEFICIENCY"
"ORPHA:779","Reynolds syndrome"
"OMIM:608594","LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1"
"OMIM:215140","GREENBERG DYSPLASIA"
"OMIM:612840","LEUKOCYTE ADHESION DEFICIENCY, TYPE III"
"OMIM:194050","WILLIAMS-BEUREN SYNDROME"
"OMIM:613038","PITUITARY HORMONE DEFICIENCY, COMBINED, 1"
"OMIM:238600","HYPERLIPOPROTEINEMIA, TYPE I"
"ORPHA:2576","MULIBREY nanism"
"OMIM:617303","MUCOPOLYSACCHARIDOSIS-PLUS SYNDROME"
"OMIM:615486","INTERSTITIAL LUNG AND LIVER DISEASE"
"ORPHA:52430","Inclusion body myopathy with Paget disease of bone and frontotemporal dementia"
"OMIM:614882","PEROXISOME BIOGENESIS DISORDER 10A (ZELLWEGER)"
"ORPHA:175","Cartilage-hair hypoplasia"
"OMIM:251290","BAND-LIKE CALCIFICATION WITH SIMPLIFIED GYRATION AND POLYMICROGYRIA"
"OMIM:600643","CAROLI DISEASE, ISOLATED"
"ORPHA:77261","Gaucher disease type 3"
"OMIM:232220","GLYCOGEN STORAGE DISEASE IB"
"ORPHA:293355","Methylmalonic acidemia without homocystinuria"
"ORPHA:955","Acroosteolysis dominant type"
"OMIM:615453","MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 6"
"OMIM:607261","EVC2 GENE"
"ORPHA:1842","Bone dysplasia, lethal Holmgren type"
"OMIM:610678","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 4"
"ORPHA:565","Menkes disease"
"OMIM:229600","FRUCTOSE INTOLERANCE, HEREDITARY"
"ORPHA:59303","Neonatal ichthyosis-sclerosing cholangitis syndrome"
"OMIM:308600","JAUNDICE, FAMILIAL OBSTRUCTIVE, OF INFANCY"
"OMIM:230600","GM1-GANGLIOSIDOSIS, TYPE II"
"ORPHA:99745","Typhoid"
"OMIM:609981","NATURAL KILLER CELL AND GLUCOCORTICOID DEFICIENCY WITH DNA REPAIR DEFECT"
"OMIM:612714","EXOCRINE PANCREATIC INSUFFICIENCY, DYSERYTHROPOIETIC ANEMIA, AND CALVARIALHYPEROSTOSIS"
"ORPHA:648","Noonan syndrome"
"OMIM:263700","PORPHYRIA, CONGENITAL ERYTHROPOIETIC"
"ORPHA:168569","H syndrome"
"ORPHA:79086","Acquired generalized lipodystrophy"
"ORPHA:678","Papillon-Lefèvre syndrome"
"OMIM:267700","HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 1"
"ORPHA:99828","Dengue fever"
"OMIM:207750","APOLIPOPROTEIN C-II DEFICIENCY"
"OMIM:605479","CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2"
"ORPHA:809","Mixed connective tissue disease"
"OMIM:269700","LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 2"
"OMIM:276700","TYROSINEMIA, TYPE I"
"ORPHA:306550","FADD-related immunodeficiency"
"ORPHA:391665","Homozygous familial hypercholesterolemia"
"OMIM:225750","AICARDI-GOUTIERES SYNDROME 1"
"ORPHA:2204","Dysplastic cortical hyperostosis"
"OMIM:300270","ADRENOMYODYSTROPHY"
"OMIM:212750","CELIAC DISEASE"
"OMIM:615272","FANCONI ANEMIA, COMPLEMENTATION GROUP Q"
"ORPHA:27","Vitamin B12-unresponsive methylmalonic acidemia"
"OMIM:272200","MULTIPLE SULFATASE DEFICIENCY"
"OMIM:614817","INTERSTITIAL NEPHRITIS, KARYOMEGALIC"
"ORPHA:2349","Muscular pseudohypertrophy-hypothyroidism syndrome"
"OMIM:251110","METHYLMALONIC ACIDURIA, CBLB TYPE"
"DECIPHER:47","RCAD (renal cysts and diabetes)"
"ORPHA:1359","Carney complex"
"ORPHA:616","Medulloblastoma"
"OMIM:269920","INFANTILE SIALIC ACID STORAGE DISEASE"
"OMIM:600461","HEMOLYTIC ANEMIA, LETHAL CONGENITAL NONSPHEROCYTIC, WITH GENITAL ANDOTHER ABNORMALITIES"
"ORPHA:280356","PLIN1-related familial partial lipodystrophy"
"OMIM:614099","CRANIOECTODERMAL DYSPLASIA 3"
"OMIM:309900","MUCOPOLYSACCHARIDOSIS, TYPE II"
"OMIM:269600","SEA-BLUE HISTIOCYTE DISEASE"
"OMIM:601859","AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME"
"OMIM:121300","COPROPORPHYRIA, HEREDITARY"
"OMIM:610329","AICARDI-GOUTIERES SYNDROME 3"
"ORPHA:2746","Opsismodysplasia"
"ORPHA:1458","CODAS syndrome"
"OMIM:147480","CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 1"
"ORPHA:46059","Lathosterolosis"
