"Export for HP:0000707"
"Disease id","Disease name"
"ORPHA:228402","2q23.1 microdeletion syndrome"
"ORPHA:411629","Nephropathic infantile cystinosis"
"OMIM:153470","MACROCEPHALY, BENIGN FAMILIAL"
"OMIM:249630","MENTAL RETARDATION, BUENOS AIRES TYPE"
"OMIM:311150","OPTICOACOUSTIC NERVE ATROPHY WITH DEMENTIA"
"OMIM:615983","BARDET-BIEDL SYNDROME 5"
"ORPHA:2787","Osteoporosis-macrocephaly-blindness-joint hyperlaxity syndrome"
"ORPHA:2901","Neuralgic amyotrophy"
"OMIM:609195","SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSIVE"
"ORPHA:1389","Cortical blindness-intellectual disability-polydactyly syndrome"
"OMIM:614322","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12"
"OMIM:616430","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 25"
"OMIM:300166","MICROPHTHALMIA, SYNDROMIC 2"
"OMIM:607831","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K"
"OMIM:610209","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 11"
"ORPHA:342","Familial Mediterranean fever"
"OMIM:600001","HEART DEFECTS, CONGENITAL, AND OTHER CONGENITAL ANOMALIES"
"OMIM:612301","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7"
"ORPHA:31709","Infantile convulsions and choreoathetosis"
"ORPHA:3191","Subaortic stenosis-short stature syndrome"
"ORPHA:238606","Primary orthostatic tremor"
"OMIM:193005","VESTIBULOCOCHLEAR DYSFUNCTION, PROGRESSIVE"
"OMIM:182920","MYOPATHY, SPHEROID BODY"
"OMIM:614132","CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATIONSYNDROME"
"OMIM:237900","HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATALBREASTFEEDING JAUNDICE, INCLUDED"
"OMIM:114900","CARCINOID TUMORS, INTESTINAL"
"OMIM:614615","JOUBERT SYNDROME 17"
"OMIM:154020","HYPOMAGNESEMIA 2, RENAL"
"OMIM:253550","SPINAL MUSCULAR ATROPHY, TYPE II"
"ORPHA:1920","Toluene embryopathy"
"OMIM:601472","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2D"
"OMIM:604233","GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1"
"OMIM:610003","CEROID LIPOFUSCINOSIS, NEURONAL, 8, NORTHERN EPILEPSY VARIANT"
"OMIM:604320","SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 1"
"ORPHA:306","Benign familial infantile epilepsy"
"ORPHA:99736","Acetazolamide-responsive myotonia"
"ORPHA:84","Fanconi anemia"
"OMIM:615828","MENTAL RETARDATION, AUTOSOMAL DOMINANT 24"
"OMIM:601127","FALLOT COMPLEX WITH SEVERE MENTAL AND GROWTH RETARDATION"
"OMIM:212112","CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTROPIC HYPOGONADISM"
"ORPHA:69736","Bilateral acute depigmentation of the iris"
"OMIM:611561","MECKEL SYNDROME, TYPE 5"
"OMIM:606721","LIPODYSTROPHY WITH CONGENITAL CATARACTS AND NEURODEGENERATION"
"DECIPHER:62","1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders)"
"ORPHA:157","Carnitine palmitoyltransferase II deficiency"
"ORPHA:178029","Central diabetes insipidus"
"OMIM:616636","IMMUNODEFICIENCY 44"
"OMIM:159001","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B"
"ORPHA:499","Kerion celsi"
"ORPHA:2481","Neurocutaneous melanocytosis"
"OMIM:176960","PROTEIN KINASE C, ALPHA"
"OMIM:240900","HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY"
"OMIM:615432","SPECIFIC LANGUAGE IMPAIRMENT 5"
"OMIM:164280","FEINGOLD SYNDROME 1"
"ORPHA:110","Bardet-Biedl syndrome"
"OMIM:127550","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 1"
"OMIM:312830","SCARF SYNDROME"
"OMIM:213300","JOUBERT SYNDROME 1"
"OMIM:224300","DYSOSTEOSCLEROSIS"
"OMIM:607174","MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO"
"OMIM:121201","EPILEPSY, BENIGN NEONATAL, 2"
