"Export for HP:0000478"
"Disease id","Disease name"
"OMIM:610019","CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 2"
"ORPHA:411629","Nephropathic infantile cystinosis"
"OMIM:138930","GRANT SYNDROME"
"OMIM:249630","MENTAL RETARDATION, BUENOS AIRES TYPE"
"OMIM:311150","OPTICOACOUSTIC NERVE ATROPHY WITH DEMENTIA"
"OMIM:615983","BARDET-BIEDL SYNDROME 5"
"ORPHA:2787","Osteoporosis-macrocephaly-blindness-joint hyperlaxity syndrome"
"OMIM:609195","SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSIVE"
"ORPHA:1389","Cortical blindness-intellectual disability-polydactyly syndrome"
"OMIM:614322","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12"
"OMIM:616430","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 25"
"OMIM:300166","MICROPHTHALMIA, SYNDROMIC 2"
"ORPHA:2064","Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome"
"OMIM:610209","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 11"
"OMIM:612301","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7"
"ORPHA:3191","Subaortic stenosis-short stature syndrome"
"OMIM:614132","CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATIONSYNDROME"
"ORPHA:3316","Thomas syndrome"
"OMIM:614615","JOUBERT SYNDROME 17"
"OMIM:603786","STARGARDT DISEASE 4"
"ORPHA:2716","Oculo-skeletal-renal syndrome"
"ORPHA:1920","Toluene embryopathy"
"ORPHA:1318","Campomelia, Cumming type"
"ORPHA:306","Benign familial infantile epilepsy"
"ORPHA:99736","Acetazolamide-responsive myotonia"
"ORPHA:84","Fanconi anemia"
"OMIM:613582","RETINITIS PIGMENTOSA 57"
"OMIM:212112","CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTROPIC HYPOGONADISM"
"ORPHA:69736","Bilateral acute depigmentation of the iris"
"OMIM:611561","MECKEL SYNDROME, TYPE 5"
"OMIM:606721","LIPODYSTROPHY WITH CONGENITAL CATARACTS AND NEURODEGENERATION"
"OMIM:613704","MICROPHTHALMIA, ISOLATED 7"
"ORPHA:2481","Neurocutaneous melanocytosis"
"ORPHA:110","Bardet-Biedl syndrome"
"OMIM:312830","SCARF SYNDROME"
"OMIM:213300","JOUBERT SYNDROME 1"
"OMIM:224300","DYSOSTEOSCLEROSIS"
"ORPHA:96179","Maternal uniparental disomy of chromosome 2"
"ORPHA:538","Lymphangioleiomyomatosis"
"OMIM:210745","BLEPHAROPHIMOSIS WITH PTOSIS, SYNDACTYLY, AND SHORT STATURE"
"OMIM:157151","MICROSPHEROPHAKIA-METAPHYSEAL DYSPLASIA"
"OMIM:616894","ROBINOW SYNDROME, AUTOSOMAL DOMINANT 3"
"OMIM:617341","CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 2"
"OMIM:607364","BARTTER SYNDROME, TYPE 3"
"OMIM:613411","OGUCHI DISEASE 2"
"OMIM:156810","MICROGASTRIA-LIMB REDUCTION DEFECTS ASSOCIATION"
"OMIM:266400","REESE RETINAL DYSPLASIA"
"OMIM:277400","METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLC TYPE"
"ORPHA:79107","Developmental malformations-deafness-dystonia syndrome"
"ORPHA:758","Pseudoxanthoma elasticum"
"ORPHA:377","Gorlin syndrome"
"OMIM:192430","VELOCARDIOFACIAL SYNDROME"
"OMIM:615803","PONTOCEREBELLAR HYPOPLASIA, TYPE 10"
"OMIM:610199","DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM"
"ORPHA:85414","Systemic-onset juvenile idiopathic arthritis"
"ORPHA:193","Cohen syndrome"
"ORPHA:503","Autosomal dominant Larsen syndrome"
"OMIM:215140","GREENBERG DYSPLASIA"
"OMIM:136140","FLOATING-HARBOR SYNDROME"
"OMIM:615716","HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 4"
"OMIM:614976","CARPENTER SYNDROME 2"
"OMIM:616732","OPTIC ATROPHY 10 WITH OR WITHOUT ATAXIA, MENTAL RETARDATION, AND SEIZURES"
"OMIM:613038","PITUITARY HORMONE DEFICIENCY, COMBINED, 1"
"ORPHA:1538","Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome"
"OMIM:301830","SPINAL MUSCULAR ATROPHY, X-LINKED 2"
"ORPHA:3242","Renpenning syndrome"
"OMIM:201180","ACROFRONTOFACIONASAL DYSOSTOSIS 1"
"OMIM:300434","STOCCO DOS SANTOS X-LINKED MENTAL RETARDATION SYNDROME"
"OMIM:227646","FANCONI ANEMIA, COMPLEMENTATION GROUP D2"
"ORPHA:3265","Humero-radial synostosis"
"OMIM:612868","CORNEAL DYSTROPHY, POSTERIOR AMORPHOUS"
"ORPHA:2410","Hypergonadotropic hypogonadism-cataract syndrome"
"ORPHA:370924","STT3B-CDG"
"OMIM:614873","PEROXISOME BIOGENESIS DISORDER 7B"
"OMIM:614882","PEROXISOME BIOGENESIS DISORDER 10A (ZELLWEGER)"
"ORPHA:2850","Alopecia-intellectual disability syndrome"
"OMIM:616007","CATARACTS, GROWTH HORMONE DEFICIENCY, SENSORY NEUROPATHY, SENSORINEURAL HEARING LOSS, AND SKELETAL DYSPLASIA"
"OMIM:300814","NYSTAGMUS 6, CONGENITAL, X-LINKED"
"ORPHA:1661","X-linked corneal dermoid"
"OMIM:602418","WEYERS ULNAR RAY/OLIGODACTYLY SYNDROME"
"ORPHA:955","Acroosteolysis dominant type"
"OMIM:250410","RETINITIS PIGMENTOSA WITH OR WITHOUT SKELETAL ANOMALIES"
"ORPHA:1955","Spinocerebellar ataxia type 34"
"ORPHA:1515","Cranioectodermal dysplasia"
"OMIM:277580","WAARDENBURG-SHAH SYNDROME"
"ORPHA:96180","Maternal uniparental disomy of chromosome 4"
"ORPHA:72","Angelman syndrome"
"ORPHA:794","Saethre-Chotzen syndrome"
"OMIM:616723","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, FADEN-ALKURAYA TYPE"
"OMIM:613617","RETINITIS PIGMENTOSA 58"
"OMIM:609049","PIERSON SYNDROME"
"ORPHA:291","Congenital varicella syndrome"
"OMIM:615155","STEEL SYNDROME"
"OMIM:610202","CATARACT 21, MULTIPLE TYPES"
"OMIM:268050","RETINOPATHY, PIGMENTARY, AND MENTAL RETARDATION"
"OMIM:223370","DUBOWITZ SYNDROME"
"OMIM:270700","SPASTIC PARAPLEGIA 15, AUTOSOMAL RECESSIVE"
"ORPHA:920","Ablepharon macrostomia syndrome"
"OMIM:180700","ROBINOW SYNDROME, AUTOSOMAL DOMINANT"
"ORPHA:648","Noonan syndrome"
"OMIM:615725","RETINITIS PIGMENTOSA 68"
"OMIM:247410","LYMPHEDEMA-HYPOPARATHYROIDISM SYNDROME"
"OMIM:225410","EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL RECESSIVE"
"ORPHA:1193","Atkin-Flaitz syndrome"
"OMIM:278700","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP A"
"ORPHA:254504","Inhalational botulism"
"ORPHA:2591","Infantile myofibromatosis"
"ORPHA:809","Mixed connective tissue disease"
"OMIM:155700","MELANOMA, MALIGNANT FAMILIAL INTRAOCULAR"
"OMIM:177700","GLAUCOMA 1, OPEN ANGLE, P"
"ORPHA:487","Krabbe disease"
"OMIM:516005","COMPLEX I, SUBUNIT ND5"
"OMIM:615544","PERIVENTRICULAR NODULAR HETEROTOPIA 6"
"ORPHA:1794","Oculomaxillofacial dysostosis"
"ORPHA:1000","Ocular albinism with late-onset sensorineural deafness"
"OMIM:256700","NEUROBLASTOMA"
"OMIM:616981","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 37"
"OMIM:613884","CHROMOSOME 13q14 DELETION SYNDROME"
"ORPHA:354","GM1 gangliosidosis"
"OMIM:201750","ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS"
"OMIM:610442","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, GENEVIEVE TYPE"
"OMIM:609033","POSTERIOR COLUMN ATAXIA WITH RETINITIS PIGMENTOSA"
"OMIM:151200","CHROMOSOME 8q22.1 DUPLICATION SYNDROME"
"ORPHA:96","Ataxia with vitamin E deficiency"
"OMIM:617082","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IAA"
"OMIM:607115","CINCA SYNDROME"
"ORPHA:782","Axenfeld-Rieger syndrome"
"ORPHA:1551","Familial benign copper deficiency"
"OMIM:612843","KERATOSIS FOLLICULARIS SPINULOSA DECALVANS, AUTOSOMAL DOMINANT"
"OMIM:602097","USHER SYNDROME, TYPE IE"
"ORPHA:636","Neurofibromatosis type 1"
"OMIM:261600","PHENYLKETONURIA"
"ORPHA:85167","Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome"
"OMIM:150900","LENTIGINES"
"OMIM:615009","SCHUURS-HOEIJMAKERS SYNDROME"
"OMIM:613610","CRANIOECTODERMAL DYSPLASIA 2"
"ORPHA:3033","Renal tubular dysgenesis"
"OMIM:611225","SPASTIC PARAPLEGIA 18, AUTOSOMAL RECESSIVE"
"OMIM:121390","CORNEA GUTTATA WITH ANTERIOR POLAR CATARACTS"
"OMIM:613100","GLAUCOMA 1, OPEN ANGLE, O"
"OMIM:269920","INFANTILE SIALIC ACID STORAGE DISEASE"
"ORPHA:2151","Hirschsprung disease-ganglioneuroblastoma syndrome"
"OMIM:616592","KOSAKI OVERGROWTH SYNDROME"
"OMIM:269600","SEA-BLUE HISTIOCYTE DISEASE"
"OMIM:600559","HYDROCEPHALUS, ENDOCARDIAL FIBROELASTOSIS, AND CATARACTS"
"OMIM:158900","FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1"
"OMIM:300882","CORNELIA DE LANGE SYNDROME 5"
"ORPHA:109","Bannayan-Riley-Ruvalcaba syndrome"
"ORPHA:1035","Beta-mercaptolactate cysteine disulfiduria"
"OMIM:612463","PSEUDOPSEUDOHYPOPARATHYROIDISM"
"OMIM:260480","PANCREATITIS, SCLEROSING CHOLANGITIS, AND SICCA COMPLEX"
"OMIM:616947","PREMATURE OVARIAN FAILURE 12"
"ORPHA:2162","Holoprosencephaly"
"ORPHA:96121","7q11.23 microduplication syndrome"
"OMIM:148200","KERATITIS FUGAX HEREDITARIA"
"ORPHA:821","Sotos syndrome"
"OMIM:261540","PETERS-PLUS SYNDROME"
"ORPHA:2115","Harrod syndrome"
"OMIM:174310","POLYDACTYLY, POSTAXIAL, WITH PROGRESSIVE MYOPIA"
"OMIM:145290","HYPERREFLEXIA"
"OMIM:604121","CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT"
"ORPHA:96167","Recombinant 8 syndrome"
"OMIM:600138","RETINITIS PIGMENTOSA 11"
"OMIM:605627","CEREBROOCULONASAL SYNDROME"
"OMIM:122880","CRANIOFACIAL-DEAFNESS-HAND SYNDROME"
"OMIM:260300","PARKINSON DISEASE 15, AUTOSOMAL RECESSIVE EARLY-ONSET"
"OMIM:191830","RENAL HYPODYSPLASIA/APLASIA 1"
"ORPHA:2849","Perlman syndrome"
"OMIM:613969","MYOPIA 19, AUTOSOMAL DOMINANT"
"OMIM:608380","RETINITIS PIGMENTOSA 26"
"OMIM:609376","CATARACT 35"
"OMIM:612015","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IN"
"OMIM:257300","MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1"
"OMIM:268300","ROBERTS SYNDROME"
"ORPHA:2237","Hypoparathyroidism-deafness-renal disease syndrome"
"ORPHA:1597","Distal monosomy 17q"
"ORPHA:1170","Autosomal recessive cerebelloparenchymal disorder type 3"
"OMIM:602271","SPONDYLOMETAPHYSEAL DYSPLASIA, AXIAL"
"ORPHA:464","Incontinentia pigmenti"
"OMIM:614294","CHROMOSOME 15q25 DELETION SYNDROME"
"OMIM:615439","MACULAR DEGENERATION, AGE-RELATED, 13"
"OMIM:612783","IMMUNODEFICIENCY 10"
"OMIM:259710","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 2"
"OMIM:615862","NEPHRONOPHTHISIS 18"
"ORPHA:2995","Baraitser-Winter cerebrofrontofacial syndrome"
"OMIM:217980","CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE"
"OMIM:228980","FLECK RETINA, FAMILIAL BENIGN"
"OMIM:601706","YEMENITE DEAF-BLIND HYPOPIGMENTATION SYNDROME"
"OMIM:233400","PERRAULT SYNDROME 1"
"OMIM:244400","CILIARY DYSKINESIA, PRIMARY, 1"
"ORPHA:845","Tay-Sachs disease"
"OMIM:303110","CHOROIDEREMIA, DEAFNESS, AND MENTAL RETARDATION"
"OMIM:136520","FOVEAL HYPOPLASIA AND PRESENILE CATARACT SYNDROMEFOVEAL HYPOPLASIA, ISOLATED, INCLUDED"
"OMIM:616654","JOUBERT SYNDROME 24"
"OMIM:614226","HOLOPROSENCEPHALY 11"
"ORPHA:1390","Night blindness-skeletal anomalies-dysmorphism syndrome"
"ORPHA:3107","Autosomal dominant Robinow syndrome"
"OMIM:300004","CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA"
"OMIM:244450","KAUFMAN OCULOCEREBROFACIAL SYNDROME"
"ORPHA:36","Acrocallosal syndrome"
"OMIM:208400","ASPARTYLGLUCOSAMINURIA"
"ORPHA:562","McCune-Albright syndrome"
"ORPHA:991","PAGOD syndrome"
"OMIM:310800","NYSTAGMUS, MYOCLONIC"
"OMIM:252010","MITOCHONDRIAL COMPLEX I DEFICIENCY"
"OMIM:615491","SPASTIC PARAPLEGIA 79, AUTOSOMAL RECESSIVE"
"OMIM:613660","CONE-ROD DYSTROPHY 15"
"OMIM:300580","MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION, X-LINKED"
"OMIM:311100","OPTIC ATROPHY--SPASTIC PARAPLEGIA SYNDROME"
"ORPHA:7","3C syndrome"
"OMIM:116800","CATARACT, LAMELLAR"
"OMIM:604432","SPINOCEREBELLAR ATAXIA 11"
"ORPHA:231568","Generalized dominant dystrophic epidermolysis bullosa"
"ORPHA:2959","Progeria-short stature-pigmented nevi syndrome"
"OMIM:612394","BONE FRAGILITY WITH CONTRACTURES, ARTERIAL RUPTURE, AND DEAFNESS"
"OMIM:605231","BARDET-BIEDL SYNDROME 6"
"ORPHA:261483","Xq27.3q28 duplication syndrome"
"OMIM:193300","VON HIPPEL-LINDAU SYNDROME"
"OMIM:609015","MITOCHONDRIAL TRIFUNCTIONAL PROTEIN DEFICIENCY"
"OMIM:603649","CONE-ROD DYSTROPHY 7"
"OMIM:136900","FUNDUS DYSTROPHY, PSEUDOINFLAMMATORY, OF SORSBY"
"OMIM:617384","HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT"
"ORPHA:2323","Sanjad-Sakati syndrome"
"ORPHA:893","WAGR syndrome"
"ORPHA:3206","Stüve-Wiedemann syndrome"
"OMIM:210720","MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II"
"OMIM:609454","SUPRANUCLEAR PALSY, PROGRESSIVE, 2"
"OMIM:115250","COLLAGENOMA, FAMILIAL CUTANEOUS"
"OMIM:184250","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE"
"OMIM:231550","ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME"
"OMIM:275550","TRICHORRHEXIS NODOSA SYNDROME"
"OMIM:605670","LATE-ONSET RETINAL DEGENERATION"
"OMIM:300029","RETINITIS PIGMENTOSA 3"
"OMIM:616938","COFFIN-SIRIS SYNDROME 5"
"OMIM:615510","ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME"
"OMIM:126200","MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO"
"OMIM:607476","NEWFOUNDLAND ROD-CONE DYSTROPHY"
"OMIM:300960","MEND SYNDROME"
"ORPHA:261337","Distal 22q11.2 microduplication syndrome"
"OMIM:616602","CRANIOSYNOSTOSIS 6"
"OMIM:615846","AICARDI-GOUTIERES SYNDROME 7"
"OMIM:308100","ICHTHYOSIS, X-LINKED"
"OMIM:162200","NEUROFIBROMATOSIS, TYPE I"
"OMIM:607458","SPINOCEREBELLAR ATAXIA 18"
"ORPHA:672","Pallister-Hall syndrome"
"ORPHA:3450","Weissenbacher- Zweymuller syndrome"
"ORPHA:2052","Fraser syndrome"
"OMIM:600257","BOR-DUANE HYDROCEPHALUS CONTIGUOUS GENE SYNDROME"
"OMIM:608257","MANDIBULOFACIAL DYSOSTOSIS WITH PTOSIS, AUTOSOMAL DOMINANT"
"OMIM:300100","ADRENOLEUKODYSTROPHY"
"ORPHA:435628","Keppen-Lubinsky syndrome"
"ORPHA:79241","Biotinidase deficiency"
"ORPHA:2213","Hypertelorism-microtia-facial clefting syndrome"
"OMIM:122000","CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 1"
"ORPHA:3218","Deafness-epiphyseal dysplasia-short stature syndrome"
"ORPHA:833","Encephalopathy due to sulfite oxidase deficiency"
"ORPHA:881","Turner syndrome"
"OMIM:218340","TEMTAMY SYNDROME"
"ORPHA:428","Autosomal dominant hypocalcemia"
"OMIM:614702","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 10"
"ORPHA:2273","Ichthyosis follicularis-alopecia-photophobia syndrome"
"OMIM:164100","NYSTAGMUS 2, CONGENITAL, AUTOSOMAL DOMINANT"
"OMIM:175100","FAMILIAL ADENOMATOUS POLYPOSIS 1"
"OMIM:312700","RETINOSCHISIS 1, X-LINKED, JUVENILE"
