"Export for HP:0000077"
"Disease id","Disease name"
"ORPHA:411629","Nephropathic infantile cystinosis"
"OMIM:560000","RENAL TUBULOPATHY, DIABETES MELLITUS, AND CEREBELLAR ATAXIA"
"OMIM:608022","DIAPHANOSPONDYLODYSOSTOSIS"
"OMIM:256100","NEPHRONOPHTHISIS 1"
"ORPHA:264200","14q22q23 microdeletion syndrome"
"ORPHA:96201","X small rings"
"OMIM:107480","TOWNES-BROCKS SYNDROME"
"OMIM:212093","CARDIAC VALVULAR DEFECT, DEVELOPMENTAL"
"ORPHA:3378","Trisomy 13"
"OMIM:614209","MECKEL SYNDROME, TYPE 9"
"ORPHA:342","Familial Mediterranean fever"
"ORPHA:284227","TEMPI syndrome"
"ORPHA:1788","Acrofacial dysostosis, Rodríguez type"
"ORPHA:48","Congenital bilateral absence of vas deferens"
"OMIM:174050","POLYCYSTIC LIVER DISEASE"
"ORPHA:139402","Drug rash with eosinophilia and systemic symptoms"
"OMIM:218600","BALLER-GEROLD SYNDROME"
"ORPHA:2308","Jacobsen syndrome"
"OMIM:182690","SPASTIC PARAPLEGIA, SENSORINEURAL DEAFNESS, MENTAL RETARDATION, AND"
"ORPHA:3316","Thomas syndrome"
"OMIM:257550","OCULAR MOTOR APRAXIA"
"OMIM:114290","CAMPOMELIC DYSPLASIA"
"ORPHA:231111","Drug-induced lupus erythematosus"
"ORPHA:2716","Oculo-skeletal-renal syndrome"
"ORPHA:1309","Medullary sponge kidney"
"OMIM:154020","HYPOMAGNESEMIA 2, RENAL"
"ORPHA:1920","Toluene embryopathy"
"ORPHA:53693","GRACILE syndrome"
"ORPHA:1318","Campomelia, Cumming type"
"ORPHA:363618","LMNA-related cardiocutaneous progeria syndrome"
"OMIM:610805","CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT, SUSCEPTIBILITY TO"
"ORPHA:84","Fanconi anemia"
"ORPHA:1973","Faciocardiorenal syndrome"
"OMIM:174770","ACTINIC PRURIGOPOLYMORPHIC LIGHT ERUPTION, HEREDITARY"
"ORPHA:1166","Congenital unilateral hypoplasia of depressor anguli oris"
"OMIM:613730","HEMORRHAGIC DESTRUCTION OF THE BRAIN, SUBEPENDYMAL CALCIFICATION,AND CATARACTS"
"ORPHA:2668","Nephropathy-deafness-hyperparathyroidism syndrome"
"OMIM:613237","FOCAL SEGMENTAL GLOMERULOSCLEROSIS 5"
"ORPHA:2091","Multinodular goiter-cystic kidney-polydactyly syndrome"
"ORPHA:157","Carnitine palmitoyltransferase II deficiency"
"OMIM:611812","46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS"
"OMIM:180849","RUBINSTEIN-TAYBI SYNDROME 1"
"ORPHA:2481","Neurocutaneous melanocytosis"
"ORPHA:1092","Renal-genital-middle ear anomalies"
"ORPHA:223","Nephrogenic diabetes insipidus"
"ORPHA:50810","Microlissencephaly-micromelia syndrome"
"OMIM:242900","IMMUNOOSSEOUS DYSPLASIA, SCHIMKE TYPE"
"ORPHA:63862","Schisis association"
"ORPHA:110","Bardet-Biedl syndrome"
"OMIM:222900","SUCRASE-ISOMALTASE DEFICIENCY, CONGENITAL"
"ORPHA:1556","Cutis marmorata telangiectatica congenita"
"OMIM:219900","CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE"
"OMIM:613001","ENCEPHALOCRANIOCUTANEOUS LIPOMATOSIS"
"OMIM:222300","WOLFRAM SYNDROME 1"
"OMIM:602531","GRANGE SYNDROME"
"OMIM:213300","JOUBERT SYNDROME 1"
"OMIM:601894","GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2"
"OMIM:613090","BARTTER SYNDROME, TYPE 4B, NEONATAL, WITH SENSORINEURAL DEAFNESS"
"ORPHA:96179","Maternal uniparental disomy of chromosome 2"
"ORPHA:538","Lymphangioleiomyomatosis"
"ORPHA:280062","Calciphylaxis"
"OMIM:314300","TORTICOLLIS, KELOIDS, CRYPTORCHIDISM, AND RENAL DYSPLASIA"
"ORPHA:90308","Klippel-Trénaunay syndrome"
"OMIM:604387","NEPHRONOPHTHISIS 3"
"ORPHA:1473","Uveal coloboma-cleft lip and palate-intellectual disability"
"OMIM:607364","BARTTER SYNDROME, TYPE 3"
"OMIM:260400","SHWACHMAN-DIAMOND SYNDROME"
"OMIM:156810","MICROGASTRIA-LIMB REDUCTION DEFECTS ASSOCIATION"
"OMIM:277400","METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLC TYPE"
"OMIM:600151","BARDET-BIEDL SYNDROME 3"
"OMIM:220110","MITOCHONDRIAL COMPLEX IV DEFICIENCY"
"ORPHA:214","Cystinuria"
"OMIM:143400","CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 2"
"OMIM:154400","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE"
"OMIM:156400","METAPHYSEAL CHONDRODYSPLASIA, JANSEN TYPE"
"ORPHA:79327","ALG1-CDG"
"OMIM:617090","MICROCEPHALY 17, PRIMARY, AUTOSOMAL RECESSIVE"
"OMIM:200980","ACRORENAL-MANDIBULAR SYNDROME"
"OMIM:301040","ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED"
"ORPHA:261265","17q12 microdeletion syndrome"
"ORPHA:758","Pseudoxanthoma elasticum"
"ORPHA:732","Polymyositis"
"ORPHA:895","Waardenburg syndrome type 2"
"OMIM:614922","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11"
"OMIM:610199","DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM"
"OMIM:179280","RADIAL-RENAL SYNDROME"
"DECIPHER:70","2p15-16.1 microdeletion syndrome"
"OMIM:614809","CFHR5 DEFICIENCY"
"OMIM:608594","LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1"
"OMIM:613254","TUBEROUS SCLEROSIS 2"
"OMIM:616239","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24"
"ORPHA:69078","Liposarcoma"
"ORPHA:439232","AApoAIV amyloidosis"
"ORPHA:1666","Dextrocardia"
"OMIM:136140","FLOATING-HARBOR SYNDROME"
"OMIM:613824","NEPHRONOPHTHISIS 9"
"OMIM:194050","WILLIAMS-BEUREN SYNDROME"
"OMIM:614455","CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE E"
"ORPHA:73224","Tubular renal disease-cardiomyopathy syndrome"
"ORPHA:1420","Lethal chondrodysplasia, Moerman type"
"ORPHA:902","Werner syndrome"
"OMIM:304120","OTOPALATODIGITAL SYNDROME, TYPE II"
"ORPHA:52022","Potocki-Shaffer syndrome"
"OMIM:617303","MUCOPOLYSACCHARIDOSIS-PLUS SYNDROME"
"OMIM:192050","UTERUS BICORNIS BICOLLIS WITH PARTIAL VAGINAL SEPTUM AND UNILATERALHEMATOCOLPOS WITH IPSILATERAL RENAL AGENESIS"
"OMIM:227646","FANCONI ANEMIA, COMPLEMENTATION GROUP D2"
"OMIM:615824","MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 7"
"ORPHA:419","Hyperprolinemia type 1"
"ORPHA:500","Noonan syndrome with multiple lentigines"
"ORPHA:83473","Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome"
"OMIM:601389","CERVICAL RIBS, SPRENGEL ANOMALY, ANAL ATRESIA, AND URETHRAL OBSTRUCTION"
"ORPHA:1860","Thanatophoric dysplasia type 1"
"OMIM:249660","MESANGIAL SCLEROSIS, DIFFUSE RENAL, WITH OCULAR ABNORMALITIES"
"OMIM:614199","NEPHROTIC SYNDROME, TYPE 5, WITH OR WITHOUT OCULAR ABNORMALITIES"
"OMIM:251290","BAND-LIKE CALCIFICATION WITH SIMPLIFIED GYRATION AND POLYMICROGYRIA"
"ORPHA:77261","Gaucher disease type 3"
"OMIM:612075","MITOCHONDRIAL DNA DEPLETION SYNDROME 8A (ENCEPHALOMYOPATHIC TYPE WITH RENAL TUBULOPATHY)"
"ORPHA:94063","12q14 microdeletion syndrome"
"OMIM:169545","PELVIC LIPOMATOSIS WITH CROSSED RENAL ECTOPIA"
"ORPHA:553","Cushing syndrome"
"OMIM:609057","NEPHROPATHY WITH PRETIBIAL EPIDERMOLYSIS BULLOSA AND DEAFNESS"
"OMIM:232220","GLYCOGEN STORAGE DISEASE IB"
"ORPHA:1839","Hereditary mucoepithelial dysplasia"
"OMIM:602418","WEYERS ULNAR RAY/OLIGODACTYLY SYNDROME"
"ORPHA:96263","48,XXXY syndrome"
"ORPHA:293355","Methylmalonic acidemia without homocystinuria"
"ORPHA:955","Acroosteolysis dominant type"
"OMIM:250410","RETINITIS PIGMENTOSA WITH OR WITHOUT SKELETAL ANOMALIES"
"OMIM:300968","MENTAL RETARDATION, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED"
"OMIM:609049","PIERSON SYNDROME"
"OMIM:229600","FRUCTOSE INTOLERANCE, HEREDITARY"
"OMIM:614723","ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY"
"OMIM:614080","MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 1"
"OMIM:603592","XANTHINURIA, TYPE II"
"ORPHA:859","Transcobalamin deficiency"
"ORPHA:73274","Acquired hemophilia"
"OMIM:180700","ROBINOW SYNDROME, AUTOSOMAL DOMINANT"
"OMIM:191700","UROLITHIASIS, URIC ACID, AUTOSOMAL DOMINANT"
"OMIM:615807","SECKEL SYNDROME 8"
"OMIM:601678","BARTTER SYNDROME, TYPE 1, ANTENATAL"
"ORPHA:69","Amyloidosis"
"OMIM:615816","IMMUNODEFICIENCY 23"
"ORPHA:168569","H syndrome"
"OMIM:614650","COENZYME Q10 DEFICIENCY, PRIMARY, 6"
"OMIM:146510","PALLISTER-HALL SYNDROME"
"OMIM:247410","LYMPHEDEMA-HYPOPARATHYROIDISM SYNDROME"
"OMIM:308940","LEIOMYOMATOSIS, DIFFUSE, WITH ALPORT SYNDROME"
"ORPHA:324","Fabry disease"
"OMIM:207410","ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS"
"OMIM:308750","KALLMANN SYNDROME WITH SPASTIC PARAPLEGIA"
"ORPHA:2591","Infantile myofibromatosis"
