"Export for HP:0000119"
"Disease id","Disease name"
"OMIM:278300","XANTHINURIA, TYPE I"
"OMIM:204730","AMINO ACIDURIA WITH MENTAL DEFICIENCY, DWARFISM, MUSCULAR DYSTROPHY,OSTEOPOROSIS, AND ACIDOSIS"
"OMIM:615807","SECKEL SYNDROME 8"
"ORPHA:33001","Lymphedema-distichiasis syndrome"
"OMIM:103900","GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM"
"OMIM:274000","THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME"
"OMIM:218649","CRANIOSYNOSTOSIS-MENTAL RETARDATION SYNDROME OF LIN AND GETTIG"
"ORPHA:66625","Cerebrooculonasal syndrome"
"ORPHA:59","Allan-Herndon-Dudley syndrome"
"OMIM:257550","OCULAR MOTOR APRAXIA"
"OMIM:236100","HOLOPROSENCEPHALY 1"
"ORPHA:169105","Good syndrome"
"OMIM:611087","POLYHYDRAMNIOS, MEGALENCEPHALY, AND SYMPTOMATIC EPILEPSY"
"ORPHA:98791","Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16"
"ORPHA:1361","Carnosinemia"
"ORPHA:254504","Inhalational botulism"
"ORPHA:191","Cockayne syndrome"
"ORPHA:2815","Spastic paraparesis-deafness syndrome"
"OMIM:253250","MULIBREY NANISM"
"OMIM:158310","MUCOEPITHELIAL DYSPLASIA, HEREDITARY"
"OMIM:236450","HUTTERITE CEREBROOSTEONEPHRODYSPLASIA SYNDROME"
"ORPHA:1031","Amelogenesis imperfecta-nephrocalcinosis syndrome"
"OMIM:245130","KETOADIPICACIDURIA"
"ORPHA:95613","Pituitary apoplexy"
"OMIM:616414","AUTOIMMUNE INTERSTITIAL LUNG, JOINT, AND KIDNEY DISEASE"
"OMIM:312300","ANDROGEN INSENSITIVITY, PARTIAL"
"OMIM:615605","FANCONI RENOTUBULAR SYNDROME 3"
"ORPHA:193","Cohen syndrome"
"OMIM:601349","MICROPHTHALMIA, SYNDROMIC 8"
"OMIM:614650","COENZYME Q10 DEFICIENCY, PRIMARY, 6"
"ORPHA:95619","Iatrogenic or traumatic pituitary deficiency"
"ORPHA:90652","Otopalatodigital syndrome type 2"
"OMIM:245900","LECITHIN:CHOLESTEROL ACYLTRANSFERASE DEFICIENCY"
"OMIM:140000","HAND-FOOT-GENITAL SYNDROME"
"ORPHA:2022","Endomyocardial fibroelastosis"
"OMIM:300000","OPITZ GBBB SYNDROME, TYPE I"
"ORPHA:3411","Double uterus-hemivagina-renal agenesis syndrome"
"ORPHA:650","LCAT deficiency"
"ORPHA:85445","AA amyloidosis"
"ORPHA:3412","VACTERL with hydrocephalus"
"ORPHA:1695","Non-distal trisomy 10q"
"OMIM:614723","ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY"
"ORPHA:238468","Hypohidrotic ectodermal dysplasia"
"OMIM:615065","ARTHROGRYPOSIS, DISTAL, TYPE 5D"
"OMIM:300653","PHOSPHOGLYCERATE KINASE 1 DEFICIENCY"
"OMIM:119500","POPLITEAL PTERYGIUM SYNDROME"
"OMIM:203700","MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE)"
"OMIM:614420","SYSTEMIC LUPUS ERYTHEMATOSUS 16"
"OMIM:140350","HAWKINSINURIA"
"ORPHA:79312","Vitamin B12-unresponsive methylmalonic acidemia type mut-"
"ORPHA:653","Multiple endocrine neoplasia type 2"
"ORPHA:85112","Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome"
"OMIM:614376","SHORT-RIB THORACIC DYSPLASIA 5 WITH OR WITHOUT POLYDACTYLY"
"OMIM:194080","DENYS-DRASH SYNDROME"
"ORPHA:983","Testicular regression syndrome"
"OMIM:300855","OGDEN SYNDROME"
"OMIM:147920","KABUKI SYNDROME 1"
"OMIM:220500","DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME"
"OMIM:190440","TRIGONOCEPHALY 1"
"OMIM:227650","FANCONI ANEMIA, COMPLEMENTATION GROUP A"
"OMIM:244450","KAUFMAN OCULOCEREBROFACIAL SYNDROME"
"ORPHA:220489","Rare hereditary hemochromatosis"
"ORPHA:1756","Caudal duplication"
"OMIM:194071","MULTIPLE TUMOR-ASSOCIATED CHROMOSOME REGION 1"
"ORPHA:77261","Gaucher disease type 3"
"ORPHA:217266","BNAR syndrome"
"ORPHA:254509","Iatrogenic botulism"
"ORPHA:1826","Frontometaphyseal dysplasia"
"OMIM:615983","BARDET-BIEDL SYNDROME 5"
"ORPHA:56","Alkaptonuria"
"ORPHA:716","Phenylketonuria"
"ORPHA:63259","Iniencephaly"
"ORPHA:79242","Holocarboxylase synthetase deficiency"
"OMIM:613090","BARTTER SYNDROME, TYPE 4B, NEONATAL, WITH SENSORINEURAL DEAFNESS"
"OMIM:600145","SACRAL DEFECT WITH ANTERIOR MENINGOCELE"
"ORPHA:1296","Lambert syndrome"
"ORPHA:583","Mucopolysaccharidosis type 6"
"OMIM:123550","CRYOGLOBULINEMIA, FAMILIAL MIXED"
"OMIM:605822","SPONDYLOOCULAR SYNDROME"
"ORPHA:96147","Kleefstra syndrome due to 9q34 microdeletion"
"OMIM:300076","IMMUNONEUROLOGIC DISORDER, X-LINKED"
"ORPHA:66629","Goldberg-Shprintzen megacolon syndrome"
"ORPHA:658","Non-histaminic angioedema"
"ORPHA:69078","Liposarcoma"
"OMIM:616818","IGA NEPHROPATHY, SUSCEPTIBILITY TO, 3"
"OMIM:613677","HYPERALDOSTERONISM, FAMILIAL, TYPE III"
"OMIM:615084","MITOCHONDRIAL DNA DEPLETION SYNDROME 11"
"ORPHA:98797","Isochromosomy Yp"
"ORPHA:228429","Generalized congenital lipodystrophy with myopathy"
"OMIM:276710","TYROSINEMIA, TYPE III"
"ORPHA:330001","Wild type ATTR amyloidosis"
"OMIM:603516","SPINOCEREBELLAR ATAXIA 10"
"ORPHA:195","Cat-eye syndrome"
"OMIM:615633","SHORT-RIB THORACIC DYSPLASIA 11 WITH OR WITHOUT POLYDACTYLY"
"ORPHA:3419","Van Regemorter-Pierquin-Vamos syndrome"
"ORPHA:329","Congenital factor XI deficiency"
"OMIM:145295","HYPERSECRETION OF ADRENAL ANDROGENS, FAMILIAL"
"OMIM:115310","PARAGANGLIOMAS 4"
"ORPHA:2753","Orofaciodigital syndrome type 4"
"OMIM:613254","TUBEROUS SCLEROSIS 2"
"ORPHA:1420","Lethal chondrodysplasia, Moerman type"
"OMIM:178610","PULMONARY NODULAR LYMPHOID HYPERPLASIA, FAMILIAL"
"OMIM:612079","ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCRINOPATHY SYNDROME"
"ORPHA:1295","Brachytelephalangy-dysmorphism-Kallmann syndrome"
"OMIM:614732","INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIACONGENITA, AND GENITAL ANOMALIES"
"OMIM:302060","BARTH SYNDROME"
"ORPHA:99857","Secondary syringomyelia"
"OMIM:614815","JOUBERT SYNDROME 18"
"OMIM:614880","HYPOGONADOTROPIC HYPOGONADISM 15 WITH OR WITHOUT ANOSMIA"
"OMIM:249660","MESANGIAL SCLEROSIS, DIFFUSE RENAL, WITH OCULAR ABNORMALITIES"
"OMIM:238700","HYPERLYSINEMIA, TYPE I"
"ORPHA:314034","7p22.1 microduplication syndrome"
"ORPHA:581","Mucopolysaccharidosis type 3"
"OMIM:236680","HYDROLETHALUS SYNDROME 1"
"OMIM:300818","PAROXYSMAL NOCTURNAL HEMOGLOBINURIA"
"OMIM:610883","POTOCKI-LUPSKI SYNDROME"
"OMIM:221770","POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY"
"OMIM:604802","HUNTINGTON DISEASE-LIKE 3"
"OMIM:184800","STERNUM, PREMATURE OBLITERATION OF SUTURES OF"
"OMIM:270710","FITZSIMMONS-GUILBERT SYNDROME"
"ORPHA:655","Nephronophthisis"
"ORPHA:251066","8p11.2 deletion syndrome"
"OMIM:163700","NIPPLES, SUPERNUMERARY"
"OMIM:240150","HYPERVITAMINOSIS A, SUSCEPTIBILITY TO"
"ORPHA:198","Occipital horn syndrome"
"OMIM:613951","FANCONI ANEMIA, COMPLEMENTATION GROUP P"
"ORPHA:3015","Radio-renal syndrome"
"OMIM:607330","LATHOSTEROLOSIS"
"ORPHA:2745","Opitz G/BBB syndrome"
"ORPHA:1299","Branchioskeletogenital syndrome"
"OMIM:614862","PEROXISOME BIOGENESIS DISORDER 4A (ZELLWEGER)"
"ORPHA:587","Muir-Torre syndrome"
"OMIM:215470","BOUCHER-NEUHAUSER SYNDROME"
"OMIM:228100","VISCERAL STEATOSIS, CONGENITAL"
"OMIM:614209","MECKEL SYNDROME, TYPE 9"
"ORPHA:2410","Hypergonadotropic hypogonadism-cataract syndrome"
"ORPHA:654","Nephroblastoma"
"OMIM:616067","46,XY SEX REVERSAL 9"
"ORPHA:252054","Hemangioblastoma"
"ORPHA:3016","Absent radius-anogenital anomalies syndrome"
"OMIM:600072","FATAL FAMILIAL INSOMNIA"
"ORPHA:324","Fabry disease"
"ORPHA:231580","Primary unilateral adrenal hyperplasia"
"OMIM:307030","GLYCEROL KINASE DEFICIENCY"
"OMIM:614963","LEPTIN RECEPTOR DEFICIENCY"
"OMIM:616975","NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART"
"DECIPHER:46","Split hand/foot malformation 1 (SHFM1)"
"ORPHA:199","Cornelia de Lange syndrome"
"ORPHA:3409","Urban-Rogers-Meyer syndrome"
"OMIM:614613","ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE"
"OMIM:153100","LYMPHEDEMA, HEREDITARY, IA"
