"Export for HP:0002086"
"Disease id","Disease name"
"OMIM:615767","IMMUNODEFICIENCY, COMMON VARIABLE, 11"
"ORPHA:2445","Conotruncal heart malformations"
"ORPHA:2901","Neuralgic amyotrophy"
"OMIM:135100","FIBRODYSPLASIA OSSIFICANS PROGRESSIVA"
"ORPHA:1389","Cortical blindness-intellectual disability-polydactyly syndrome"
"OMIM:603554","OMENN SYNDROME"
"ORPHA:163703","Febrile infection-related epilepsy syndrome"
"OMIM:233710","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME B-POSITIVE,TYPE II"
"OMIM:615577","IMMUNODEFICIENCY, COMMON VARIABLE, 10"
"ORPHA:342","Familial Mediterranean fever"
"ORPHA:284227","TEMPI syndrome"
"ORPHA:139402","Drug rash with eosinophilia and systemic symptoms"
"OMIM:600001","HEART DEFECTS, CONGENITAL, AND OTHER CONGENITAL ANOMALIES"
"OMIM:612301","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7"
"ORPHA:85322","X-linked intellectual disability, Pai type"
"ORPHA:3191","Subaortic stenosis-short stature syndrome"
"ORPHA:1446","Ring chromosome 22 syndrome"
"ORPHA:1065","Aniridia-cerebellar ataxia-intellectual disability syndrome"
"ORPHA:436003","Contractures-developmental delay-Pierre Robin syndrome"
"ORPHA:231111","Drug-induced lupus erythematosus"
"OMIM:614615","JOUBERT SYNDROME 17"
"OMIM:607596","PONTOCEREBELLAR HYPOPLASIA, TYPE 1A"
"OMIM:610338","RIGHT PULMONARY ARTERY, ANOMALOUS ORIGIN OF, FAMILIAL"
"OMIM:613495","IMMUNODEFICIENCY, COMMON VARIABLE, 5"
"OMIM:253550","SPINAL MUSCULAR ATROPHY, TYPE II"
"OMIM:608957","CD8 DEFICIENCY, FAMILIAL"
"OMIM:608233","HERMANSKY-PUDLAK SYNDROME 2"
"ORPHA:363618","LMNA-related cardiocutaneous progeria syndrome"
"OMIM:604320","SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 1"
"ORPHA:285","Ehlers-Danlos syndrome, hypermobility type"
"ORPHA:84","Fanconi anemia"
"ORPHA:94089","Pseudohypoparathyroidism type 1B"
"ORPHA:2388","Choreoacanthocytosis"
"ORPHA:2990","Autosomal recessive multiple pterygium syndrome"
"ORPHA:69736","Bilateral acute depigmentation of the iris"
"OMIM:617237","IMMUNODEFICIENCY 49"
"OMIM:611812","46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS"
"OMIM:615561","COMPLEMENT FACTOR B DEFICIENCY"
"OMIM:617022","LETHAL CONGENITAL CONTRACTURE SYNDROME 10"
"ORPHA:2808","Laryngeal abductor paralysis"
"OMIM:164280","FEINGOLD SYNDROME 1"
"OMIM:617047","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 26"
"OMIM:127550","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 1"
"OMIM:608423","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1F"
"OMIM:213300","JOUBERT SYNDROME 1"
"OMIM:224300","DYSOSTEOSCLEROSIS"
"OMIM:608681","SPONDYLOCOSTAL DYSOSTOSIS 2, AUTOSOMAL RECESSIVE"
"ORPHA:96179","Maternal uniparental disomy of chromosome 2"
"OMIM:608751","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 8"
"ORPHA:538","Lymphangioleiomyomatosis"
"OMIM:616894","ROBINOW SYNDROME, AUTOSOMAL DOMINANT 3"
"ORPHA:97229","Riboflavin transporter deficiency"
"OMIM:156810","MICROGASTRIA-LIMB REDUCTION DEFECTS ASSOCIATION"
"OMIM:617402","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC"
"ORPHA:3137","Alpha-N-acetylgalactosaminidase deficiency"
"OMIM:616835","MEIER-GORLIN SYNDROME 6"
"OMIM:242860","IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME1"
"OMIM:220110","MITOCHONDRIAL COMPLEX IV DEFICIENCY"
"OMIM:615751","CARBONIC ANHYDRASE VA DEFICIENCY, HYPERAMMONEMIA DUE TO"
"OMIM:154400","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE"
"OMIM:215520","CILIARY DYSKINESIA DUE TO TRANSPOSITION OF CILIARY MICROTUBULES"
"OMIM:187770","THORACOPELVIC DYSOSTOSIS"
"OMIM:192430","VELOCARDIOFACIAL SYNDROME"
"OMIM:600561","SPONDYLOEPIPHYSEAL DYSPLASIA WITH ATLANTOAXIAL INSTABILITY"
"OMIM:608758","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 10"
"ORPHA:85414","Systemic-onset juvenile idiopathic arthritis"
"ORPHA:503","Autosomal dominant Larsen syndrome"
"OMIM:215140","GREENBERG DYSPLASIA"
"ORPHA:1666","Dextrocardia"
"OMIM:182212","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME"
"OMIM:301830","SPINAL MUSCULAR ATROPHY, X-LINKED 2"
"ORPHA:73224","Tubular renal disease-cardiomyopathy syndrome"
"ORPHA:902","Werner syndrome"
"OMIM:242670","CILIARY DYSKINESIA WITH DEFECTIVE RADIAL SPOKES"
"ORPHA:1208","Pulmonary atresia-intact ventricular septum syndrome"
"OMIM:609524","FILAMINOPATHY, AUTOSOMAL DOMINANT"
"ORPHA:580","Mucopolysaccharidosis type 2"
"OMIM:615966","IMMUNODEFICIENCY 26 WITH OR WITHOUT NEUROLOGIC ABNORMALITIES"
"ORPHA:370924","STT3B-CDG"
"ORPHA:52430","Inclusion body myopathy with Paget disease of bone and frontotemporal dementia"
"OMIM:258315","OMODYSPLASIA 1"
"ORPHA:175","Cartilage-hair hypoplasia"
"ORPHA:77261","Gaucher disease type 3"
"OMIM:253290","MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE"
"ORPHA:1839","Hereditary mucoepithelial dysplasia"
"ORPHA:52417","MALT lymphoma"
"ORPHA:955","Acroosteolysis dominant type"
"OMIM:615948","OROFACIODIGITAL SYNDROME XIV"
"OMIM:158580","NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIA"
"OMIM:300968","MENTAL RETARDATION, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED"
"ORPHA:794","Saethre-Chotzen syndrome"
"OMIM:614080","MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 1"
"OMIM:601809","SPONDYLOSPINAL THORACIC DYSOSTOSIS"
"OMIM:605809","MYASTHENIC SYNDROME, CONGENITAL, 4A, SLOW-CHANNEL"
"OMIM:609981","NATURAL KILLER CELL AND GLUCOCORTICOID DEFICIENCY WITH DNA REPAIR DEFECT"
"OMIM:613807","CILIARY DYSKINESIA, PRIMARY, 14"
"OMIM:612714","EXOCRINE PANCREATIC INSUFFICIENCY, DYSERYTHROPOIETIC ANEMIA, AND CALVARIALHYPEROSTOSIS"
"ORPHA:648","Noonan syndrome"
"ORPHA:1354","Heart defects-limb shortening syndrome"
"OMIM:607641","NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIB"
"OMIM:247410","LYMPHEDEMA-HYPOPARATHYROIDISM SYNDROME"
"ORPHA:324","Fabry disease"
"OMIM:207410","ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS"
"OMIM:225410","EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL RECESSIVE"
"ORPHA:2156","Hirsutism-skeletal dysplasia-intellectual disability syndrome"
"ORPHA:678","Papillon-Lefèvre syndrome"
"ORPHA:254504","Inhalational botulism"
"ORPHA:99828","Dengue fever"
"ORPHA:2591","Infantile myofibromatosis"
"ORPHA:809","Mixed connective tissue disease"
"ORPHA:487","Krabbe disease"
"ORPHA:354","GM1 gangliosidosis"
"OMIM:201750","ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS"
"OMIM:151200","CHROMOSOME 8q22.1 DUPLICATION SYNDROME"
"OMIM:616843","LYMPHEDEMA, HEREDITARY, III"
"ORPHA:636","Neurofibromatosis type 1"
"ORPHA:99852","Ravine syndrome"
"ORPHA:330021","Mercury poisoning"
"OMIM:617143","MYASTHENIC SYNDROME, CONGENITAL, 20, PRESYNAPTIC"
"OMIM:108145","ARTHROGRYPOSIS, DISTAL, TYPE 5"
"ORPHA:3033","Renal tubular dysgenesis"
"ORPHA:1359","Carney complex"
"OMIM:253300","SPINAL MUSCULAR ATROPHY, TYPE I"
"OMIM:606842","CARDIONEUROMYOPATHY WITH HYALINE MASSES AND NEMALINE RODS"
"OMIM:615518","IMMUNODEFICIENCY 13"
