"Gene","Tissue","Group"
"Cst3","Microglia","Tissue enriched"
"Ctsd","Microglia","Tissue enriched"
"C1qa","Microglia","Tissue enriched"
"Hexb","Microglia","Tissue enriched"
"Ftl1","Microglia","Tissue enriched"
"Fth1","Myelinating Oligodendrocytes","Group enriched"
"Fth1","Endothelial Cells","Group enriched"
"Fth1","Microglia","Group enriched"
"Fth1","Newly Formed Oligodendrocyte","Group enriched"
"Csf1r","Microglia","Tissue enriched"
"Sparc","Endothelial Cells","Group enriched"
"Sparc","Microglia","Group enriched"
"Ccl4","Microglia","Tissue enriched"
"Apoe","Astrocytes","Group enriched"
"Apoe","Microglia","Group enriched"
"Apoe","Oligodendrocyte Precursor Cell","Group enriched"
"Ccl3","Microglia","Tissue enriched"
"Laptm5","Microglia","Tissue enriched"
"Zfp36","Microglia","Tissue enriched"
"Lgmn","Microglia","Tissue enriched"
"C1qb","Microglia","Tissue enriched"
"Cd83","Microglia","Tissue enriched"
"C1qc","Microglia","Tissue enriched"
"Glul","Microglia","Group enriched"
"Glul","Astrocytes","Group enriched"
"Ctss","Microglia","Tissue enriched"
"Tyrobp","Microglia","Tissue enriched"
"Selplg","Microglia","Tissue enriched"
"Dusp1","Microglia","Group enriched"
"Dusp1","Endothelial Cells","Group enriched"
"Dusp1","Astrocytes","Group enriched"
"Atf3","Microglia","Group enriched"
"Atf3","Endothelial Cells","Group enriched"
"Ccrl2","Microglia","Tissue enriched"
"Sgk1","Microglia","Group enriched"
"Sgk1","Endothelial Cells","Group enriched"
"Ctsb","Microglia","Tissue enriched"
"B2m","Microglia","Group enriched"
"B2m","Endothelial Cells","Group enriched"
"Tmem119","Microglia","Tissue enriched"
"Grn","Microglia","Tissue enriched"
"Ctsz","Microglia","Tissue enriched"
"Trem2","Microglia","Tissue enriched"
"Rps5","Endothelial Cells","Group enriched"
"Rps5","Microglia","Group enriched"
"Rps5","Myelinating Oligodendrocytes","Group enriched"
"Rps5","Newly Formed Oligodendrocyte","Group enriched"
"Rps5","Oligodendrocyte Precursor Cell","Group enriched"
"Rps5","Neuron","Group enriched"
"Hspa1a","Microglia","Group enriched"
"Hspa1a","Endothelial Cells","Group enriched"
"Gdf15","Microglia","Tissue enriched"
"Fcrls","Microglia","Tissue enriched"
"Nfkbia","Microglia","Group enriched"
"Nfkbia","Endothelial Cells","Group enriched"
"Id2","Microglia","Group enriched"
"Id2","Astrocytes","Group enriched"
"Trf","Myelinating Oligodendrocytes","Group enriched"
"Trf","Microglia","Group enriched"
"Trf","Newly Formed Oligodendrocyte","Group enriched"
"Rcan1","Microglia","Tissue enriched"
"Crybb1","Microglia","Tissue enriched"
"Hspa1b","Microglia","Group enriched"
"Hspa1b","Endothelial Cells","Group enriched"
"Gm13889","Microglia","Tissue enriched"
"Marcksl1","Microglia","Group enriched"
"Marcksl1","Myelinating Oligodendrocytes","Group enriched"
"Marcksl1","Newly Formed Oligodendrocyte","Group enriched"
"Marcksl1","Neuron","Group enriched"
"Marcksl1","Oligodendrocyte Precursor Cell","Group enriched"
"Itgb5","Microglia","Tissue enriched"
"Sepp1","Endothelial Cells","Group enriched"
"Sepp1","Microglia","Group enriched"
"Sirpa","Microglia","Tissue enriched"
"Rps3","Microglia","Group enriched"
"Rps3","Endothelial Cells","Group enriched"
"Rps3","Myelinating Oligodendrocytes","Group enriched"
"Rps3","Newly Formed Oligodendrocyte","Group enriched"
"Rps3","Oligodendrocyte Precursor Cell","Group enriched"
"Rps3","Neuron","Group enriched"
"Olfml3","Microglia","Tissue enriched"
"Ier2","Microglia","Group enriched"
"Ier2","Endothelial Cells","Group enriched"
"Ier2","Astrocytes","Group enriched"
"Fcer1g","Microglia","Tissue enriched"
"4632428N05Rik","Microglia","Tissue enriched"
"Pld4","Microglia","Tissue enriched"
"Hexa","Microglia","Tissue enriched"
"Ubb","Endothelial Cells","Group enriched"
"Ubb","Microglia","Group enriched"
"Ubb","Neuron","Group enriched"
"Ubb","Oligodendrocyte Precursor Cell","Group enriched"
"Ubb","Newly Formed Oligodendrocyte","Group enriched"
"Ubb","Myelinating Oligodendrocytes","Group enriched"
"Unc93b1","Microglia","Tissue enriched"
"Cd68","Microglia","Tissue enriched"
"Bcl2a1b","Microglia","Tissue enriched"
"Cd14","Microglia","Tissue enriched"
"Cotl1","Microglia","Tissue enriched"
"Tnf","Microglia","Tissue enriched"
"Icam1","Microglia","Group enriched"
"Icam1","Endothelial Cells","Group enriched"
"Ctsa","Microglia","Tissue enriched"
"Ier5","Microglia","Tissue enriched"
"Ier3","Microglia","Group enriched"
"Ier3","Endothelial Cells","Group enriched"
"Arsb","Microglia","Group enriched"
"Arsb","Newly Formed Oligodendrocyte","Group enriched"
"Arsb","Oligodendrocyte Precursor Cell","Group enriched"
"Lag3","Microglia","Tissue enriched"
"Cx3cr1","Microglia","Tissue enriched"
"Cyba","Microglia","Group enriched"
"Cyba","Endothelial Cells","Group enriched"
"Socs3","Microglia","Group enriched"
"Socs3","Astrocytes","Group enriched"
"Mpeg1","Microglia","Tissue enriched"
"Gpx1","Microglia","Group enriched"
"Gpx1","Endothelial Cells","Group enriched"
"Ly6e","Microglia","Group enriched"
"Ly6e","Endothelial Cells","Group enriched"
"Sat1","Microglia","Group enriched"
"Sat1","Endothelial Cells","Group enriched"
"Sat1","Astrocytes","Group enriched"
"Hspa5","Astrocytes","Group enriched"
"Hspa5","Microglia","Group enriched"
"Hspa5","Oligodendrocyte Precursor Cell","Group enriched"
"Hspa5","Endothelial Cells","Group enriched"
"Hspa5","Newly Formed Oligodendrocyte","Group enriched"
"Hspa5","Neuron","Group enriched"
"Efhd2","Microglia","Tissue enriched"
"Fscn1","Microglia","Group enriched"
"Fscn1","Newly Formed Oligodendrocyte","Group enriched"
"Fscn1","Endothelial Cells","Group enriched"
"Fscn1","Neuron","Group enriched"
"Fscn1","Oligodendrocyte Precursor Cell","Group enriched"
"Fscn1","Myelinating Oligodendrocytes","Group enriched"
"Gpr56","Microglia","Group enriched"
"Gpr56","Astrocytes","Group enriched"
"Gpr56","Oligodendrocyte Precursor Cell","Group enriched"
"Klf2","Microglia","Group enriched"
"Klf2","Endothelial Cells","Group enriched"
"Klf2","Astrocytes","Group enriched"
"Rgs10","Microglia","Tissue enriched"
"Pla2g15","Microglia","Tissue enriched"
"Pmp22","Microglia","Tissue enriched"
"Gadd45b","Microglia","Tissue enriched"
"Sfpi1","Microglia","Tissue enriched"
"Ncf1","Microglia","Tissue enriched"
"Ltc4s","Microglia","Tissue enriched"
"Gm5148","Microglia","Group enriched"
"Gm5148","Endothelial Cells","Group enriched"
"Gm5148","Oligodendrocyte Precursor Cell","Group enriched"
"Gm5148","Myelinating Oligodendrocytes","Group enriched"
"Gm5148","Newly Formed Oligodendrocyte","Group enriched"
"Gm5148","Neuron","Group enriched"
"Tcn2","Microglia","Group enriched"
"Tcn2","Endothelial Cells","Group enriched"
"Slc15a3","Microglia","Tissue enriched"
"Ppp1r15a","Microglia","Group enriched"
"Ppp1r15a","Endothelial Cells","Group enriched"
"Ppp1r15a","Astrocytes","Group enriched"
"Coro1a","Microglia","Tissue enriched"
"Rps15","Endothelial Cells","Group enriched"
