,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,CAMP,"CAP18, FALL-39, FALL39, LL37",ENSG00000164047,Cathelicidin antimicrobial peptide,3,48223347-48225491,Predicted secreted proteins,Evidence at protein level,"CAB015949, CAB016522, HPA029874",Enhanced,,,,Cervical cancer:5.73e-4 (favourable),Tissue enhanced,Group enriched,101,bone marrow: 1341.0;epididymis: 330.5,lymph node: 8.2,Group enriched,12.0,Daudi: 18.4;hTCEpi: 12.5;U-698: 50.9
1,IFIT1B,"bA149I23.6, IFIT1L",ENSG00000204010,Interferon induced protein with tetratricopeptide repeats 1B,10,89378056-89385205,Predicted intracellular proteins,Evidence at protein level,HPA062924,Approved,,,,,Not detected,Group enriched,97,bone marrow: 15.3;placenta: 4.1,all non-specific tissues: 0.0,Not detected,,
2,HBA1,HBA-T3,ENSG00000206172,Hemoglobin subunit alpha 1,16,176680-177522,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB032534, HPA043780",Enhanced,,,,,Tissue enhanced,Group enriched,34,bone marrow: 17119.3;placenta: 3433.6,spleen: 303.5,Group enriched,51.0,HEL: 3255.0;K-562: 2173.8
3,CA1,Car1,ENSG00000133742,Carbonic anhydrase 1,8,85327608-85379014,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA006558, CAB025790",Enhanced,,,,,Group enriched,Group enriched,30,bone marrow: 1216.6;colon: 1022.8;rectum: 2316.0,smooth muscle: 49.9,Cell line enriched,1560.0,HEL: 1145.7
4,HBA2,HBA-T2,ENSG00000188536,Hemoglobin subunit alpha 2,16,172847-173710,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB038417, HPA043780",Enhanced,,,,,Expressed in all,Group enriched,27,bone marrow: 18369.0;placenta: 4302.7,spleen: 427.2,Group enriched,18.0,HEL: 802.0;K-562: 265.1
5,IGLL1,"14.1, CD179B, IGL5, IGLL, IGVPB",ENSG00000128322,Immunoglobulin lambda like polypeptide 1,22,23573125-23580308,"CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA051134, HPA071406",Enhanced,,Approved,Endoplasmic reticulum,,Tissue enhanced,Group enriched,18,bone marrow: 44.2;testis: 15.8,tonsil: 1.6,Cell line enriched,39.0,REH: 687.9
6,CD177,"HNA2A, NB1, PRV1",ENSG00000204936,CD177 molecule,19,43353659-43363172,Predicted secreted proteins,Evidence at protein level,"HPA041820, HPA046601",Enhanced,,,,Cervical cancer:3.66e-4 (favourable),Tissue enhanced,Group enriched,16,bone marrow: 193.1;colon: 155.7;prostate: 105.4;rectum: 181.9,appendix: 9.7,Cell line enriched,23.0,RPMI-8226: 65.6
7,FAM129C,"BCNP1, FLJ39802",ENSG00000167483,Family with sequence similarity 129 member C,19,17523301-17553839,Predicted intracellular proteins,Evidence at protein level,HPA043277,Approved,,,,,Mixed,Group enriched,15,appendix: 13.9;bone marrow: 11.3;lymph node: 28.2;spleen: 36.9;tonsil: 9.4,gallbladder: 1.3,Group enriched,20.0,Daudi: 35.8;REH: 23.1;U-698: 21.5
8,CHIT1,"CHI3, CHIT",ENSG00000133063,Chitinase 1,1,203212827-203273641,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA010575,Approved,,,,Cervical cancer:2.02e-4 (favourable),Tissue enhanced,Group enriched,14,"bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0","prostate,thyroid gland: 1.8",Not detected,,
9,HEMGN,"CT155, EDAG, NDR",ENSG00000136929,Hemogen,9,97926791-97944856,Predicted intracellular proteins,Evidence at protein level,"HPA019572, HPA019604, HPA019606",Enhanced,,,,,Not detected,Group enriched,14,bone marrow: 141.7;testis: 88.2,placenta: 8.1,Group enriched,7.0,HEL: 54.8;K-562: 247.2
10,NME8,"CILD6, NM23-H8, SPTRX2, TXNDC3",ENSG00000086288,NME/NM23 family member 8,7,37848597-37900401,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB016416, HPA019259",Supported,,,,,Mixed,Group enriched,14,bone marrow: 8.2;testis: 18.4,"appendix,spleen: 0.9",Cell line enhanced,,HMC-1: 1.1;NB-4: 1.2;NTERA-2: 1.7;THP-1: 1.1;U-937: 4.1
11,HBZ,"HBZ-T1, HBZ1",ENSG00000130656,Hemoglobin subunit zeta,16,152687-154503,Predicted intracellular proteins,Evidence at protein level,HPA071726,Approved,,,,,Not detected,Group enriched,12,bone marrow: 2.3;placenta: 1.0;testis: 3.9,skin: 0.2,Cell line enriched,80.0,K-562: 2107.5
12,PRRT4,,ENSG00000224940,Proline rich transmembrane protein 4,7,128350325-128361685,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA046373, HPA052681",Uncertain,,Approved,Nucleoplasm<br>Peroxisomes<br>Plasma membrane,,Mixed,Group enriched,12,adipose tissue: 15.7;bone marrow: 41.2,cerebral cortex: 2.2,Cell line enriched,8.0,SH-SY5Y: 239.1
13,ADD2,ADDB,ENSG00000075340,Adducin 2,2,70607618-70768225,Predicted intracellular proteins,Evidence at protein level,"CAB009796, HPA034509, HPA034510",Enhanced,,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,,Tissue enhanced,Group enriched,10,bone marrow: 40.2;cerebral cortex: 44.7,testis: 4.2,Cell line enhanced,,K-562: 41.5;NTERA-2: 86.7;SCLC-21H: 50.4;U-251 MG: 38.9
14,MCEMP1,"C19orf59, MGC132456",ENSG00000183019,Mast cell expressed membrane protein 1,19,7676628-7679826,Predicted membrane proteins,Evidence at protein level,HPA014731,Enhanced,,,,,Mixed,Group enriched,9,appendix: 27.9;bone marrow: 43.9;lung: 110.4,smooth muscle: 7.0,Group enriched,5.0,THP-1: 36.2;U-937: 130.3
15,S100A8,"60B8AG, CAGA, CFAG, CGLA, MRP8, P8",ENSG00000143546,S100 calcium binding protein A8,1,153390032-153391188,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002791, HPA024372",Enhanced,,Supported,Intermediate filaments,Renal cancer:8.94e-7 (unfavourable),Expressed in all,Group enriched,9,bone marrow: 14915.7;esophagus: 12755.4;tonsil: 4867.3,appendix: 1232.5,Group enriched,28.0,hTCEpi: 103.6;SK-BR-3: 396.8;THP-1: 195.3
16,CCL3L3,"CCL3L1, D17S1718, G0S19-2, LD78BETA, MGC12815, SCYA3L, SCYA3L1",ENSG00000276085,C-C motif chemokine ligand 3 like 3,17,36194869-36196758,Predicted secreted proteins,Evidence at protein level,,,,,,,Expressed in all,Group enriched,8,bone marrow: 7.4;gallbladder: 1.5,"lymph node,urinary bladder: 0.5",Group enriched,33.0,U-266/70: 37.7;U-266/84: 73.6
17,CCL7,"FIC, MARC, MCP-3, MCP3, NC28, SCYA6, SCYA7",ENSG00000108688,C-C motif chemokine ligand 7,17,34270221-34272242,"Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Mixed,Group enriched,8,appendix: 3.6;bone marrow: 15.2,"gallbladder,rectum: 1.1",Cell line enhanced,,BJ hTERT+: 9.3;BJ hTERT+ SV40 Large T+: 2.2;BJ hTERT+ SV40 Large T+ RasG12V: 2.8;HSkMC: 2.4
18,DPPA4,FLJ10713,ENSG00000121570,Developmental pluripotency associated 4,3,109326141-109337572,Predicted intracellular proteins,Evidence at protein level,"CAB020678, HPA035249, HPA035250",Enhanced,,Supported,Nucleus<br>Nucleoli,,Tissue enriched,Group enriched,8,bone marrow: 2.8;placenta: 3.0;testis: 7.7,"lung,lymph node: 0.5",Cell line enhanced,,AF22: 42.6;HAP1: 92.5;NTERA-2: 327.0
