,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PRAC1,"C17orf92, PRAC",ENSG00000159182,Prostate cancer susceptibility candidate 1,17,48721719-48722522,Predicted intracellular proteins,Evidence at transcript level,HPA047871,Approved,,,,,Tissue enriched,Group enriched,38,colon: 102.9;prostate: 171.7;rectum: 220.8,urinary bladder: 4.3,Cell line enriched,32.0,PC-3: 343.9
1,POTEH,"A26C3, ACTBL1, CT104.7, POTE22",ENSG00000198062,POTE ankyrin domain family member H,22,15690026-15721631,Predicted intracellular proteins,Evidence at transcript level,HPA042822,Uncertain,,,,,Tissue enriched,Group enriched,36,prostate: 5.7;testis: 1.4,all non-specific tissues: 0.0,Cell line enhanced,,U-2 OS: 1.1
2,PLA2G4D,cPLA2delta,ENSG00000159337,Phospholipase A2 group IVD,15,42067009-42094554,"Enzymes, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,,,,,,,Mixed,Group enriched,29,prostate: 34.2;skin: 16.5,esophagus: 0.8,Cell line enriched,30.0,RPMI-8226: 12.2
3,CEACAM20,UNQ9366,ENSG00000273777,Carcinoembryonic antigen related cell adhesion molecule 20,19,44501677-44529788,Predicted membrane proteins,Evidence at transcript level,,,,,,,Group enriched,Group enriched,23,duodenum: 38.8;prostate: 14.3;small intestine: 42.7,gallbladder: 1.3,Cell line enriched,7.0,U-266/70: 1.0
4,CDH10,,ENSG00000040731,Cadherin 10,5,24487100-24644978,Predicted membrane proteins,Evidence at protein level,HPA010651,Approved,,,,,Group enriched,Group enriched,20,cerebral cortex: 32.6;prostate: 7.5,adrenal gland: 1.0,Cell line enhanced,,AF22: 7.0;HAP1: 4.8;U-138 MG: 1.5
5,SOX14,SOX28,ENSG00000168875,SRY-box 14,3,137764284-137766338,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,19,placenta: 2.4;prostate: 1.2,all non-specific tissues: 0.0,Not detected,,
6,NPY,PYY4,ENSG00000122585,Neuropeptide Y,7,24284163-24291865,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB016733, CAB034368, HPA036636, HPA044572, HPA056798",Supported,Supported,Enhanced,Golgi apparatus,Endometrial cancer:5.78e-4 (unfavourable),Tissue enriched,Group enriched,18,adrenal gland: 153.2;cerebral cortex: 211.6;prostate: 495.0,appendix: 16.1,Cell line enriched,39.0,SH-SY5Y: 696.9
7,CD177,"HNA2A, NB1, PRV1",ENSG00000204936,CD177 molecule,19,43353659-43363172,Predicted secreted proteins,Evidence at protein level,"HPA041820, HPA046601",Enhanced,,,,Cervical cancer:3.66e-4 (favourable),Tissue enhanced,Group enriched,16,bone marrow: 193.1;colon: 155.7;prostate: 105.4;rectum: 181.9,appendix: 9.7,Cell line enriched,23.0,RPMI-8226: 65.6
8,POTEI,POTE2beta,ENSG00000196834,POTE ankyrin domain family member I,2,130459455-130509666,Predicted intracellular proteins,Evidence at protein level,"HPA041264, HPA041271, HPA042822, HPA043260",Uncertain,,,,,Not detected,Group enriched,16,prostate: 17.4;testis: 10.3,breast: 0.8,Cell line enhanced,,AN3-CA: 2.5;BEWO: 3.2;K-562: 3.0;U-2 OS: 7.5
9,RPS4Y2,RPS4Y2P,ENSG00000280969,"Ribosomal protein S4, Y-linked 2",Y,20756164-20781032,"Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,HPA000857,Uncertain,,,,,Tissue enriched,Group enriched,13,prostate: 3.5;testis: 2.2,tonsil: 0.2,Cell line enriched,7.0,U-266/84: 1.3
10,CNTNAP2,"Caspr2, KIAA0868, NRXN4",ENSG00000174469,Contactin associated protein-like 2,7,146116002-148420998,"Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA002739,Enhanced,,,,,Tissue enhanced,Group enriched,11,cerebral cortex: 17.9;prostate: 6.0,fallopian tube: 1.0,Cell line enhanced,,AF22: 7.9;CACO-2: 5.7;NTERA-2: 11.9;SCLC-21H: 28.5
11,SLC39A2,ZIP2,ENSG00000165794,Solute carrier family 39 member 2,14,20999255-21001871,Predicted membrane proteins,Evidence at protein level,HPA030489,Uncertain,,,,,Mixed,Group enriched,11,esophagus: 19.0;prostate: 19.2;seminal vesicle: 46.9;skin: 34.1,breast: 2.6,Cell line enriched,67.0,HaCaT: 20.5
12,SRD5A2,,ENSG00000277893,Steroid 5 alpha-reductase 2,2,31522480-31581067,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Group enriched,Group enriched,11,epididymis: 27.9;fallopian tube: 31.6;liver: 30.6;prostate: 26.6;seminal vesicle: 24.5,testis: 2.5,Cell line enhanced,,RT4: 1.2
13,GNMT,,ENSG00000124713,Glycine N-methyltransferase,6,42960758-42963880,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA027501,Enhanced,,Approved,Cytosol,Liver cancer:1.86e-4 (favourable),Group enriched,Group enriched,9,liver: 155.0;pancreas: 55.8;prostate: 32.7,breast: 9.4,Cell line enhanced,,Hep G2: 5.7;SCLC-21H: 11.3;T-47d: 5.8
14,CHRM1,,ENSG00000168539,Cholinergic receptor muscarinic 1,11,62908679-62921807,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,"HPA014101, CAB022366",Enhanced,,Approved,Nucleus<br>Cytosol,,Tissue enriched,Group enriched,8,cerebral cortex: 39.9;prostate: 42.3;salivary gland: 11.0,adrenal gland: 3.8,Cell line enhanced,,MCF7: 2.7;SK-BR-3: 1.2;T-47d: 1.0
15,CPLX3,CPX-III,ENSG00000213578,Complexin 3,15,74826547-74831802,Predicted intracellular proteins,Evidence at protein level,CAB079003,,Supported,,,,Not detected,Group enriched,8,prostate: 143.7;spleen: 74.6,cerebral cortex: 12.8,Cell line enhanced,,Daudi: 1.6;Karpas-707: 1.4;SCLC-21H: 1.0
16,HOXD13,"HOX4I, SPD",ENSG00000128714,Homeobox D13,2,176092891-176095938,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA064064,,,Supported,Nucleus,Colorectal cancer:6.95e-5 (unfavourable),Mixed,Group enriched,8,"cervix, uterine: 7.9;colon: 4.9;prostate: 16.9;rectum: 9.5;seminal vesicle: 24.5",urinary bladder: 1.5,Cell line enhanced,,HAP1: 20.6;HEK93: 52.3;HL-60: 52.4;NB-4: 24.7;SCLC-21H: 19.3
17,PSCA,,ENSG00000167653,Prostate stem cell antigen,8,142670308-142682724,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA030783, HPA056418",Approved,,Supported,Plasma membrane,Pancreatic cancer:5.60e-5 (unfavourable),Tissue enriched,Group enriched,8,prostate: 344.6;stomach: 1648.5;urinary bladder: 343.4,esophagus: 101.7,Cell line enhanced,,CAPAN-2: 18.6;HeLa: 27.5;RT4: 47.1
18,SYT16,"CHR14SYT, Strep14, SYT14L, yt14r",ENSG00000139973,Synaptotagmin 16,14,61811974-62112550,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA004199, HPA076871",Uncertain,,Approved,Cytosol,,Mixed,Group enriched,8,cerebral cortex: 18.0;prostate: 3.6;testis: 6.9,stomach: 1.2,Cell line enhanced,,A-431: 9.4;PC-3: 5.0;RPTEC TERT1: 4.7;RT4: 13.5;U-2 OS: 6.9
