,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,UMOD,,ENSG00000169344,Uromodulin,16,20333052-20356301,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB009446, HPA043420, HPA054721",Enhanced,,,,,Tissue enriched,Tissue enriched,726,kidney: 2392.4,cerebral cortex: 3.2,Not detected,,
1,TMEM174,"FLJ31268, MGC13034",ENSG00000164325,Transmembrane protein 174,5,73173195-73175143,Predicted membrane proteins,Evidence at protein level,HPA037975,Enhanced,,,,Renal cancer:3.30e-6 (favourable),Tissue enriched,Tissue enriched,685,kidney: 159.4,thyroid gland: 0.2,Not detected,,
2,SLC12A1,NKCC2,ENSG00000074803,Solute carrier family 12 member 1,15,48191664-48304078,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA014967, HPA018107",Enhanced,,Approved,Nucleus<br>Vesicles,,Tissue enhanced,Tissue enriched,477,kidney: 780.2,testis: 1.6,Cell line enriched,19.0,RPTEC TERT1: 19.2
3,SLC22A8,OAT3,ENSG00000149452,Solute carrier family 22 member 8,11,62989154-63015839,"FDA approved drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA044174,Enhanced,,,,,Tissue enhanced,Tissue enriched,395,kidney: 339.8,cerebral cortex: 0.8,Not detected,,
4,SLC22A12,"OAT4L, RST, URAT1",ENSG00000197891,Solute carrier family 22 member 12,11,64590641-64602353,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA024575,Enhanced,,,,Renal cancer:2.63e-4 (favourable),Group enriched,Tissue enriched,198,kidney: 105.0,adipose tissue: 0.5,Not detected,,
5,SLC7A13,"AGT-1, XAT2",ENSG00000164893,Solute carrier family 7 member 13,8,86214052-86321146,"Predicted membrane proteins, Transporters",Evidence at transcript level,,,,,,,Not detected,Tissue enriched,170,kidney: 42.9,"breast,testis: 0.2",Not detected,,
6,SLC34A1,"NAPI-3, NPT2, NPTIIa, SLC11, SLC17A2",ENSG00000131183,Solute carrier family 34 member 1,5,177379235-177398848,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA051255,Approved,,Supported,Nuclear speckles<br>Plasma membrane<br>Mitotic spindle,,Tissue enriched,Tissue enriched,164,kidney: 161.7,liver: 0.9,Group enriched,12.0,HEL: 2.1;U-937: 1.2
7,KCNJ1,"Kir1.1, ROMK1",ENSG00000151704,Potassium voltage-gated channel subfamily J member 1,11,128836315-128867373,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,HPA026962,Enhanced,,,,,Tissue enriched,Tissue enriched,117,kidney: 210.8,epididymis: 1.7,Cell line enriched,42.0,RPTEC TERT1: 87.0
8,SLC12A3,NCCT,ENSG00000070915,Solute carrier family 12 member 3,16,56865207-56915850,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA028748,Enhanced,,,,,Tissue enhanced,Tissue enriched,109,kidney: 109.8,lymph node: 1.0,Group enriched,11.0,BEWO: 7.0;HAP1: 4.1;HeLa: 5.5
9,NPHS2,"PDCN, SRN1",ENSG00000116218,"NPHS2, podocin",1,179550539-179575952,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB037267, HPA049486",Enhanced,,,,,Not detected,Tissue enriched,87,kidney: 93.6,testis: 1.0,Cell line enriched,12.0,NTERA-2: 1.1
