,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AQP8,,ENSG00000103375,Aquaporin 8,16,25215731-25228940,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA046259,Enhanced,,,,,Group enriched,Group enriched,129,colon: 321.2;pancreas: 269.5;rectum: 166.5,smooth muscle: 1.9,Not detected,,
1,KLK1,Klk6,ENSG00000167748,Kallikrein 1,19,50819148-50823787,"Enzymes, Predicted secreted proteins",Evidence at protein level,,,,,,,Group enriched,Group enriched,36,pancreas: 1994.7;salivary gland: 2549.9,colon: 63.5,Cell line enriched,18.0,RPMI-8226: 26.9
2,CCKBR,,ENSG00000110148,Cholecystokinin B receptor,11,6259736-6272127,"Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,13,cerebral cortex: 13.6;pancreas: 5.4;stomach: 16.4,prostate: 0.9,Cell line enriched,8.0,NTERA-2: 69.8
3,SLC39A5,,ENSG00000139540,Solute carrier family 39 member 5,12,56230049-56237846,"Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA018423,,,Approved,Nucleoplasm<br>Vesicles<br>Cytosol,Renal cancer:5.05e-4 (favourable),Tissue enhanced,Group enriched,12,colon: 73.2;duodenum: 240.2;kidney: 115.0;liver: 86.0;pancreas: 53.1;rectum: 48.9;small intestine: 240.4,gallbladder: 10.0,Group enriched,62.0,CACO-2: 33.1;Hep G2: 39.7
4,ERP27,"C12orf46, ERp27, FLJ32115, PDIA8",ENSG00000139055,Endoplasmic reticulum protein 27,12,14914035-14939082,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA039636, HPA052851",Enhanced,,,,,Expressed in all,Group enriched,10,fallopian tube: 104.4;pancreas: 282.3,kidney: 20.0,Cell line enhanced,,CAPAN-2: 16.3;RT4: 74.3
5,TEX11,"TGC1, TSGA3",ENSG00000120498,Testis expressed 11,X,70528940-70908731,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA002950,Approved,,,,,Tissue enhanced,Group enriched,10,pancreas: 12.3;testis: 21.1,rectum: 1.7,Not detected,,
6,GNMT,,ENSG00000124713,Glycine N-methyltransferase,6,42960758-42963880,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA027501,Enhanced,,Approved,Cytosol,Liver cancer:1.86e-4 (favourable),Group enriched,Group enriched,9,liver: 155.0;pancreas: 55.8;prostate: 32.7,breast: 9.4,Cell line enhanced,,Hep G2: 5.7;SCLC-21H: 11.3;T-47d: 5.8
7,REG1A,"PSP, PSPS, PSPS1, PTP, REG",ENSG00000115386,Regenerating family member 1 alpha,2,79120362-79123419,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB025138, HPA045549, HPA045579",Enhanced,,,,,Group enriched,Group enriched,9,duodenum: 7122.5;pancreas: 10867.0;small intestine: 4615.5,stomach: 847.5,Cell line enhanced,,BEWO: 11.1;EFO-21: 16.2;HDLM-2: 13.2;RPMI-8226: 20.2;SH-SY5Y: 12.6;U-2 OS: 28.7
8,FAM159B,,ENSG00000145642,Family with sequence similarity 159 member B,5,64690308-64718090,Predicted membrane proteins,Evidence at protein level,HPA011778,Enhanced,,,,,Tissue enriched,Group enriched,8,pancreas: 1.0;stomach: 3.4,"cerebral cortex,duodenum: 0.2",Group enriched,17.0,NTERA-2: 3.5;RPTEC TERT1: 5.5;SCLC-21H: 1.5
9,BHLHA15,"bHLHa15, BHLHB8, MIST1",ENSG00000180535,Basic helix-loop-helix family member a15,7,98211427-98212979,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB034083, HPA047834",Enhanced,,Approved,Nucleoplasm<br>Golgi apparatus,,Tissue enhanced,Group enriched,7,pancreas: 85.5;salivary gland: 54.0,prostate: 9.3,Group enriched,8.0,Karpas-707: 27.3;RPMI-8226: 50.7;U-266/70: 63.7
10,COCH,"COCH-5B2, DFNA31, DFNA9",ENSG00000100473,Cochlin,14,30874514-30895065,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA065086,,,Approved,Vesicles,,Mixed,Group enriched,6,pancreas: 94.8;prostate: 79.0;seminal vesicle: 99.1,"cervix, uterine: 15.4",Cell line enhanced,,HEK93: 92.9;K-562: 114.9;NB-4: 71.8;SCLC-21H: 130.1
11,GATM,AGAT,ENSG00000171766,Glycine amidinotransferase,15,45361124-45402327,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA026077,Enhanced,,Supported,Mitochondria,Renal cancer:1.38e-4 (favourable),Expressed in all,Group enriched,6,kidney: 1904.2;liver: 1291.1;pancreas: 573.9,ovary: 195.7,Cell line enhanced,,RH-30: 190.4;U-266/70: 92.4;U-266/84: 115.1
12,GPHA2,"A2, GPA2, MGC126572, ZSIG51",ENSG00000149735,Glycoprotein hormone alpha 2,11,64934471-64935888,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enriched,Group enriched,6,gallbladder: 26.3;pancreas: 76.9,testis: 7.9,Cell line enriched,6.0,Hep G2: 14.4
13,ONECUT1,"HNF-6, HNF6, HNF6A",ENSG00000169856,One cut homeobox 1,15,52756989-52791078,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA003457,Enhanced,,,,,Group enriched,Group enriched,6,gallbladder: 8.4;liver: 5.9;pancreas: 2.3;testis: 1.8,bone marrow: 0.7,Cell line enhanced,,MCF7: 1.7;WM-115: 1.5
14,FOXA3,HNF3G,ENSG00000170608,Forkhead box A3,19,45863989-45873797,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB015154, HPA054034",Uncertain,,Approved,Nucleoplasm,,Mixed,Group enriched,5,colon: 16.7;duodenum: 10.3;liver: 32.5;pancreas: 9.8;rectum: 17.9;small intestine: 13.9;stomach: 33.8,gallbladder: 3.6,Cell line enhanced,,CACO-2: 8.4;HDLM-2: 11.2;Hep G2: 18.9;K-562: 20.1;NTERA-2: 10.8
15,IL22RA1,"CRF2-9, IL22R",ENSG00000142677,Interleukin 22 receptor subunit alpha 1,1,24119771-24143121,Predicted membrane proteins,Evidence at protein level,,,,,,,Mixed,Group enriched,5,colon: 11.3;duodenum: 20.2;esophagus: 10.1;pancreas: 26.1;rectum: 10.9;skin: 38.7;small intestine: 31.3,gallbladder: 4.0,Cell line enhanced,,CACO-2: 9.3;HaCaT: 4.5;Hep G2: 5.5
