,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AMY1C,AMY1,ENSG00000187733,"Amylase, alpha 1C (salivary)",1,103750406-103758690,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA045394, HPA045399, HPA046980",Supported,,,,,Not detected,Tissue enhanced,,"cervix, uterine: 33.0;salivary gland: 101.8",pancreas: 26.4,Not detected,,
1,APCDD1L,FLJ90166,ENSG00000198768,APC down-regulated 1 like,20,58459101-58515131,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA067015,Uncertain,,Uncertain,Mitochondria,,Mixed,Tissue enhanced,,breast: 6.5;salivary gland: 11.6,kidney: 2.9,Cell line enhanced,,fHDF/TERT166: 88.4;hTEC/SVTERT24-B: 39.4;HUVEC TERT2: 33.7;TIME: 65.0;U-87 MG: 47.5
2,AZGP1,"ZA2G, ZAG",ENSG00000160862,"Alpha-2-glycoprotein 1, zinc-binding",7,99966720-99976157,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA012582, CAB016087, CAB032276",Enhanced,,,,"Renal cancer:1.53e-4 (favourable), Liver cancer:2.90e-4 (favourable)",Group enriched,Tissue enhanced,,breast: 1201.5;liver: 1272.1;prostate: 1490.2;salivary gland: 1423.5,kidney: 294.4,Cell line enhanced,,Hep G2: 33.7;RPMI-8226: 79.5;T-47d: 35.0
3,BARX2,,ENSG00000043039,BARX homeobox 2,11,129375940-129452279,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB033311, HPA068414",Enhanced,,Supported,Nucleoplasm<br>Cytosol,Urothelial cancer:3.06e-4 (unfavourable),Mixed,Tissue enhanced,,esophagus: 103.8;salivary gland: 60.3,fallopian tube: 28.0,Cell line enriched,5.0,HDLM-2: 158.6
4,C5orf38,"CEI, IRX2NB",ENSG00000186493,Chromosome 5 open reading frame 38,5,2752131-2755397,Predicted intracellular proteins,Evidence at protein level,HPA073667,,,Enhanced,Golgi apparatus<br>Vesicles,,Mixed,Tissue enhanced,,lung: 13.7;salivary gland: 13.0,skin: 8.5,Cell line enhanced,,BEWO: 79.2;hTCEpi: 32.4;SiHa: 37.3
5,CCDC129,FLJ38344,ENSG00000180347,Coiled-coil domain containing 129,7,31514071-31658720,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA024103,Uncertain,,Uncertain,Nucleoplasm,,Not detected,Tissue enhanced,,"cervix, uterine: 2.6;salivary gland: 2.4",testis: 2.1,Cell line enhanced,,U-2 OS: 1.6
6,CCL28,"CCK1, MEC, SCYA28",ENSG00000151882,C-C motif chemokine ligand 28,5,43376645-43412391,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA077434,Supported,,,,Pancreatic cancer:1.43e-4 (unfavourable),Mixed,Tissue enhanced,,breast: 71.1;salivary gland: 126.0,thyroid gland: 38.0,Cell line enhanced,,EFO-21: 12.1;SiHa: 31.8;SK-MEL-30: 12.9;T-47d: 37.8
7,CNMD,"BRICD3, CHM-I, CHM1, LECT1, MYETS1",ENSG00000136110,Chondromodulin,13,52703264-52739812,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA010510,Uncertain,,,,,Group enriched,Tissue enhanced,,salivary gland: 3.0;testis: 3.5;thyroid gland: 5.8,lung: 2.5,Cell line enriched,125.0,NTERA-2: 47.4
8,CRACR2B,"EFCAB4A, MGC45840",ENSG00000177685,Calcium release activated channel regulator 2B,11,826144-831991,Predicted intracellular proteins,Evidence at protein level,HPA046217,Approved,,,,Colorectal cancer:1.81e-5 (unfavourable),Expressed in all,Tissue enhanced,,salivary gland: 120.0,stomach: 56.6,Cell line enhanced,,HDLM-2: 30.7;SK-BR-3: 92.6
9,CRISP3,"Aeg2, CRISP-3, CRS3, dJ442L6.3, SGP28",ENSG00000096006,Cysteine rich secretory protein 3,6,49727384-49744437,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA054392,Supported,,,,,Group enriched,Tissue enhanced,,fallopian tube: 1885.2;salivary gland: 915.8,esophagus: 288.4,Group enriched,59.0,HEL: 11.2;RT4: 3.3;SK-BR-3: 6.9;T-47d: 4.2
10,CTB-102L5.4,,ENSG00000267748,,19,38289151-38304910,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enhanced,,salivary gland: 5.5,thyroid gland: 2.9,Cell line enhanced,,A-431: 2.2;SK-BR-3: 3.5;U-266/84: 1.9
11,ELF5,,ENSG00000135374,E74 like ETS transcription factor 5,11,34478793-34513805,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA062706,,,Supported,Nucleoplasm,Lung cancer:3.64e-4 (favourable),Tissue enhanced,Tissue enhanced,,breast: 172.6;salivary gland: 64.2,seminal vesicle: 42.2,Group enriched,10.0,RT4: 24.0;T-47d: 53.3
12,FDCSP,"C4orf7, FDC-SP",ENSG00000181617,Follicular dendritic cell secreted protein,4,70226071-70235252,Predicted secreted proteins,Evidence at protein level,"HPA014326, CAB014890",Enhanced,,,,"Lung cancer:1.32e-4 (favourable), Head and neck cancer:2.38e-4 (favourable)",Tissue enhanced,Tissue enhanced,,lymph node: 1014.2;salivary gland: 1371.2;tonsil: 2458.1,appendix: 359.2,Cell line enhanced,,HL-60: 1.0;K-562: 1.0;RH-30: 1.7;U-87 MG: 4.6
13,FOXC1,"ARA, FKHL7, FREAC3, IGDA, IHG1, IRID1",ENSG00000054598,Forkhead box C1,6,1609972-1613897,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA040670,Enhanced,,Supported,Nucleoplasm<br>Cytosol,Colorectal cancer:3.53e-4 (unfavourable),Expressed in all,Tissue enhanced,,salivary gland: 66.2,kidney: 21.8,Cell line enhanced,,AN3-CA: 86.7;HEK93: 85.3
14,GDF5,"BMP14, CDMP1",ENSG00000125965,Growth differentiation factor 5,20,35433347-35454746,"Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA015648,Uncertain,,,,,Tissue enriched,Tissue enhanced,,salivary gland: 4.1,seminal vesicle: 1.7,Cell line enhanced,,ASC TERT1: 12.2;BJ hTERT+: 4.4;HHSteC: 4.8;HSkMC: 10.3;U-87 MG: 6.5
15,IRX1,IRX-5,ENSG00000170549,Iroquois homeobox 1,5,3596054-3601403,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA043160,Uncertain,,Approved,Nucleoplasm<br>Golgi apparatus,,Group enriched,Tissue enhanced,,breast: 7.7;kidney: 5.3;salivary gland: 5.7,lung: 3.6,Cell line enhanced,,AF22: 9.8;REH: 38.0;U-251 MG: 13.8
16,KCNN4,"hIKCa1, hKCa4, hSK4, IK, KCa3.1",ENSG00000104783,Potassium calcium-activated channel subfamily N member 4,19,43766533-43781257,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,"HPA053841, HPA059622",Approved,,,,"Renal cancer:1.05e-14 (unfavourable), Urothelial cancer:1.75e-4 (favourable), Glioma:3.77e-4 (unfavourable), Pancreatic cancer:4.56e-4 (unfavourable)",Expressed in all,Tissue enhanced,,salivary gland: 73.7,stomach: 36.6,Cell line enhanced,,CAPAN-2: 93.3;WM-115: 264.9
17,KLK15,"ACO, HSRNASPH, prostinogen",ENSG00000174562,Kallikrein related peptidase 15,19,50825289-50837213,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA019802,Uncertain,,,,,Tissue enhanced,Tissue enhanced,,colon: 3.2;salivary gland: 2.4,adrenal gland: 1.8,Cell line enriched,5.0,RPMI-8226: 1.7
18,LMX1B,NPS1,ENSG00000136944,LIM homeobox transcription factor 1 beta,9,126614443-126701032,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA073716,,,Approved,Nucleus,,Tissue enriched,Tissue enhanced,,breast: 5.8;salivary gland: 11.2,testis: 2.2,Cell line enhanced,,MCF7: 13.7;T-47d: 10.1
19,LRRTM1,FLJ32082,ENSG00000162951,Leucine rich repeat transmembrane neuronal 1,2,80288351-80304749,"Predicted membrane proteins, Predicted secreted proteins",Evidence at transcript level,HPA062660,Approved,,,,,Group enriched,Tissue enhanced,,cerebral cortex: 13.3;salivary gland: 4.9,thyroid gland: 2.2,Cell line enhanced,,SH-SY5Y: 1.4
20,MELTF,"CD228, FLJ38863, MAP97, MFI2, MGC4856, MTf, MTF1",ENSG00000163975,Melanotransferrin,3,196988621-197029816,"CD markers, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA004880,Approved,,,,Renal cancer:6.99e-11 (unfavourable),Expressed in all,Tissue enhanced,,parathyroid gland: 32.3;salivary gland: 28.2,small intestine: 9.6,Cell line enhanced,,A-431: 140.8;SK-MEL-30: 152.3
21,MRGPRX3,MRGX3,ENSG00000179826,MAS related GPR family member X3,11,18120955-18138480,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,,,,,,,Tissue enhanced,Tissue enhanced,,salivary gland: 1.3,"breast,testis: 0.7",Cell line enriched,7.0,HBEC3-KT: 10.4
