,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABHD16A,"BAT5, D6S82E, NG26",ENSG00000204427,Abhydrolase domain containing 16A,6,31686949-31703444,Predicted membrane proteins,Evidence at protein level,HPA058606,Approved,,,,Endometrial cancer:2.63e-4 (unfavourable),Expressed in all,Tissue enhanced,,gallbladder: 1.7;testis: 1.2;thyroid gland: 1.4,esophagus: 0.9,Not detected,,
1,AC131097.4,,ENSG00000216921,,2,241893985-241902551,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Tissue enhanced,Tissue enhanced,,thyroid gland: 11.5,pancreas: 6.4,Cell line enhanced,,REH: 2.2;SCLC-21H: 1.8
2,ACADL,"ACAD4, LCAD",ENSG00000115361,"Acyl-CoA dehydrogenase, long chain",2,210187939-210225491,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA011990,Enhanced,Supported,,,Renal cancer:1.58e-11 (favourable),Group enriched,Tissue enhanced,,thyroid gland: 32.0,prostate: 27.0,Cell line enhanced,,HAP1: 1.6;HeLa: 2.5;RPTEC TERT1: 2.5;U-2 OS: 1.9
3,ADM2,"AM2, FLJ21135",ENSG00000128165,Adrenomedullin 2,22,50481556-50486440,Predicted secreted proteins,Evidence at transcript level,,,,,,Thyroid cancer:2.72e-4 (unfavourable),Mixed,Tissue enhanced,,thyroid gland: 19.2,kidney: 5.8,Cell line enhanced,,HHSteC: 30.8;Karpas-707: 27.1
4,AFAP1L2,"Em:AC005383.4, FLJ14564, KIAA1914, XB130",ENSG00000169129,Actin filament associated protein 1 like 2,10,114294824-114404756,Predicted intracellular proteins,Evidence at protein level,HPA037843,Approved,,Supported,Plasma membrane<br>Cytosol,"Renal cancer:1.55e-5 (unfavourable), Pancreatic cancer:3.76e-4 (unfavourable)",Expressed in all,Tissue enhanced,,thyroid gland: 138.0,parathyroid gland: 94.7,Cell line enhanced,,A-431: 64.5;CAPAN-2: 68.1;EFO-21: 53.1;HaCaT: 87.3;RPMI-8226: 36.0;RPTEC TERT1: 45.2
5,ALKAL1,"AUGB, FAM150A, UNQ9433",ENSG00000196711,ALK and LTK ligand 1,8,52534037-52565507,Predicted secreted proteins,Evidence at protein level,HPA027368,Uncertain,,,,,Mixed,Tissue enhanced,,gallbladder: 3.5;thyroid gland: 3.6,"cervix, uterine: 1.7",Cell line enhanced,,CAPAN-2: 1.1
6,ARG2,,ENSG00000081181,Arginase 2,14,67619798-67651720,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA000663, CAB009435",Enhanced,,Supported,Mitochondria,,Expressed in all,Tissue enhanced,,parathyroid gland: 94.0;prostate: 161.0;thyroid gland: 157.2,kidney: 63.4,Cell line enhanced,,HAP1: 54.8
7,ATP13A4,"DKFZp761I1011, FLJ37958",ENSG00000127249,ATPase 13A4,3,193402077-193593111,"Disease related genes, Predicted membrane proteins",Evidence at protein level,HPA051932,,,Approved,Nucleoplasm,Head and neck cancer:3.91e-4 (favourable),Tissue enhanced,Tissue enhanced,,epididymis: 87.9;parathyroid gland: 131.5;thyroid gland: 68.5,lung: 53.7,Cell line enriched,7.0,SCLC-21H: 4.6
8,ATP8A1,ATPIA,ENSG00000124406,ATPase phospholipid transporting 8A1,4,42408373-42657105,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA052935,Enhanced,,Supported,Vesicles,Renal cancer:5.54e-10 (favourable),Mixed,Tissue enhanced,,parathyroid gland: 68.8;thyroid gland: 66.6,cerebral cortex: 58.2,Cell line enhanced,,AN3-CA: 25.5;Daudi: 33.1
9,BCL2,"Bcl-2, PPP1R50",ENSG00000171791,"BCL2, apoptosis regulator",18,63123346-63320128,"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB000003, HPA055295",Enhanced,,Supported,Nucleoplasm<br>Nuclear membrane,"Renal cancer:1.29e-8 (favourable), Cervical cancer:5.13e-5 (favourable), Thyroid cancer:2.47e-4 (unfavourable)",Expressed in all,Tissue enhanced,,thyroid gland: 69.3,parathyroid gland: 35.3,Cell line enhanced,,Karpas-707: 59.5;U-266/70: 217.8
10,BHLHE41,"BHLHB3, bHLHe41, DEC2, SHARP-1, SHARP1",ENSG00000123095,Basic helix-loop-helix family member e41,12,26120026-26125127,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA056035,,,Approved,Nucleoplasm,"Renal cancer:8.73e-5 (unfavourable), Urothelial cancer:1.09e-4 (favourable)",Expressed in all,Tissue enhanced,,thyroid gland: 94.5,fallopian tube: 70.9,Cell line enhanced,,RT4: 97.9;U-266/70: 39.0;U-87 MG: 42.7
11,BMP7,OP-1,ENSG00000101144,Bone morphogenetic protein 7,20,57168748-57266629,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA057757,,,Approved,Nucleus<br>Nucleoli<br>Vesicles,Endometrial cancer:2.91e-4 (unfavourable),Mixed,Tissue enhanced,,thyroid gland: 76.7,placenta: 36.8,Cell line enhanced,,Daudi: 124.6;MCF7: 154.9;SK-BR-3: 95.4;U-698: 163.1
12,BMP8B,"BMP8, OP-2",ENSG00000116985,Bone morphogenetic protein 8b,1,39757182-39788861,Predicted secreted proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enhanced,,thyroid gland: 33.5,adrenal gland: 7.5,Cell line enhanced,,THP-1: 80.8;U-266/84: 37.5;WM-115: 56.0
13,C12orf49,FLJ21415,ENSG00000111412,Chromosome 12 open reading frame 49,12,116710185-116738070,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA026905,Uncertain,,,,"Renal cancer:1.91e-11 (favourable), Liver cancer:8.44e-4 (unfavourable)",Expressed in all,Tissue enhanced,,thyroid gland: 62.5,lung: 28.0,Expressed in all,,
14,C16orf89,MGC45438,ENSG00000153446,Chromosome 16 open reading frame 89,16,5044122-5066110,Predicted secreted proteins,Evidence at protein level,"HPA013613, HPA016934",Enhanced,,,,,Group enriched,Tissue enhanced,,lung: 145.4;thyroid gland: 352.5,epididymis: 94.3,Cell line enhanced,,ASC diff: 1.4;Hep G2: 1.7;NTERA-2: 1.5;U-2197: 2.0
15,C1QL4,"C1QTNF11, CTRP11",ENSG00000186897,Complement C1q like 4,12,49332411-49337188,Predicted secreted proteins,Evidence at transcript level,,,,,,Renal cancer:3.03e-5 (unfavourable),Mixed,Tissue enhanced,,testis: 2.1;thyroid gland: 1.2,cerebral cortex: 0.7,Cell line enhanced,,AN3-CA: 32.7;U-2 OS: 9.6
16,C2orf40,"augurin, ECRG4",ENSG00000119147,Chromosome 2 open reading frame 40,2,106063246-106078159,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,HPA008546,Uncertain,,,,Breast cancer:4.58e-4 (favourable),Tissue enriched,Tissue enhanced,,seminal vesicle: 116.4;thyroid gland: 128.1,prostate: 61.6,Not detected,,
17,C9orf92,Em:AL513424.1,ENSG00000205549,Chromosome 9 open reading frame 92,9,16203935-16276313,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,thyroid gland: 1.3,testis: 1.0,Cell line enhanced,,BJ hTERT+: 1.1;U-2197: 1.4
18,CACNA1I,Cav3.3,ENSG00000100346,Calcium voltage-gated channel subunit alpha1 I,22,39570753-39689737,"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 4.7;thyroid gland: 2.7,adrenal gland: 2.3,Cell line enhanced,,SK-BR-3: 1.4;T-47d: 1.0
19,CD24,CD24A,ENSG00000272398,CD24 molecule,6,106969831-106975627,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA045879, CAB078471",,,Supported,Vesicles,"Breast cancer:2.44e-5 (unfavourable), Colorectal cancer:3.29e-4 (favourable), Liver cancer:7.58e-4 (unfavourable)",Expressed in all,Tissue enhanced,,thyroid gland: 2706.1,esophagus: 1402.0,Cell line enhanced,,NTERA-2: 984.0;RPTEC TERT1: 3501.8;SK-BR-3: 1014.5
20,CDON,"CDO, CDON1, ORCAM",ENSG00000064309,"Cell adhesion associated, oncogene regulated",11,125955796-126063335,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB012422, HPA017377",Uncertain,,,,"Renal cancer:1.78e-7 (unfavourable), Breast cancer:1.35e-4 (favourable)",Mixed,Tissue enhanced,,thyroid gland: 75.5,ovary: 53.5,Cell line enhanced,,AF22: 55.0;ASC diff: 47.4;RH-30: 93.1
21,CLIC3,,ENSG00000169583,Chloride intracellular channel 3,9,136994635-136996803,"Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,HPA005963,Enhanced,,Supported,Nuclear bodies,"Renal cancer:1.12e-4 (unfavourable), Urothelial cancer:7.74e-4 (unfavourable)",Tissue enhanced,Tissue enhanced,,esophagus: 86.8;thyroid gland: 85.7,skin: 43.5,Cell line enhanced,,BEWO: 234.7;MCF7: 88.6;T-47d: 100.2;TIME: 70.2
22,CMTM4,CKLFSF4,ENSG00000183723,CKLF like MARVEL transmembrane domain containing 4,16,66614750-66696707,Predicted membrane proteins,Evidence at protein level,"HPA014704, HPA023890",Enhanced,,Approved,Golgi apparatus<br>Vesicles<br>Plasma membrane,Renal cancer:4.72e-9 (favourable),Expressed in all,Tissue enhanced,,thyroid gland: 64.1,parathyroid gland: 47.8,Mixed,,
23,CNMD,"BRICD3, CHM-I, CHM1, LECT1, MYETS1",ENSG00000136110,Chondromodulin,13,52703264-52739812,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA010510,Uncertain,,,,,Group enriched,Tissue enhanced,,salivary gland: 3.0;testis: 3.5;thyroid gland: 5.8,lung: 2.5,Cell line enriched,125.0,NTERA-2: 47.4
24,CNTN5,"hNB-2, NB-2",ENSG00000149972,Contactin 5,11,99020953-100358885,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA039492, HPA041223",Approved,,Supported,Cytosol,,Not detected,Tissue enhanced,,cerebral cortex: 2.6;placenta: 3.4;thyroid gland: 3.0,fallopian tube: 1.8,Not detected,,
25,CNTN6,NB-3,ENSG00000134115,Contactin 6,3,1092576-1404217,Predicted membrane proteins,Evidence at protein level,HPA016645,Uncertain,,,,,Group enriched,Tissue enhanced,,lung: 4.6;thyroid gland: 17.4,cerebral cortex: 4.0,Group enriched,22.0,AF22: 2.0;SH-SY5Y: 2.4
26,COL23A1,DKFZp434K0621,ENSG00000050767,Collagen type XXIII alpha 1 chain,5,178237618-178590555,Predicted intracellular proteins,Evidence at protein level,HPA067824,Uncertain,,,,Endometrial cancer:6.46e-5 (unfavourable),Tissue enhanced,Tissue enhanced,,thyroid gland: 57.8,seminal vesicle: 16.2,Group enriched,8.0,AF22: 5.7;K-562: 10.8;NB-4: 20.8;THP-1: 22.5
27,COL4A3,,ENSG00000169031,Collagen type IV alpha 3 chain,2,227164565-227314792,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA042064,Approved,,Approved,Endoplasmic reticulum<br>Vesicles,Renal cancer:2.51e-7 (favourable),Group enriched,Tissue enhanced,,thyroid gland: 26.8,lung: 22.4,Cell line enhanced,,HeLa: 10.8;Karpas-707: 7.1;RPTEC TERT1: 8.3;U-266/70: 6.7
28,CRABP1,"CRABP, CRABP-I, CRABPI, RBP5",ENSG00000166426,Cellular retinoic acid binding protein 1,15,78340324-78348230,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA017203,Approved,Supported,,,Endometrial cancer:4.72e-4 (unfavourable),Tissue enhanced,Tissue enhanced,,thyroid gland: 269.2,seminal vesicle: 64.5,Group enriched,7.0,AF22: 952.0;NTERA-2: 289.5
