,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,CRP,PTX1,ENSG00000132693,C-reactive protein,1,159712289-159714589,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB005036, HPA027367, HPA027396",Supported,,,,Renal cancer:4.17e-10 (unfavourable),Tissue enriched,Group enriched,67,gallbladder: 172.9;liver: 532.1,endometrium: 5.2,Cell line enhanced,,EFO-21: 5.9;HDLM-2: 5.8;U-2 OS: 4.4;U-266/84: 7.5
1,TM4SF4,il-TMP,ENSG00000169903,Transmembrane 4 L six family member 4,3,149473974-149503281,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA046430,Enhanced,,Approved,Plasma membrane<br>Cytosol,,Group enriched,Group enriched,34,duodenum: 579.6;gallbladder: 1319.6;liver: 346.9;small intestine: 504.0,stomach: 20.2,Group enriched,6.0,A549: 19.4;RPTEC TERT1: 24.4
2,HABP2,"FSAP, HABP, HGFAL, PHBP",ENSG00000148702,Hyaluronan binding protein 2,10,113550837-113589602,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA019518,Approved,,,,,Tissue enriched,Group enriched,12,gallbladder: 55.8;liver: 225.6,stomach: 11.3,Cell line enriched,5.0,RPTEC TERT1: 38.3
3,CYP2C18,"CPCI, CYP2C, CYP2C17, P450IIC17",ENSG00000108242,Cytochrome P450 family 2 subfamily C member 18,10,94683621-94736190,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,11,duodenum: 103.1;esophagus: 24.6;gallbladder: 24.5;liver: 97.8;small intestine: 88.1;stomach: 62.2,tonsil: 6.2,Cell line enhanced,,BEWO: 3.0
4,F5,,ENSG00000198734,Coagulation factor V,1,169514166-169586588,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA002036,Uncertain,,Approved,Golgi apparatus,Stomach cancer:3.39e-4 (unfavourable),Tissue enriched,Group enriched,11,gallbladder: 28.4;liver: 93.7;placenta: 68.2,fallopian tube: 5.9,Cell line enriched,7.0,Hep G2: 22.8
5,MUC5B,"MG1, MUC5",ENSG00000117983,"Mucin 5B, oligomeric mucus/gel-forming",11,1223066-1262172,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA008246, CAB009396",Enhanced,,Supported,Vesicles,,Mixed,Group enriched,11,"cervix, uterine: 350.5;gallbladder: 344.7",colon: 31.8,Cell line enriched,7.0,PC-3: 111.2
6,ABCC2,"CMOAT, cMRP, DJS, MRP2",ENSG00000023839,ATP binding cassette subfamily C member 2,10,99782732-99852192,"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA004860, CAB037271",Enhanced,,,,Renal cancer:1.93e-5 (unfavourable),Tissue enhanced,Group enriched,10,duodenum: 43.5;gallbladder: 42.7;kidney: 20.9;liver: 67.6;small intestine: 49.5,breast: 4.4,Cell line enhanced,,A549: 203.8;Hep G2: 155.8
7,CCKAR,,ENSG00000163394,Cholecystokinin A receptor,4,26481400-26490462,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Group enriched,10,gallbladder: 47.2;stomach: 15.2,tonsil: 3.1,Not detected,,
8,HHLA2,"B7-H5, B7H7, B7y",ENSG00000114455,HERV-H LTR-associating 2,3,108296490-108378285,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA055478,Enhanced,,,,,Group enriched,Group enriched,10,colon: 87.7;duodenum: 87.1;gallbladder: 46.0;rectum: 90.5;small intestine: 143.9,stomach: 9.2,Cell line enhanced,,HDLM-2: 3.7;Karpas-707: 2.0
9,NR1I2,"BXR, ONR1, PAR2, PXR, SXR",ENSG00000144852,Nuclear receptor subfamily 1 group I member 2,3,119780484-119818485,"FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA029309, HPA055121, HPA073926",,,Enhanced,Nucleoplasm,,Group enriched,Group enriched,10,colon: 10.3;duodenum: 27.2;gallbladder: 6.4;liver: 20.0;rectum: 10.7;small intestine: 30.0,stomach: 1.7,Group enriched,7.0,Hep G2: 9.8;RH-30: 3.3
