,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABCA4,"ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1",ENSG00000198691,ATP binding cassette subfamily A member 4,1,93992835-94121132,"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,"Lung cancer:2.45e-4 (favourable), Urothelial cancer:2.72e-4 (unfavourable)",Tissue enhanced,Tissue enhanced,,epididymis: 9.9,kidney: 4.2,Cell line enhanced,,BEWO: 2.8;EFO-21: 6.2;SK-BR-3: 1.9
1,AC011530.4,,ENSG00000268434,,19,45779437-45785973,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,epididymis: 1.0,appendix: 0.9,Not detected,,
2,ADAM28,"ADAM23, eMDCII, MDC-Lm, MDC-Ls",ENSG00000042980,ADAM metallopeptidase domain 28,8,24294040-24359018,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA074034,Enhanced,,Approved,Plasma membrane<br>Mitochondria,Endometrial cancer:3.17e-4 (favourable),Mixed,Tissue enhanced,,epididymis: 435.5,stomach: 104.6,Cell line enriched,10.0,CAPAN-2: 24.6
3,AFF2,"FMR2, FRAXE",ENSG00000155966,AF4/FMR2 family member 2,X,148500619-149000663,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA003139,Approved,,,,,Mixed,Tissue enhanced,,epididymis: 14.5;placenta: 21.1,bone marrow: 8.3,Cell line enhanced,,Daudi: 52.9;HL-60: 25.2;U-698: 74.2;U-937: 18.0
4,AK8,"C9orf98, FLJ32704",ENSG00000165695,Adenylate kinase 8,9,132725578-132878777,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA021443, HPA021445, HPA023894",Enhanced,,,,Renal cancer:1.61e-4 (favourable),Mixed,Tissue enhanced,,epididymis: 16.0;fallopian tube: 30.0;testis: 21.7,thyroid gland: 5.8,Cell line enhanced,,MCF7: 1.8;RPTEC TERT1: 2.0;T-47d: 1.6
5,ALG1L,ALG1L1,ENSG00000189366,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase like",3,125929275-125937039,Predicted intracellular proteins,Evidence at transcript level,HPA036108,Uncertain,,,,"Glioma:1.82e-4 (favourable), Urothelial cancer:6.24e-4 (favourable)",Expressed in all,Tissue enhanced,,epididymis: 13.1;urinary bladder: 14.8,skin: 6.8,Cell line enhanced,,CACO-2: 13.2;CAPAN-2: 12.6;HaCaT: 13.5;MCF7: 23.1;T-47d: 18.5
6,ALX1,CART1,ENSG00000180318,ALX homeobox 1,12,85280107-85301784,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA001598, HPA018905",Uncertain,,Supported,Nucleoplasm<br>Nuclear bodies<br>Golgi apparatus,,Tissue enriched,Tissue enhanced,,epididymis: 4.3;kidney: 3.1,ovary: 1.8,Cell line enhanced,,HEK93: 19.4;HUVEC TERT2: 13.0;SK-MEL-30: 20.2;THP-1: 11.5;WM-115: 13.3
7,AMOT,KIAA1071,ENSG00000126016,Angiomotin,X,112774503-112840815,Predicted intracellular proteins,Evidence at protein level,"HPA067290, HPA067853",Enhanced,,Supported,Nucleus<br>Cell Junctions,"Renal cancer:4.21e-9 (favourable), Lung cancer:3.94e-4 (favourable)",Expressed in all,Tissue enhanced,,epididymis: 177.9,seminal vesicle: 38.6,Cell line enhanced,,AF22: 24.7;HAP1: 28.1
8,ANO1,"DOG1, FLJ10261, ORAOV2, TAOS2, TMEM16A",ENSG00000131620,Anoctamin 1,11,70078302-70189528,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA032148, HPA057356",Enhanced,,,,"Renal cancer:4.09e-6 (unfavourable), Endometrial cancer:4.58e-6 (favourable), Head and neck cancer:7.28e-5 (unfavourable), Pancreatic cancer:1.70e-4 (unfavourable), Lung cancer:2.40e-4 (unfavourable)",Expressed in all,Tissue enhanced,,epididymis: 220.9;seminal vesicle: 298.5,skin: 115.8,Group enriched,5.0,A-431: 121.8;CAPAN-2: 182.7;HaCaT: 224.5
9,AP1S3,,ENSG00000152056,Adaptor related protein complex 1 sigma 3 subunit,2,223751686-223838027,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA066782,Approved,,Supported,Vesicles,"Pancreatic cancer:2.08e-5 (unfavourable), Lung cancer:3.36e-5 (unfavourable)",Mixed,Tissue enhanced,,epididymis: 54.2,thyroid gland: 23.6,Cell line enhanced,,CACO-2: 130.6
10,ARMCX2,"ALEX2, GASP9, KIAA0512",ENSG00000184867,"Armadillo repeat containing, X-linked 2",X,101655281-101659891,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA005761,Enhanced,,Approved,Nucleus<br>Mitochondria,"Pancreatic cancer:3.45e-5 (favourable), Stomach cancer:2.69e-4 (unfavourable)",Expressed in all,Tissue enhanced,,epididymis: 202.3,thyroid gland: 107.5,Cell line enhanced,,LHCN-M2: 146.0;NTERA-2: 125.3
11,ARSG,KIAA1001,ENSG00000141337,Arylsulfatase G,17,68259182-68422731,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA023245, HPA023285",Enhanced,,,,Renal cancer:7.04e-4 (favourable),Expressed in all,Tissue enhanced,,epididymis: 48.6,thyroid gland: 18.9,Mixed,,
12,ASMT,"ASMTY, HIOMT, HIOMTY",ENSG00000196433,Acetylserotonin O-methyltransferase,X,1615001-1643081,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Tissue enhanced,,epididymis: 2.2,adrenal gland: 0.8,Not detected,,
13,ATP13A4,"DKFZp761I1011, FLJ37958",ENSG00000127249,ATPase 13A4,3,193402077-193593111,"Disease related genes, Predicted membrane proteins",Evidence at protein level,HPA051932,,,Approved,Nucleoplasm,Head and neck cancer:3.91e-4 (favourable),Tissue enhanced,Tissue enhanced,,epididymis: 87.9;parathyroid gland: 131.5;thyroid gland: 68.5,lung: 53.7,Cell line enriched,7.0,SCLC-21H: 4.6
14,ATP6V1C2,"ATP6C2, VMA5",ENSG00000143882,ATPase H+ transporting V1 subunit C2,2,10721649-10785110,"Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA034734, HPA067305",Approved,,Uncertain,Mitochondria,Renal cancer:1.12e-11 (unfavourable),Mixed,Tissue enhanced,,"cervix, uterine: 83.9;epididymis: 99.0;skin: 123.7",placenta: 55.1,Group enriched,9.0,BEWO: 71.4;SK-BR-3: 20.0
15,BASP1,"CAP-23, CAP23, NAP-22, NAP22",ENSG00000176788,Brain abundant membrane attached signal protein 1,5,17065598-17276843,"Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA045218, HPA050333",Enhanced,,Enhanced,Plasma membrane,"Renal cancer:5.25e-11 (unfavourable), Head and neck cancer:5.63e-4 (unfavourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 419.0;epididymis: 369.1,placenta: 130.6,Cell line enhanced,,HeLa: 555.7;SiHa: 845.8
16,C21orf62,"B37, C21orf120, PRED81",ENSG00000205929,Chromosome 21 open reading frame 62,21,32793564-32813743,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA016899,Enhanced,,,,Renal cancer:1.14e-4 (favourable),Tissue enriched,Tissue enhanced,,epididymis: 6.4;kidney: 5.1;ovary: 12.6,prostate: 4.2,Group enriched,13.0,AF22: 2.5;RPTEC TERT1: 1.1
17,CAPN3,"CANP3, LGMD2, LGMD2A, nCL-1, p94",ENSG00000092529,Calpain 3,15,42359500-42412318,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA040052,Enhanced,,,,,Tissue enriched,Tissue enhanced,,epididymis: 217.3;skeletal muscle: 336.8,skin: 92.9,Cell line enriched,27.0,SK-MEL-30: 202.7
18,CAPN6,"CalpM, CANPX, CAPNX",ENSG00000077274,Calpain 6,X,111245103-111270523,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA040383,,,Uncertain,Cytosol,,Tissue enhanced,Tissue enhanced,,epididymis: 255.9;placenta: 117.0;seminal vesicle: 100.4,endometrium: 37.2,Group enriched,9.0,HAP1: 3.4;HDLM-2: 9.9;NTERA-2: 16.1
19,CBLN4,"CBLNL1, dJ885A10.1",ENSG00000054803,Cerebellin 4 precursor,20,55997440-56005472,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA051496, HPA074497",,Supported,Approved,Midbody ring,,Mixed,Tissue enhanced,,adrenal gland: 24.5;cerebral cortex: 15.6;epididymis: 11.2,fallopian tube: 6.8,Cell line enriched,51.0,SH-SY5Y: 10.2
20,CDK15,"ALS2CR7, PFTAIRE2, PFTK2",ENSG00000138395,Cyclin dependent kinase 15,2,201790461-201895550,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA015786,Uncertain,,Approved,Nucleus<br>Golgi apparatus,,Not detected,Tissue enhanced,,epididymis: 21.2;ovary: 8.4,testis: 4.0,Cell line enhanced,,BJ hTERT+: 23.4;BJ hTERT+ SV40 Large T+ RasG12V: 22.4;HBF TERT88: 33.8;HMC-1: 58.6;LHCN-M2: 16.8
21,CDO1,,ENSG00000129596,Cysteine dioxygenase type 1,5,115804733-115816954,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA036573, HPA057503",Enhanced,,Uncertain,Nucleoplasm,Liver cancer:1.91e-5 (favourable),Group enriched,Tissue enhanced,,epididymis: 137.5;liver: 209.9,adipose tissue: 104.0,Cell line enhanced,,AF22: 38.7;ASC diff: 32.4;HAP1: 14.4;NTERA-2: 14.5
22,CDRT4,FLJ36674,ENSG00000239704,CMT1A duplicated region transcript 4,17,15436015-15503608,Predicted intracellular proteins,Evidence at transcript level,HPA021590,Uncertain,,Approved,Mitochondria,,Not detected,Tissue enhanced,,epididymis: 30.3,skin: 26.3,Cell line enhanced,,Hep G2: 7.6
23,CH17-140K24.8,,ENSG00000279983,,5,141223372-141245861,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,epididymis: 1.5,endometrium: 0.8,Not detected,,
24,CLCN4,"ClC-4, CLC4",ENSG00000073464,Chloride voltage-gated channel 4,X,10156945-10237660,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA031313, HPA063637",Enhanced,,Approved,Vesicles,"Endometrial cancer:2.13e-5 (unfavourable), Pancreatic cancer:9.55e-4 (favourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 49.1;epididymis: 28.1,skeletal muscle: 14.6,Cell line enhanced,,HEL: 21.9;SCLC-21H: 28.6
25,CLCN5,"ClC-5, CLC5, DENTS, hCIC-K2, hClC-K2, NPHL1, NPHL2, XLRH, XRN",ENSG00000171365,Chloride voltage-gated channel 5,X,49922615-50099235,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA000401, HPA003213",Uncertain,,Supported,Golgi apparatus<br>Plasma membrane<br>Cytosol,"Renal cancer:2.05e-8 (favourable), Pancreatic cancer:5.20e-4 (favourable)",Expressed in all,Tissue enhanced,,epididymis: 33.7;kidney: 52.0,placenta: 9.6,Cell line enhanced,,CACO-2: 44.1;RH-30: 76.7
26,COL13A1,,ENSG00000197467,Collagen type XIII alpha 1 chain,10,69801931-69964275,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA050392,Approved,,,,,Mixed,Tissue enhanced,,epididymis: 32.9,prostate: 20.4,Cell line enhanced,,HUVEC TERT2: 78.6;PC-3: 69.5;TIME: 103.7
27,COL28A1,,ENSG00000215018,Collagen type XXVIII alpha 1 chain,7,7356203-7535853,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA043844, HPA060468",Uncertain,,Approved,Nucleoplasm<br>Cytosol,,Tissue enhanced,Tissue enhanced,,epididymis: 18.2,fallopian tube: 8.0,Cell line enhanced,,U-266/70: 7.6;WM-115: 4.8
