,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,IGFBP1,"AFBP, hIGFBP-1, IBP1, IGF-BP25, PP12",ENSG00000146678,Insulin like growth factor binding protein 1,7,45888357-45893668,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB004445, HPA046972, HPA050640",Enhanced,,Approved,Golgi apparatus,"Renal cancer:6.90e-11 (unfavourable), Lung cancer:1.03e-4 (unfavourable), Stomach cancer:6.64e-4 (unfavourable)",Tissue enriched,Group enriched,52,endometrium: 120.4;liver: 563.0;placenta: 265.8,fallopian tube: 6.0,Group enriched,8.0,Hep G2: 33.4;U-2197: 71.7;U-87 MG: 128.8
1,TEX15,CT42,ENSG00000133863,"Testis expressed 15, meiosis and synapsis associated",8,30831544-30890606,Predicted intracellular proteins,Evidence at protein level,"HPA036799, HPA036800",Enhanced,,Approved,Nuclear speckles,,Not detected,Group enriched,32,endometrium: 11.0;smooth muscle: 8.3;testis: 22.3,"cerebral cortex,gallbladder: 0.4",Cell line enhanced,,HAP1: 8.7;HEL: 17.3;K-562: 4.9;SCLC-21H: 4.9
2,ADAMTS19,,ENSG00000145808,ADAM metallopeptidase with thrombospondin type 1 motif 19,5,129460265-129738683,Predicted secreted proteins,Evidence at transcript level,"HPA056171, HPA058438",Uncertain,,Approved,Vesicles<br>Midbody,,Tissue enhanced,Group enriched,13,"cervix, uterine: 16.8;endometrium: 16.9;placenta: 5.4;smooth muscle: 9.2",adrenal gland: 0.9,Group enriched,7.0,MCF7: 12.3;SH-SY5Y: 37.6
3,GPR22,,ENSG00000172209,G protein-coupled receptor 22,7,107470018-107475659,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,,,,,,,Not detected,Group enriched,13,"adrenal gland: 1.2;cerebral cortex: 4.7;cervix, uterine: 3.2;endometrium: 2.5;heart muscle: 5.4",smooth muscle: 0.2,Cell line enriched,29.0,SH-SY5Y: 2.9
4,CHRDL2,BNF1,ENSG00000054938,Chordin like 2,11,74696429-74731385,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA021771,Uncertain,,Uncertain,Mitochondria,Urothelial cancer:6.08e-4 (unfavourable),Tissue enhanced,Group enriched,9,appendix: 157.7;endometrium: 128.3;gallbladder: 168.5;smooth muscle: 183.1;urinary bladder: 43.5,"cervix, uterine: 14.6",Cell line enhanced,,HeLa: 1.6;PC-3: 1.2;SiHa: 2.6
5,MMP11,STMY3,ENSG00000099953,Matrix metallopeptidase 11,22,23768226-23784316,"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins",Evidence at protein level,"CAB002593, HPA068864",Approved,,,,Renal cancer:2.62e-4 (unfavourable),Expressed in all,Group enriched,9,"cervix, uterine: 31.6;endometrium: 123.1;placenta: 28.0",smooth muscle: 6.9,Cell line enhanced,,AN3-CA: 17.4;REH: 7.4
6,PRL,,ENSG00000172179,Prolactin,6,22287244-22297501,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB023353, HPA042416, HPA062017",Enhanced,,Uncertain,Cytosol,,Not detected,Group enriched,9,endometrium: 10.7;placenta: 27.2,testis: 2.2,Cell line enhanced,,Daudi: 11.1;SCLC-21H: 6.5;U-937: 2.1
7,TRH,,ENSG00000170893,Thyrotropin releasing hormone,3,129974305-129977938,Predicted secreted proteins,Evidence at protein level,HPA035596,Enhanced,,,,,Tissue enhanced,Group enriched,9,"cervix, uterine: 32.1;endometrium: 27.4",fallopian tube: 3.4,Not detected,,
8,ESR1,"Era, ESR, NR3A1",ENSG00000091831,Estrogen receptor 1,6,151656691-152129619,"Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB000037, HPA000449, HPA000450, CAB055099, CAB072858",Enhanced,,Approved,Nucleus<br>Vesicles,Endometrial cancer:5.47e-7 (favourable),Group enriched,Group enriched,8,"breast: 37.6;cervix, uterine: 127.8;endometrium: 180.8;fallopian tube: 106.4;smooth muscle: 76.5",seminal vesicle: 13.5,Group enriched,11.0,MCF7: 34.7;T-47d: 53.2
9,ZCCHC12,"FLJ16123, PNMA7A, SIZN, SIZN1",ENSG00000174460,Zinc finger CCHC-type containing 12,X,118823790-118826968,Predicted intracellular proteins,Evidence at protein level,"HPA031016, HPA034940",Uncertain,,Approved,Nuclear bodies,Thyroid cancer:3.42e-5 (favourable),Tissue enriched,Group enriched,8,endometrium: 167.0;fallopian tube: 184.1;smooth muscle: 203.5,cerebral cortex: 24.3,Cell line enhanced,,HAP1: 4.0;HEK93: 9.1;NTERA-2: 3.1;SH-SY5Y: 2.6
