,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ALPP,,ENSG00000163283,"Alkaline phosphatase, placental",2,232378534-232382889,"Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB026327, HPA038764, HPA038765, HPA051699",Enhanced,,Approved,Plasma membrane,Pancreatic cancer:4.33e-4 (unfavourable),Tissue enhanced,Group enriched,14,"cervix, uterine: 25.5;placenta: 45.5",fallopian tube: 2.5,Group enriched,6.0,HaCaT: 311.4;SiHa: 103.4
1,CHIT1,"CHI3, CHIT",ENSG00000133063,Chitinase 1,1,203212827-203273641,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA010575,Approved,,,,Cervical cancer:2.02e-4 (favourable),Tissue enhanced,Group enriched,14,"bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0","prostate,thyroid gland: 1.8",Not detected,,
2,ADAMTS19,,ENSG00000145808,ADAM metallopeptidase with thrombospondin type 1 motif 19,5,129460265-129738683,Predicted secreted proteins,Evidence at transcript level,"HPA056171, HPA058438",Uncertain,,Approved,Vesicles<br>Midbody,,Tissue enhanced,Group enriched,13,"cervix, uterine: 16.8;endometrium: 16.9;placenta: 5.4;smooth muscle: 9.2",adrenal gland: 0.9,Group enriched,7.0,MCF7: 12.3;SH-SY5Y: 37.6
3,GPR22,,ENSG00000172209,G protein-coupled receptor 22,7,107470018-107475659,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,,,,,,,Not detected,Group enriched,13,"adrenal gland: 1.2;cerebral cortex: 4.7;cervix, uterine: 3.2;endometrium: 2.5;heart muscle: 5.4",smooth muscle: 0.2,Cell line enriched,29.0,SH-SY5Y: 2.9
4,RGPD1,RGP1,ENSG00000187627,RANBP2-like and GRIP domain containing 1,2,86907953-87013981,Predicted intracellular proteins,Evidence at transcript level,"HPA049497, HPA051675, HPA067564",Uncertain,,Approved,Nuclear membrane<br>Vesicles,,Not detected,Group enriched,12,"cervix, uterine: 11.8;placenta: 9.0;testis: 24.5",parathyroid gland: 1.2,Cell line enhanced,,BEWO: 6.0;MOLT-4: 8.6;NTERA-2: 3.1
5,MUC5B,"MG1, MUC5",ENSG00000117983,"Mucin 5B, oligomeric mucus/gel-forming",11,1223066-1262172,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA008246, CAB009396",Enhanced,,Supported,Vesicles,,Mixed,Group enriched,11,"cervix, uterine: 350.5;gallbladder: 344.7",colon: 31.8,Cell line enriched,7.0,PC-3: 111.2
6,ATP6V1B1,"ATP6B1, RTA1B, VATB, Vma2, VPP3",ENSG00000116039,ATPase H+ transporting V1 subunit B1,2,70935882-70965406,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB009523, HPA031847",Enhanced,,Approved,Nucleus<br>Nuclear membrane,,Group enriched,Group enriched,10,"breast: 16.1;cervix, uterine: 47.9;fallopian tube: 21.1;kidney: 64.8;placenta: 27.8;salivary gland: 66.5",skin: 4.2,Group enriched,6.0,BEWO: 20.0;HaCaT: 17.4;SK-BR-3: 34.9
7,MMP11,STMY3,ENSG00000099953,Matrix metallopeptidase 11,22,23768226-23784316,"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins",Evidence at protein level,"CAB002593, HPA068864",Approved,,,,Renal cancer:2.62e-4 (unfavourable),Expressed in all,Group enriched,9,"cervix, uterine: 31.6;endometrium: 123.1;placenta: 28.0",smooth muscle: 6.9,Cell line enhanced,,AN3-CA: 17.4;REH: 7.4
8,SCGB1D2,"LIPB, LPHB",ENSG00000124935,Secretoglobin family 1D member 2,11,62242210-62244808,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,HPA035318,Approved,,,,"Endometrial cancer:3.46e-6 (favourable), Renal cancer:8.03e-6 (favourable)",Group enriched,Group enriched,9,"breast: 1446.3;cervix, uterine: 5193.3",epididymis: 385.3,Cell line enriched,7.0,SCLC-21H: 11.2
9,TRH,,ENSG00000170893,Thyrotropin releasing hormone,3,129974305-129977938,Predicted secreted proteins,Evidence at protein level,HPA035596,Enhanced,,,,,Tissue enhanced,Group enriched,9,"cervix, uterine: 32.1;endometrium: 27.4",fallopian tube: 3.4,Not detected,,
