,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,SFTA3,"NANCI, SFTPH",ENSG00000229415,Surfactant associated 3,14,36473288-36513829,Predicted intracellular proteins,Evidence at protein level,,,,,,Lung cancer:8.29e-4 (favourable),Group enriched,Group enriched,467,lung: 85.7;thyroid gland: 49.2,stomach: 0.1,Cell line enriched,234.0,SCLC-21H: 23.3
1,NKX2-1,"BCH, NKX2A, TITF1, TTF-1, TTF1",ENSG00000136352,NK2 homeobox 1,14,36516392-36521149,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB000078, CAB053633, HPA074316",Enhanced,,Uncertain,Golgi apparatus<br>Vesicles,,Group enriched,Group enriched,177,lung: 101.3;thyroid gland: 103.5,stomach: 0.5,Cell line enriched,36.0,SCLC-21H: 119.8
2,CALCA,CALC1,ENSG00000110680,Calcitonin related polypeptide alpha,11,14966668-14972354,"Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA059886,,Supported,,,Endometrial cancer:4.49e-5 (unfavourable),Tissue enriched,Group enriched,78,parathyroid gland: 849.6;thyroid gland: 183.4,kidney: 6.6,Not detected,,
3,DIO1,TXDI1,ENSG00000211452,Iodothyronine deiodinase 1,1,53891239-53911086,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,Thyroid cancer:5.44e-4 (unfavourable),Group enriched,Group enriched,30,kidney: 147.5;liver: 94.9;thyroid gland: 434.9,fallopian tube: 7.5,Group enriched,20.0,Hep G2: 23.0;SK-BR-3: 59.3
4,TBX22,"CLPA, CPX",ENSG00000122145,T-box 22,X,80014756-80031769,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Not detected,Group enriched,19,testis: 10.4;thyroid gland: 3.5,seminal vesicle: 0.3,Cell line enriched,6.0,HDLM-2: 1.6
5,SELENOV,SELV,ENSG00000186838,Selenoprotein V,19,39515113-39520686,Predicted intracellular proteins,Evidence at transcript level,HPA059274,Uncertain,,,,Thyroid cancer:7.43e-4 (unfavourable),Tissue enhanced,Group enriched,13,parathyroid gland: 1.8;testis: 5.5;thyroid gland: 2.1,cerebral cortex: 0.2,Not detected,,
6,DGKI,DGK-IOTA,ENSG00000157680,Diacylglycerol kinase iota,7,137381037-137847092,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA021924,,,Approved,Nucleoplasm,,Mixed,Group enriched,11,cerebral cortex: 9.3;thyroid gland: 33.0,"heart muscle,smooth muscle: 1.8",Cell line enhanced,,SCLC-21H: 7.5;U-2197: 16.4;U-87 MG: 6.3
7,LIPG,EDL,ENSG00000101670,"Lipase G, endothelial type",18,49560699-49599182,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA016966,Uncertain,,,,,Tissue enriched,Group enriched,11,placenta: 214.4;thyroid gland: 403.2,seminal vesicle: 29.1,Cell line enhanced,,AN3-CA: 113.7;HaCaT: 167.5;RPTEC TERT1: 93.8;TIME: 201.4
8,ADIG,"MGC39724, RP5-1100H13.2, SMAF1",ENSG00000182035,Adipogenin,20,38581195-38588463,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at transcript level,HPA041124,Uncertain,,,,,Tissue enhanced,Group enriched,10,epididymis: 5.1;testis: 16.1;thyroid gland: 3.4,seminal vesicle: 0.8,Not detected,,
9,CIB4,,ENSG00000157884,Calcium and integrin binding family member 4,2,26581202-26641368,Predicted intracellular proteins,Evidence at protein level,"HPA036130, HPA036131",Uncertain,,,,,Tissue enhanced,Group enriched,10,testis: 20.1;thyroid gland: 4.2,placenta: 1.1,Not detected,,
10,INPP5J,"INPP5, PIB5PA, PIPP",ENSG00000185133,Inositol polyphosphate-5-phosphatase J,22,31122731-31134696,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA034539,,,Approved,Nucleoli<br>Cytosol,"Renal cancer:1.12e-7 (favourable), Lung cancer:1.47e-5 (favourable)",Tissue enriched,Group enriched,10,parathyroid gland: 215.4;thyroid gland: 242.1,small intestine: 22.4,Cell line enhanced,,HL-60: 15.5;SK-BR-3: 30.3;T-47d: 24.0
11,HRK,DP5,ENSG00000135116,"Harakiri, BCL2 interacting protein",12,116856144-116881441,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,CAB025973,Uncertain,,,,,Mixed,Group enriched,9,cerebral cortex: 13.3;thyroid gland: 6.4,testis: 1.1,Cell line enhanced,,Daudi: 7.9;SCLC-21H: 10.7;SH-SY5Y: 8.3;SK-MEL-30: 16.7;U-698: 25.7
12,CDH16,,ENSG00000166589,Cadherin 16,16,66908122-66918984,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB013526, HPA036260",Enhanced,,,,Renal cancer:1.02e-7 (favourable),Tissue enriched,Group enriched,8,kidney: 231.3;thyroid gland: 58.0,fallopian tube: 17.2,Cell line enriched,78.0,RPTEC TERT1: 163.7
13,ERFE,"C1QTNF15, CTRP15, FAM132B, FLJ37034",ENSG00000178752,Erythroferrone,2,238158982-238168900,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,HPA077259,,,Approved,Endoplasmic reticulum<br>Microtubule organizing center,"Renal cancer:2.46e-4 (unfavourable), Endometrial cancer:3.75e-4 (unfavourable)",Tissue enhanced,Group enriched,8,testis: 17.2;thyroid gland: 40.6,appendix: 3.4,Cell line enhanced,,RH-30: 25.5
