,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,SYCN,"FLJ27441, INSSA1, SYL",ENSG00000179751,Syncollin,19,39202831-39204266,Predicted secreted proteins,Evidence at protein level,HPA047654,Enhanced,,,,,Tissue enriched,Tissue enriched,401,pancreas: 6057.1,ovary: 15.0,Not detected,,
1,CTRB2,,ENSG00000168928,Chymotrypsinogen B2,16,75204096-75207185,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,392,pancreas: 29060.0,ovary: 74.0,Cell line enhanced,,EFO-21: 3.0;U-2 OS: 6.8;U-251 MG: 1.5;U-266/84: 1.9
2,CTRB1,CTRB,ENSG00000168925,Chymotrypsinogen B1,16,75219000-75224924,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,,,,,,,Tissue enriched,Tissue enriched,376,pancreas: 48923.8,ovary: 130.0,Cell line enhanced,,EFO-21: 2.9;HDLM-2: 2.3;U-2 OS: 2.4;U-266/84: 1.0
3,PNLIPRP1,PLRP1,ENSG00000187021,Pancreatic lipase related protein 1,10,116590385-116609175,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,373,pancreas: 2295.1,ovary: 6.1,Not detected,,
4,CELA2A,ELA2A,ENSG00000142615,Chymotrypsin like elastase family member 2A,1,15456728-15472091,"Enzymes, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,371,pancreas: 34335.1,ovary: 92.5,Cell line enhanced,,HMC-1: 1.1
5,CPA1,CPA,ENSG00000091704,Carboxypeptidase A1,7,130380339-130388114,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA021836, CAB025197, HPA052215",Enhanced,,,,,Tissue enriched,Tissue enriched,367,pancreas: 48856.8,ovary: 133.1,Cell line enhanced,,AN3-CA: 10.9;SCLC-21H: 2.5;U-2 OS: 1.7
6,CTRC,"CLCR, ELA4",ENSG00000162438,Chymotrypsin C,1,15438439-15449242,"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins",Evidence at protein level,HPA046920,Enhanced,,,,,Tissue enriched,Tissue enriched,361,pancreas: 18186.4,ovary: 50.3,Not detected,,
7,CELA3A,"ELA3, ELA3A",ENSG00000142789,Chymotrypsin like elastase family member 3A,1,22001656-22012539,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA028086, HPA045650",Supported,,Approved,Cytosol,,Tissue enriched,Tissue enriched,352,pancreas: 56987.6,ovary: 161.9,Cell line enriched,24.0,MOLT-4: 20.6
8,PNLIP,PL,ENSG00000175535,Pancreatic lipase,10,116545931-116567855,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA062430, HPA062494",Enhanced,,,,,Tissue enriched,Tissue enriched,325,pancreas: 93703.0,ovary: 288.0,Cell line enhanced,,U-2 OS: 1.3
9,PRSS1,TRY1,ENSG00000204983,"Protease, serine 1",7,142749468-142753076,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB025487, CAB025538, HPA062452, HPA063471",Enhanced,,,,"Endometrial cancer:6.41e-6 (unfavourable), Thyroid cancer:4.91e-4 (favourable), Ovarian cancer:7.05e-4 (favourable)",Tissue enriched,Tissue enriched,318,pancreas: 81683.0,ovary: 257.2,Cell line enhanced,,EFO-21: 1.3;RPMI-8226: 2.0;U-2 OS: 1.7
