,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABLIM3,KIAA0843,ENSG00000173210,Actin binding LIM protein family member 3,5,149141483-149260542,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA003245,Approved,,Approved,Nucleoplasm<br>Plasma membrane<br>Cell Junctions,Renal cancer:1.28e-4 (unfavourable),Mixed,Tissue enhanced,,parathyroid gland: 79.4,adipose tissue: 63.7,Cell line enhanced,,TIME: 84.5
1,ADAMTS3,"ADAMTS-4, KIAA0366",ENSG00000156140,ADAM metallopeptidase with thrombospondin type 1 motif 3,4,72280969-72569386,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,"HPA021368, HPA021369",Uncertain,,Approved,Intermediate filaments,,Mixed,Tissue enhanced,,parathyroid gland: 7.3,testis: 3.5,Cell line enhanced,,AF22: 13.0;HEL: 12.6;K-562: 10.9;U-2 OS: 8.7
2,ADGRL3,"KIAA0768, LEC3, LPHN3",ENSG00000150471,Adhesion G protein-coupled receptor L3,4,61201258-62078335,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"HPA015027, HPA015762, CAB022698",Uncertain,,,,,Tissue enriched,Tissue enhanced,,cerebral cortex: 42.0;parathyroid gland: 30.6,"cervix, uterine: 8.5",Cell line enhanced,,AF22: 41.2;EFO-21: 10.2
3,ALCAM,"CD166, MEMD",ENSG00000170017,Activated leukocyte cell adhesion molecule,3,105366909-105576900,"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB002148, HPA010926",Approved,,,,Renal cancer:3.15e-4 (favourable),Expressed in all,Tissue enhanced,,parathyroid gland: 471.5,lung: 111.2,Cell line enhanced,,U-138 MG: 467.1
4,ALPK3,"KIAA1330, MAK, Midori",ENSG00000136383,Alpha kinase 3,15,84816680-84873482,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA026558,Uncertain,,Approved,Nucleus,Renal cancer:3.95e-7 (favourable),Mixed,Tissue enhanced,,heart muscle: 32.8;parathyroid gland: 36.2;skeletal muscle: 47.6,adipose tissue: 12.3,Cell line enhanced,,BEWO: 12.8;HUVEC TERT2: 12.1;LHCN-M2: 16.5;NTERA-2: 12.1;RH-30: 34.1
5,AMPD3,,ENSG00000133805,Adenosine monophosphate deaminase 3,11,10308313-10507579,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA038662, HPA047408",Uncertain,,Enhanced,Nuclear membrane,Endometrial cancer:2.37e-4 (favourable),Expressed in all,Tissue enhanced,,parathyroid gland: 54.4,bone marrow: 41.4,Cell line enhanced,,BJ hTERT+: 35.8
6,ANKRD45,"CT117, FLJ45235",ENSG00000183831,Ankyrin repeat domain 45,1,173609561-173669862,Predicted intracellular proteins,Evidence at protein level,"HPA031655, HPA031656, HPA031657",Enhanced,,,,,Mixed,Tissue enhanced,,fallopian tube: 35.0;parathyroid gland: 22.9;testis: 36.3,cerebral cortex: 7.2,Cell line enhanced,,AF22: 9.4;BJ hTERT+ SV40 Large T+ RasG12V: 5.0;SH-SY5Y: 9.1
7,ANO5,"GDD1, LGMD2L, TMEM16E",ENSG00000171714,Anoctamin 5,11,22193176-22283357,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA058857,Uncertain,,,,Renal cancer:2.50e-7 (favourable),Mixed,Tissue enhanced,,parathyroid gland: 56.1,skeletal muscle: 23.6,Cell line enhanced,,A549: 4.5;HAP1: 5.6;HEK93: 6.2
8,ARFGEF3,"BIG3, C6orf92, dJ171N11.1, KIAA1244, PPP1R33",ENSG00000112379,ARFGEF family member 3,6,138161921-138344663,Predicted intracellular proteins,Evidence at protein level,HPA036350,Uncertain,,,,Breast cancer:8.20e-4 (unfavourable),Expressed in all,Tissue enhanced,,cerebral cortex: 23.7;parathyroid gland: 29.7,prostate: 19.2,Cell line enhanced,,RH-30: 13.0;RT4: 15.4;SK-BR-3: 16.6
9,ARG2,,ENSG00000081181,Arginase 2,14,67619798-67651720,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA000663, CAB009435",Enhanced,,Supported,Mitochondria,,Expressed in all,Tissue enhanced,,parathyroid gland: 94.0;prostate: 161.0;thyroid gland: 157.2,kidney: 63.4,Cell line enhanced,,HAP1: 54.8
