,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,CFHR2,"CFHL2, FHR2, HFL3",ENSG00000080910,Complement factor H related 2,1,196943772-196959226,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA038915, HPA040726, HPA049813",Supported,,,,,Tissue enriched,Tissue enriched,4661,liver: 466.1,all non-specific tissues: 0.0,Not detected,,
1,F9,FIX,ENSG00000101981,Coagulation factor IX,X,139530758-139563458,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Evidence at protein level,,,,,,Liver cancer:6.69e-4 (favourable),Tissue enriched,Tissue enriched,2258,liver: 365.0,kidney: 0.1,Not detected,,
2,SPP2,SPP24,ENSG00000072080,Secreted phosphoprotein 2,2,234050679-234077134,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,Liver cancer:2.33e-6 (favourable),Tissue enriched,Tissue enriched,2145,liver: 265.4,"kidney,testis: 0.1",Not detected,,
3,AHSG,"A2HS, FETUA, HSGA",ENSG00000145192,Alpha 2-HS glycoprotein,3,186612923-186621318,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA001524, HPA001525, CAB026209",Enhanced,,Supported,Golgi apparatus,,Tissue enriched,Tissue enriched,1903,liver: 2823.4,testis: 1.4,Cell line enriched,64.0,Hep G2: 1410.0
4,F2,,ENSG00000180210,"Coagulation factor II, thrombin",11,46719180-46739506,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB016780, CAB018650, HPA051476, HPA054698",Enhanced,,,,Renal cancer:6.75e-12 (unfavourable),Tissue enriched,Tissue enriched,1472,liver: 627.3,testis: 0.4,Cell line enriched,18.0,Hep G2: 186.7
5,MBL2,"COLEC1, MBL",ENSG00000165471,Mannose binding lectin 2,10,52765380-52771700,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA002027, CAB016782",Enhanced,,,,,Tissue enriched,Tissue enriched,1414,liver: 141.4,all non-specific tissues: 0.0,Cell line enriched,9.0,Hep G2: 1.5
6,APOA2,,ENSG00000158874,Apolipoprotein A2,1,161222292-161223631,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,CAB025885,Supported,,,,,Tissue enriched,Tissue enriched,1068,liver: 18325.0,bone marrow: 17.1,Cell line enriched,8.0,Hep G2: 11388.0
7,SERPINC1,"AT3, ATIII, MGC22579",ENSG00000117601,Serpin family C member 1,1,173903804-173917378,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA001816, CAB016790, HPA024007",Supported,,,,Liver cancer:3.40e-5 (favourable),Tissue enriched,Tissue enriched,670,liver: 2517.8,kidney: 3.7,Cell line enriched,26.0,Hep G2: 55.1
8,FGB,,ENSG00000171564,Fibrinogen beta chain,4,154562956-154571086,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA001900, HPA001901, CAB008624",Enhanced,,Enhanced,Endoplasmic reticulum,Renal cancer:5.72e-5 (unfavourable),Tissue enriched,Tissue enriched,556,liver: 10006.0,kidney: 17.9,Cell line enriched,9.0,Hep G2: 184.1
9,RP4-608O15.3,,ENSG00000276911,,1,196819745-196959210,Predicted secreted proteins,Evidence at protein level,"HPA038915, HPA040726, HPA049813",Supported,,,,,Not detected,Tissue enriched,527,liver: 203.7,kidney: 0.3,Not detected,,
