,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,A1CF,"ACF, ACF64, ACF65, APOBEC1CF, ASP",ENSG00000148584,APOBEC1 complementation factor,10,50799409-50885675,Predicted intracellular proteins,Evidence at protein level,"HPA037779, HPA044079",Enhanced,,Supported,Nucleoplasm,,Tissue enriched,Tissue enhanced,,liver: 76.0;small intestine: 29.8,duodenum: 23.5,Group enriched,18.0,CACO-2: 19.3;Hep G2: 41.7
1,AADAT,"KAT2, KATII, KYAT2",ENSG00000109576,Aminoadipate aminotransferase,4,170060222-170091699,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA037502,Enhanced,,Approved,Vesicles<br>Plasma membrane,Colorectal cancer:5.59e-4 (favourable),Expressed in all,Tissue enhanced,,liver: 34.7,prostate: 23.4,Mixed,,
2,ABAT,GABAT,ENSG00000183044,4-aminobutyrate aminotransferase,16,8674565-8784575,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA041528, HPA041690",Enhanced,Supported,Supported,Mitochondria,"Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 164.5;kidney: 135.3;liver: 175.2,thyroid gland: 47.5,Cell line enhanced,,Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1
3,ABCA6,EST155051,ENSG00000154262,ATP binding cassette subfamily A member 6,17,69078702-69141888,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA064878, HPA067180",,,Approved,Nucleoplasm,Liver cancer:3.29e-4 (favourable),Tissue enriched,Tissue enhanced,,liver: 41.4,ovary: 37.4,Cell line enhanced,,ASC diff: 28.1;ASC TERT1: 41.4;HSkMC: 18.8;HUVEC TERT2: 47.8
4,ABCC6,"ARA, EST349056, MLP1, MRP6, PXE, URG7",ENSG00000091262,ATP binding cassette subfamily C member 6,16,16148928-16223522,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA038105,,,Supported,Plasma membrane,Liver cancer:3.82e-4 (favourable),Tissue enhanced,Tissue enhanced,,kidney: 16.9;liver: 23.4,duodenum: 13.0,Cell line enriched,6.0,Hep G2: 45.5
5,ACOX2,"BRCACOX, BRCOX, THCCox",ENSG00000168306,Acyl-CoA oxidase 2,3,58505136-58537319,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA038280, HPA064845",Enhanced,,Supported,Vesicles<br>Cytosol,,Tissue enhanced,Tissue enhanced,,liver: 87.9,kidney: 42.5,Cell line enhanced,,ASC diff: 10.4;ASC TERT1: 17.4;fHDF/TERT166: 6.6;Hep G2: 7.0;HSkMC: 11.8
6,ACSM3,"SA, SAH",ENSG00000005187,Acyl-CoA synthetase medium-chain family member 3,16,20610243-20797581,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA041013,Uncertain,,,,"Renal cancer:9.88e-6 (favourable), Ovarian cancer:1.97e-4 (favourable)",Mixed,Tissue enhanced,,liver: 93.2,kidney: 90.8,Group enriched,12.0,HEL: 85.7;HMC-1: 339.4;K-562: 258.6
7,ADH1C,ADH3,ENSG00000248144,"Alcohol dehydrogenase 1C (class I), gamma polypeptide",4,99336492-99353027,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA047814, HPA060902",Supported,,Supported,Plasma membrane<br>Cytosol,"Lung cancer:2.99e-4 (favourable), Liver cancer:4.55e-4 (favourable)",Tissue enriched,Tissue enhanced,,duodenum: 508.1;liver: 888.0;stomach: 477.4,colon: 276.3,Cell line enhanced,,ASC TERT1: 2.5;HSkMC: 7.7
8,ADRA1A,"ADRA1C, ADRA1L1",ENSG00000120907,Adrenoceptor alpha 1A,8,26748150-26867273,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,"HPA029678, HPA029679",Approved,,,,,Tissue enhanced,Tissue enhanced,,adipose tissue: 22.6;liver: 31.6;prostate: 20.8,seminal vesicle: 19.1,Not detected,,
9,AFP,"FETA, HPAFP",ENSG00000081051,Alpha fetoprotein,4,73431138-73456174,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA010607, HPA023600, CAB024283, CAB025339",Approved,,Uncertain,Cytosol,,Group enriched,Tissue enhanced,,liver: 1.9,breast: 0.5,Cell line enriched,158.0,Hep G2: 1466.5
