,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,LCT,,ENSG00000115850,Lactase,2,135787840-135837180,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,631,duodenum: 223.1;small intestine: 142.8,"appendix,lymph node: 0.2",Cell line enhanced,,MOLT-4: 3.9;RPMI-8226: 6.7
1,DEFA6,"DEF6, HD-6",ENSG00000164822,Defensin alpha 6,8,6924693-6926076,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA019462,Enhanced,,,,,Tissue enhanced,Group enriched,525,duodenum: 5743.0;small intestine: 10524.2,colon: 15.4,Group enriched,9.0,BEWO: 28.1;NB-4: 20.0;RPMI-8226: 25.8;SH-SY5Y: 26.0;U-2197: 10.6
2,DEFA5,"DEF5, HD-5",ENSG00000164816,Defensin alpha 5,8,7055304-7056734,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA015775, CAB069919",Enhanced,,,,Colorectal cancer:9.44e-5 (favourable),Tissue enhanced,Group enriched,480,duodenum: 10677.9;small intestine: 19102.0,appendix: 31.0,Group enriched,6.0,BEWO: 55.6;NB-4: 31.4;RPMI-8226: 35.9;SH-SY5Y: 42.9;U-2197: 16.2
3,CCL25,"Ckb15, SCYA25, TECK",ENSG00000131142,C-C motif chemokine ligand 25,19,8052767-8062650,Predicted secreted proteins,Evidence at protein level,HPA055883,Uncertain,,,,,Group enriched,Group enriched,317,duodenum: 529.5;small intestine: 653.7,lymph node: 1.8,Cell line enhanced,,BEWO: 2.7;HEL: 2.7;REH: 5.6;SH-SY5Y: 2.0
4,RBP2,"CRABP-II, CRBP2, CRBPII, RBPC2",ENSG00000114113,Retinol binding protein 2,3,139452884-139480747,"Predicted intracellular proteins, Transporters",Evidence at protein level,HPA035866,Enhanced,,Approved,Golgi apparatus,,Tissue enhanced,Group enriched,204,duodenum: 2746.0;small intestine: 2037.7,lung: 11.7,Cell line enriched,6.0,CACO-2: 65.5
5,CYP3A4,CYP3A3,ENSG00000160868,Cytochrome P450 family 3 subfamily A member 4,7,99756960-99784265,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB033671, HPA072245",Enhanced,,Uncertain,Cytosol,,Tissue enriched,Group enriched,199,duodenum: 826.8;liver: 2451.8;small intestine: 971.1,adrenal gland: 7.1,Cell line enhanced,,BEWO: 1.8;NB-4: 1.3;RPMI-8226: 2.2;SCLC-21H: 1.4;SH-SY5Y: 2.4
6,MS4A10,"CD20L7, MS4A9",ENSG00000172689,Membrane spanning 4-domains A10,11,60785348-60801305,"Predicted membrane proteins, Transporters",Evidence at transcript level,HPA014778,Uncertain,,,,,Not detected,Group enriched,193,duodenum: 74.2;small intestine: 95.8,kidney: 0.4,Not detected,,
7,GIP,,ENSG00000159224,Gastric inhibitory polypeptide,17,48958554-48968596,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB016729, HPA021612",Enhanced,,,,,Tissue enriched,Group enriched,156,duodenum: 261.3;small intestine: 93.9,stomach: 1.1,Cell line enhanced,,A549: 6.0;BEWO: 5.7;Hep G2: 6.5
8,APOA4,,ENSG00000110244,Apolipoprotein A4,11,116820700-116823306,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA001352, HPA002549, CAB068250, CAB068251, CAB068252",Enhanced,,Approved,Vesicles,,Tissue enriched,Group enriched,126,duodenum: 2211.8;small intestine: 3441.1,liver: 22.3,Cell line enhanced,,BEWO: 7.4;CACO-2: 6.6;Hep G2: 5.1;NB-4: 4.6;RPMI-8226: 8.2;SH-SY5Y: 11.1
9,APOB,,ENSG00000084674,Apolipoprotein B,2,21001429-21044073,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB016070, HPA049793",Supported,,Supported,Vesicles<br>Cytosol,,Tissue enriched,Group enriched,120,duodenum: 182.8;liver: 618.9;small intestine: 333.2,adipose tissue: 3.1,Cell line enriched,25.0,Hep G2: 734.4
10,CREB3L3,CREB-H,ENSG00000060566,CAMP responsive element binding protein 3 like 3,19,4153601-4173054,"Predicted intracellular proteins, Predicted membrane proteins, Transcription factors",Evidence at protein level,"HPA040671, HPA056228",Enhanced,,,,Renal cancer:3.53e-6 (unfavourable),Tissue enriched,Group enriched,104,duodenum: 241.6;liver: 61.0;small intestine: 278.7,"colon,stomach: 1.8",Cell line enhanced,,HDLM-2: 44.9;Hep G2: 10.3;U-266/70: 7.7
11,C17orf78,FLJ39647,ENSG00000278505,Chromosome 17 open reading frame 78,17,37375986-37392708,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,,,,,,,Group enriched,Group enriched,74,duodenum: 99.1;small intestine: 50.9,testis: 1.0,Not detected,,
12,REG3A,"HIP, PAP, PAP1, PBCGF, REG-III, REG3",ENSG00000172016,Regenerating family member 3 alpha,2,79157003-79159753,"Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,"HPA047894, HPA048334, HPA060705",Supported,,Approved,Cytosol,,Tissue enhanced,Group enriched,56,duodenum: 5635.7;small intestine: 8081.8,stomach: 122.0,Cell line enhanced,,BEWO: 18.5;EFO-21: 17.0;HDLM-2: 16.3;RPMI-8226: 17.5;SH-SY5Y: 16.7;U-2 OS: 30.9
13,MEP1A,PPHA,ENSG00000112818,Meprin A subunit alpha,6,46793390-46839782,"Enzymes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB025163, HPA029416",Enhanced,,,,,Tissue enriched,Group enriched,42,colon: 117.8;duodenum: 282.2;rectum: 114.3;small intestine: 538.5,appendix: 6.2,Cell line enhanced,,BEWO: 1.2;CACO-2: 2.4;RPMI-8226: 1.0
