,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,INSL5,,ENSG00000172410,Insulin like 5,1,66797741-66801256,Predicted secreted proteins,Evidence at protein level,"HPA030100, CAB033849",Enhanced,,,,,Group enriched,Group enriched,228,colon: 77.7;rectum: 141.9,cerebral cortex: 0.4,Not detected,,
1,AQP8,,ENSG00000103375,Aquaporin 8,16,25215731-25228940,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA046259,Enhanced,,,,,Group enriched,Group enriched,129,colon: 321.2;pancreas: 269.5;rectum: 166.5,smooth muscle: 1.9,Not detected,,
2,MEP1A,PPHA,ENSG00000112818,Meprin A subunit alpha,6,46793390-46839782,"Enzymes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB025163, HPA029416",Enhanced,,,,,Tissue enriched,Group enriched,42,colon: 117.8;duodenum: 282.2;rectum: 114.3;small intestine: 538.5,appendix: 6.2,Cell line enhanced,,BEWO: 1.2;CACO-2: 2.4;RPMI-8226: 1.0
3,PRAC1,"C17orf92, PRAC",ENSG00000159182,Prostate cancer susceptibility candidate 1,17,48721719-48722522,Predicted intracellular proteins,Evidence at transcript level,HPA047871,Approved,,,,,Tissue enriched,Group enriched,38,colon: 102.9;prostate: 171.7;rectum: 220.8,urinary bladder: 4.3,Cell line enriched,32.0,PC-3: 343.9
4,ISX,RAXLX,ENSG00000175329,Intestine specific homeobox,22,35066136-35087387,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA060328,Approved,,Supported,Nucleoplasm<br>Nuclear bodies,,Tissue enhanced,Group enriched,36,colon: 27.4;duodenum: 37.5;rectum: 28.2;small intestine: 29.7,smooth muscle: 0.8,Group enriched,12.0,CACO-2: 1.3;Hep G2: 3.1
5,CA1,Car1,ENSG00000133742,Carbonic anhydrase 1,8,85327608-85379014,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA006558, CAB025790",Enhanced,,,,,Group enriched,Group enriched,30,bone marrow: 1216.6;colon: 1022.8;rectum: 2316.0,smooth muscle: 49.9,Cell line enriched,1560.0,HEL: 1145.7
6,TBX10,"TBX13, TBX7",ENSG00000167800,T-box 10,11,67631303-67639560,"Predicted secreted proteins, Transcription factors",Evidence at protein level,HPA047881,Uncertain,,,,,Group enriched,Group enriched,27,colon: 8.8;duodenum: 5.8;rectum: 8.6;small intestine: 10.6,appendix: 0.3,Cell line enhanced,,NTERA-2: 5.3;RPMI-8226: 2.5;SK-BR-3: 9.3;U-2 OS: 2.7
7,BTNL3,"BTN9.1, BTNLR",ENSG00000168903,Butyrophilin like 3,5,180988845-181006727,Predicted membrane proteins,Evidence at transcript level,,,,,,,Group enriched,Group enriched,25,colon: 24.5;duodenum: 115.1;rectum: 26.3;small intestine: 89.1,gallbladder: 2.5,Not detected,,
8,MUC12,MUC11,ENSG00000205277,"Mucin 12, cell surface associated",7,100969623-101018949,Predicted membrane proteins,Evidence at protein level,HPA023835,Enhanced,,,,,Tissue enriched,Group enriched,24,colon: 49.6;rectum: 74.4,appendix: 2.5,Not detected,,
9,TMIGD1,"TMIGD, UNQ9372",ENSG00000182271,Transmembrane and immunoglobulin domain containing 1,17,30316333-30334059,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA021946,,,Approved,Mitochondria,,Tissue enhanced,Group enriched,23,colon: 81.8;rectum: 109.8;small intestine: 162.9,kidney: 5.1,Not detected,,
10,KRTAP13-2,KAP13-2,ENSG00000182816,Keratin associated protein 13-2,21,30371391-30372257,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,20,colon: 1.9;rectum: 2.0,all non-specific tissues: 0.0,Not detected,,
11,MS4A12,"FLJ20217, Ms4a10",ENSG00000071203,Membrane spanning 4-domains A12,11,60492778-60507430,Predicted membrane proteins,Evidence at protein level,HPA057657,Enhanced,,,,,Tissue enriched,Group enriched,19,colon: 235.5;rectum: 280.6,appendix: 13.2,Cell line enhanced,,RH-30: 1.1
12,NOX1,"GP91-2, MOX1, NOH-1, NOH1",ENSG00000007952,NADPH oxidase 1,X,100843324-100874345,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,Colorectal cancer:9.71e-4 (favourable),Tissue enriched,Group enriched,17,colon: 58.7;rectum: 79.9,appendix: 3.9,Cell line enriched,19.0,CACO-2: 25.5
13,CD177,"HNA2A, NB1, PRV1",ENSG00000204936,CD177 molecule,19,43353659-43363172,Predicted secreted proteins,Evidence at protein level,"HPA041820, HPA046601",Enhanced,,,,Cervical cancer:3.66e-4 (favourable),Tissue enhanced,Group enriched,16,bone marrow: 193.1;colon: 155.7;prostate: 105.4;rectum: 181.9,appendix: 9.7,Cell line enriched,23.0,RPMI-8226: 65.6
14,GUCA2A,"GUCA2, STARA",ENSG00000197273,Guanylate cyclase activator 2A,1,42162691-42164718,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA018215,Enhanced,,,,,Group enriched,Group enriched,15,colon: 768.8;rectum: 859.2;small intestine: 1127.0,duodenum: 61.5,Cell line enhanced,,BEWO: 11.8;CACO-2: 8.2;NB-4: 2.0;U-2197: 2.5
15,PYY,PYY1,ENSG00000131096,Peptide YY,17,43952738-44004469,Predicted secreted proteins,Evidence at protein level,"HPA010973, CAB016734",Enhanced,,,,,Group enriched,Group enriched,15,colon: 52.6;rectum: 39.2;small intestine: 27.4,duodenum: 2.5,Cell line enhanced,,HMC-1: 2.6
16,CHST5,"FLJ22167, I-GLCNAC-6-ST",ENSG00000135702,Carbohydrate sulfotransferase 5,16,75528535-75535247,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA043804,Enhanced,,,,,Group enriched,Group enriched,14,colon: 45.6;duodenum: 85.9;rectum: 59.7;small intestine: 83.5,stomach: 4.8,Mixed,,
17,GUCY2C,"GUC2C, STAR",ENSG00000070019,Guanylate cyclase 2C,12,14612632-14696585,"Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA037655, HPA073759",Uncertain,,Uncertain,Vesicles,Liver cancer:1.37e-5 (unfavourable),Group enriched,Group enriched,13,colon: 37.0;duodenum: 68.7;rectum: 45.4;small intestine: 73.2,appendix: 4.4,Cell line enhanced,,AN3-CA: 1.2;CAPAN-2: 1.4;SiHa: 1.6
