,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,SLC7A10,asc-1,ENSG00000130876,Solute carrier family 7 member 10,19,33208664-33225850,"Predicted membrane proteins, Transporters",Evidence at transcript level,"HPA041884, HPA057036",Uncertain,,Uncertain,Nucleus<br>Nucleoli,,Mixed,Group enriched,24,adipose tissue: 31.6;cerebral cortex: 6.5,breast: 0.8,Cell line enhanced,,BEWO: 1.8;HSkMC: 1.2;THP-1: 2.6;U-2 OS: 1.1
1,LVRN,"APQ, AQPEP, FLJ90650, TAQPEP",ENSG00000172901,Laeverin,5,115962454-116027619,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA053254,Enhanced,,,,,Not detected,Group enriched,22,adipose tissue: 11.8;placenta: 31.5,breast: 1.0,Not detected,,
2,ANGPTL8,"C19orf80, RIFL, TD26",ENSG00000130173,Angiopoietin like 8,19,11237450-11241943,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA042131,,,Approved,Nucleoplasm<br>Golgi apparatus,Renal cancer:1.84e-6 (unfavourable),Tissue enriched,Group enriched,20,adipose tissue: 13.7;liver: 63.8,epididymis: 1.9,Group enriched,28.0,Hep G2: 24.9;MCF7: 16.3
3,C14orf180,"C14orf77, NRAC",ENSG00000184601,Chromosome 14 open reading frame 180,14,104579684-104590515,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,,,,,,,Tissue enhanced,Group enriched,19,adipose tissue: 34.5;heart muscle: 28.5,adrenal gland: 1.6,Cell line enriched,14.0,ASC diff: 2.0
4,EN1,,ENSG00000163064,Engrailed homeobox 1,2,118842171-118847678,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB014884, HPA073141",Approved,,Supported,Nucleus<br>Nucleoli,,Tissue enhanced,Group enriched,13,adipose tissue: 1.3;breast: 1.0;lymph node: 1.9;skeletal muscle: 4.7;skin: 2.2,testis: 0.1,Cell line enhanced,,ASC diff: 10.8;fHDF/TERT166: 10.2;HSkMC: 9.7;PC-3: 7.1;U-138 MG: 9.6;U-2197: 10.2
5,PRRT4,,ENSG00000224940,Proline rich transmembrane protein 4,7,128350325-128361685,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA046373, HPA052681",Uncertain,,Approved,Nucleoplasm<br>Peroxisomes<br>Plasma membrane,,Mixed,Group enriched,12,adipose tissue: 15.7;bone marrow: 41.2,cerebral cortex: 2.2,Cell line enriched,8.0,SH-SY5Y: 239.1
6,PITX3,ASMD,ENSG00000107859,Paired like homeodomain 3,10,102230186-102241474,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Not detected,Group enriched,11,adipose tissue: 1.2;skeletal muscle: 5.6,testis: 0.3,Cell line enriched,17.0,RH-30: 28.7
7,KCNIP2,KCHIP2,ENSG00000120049,Potassium voltage-gated channel interacting protein 2,10,101825974-101843920,Predicted intracellular proteins,Evidence at protein level,,,,,,,Mixed,Group enriched,9,adipose tissue: 238.6;cerebral cortex: 81.4;heart muscle: 108.2,breast: 16.6,Cell line enhanced,,HEL: 13.8;HMC-1: 9.2
8,SCN4A,"HYKPP, HYPP, Nav1.4, SkM1",ENSG00000007314,Sodium voltage-gated channel alpha subunit 4,17,63938554-63972918,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,HPA053992,,,Approved,Nucleoplasm<br>Microtubule organizing center,,Tissue enhanced,Group enriched,9,adipose tissue: 12.4;skeletal muscle: 47.2,thyroid gland: 3.3,Group enriched,13.0,REH: 13.6;RH-30: 43.5
9,MRAP,"B27, C21orf61, FALP",ENSG00000170262,Melanocortin 2 receptor accessory protein,21,32291813-32314784,"Disease related genes, Predicted membrane proteins",Evidence at protein level,HPA011024,Uncertain,,,,,Not detected,Group enriched,8,adipose tissue: 52.7;adrenal gland: 65.2,breast: 7.5,Cell line enhanced,,Hep G2: 1.0;HSkMC: 1.2
10,PFKFB1,PFRX,ENSG00000158571,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",X,54932961-54998534,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,8,adipose tissue: 30.1;liver: 18.7;skeletal muscle: 39.3,breast: 3.8,Cell line enhanced,,ASC diff: 5.9;Hep G2: 2.4
11,PROKR1,"GPR73, GPR73a, PKR1, ZAQ",ENSG00000169618,Prokineticin receptor 1,2,68643589-68658247,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA029396,Uncertain,,,,,Not detected,Group enriched,8,adipose tissue: 1.7;adrenal gland: 1.4;epididymis: 4.3,testis: 0.3,Cell line enhanced,,NTERA-2: 2.0
12,S100B,S100beta,ENSG00000160307,S100 calcium binding protein B,21,46598962-46605208,"Cancer-related genes, Candidate cardiovascular disease genes, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB000073, HPA015768, CAB078196",Enhanced,,Approved,Nucleus<br>Vesicles,,Group enriched,Group enriched,8,adipose tissue: 208.2;cerebral cortex: 626.3,seminal vesicle: 49.5,Group enriched,6.0,SK-MEL-30: 519.7;WM-115: 1274.2
13,ARC,"Arg3.1, KIAA0278",ENSG00000198576,Activity regulated cytoskeleton associated protein,8,142611044-142614472,Predicted intracellular proteins,Evidence at protein level,"HPA056430, CAB079013",,Supported,Approved,Vesicles<br>Microtubules,,Tissue enriched,Group enriched,7,adipose tissue: 14.2;adrenal gland: 13.4;cerebral cortex: 14.4;gallbladder: 3.3;seminal vesicle: 5.5,placenta: 1.4,Cell line enhanced,,HEK93: 9.2;SCLC-21H: 27.7;U-2 OS: 11.9;U-87 MG: 12.5
14,NAT8L,"FLJ37478, Hcml3",ENSG00000185818,N-acetyltransferase 8 like,4,2059512-2069089,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA040677,,,Supported,Mitochondria,Endometrial cancer:1.01e-5 (unfavourable),Group enriched,Group enriched,7,adipose tissue: 48.6;cerebral cortex: 64.9;testis: 19.0,kidney: 6.7,Cell line enhanced,,SCLC-21H: 32.4
15,PTGER3,EP3,ENSG00000050628,Prostaglandin E receptor 3,1,70852353-71047808,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,HPA010689,Uncertain,,,,Renal cancer:3.50e-4 (unfavourable),Group enriched,Group enriched,7,adipose tissue: 58.6;endometrium: 115.3;kidney: 88.3;smooth muscle: 105.2,skin: 13.9,Group enriched,5.0,ASC diff: 19.6;HAP1: 21.6;HDLM-2: 30.4;HEL: 14.0;T-47d: 68.0
16,TBX15,TBX14,ENSG00000092607,T-box 15,1,118883046-118989556,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA052245, HPA053713",Uncertain,,Approved,Nucleoplasm<br>Centrosome,Renal cancer:5.57e-8 (unfavourable),Mixed,Group enriched,7,adipose tissue: 17.0;breast: 8.9;liver: 24.1;skeletal muscle: 42.2,lymph node: 3.1,Cell line enhanced,,ASC diff: 36.8;BJ hTERT+ SV40 Large T+ RasG12V: 20.9;fHDF/TERT166: 22.5;HSkMC: 28.3;RH-30: 29.4;U-2197: 26.3
17,ADH1B,ADH2,ENSG00000196616,"Alcohol dehydrogenase 1B (class I), beta polypeptide",4,99304964-99352760,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA047814, HPA060902",Supported,,Approved,Plasma membrane<br>Cytosol,Renal cancer:7.87e-4 (unfavourable),Tissue enriched,Group enriched,6,adipose tissue: 1624.6;liver: 3000.2,lung: 388.5,Cell line enriched,7.0,ASC diff: 4511.9
18,C2CD4C,"FAM148C, KIAA1957, NLF3",ENSG00000183186,C2 calcium dependent domain containing 4C,19,405438-409170,Predicted intracellular proteins,Evidence at protein level,HPA055915,Uncertain,,Approved,Vesicles,,Tissue enhanced,Group enriched,6,adipose tissue: 2.6;cerebral cortex: 10.6;gallbladder: 4.4,endometrium: 0.9,Cell line enhanced,,HDLM-2: 5.9;NTERA-2: 6.2;SCLC-21H: 13.0;U-2 OS: 6.8
19,CETP,BPIFF,ENSG00000087237,Cholesteryl ester transfer protein,16,56961850-56983845,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Evidence at protein level,,,,,,,Mixed,Group enriched,6,adipose tissue: 36.9;liver: 21.7;lymph node: 46.3;placenta: 50.4;spleen: 77.7,thyroid gland: 8.4,Cell line enhanced,,HEL: 2.4;HUVEC TERT2: 3.6;TIME: 2.1
20,CLEC4G,"LSECtin, UNQ431",ENSG00000182566,C-type lectin domain family 4 member G,19,7728957-7733906,Predicted membrane proteins,Evidence at protein level,"CAB003789, HPA014044",Enhanced,,,,,Mixed,Group enriched,6,adipose tissue: 18.7;liver: 27.6;lymph node: 16.8,urinary bladder: 3.4,Not detected,,
21,GHR,GHBP,ENSG00000112964,Growth hormone receptor,5,42423777-42721878,"Disease related genes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,"HPA045339, HPA057705",Enhanced,,Supported,Plasma membrane<br>Cytosol<br>Cytoplasmic bodies,Liver cancer:2.73e-6 (favourable),Mixed,Group enriched,6,adipose tissue: 91.4;liver: 110.5,prostate: 18.0,Group enriched,7.0,HSkMC: 15.4;T-47d: 52.5
22,GPIHBP1,"GPI-HBP1, LOC338328",ENSG00000277494,Glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,8,143213193-143217170,"Disease related genes, Predicted secreted proteins",Evidence at protein level,HPA066302,Enhanced,,,,,Mixed,Group enriched,6,adipose tissue: 94.2;lung: 33.0,skeletal muscle: 10.5,Cell line enhanced,,Karpas-707: 2.3
23,SPX,"C12orf39, MGC10946, NPQ, spexin",ENSG00000134548,Spexin hormone,12,21526307-21537377,Predicted secreted proteins,Evidence at protein level,,,,,,Renal cancer:1.31e-6 (favourable),Tissue enhanced,Group enriched,6,adipose tissue: 53.7;placenta: 13.5,thyroid gland: 6.1,Cell line enhanced,,CACO-2: 11.2;HBEC3-KT: 4.9;hTERT-HME1: 6.9;U-2 OS: 4.4
