,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABC7-42404400C24.1,,ENSG00000277758,,10,47750864-47763592,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,"HPA036971, HPA036972, HPA064559",Approved,,Approved,Golgi apparatus,,Not detected,Tissue enhanced,,cerebral cortex: 13.8;lung: 19.3,skin: 5.7,Cell line enriched,7.0,SK-BR-3: 45.1
1,ABCA3,"ABC-C, ABC3, EST111653, LBM180",ENSG00000167972,ATP binding cassette subfamily A member 3,16,2275881-2340746,"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA007884,Enhanced,,Approved,Nucleoplasm<br>Cytosol,,Expressed in all,Tissue enhanced,,lung: 135.5,cerebral cortex: 51.5,Cell line enhanced,,SCLC-21H: 53.9;T-47d: 71.7
2,ACP5,"HPAP, TRAP",ENSG00000102575,"Acid phosphatase 5, tartrate resistant",19,11574660-11579008,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB002584, HPA057655, HPA059463",Enhanced,,Approved,Cytosol,,Expressed in all,Tissue enhanced,,lung: 254.0,lymph node: 86.3,Cell line enhanced,,BEWO: 36.2;SK-MEL-30: 85.3;U-138 MG: 97.5
3,ADAMTS8,"ADAM-TS8, FLJ41712, METH2",ENSG00000134917,ADAM metallopeptidase with thrombospondin type 1 motif 8,11,130404925-130428993,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Evidence at transcript level,HPA066349,Approved,,,,Endometrial cancer:1.38e-4 (favourable),Tissue enhanced,Tissue enhanced,,appendix: 10.9;lung: 15.5,seminal vesicle: 5.5,Cell line enhanced,,HMC-1: 3.2;NTERA-2: 1.8;U-2 OS: 8.7
4,ADGRF5,"DKFZp564O1923, GPR116, KIAA0758",ENSG00000069122,Adhesion G protein-coupled receptor F5,6,46852512-46954943,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,,,,,,Renal cancer:8.84e-5 (favourable),Expressed in all,Tissue enhanced,,lung: 157.8,adipose tissue: 76.2,Group enriched,8.0,HUVEC TERT2: 20.7;TIME: 61.2
5,AGBL1,"CCP4, FLJ32310",ENSG00000273540,ATP/GTP binding protein like 1,15,86079973-87029052,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Tissue enhanced,,lung: 1.3;skeletal muscle: 4.4,esophagus: 1.0,Not detected,,
6,ALDH3B1,ALDH7,ENSG00000006534,Aldehyde dehydrogenase 3 family member B1,11,68008578-68029282,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA038525,Uncertain,,,,"Colorectal cancer:1.18e-4 (unfavourable), Pancreatic cancer:6.07e-4 (unfavourable)",Expressed in all,Tissue enhanced,,fallopian tube: 64.4;lung: 67.7,bone marrow: 30.7,Cell line enhanced,,A549: 137.9;CAPAN-2: 136.9
7,ALOX15,15-LOX-1,ENSG00000161905,Arachidonate 15-lipoxygenase,17,4630902-4642294,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB004962, CAB004963, HPA013859",Approved,,,,,Mixed,Tissue enhanced,,fallopian tube: 19.6;lung: 9.8,breast: 4.7,Group enriched,7.0,HMC-1: 13.6;MCF7: 10.8;T-47d: 3.9
8,ALOX5,5-LOX,ENSG00000012779,Arachidonate 5-lipoxygenase,10,45374176-45446119,"Enzymes, FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,HPA071285,Enhanced,,Supported,Nucleoplasm,"Renal cancer:1.80e-5 (unfavourable), Urothelial cancer:7.18e-4 (favourable)",Expressed in all,Tissue enhanced,,lung: 41.3,bone marrow: 28.8,Cell line enhanced,,BEWO: 10.4;Daudi: 22.8;HMC-1: 20.7;RT4: 14.0;U-266/70: 11.3
9,ALPL,"HOPS, TNSALP",ENSG00000162551,"Alkaline phosphatase, liver/bone/kidney",1,21509372-21578412,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA007105, HPA008765, CAB020829",Enhanced,,Approved,Cytosol,Melanoma:7.08e-4 (unfavourable),Expressed in all,Tissue enhanced,,lung: 78.8,kidney: 47.2,Group enriched,8.0,HAP1: 31.9;HSkMC: 126.3;hTEC/SVTERT24-B: 139.0;LHCN-M2: 85.3;NTERA-2: 40.7;SCLC-21H: 103.8
