,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AC007325.4,,ENSG00000278817,,Unmapped,131494-137392,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Tissue enhanced,,cerebral cortex: 27.4;heart muscle: 34.4;skeletal muscle: 40.5,thyroid gland: 14.9,Cell line enhanced,,A549: 14.5;T-47d: 10.8
1,ADCY5,AC5,ENSG00000173175,Adenylate cyclase 5,3,123282296-123449758,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA017730, HPA077682",Uncertain,,Enhanced,Intermediate filaments,Renal cancer:7.46e-6 (favourable),Mixed,Tissue enhanced,,heart muscle: 69.1,"prostate,seminal vesicle: 30.0",Cell line enhanced,,MCF7: 11.9;RPTEC TERT1: 4.0
2,AKAP6,"ADAP6, AKAP100, KIAA0311, mAKAP, PRKA6",ENSG00000151320,A-kinase anchoring protein 6,14,32329273-32837681,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB001983, HPA048741",Enhanced,,,,,Mixed,Tissue enhanced,,cerebral cortex: 49.0;heart muscle: 36.0,skeletal muscle: 16.6,Cell line enhanced,,fHDF/TERT166: 12.2
3,ALPK2,HAK,ENSG00000198796,Alpha kinase 2,18,58481247-58628957,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA027377, HPA027976, HPA028084, HPA029801",Uncertain,,Approved,Cytosol,Renal cancer:8.20e-5 (unfavourable),Tissue enriched,Tissue enhanced,,heart muscle: 28.6;skeletal muscle: 14.1,lymph node: 6.9,Cell line enhanced,,BJ: 44.5;BJ hTERT+: 25.8;fHDF/TERT166: 37.1;U-138 MG: 25.6
4,ALPK3,"KIAA1330, MAK, Midori",ENSG00000136383,Alpha kinase 3,15,84816680-84873482,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA026558,Uncertain,,Approved,Nucleus,Renal cancer:3.95e-7 (favourable),Mixed,Tissue enhanced,,heart muscle: 32.8;parathyroid gland: 36.2;skeletal muscle: 47.6,adipose tissue: 12.3,Cell line enhanced,,BEWO: 12.8;HUVEC TERT2: 12.1;LHCN-M2: 16.5;NTERA-2: 12.1;RH-30: 34.1
5,ASB15,FLJ43370,ENSG00000146809,Ankyrin repeat and SOCS box containing 15,7,123567010-123639481,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enhanced,,heart muscle: 19.2;skeletal muscle: 43.9,kidney: 7.5,Not detected,,
6,ATP1A3,DYT12,ENSG00000105409,ATPase Na+/K+ transporting subunit alpha 3,19,41966582-41997497,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB033630, HPA045367, HPA056446",Enhanced,,,,"Renal cancer:3.02e-6 (unfavourable), Pancreatic cancer:6.15e-5 (favourable), Ovarian cancer:3.44e-4 (unfavourable)",Group enriched,Tissue enhanced,,cerebral cortex: 378.4;heart muscle: 86.0,testis: 54.5,Cell line enhanced,,Daudi: 39.5;SCLC-21H: 148.3;SH-SY5Y: 57.8
7,BCO2,"B-DIOX-II, BCDO2, FLJ34464",ENSG00000197580,Beta-carotene oxygenase 2,11,112175467-112224699,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA039825, HPA040695",Uncertain,,,,,Mixed,Tissue enhanced,,heart muscle: 21.7;liver: 25.7,adrenal gland: 16.9,Cell line enhanced,,CAPAN-2: 5.2;HHSteC: 10.3
8,C15orf41,"FLJ22851, HH114, MGC11326",ENSG00000186073,Chromosome 15 open reading frame 41,15,36579611-36810248,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA061023,Uncertain,,Approved,Nucleoplasm,,Mixed,Tissue enhanced,,heart muscle: 63.4,smooth muscle: 14.3,Expressed in all,,
9,CDH2,"CD325, CDHN, NCAD",ENSG00000170558,Cadherin 2,18,27950966-28177446,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB000141, CAB018580, HPA058574, CAB078686",Enhanced,,Supported,Plasma membrane<br>Cell Junctions,,Expressed in all,Tissue enhanced,,heart muscle: 123.5;parathyroid gland: 126.2,adrenal gland: 87.3,Cell line enhanced,,AF22: 306.2;fHDF/TERT166: 367.9
10,CHRM2,,ENSG00000181072,Cholinergic receptor muscarinic 2,7,136868669-137020255,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,"CAB022338, HPA029795",Approved,,,,,Tissue enhanced,Tissue enhanced,,gallbladder: 18.3;heart muscle: 25.8;smooth muscle: 13.7,urinary bladder: 5.9,Cell line enhanced,,BJ: 14.1;BJ hTERT+: 15.2;fHDF/TERT166: 71.3;HHSteC: 10.8
11,CORIN,"ATC2, CRN, Lrp4, PRSC, TMPRSS10",ENSG00000145244,"Corin, serine peptidase",4,47593998-47838106,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA070941,,,Approved,Nuclear bodies<br>Plasma membrane<br>Actin filaments,,Mixed,Tissue enhanced,,heart muscle: 38.6,skin: 9.4,Group enriched,6.0,ASC diff: 7.2;ASC TERT1: 31.6
12,CRIP2,"CRP2, ESP1",ENSG00000182809,Cysteine rich protein 2,14,105472962-105480170,Predicted intracellular proteins,Evidence at protein level,HPA042664,Approved,,Approved,Nucleus<br>Nucleoli<br>Plasma membrane,,Expressed in all,Tissue enhanced,,heart muscle: 315.6,fallopian tube: 115.7,Cell line enhanced,,MCF7: 206.8
13,CRIP3,"bA480N24.2, TLP, TLP-A",ENSG00000146215,Cysteine rich protein 3,6,43299710-43308797,Predicted intracellular proteins,Evidence at protein level,HPA036198,Uncertain,,Approved,Nuclear speckles,,Tissue enhanced,Tissue enhanced,,heart muscle: 15.9;testis: 15.5,seminal vesicle: 11.8,Cell line enhanced,,HAP1: 2.9;HEK93: 3.1;HeLa: 2.4;Hep G2: 4.5;NTERA-2: 5.8;RPMI-8226: 3.4
14,CRYAB,"CRYA2, HSPB5",ENSG00000109846,Crystallin alpha B,11,111908565-111923722,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB002053, CAB040560, HPA057100",Enhanced,,Enhanced,Plasma membrane<br>Cytosol,"Urothelial cancer:1.70e-5 (unfavourable), Colorectal cancer:4.90e-5 (unfavourable)",Group enriched,Tissue enhanced,,heart muscle: 3968.4,cerebral cortex: 1888.7,Cell line enhanced,,ASC diff: 1679.2;fHDF/TERT166: 650.9;U-138 MG: 315.9
15,CTNNA3,"MGC26194, VR22",ENSG00000183230,Catenin alpha 3,10,65912518-67696169,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA061818,Enhanced,,,,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 8.5;heart muscle: 12.4,liver: 4.4,Cell line enhanced,,Daudi: 1.7;NTERA-2: 1.7;RPMI-8226: 1.6;SCLC-21H: 1.8;U-266/70: 5.0
16,DAND5,"CER2, CKTSF1B3, Coco, DANTE, DTE, FLJ38607, GREM3",ENSG00000179284,DAN domain BMP antagonist family member 5,19,12965159-12974762,Predicted secreted proteins,Evidence at transcript level,"HPA043493, HPA049472",Uncertain,,Approved,Mitochondria,,Mixed,Tissue enhanced,,heart muscle: 5.2,"bone marrow,cerebral cortex: 1.3",Cell line enriched,16.0,SH-SY5Y: 19.9
17,DES,"CMD1I, CSM1, CSM2",ENSG00000175084,Desmin,2,219418377-219426739,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB000034, HPA018803",Enhanced,,Supported,Intermediate filaments,Renal cancer:5.08e-4 (unfavourable),Expressed in all,Tissue enhanced,,heart muscle: 4151.2;skeletal muscle: 5462.0;smooth muscle: 3601.2,seminal vesicle: 3128.9,Cell line enhanced,,HSkMC: 50.9;LHCN-M2: 120.4;RH-30: 321.1
18,DIRAS1,"Di-Ras1, GBTS1, RIG",ENSG00000176490,DIRAS family GTPase 1,19,2714567-2721418,Predicted intracellular proteins,Evidence at protein level,,,,,,Pancreatic cancer:4.78e-4 (favourable),Tissue enhanced,Tissue enhanced,,cerebral cortex: 70.9;heart muscle: 42.5,parathyroid gland: 23.9,Cell line enhanced,,HMC-1: 37.7;REH: 44.4
19,DKK3,"REIC, RIG",ENSG00000050165,Dickkopf WNT signaling pathway inhibitor 3,11,11963106-12009769,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA011868, CAB024949",Approved,,Approved,Vesicles,Renal cancer:6.31e-5 (unfavourable),Expressed in all,Tissue enhanced,,cerebral cortex: 373.5;heart muscle: 805.5,"cervix, uterine: 138.8",Cell line enhanced,,BJ: 355.1;BJ hTERT+: 524.6;fHDF/TERT166: 475.8;TIME: 285.3
20,DOK7,"C4orf25, Dok-7, FLJ33718, FLJ39137",ENSG00000175920,Docking protein 7,4,3463311-3494483,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA059449, HPA062780",Approved,,Supported,Nucleoplasm<br>Mitochondria,"Breast cancer:8.45e-5 (favourable), Urothelial cancer:1.28e-4 (favourable), Endometrial cancer:2.19e-4 (favourable)",Tissue enhanced,Tissue enhanced,,fallopian tube: 6.7;heart muscle: 11.1,skeletal muscle: 4.7,Cell line enhanced,,MCF7: 27.3;RH-30: 6.5;T-47d: 7.4
21,FAM155B,"CXorf63, TED, TMEM28",ENSG00000130054,Family with sequence similarity 155 member B,X,69505241-69532508,Predicted membrane proteins,Evidence at transcript level,HPA036093,Uncertain,,,,"Breast cancer:4.61e-5 (unfavourable), Prostate cancer:1.83e-4 (unfavourable), Renal cancer:6.63e-4 (favourable)",Mixed,Tissue enhanced,,heart muscle: 10.8;seminal vesicle: 8.5;thyroid gland: 16.7,cerebral cortex: 2.5,Cell line enhanced,,AN3-CA: 8.3;HAP1: 20.7;NTERA-2: 27.5;SCLC-21H: 15.3
22,FGF12,"FGF12B, FHF1",ENSG00000114279,Fibroblast growth factor 12,3,192139395-192767764,"Disease related genes, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,HPA071557,,,Approved,Nucleoplasm<br>Cytosol,,Mixed,Tissue enhanced,,adrenal gland: 46.7;cerebral cortex: 52.4;heart muscle: 89.9,spleen: 16.2,Cell line enhanced,,AF22: 14.9;NTERA-2: 10.3;SCLC-21H: 28.2;U-251 MG: 12.2;WM-115: 17.4
23,FGF18,"FGF-18, ZFGF5",ENSG00000156427,Fibroblast growth factor 18,5,171419656-171457623,"Cancer-related genes, Predicted secreted proteins, RAS pathway related proteins",Evidence at protein level,HPA018795,Uncertain,,,,,Group enriched,Tissue enhanced,,heart muscle: 6.6,adipose tissue: 1.9,Cell line enriched,61.0,EFO-21: 178.4
24,FHOD3,"FHOS2, FLJ22297, FLJ22717, KIAA1695",ENSG00000134775,Formin homology 2 domain containing 3,18,36297714-36780055,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA021827, HPA024696",Uncertain,,,,Renal cancer:1.19e-5 (favourable),Mixed,Tissue enhanced,,heart muscle: 96.5;seminal vesicle: 88.0,epididymis: 51.4,Cell line enhanced,,BJ hTERT+: 58.7;HDLM-2: 74.2
