,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AC007325.2,,ENSG00000277196,,Unmapped,138082-161852,Predicted intracellular proteins,Evidence at transcript level,HPA020361,Uncertain,,,,,,Tissue enhanced,,skin: 38.5;small intestine: 37.1,duodenum: 29.0,Cell line enriched,7.0,RPTEC TERT1: 137.9
1,ACPT,,ENSG00000142513,"Acid phosphatase, testicular",19,50790415-50795224,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,skin: 1.4;testis: 2.2,parathyroid gland: 0.5,Cell line enhanced,,HEK93: 1.3;U-266/84: 1.3
2,ACSBG1,"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352",ENSG00000103740,Acyl-CoA synthetase bubblegum family member 1,15,78167468-78245688,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA041642, CAB045955, HPA058869",Approved,,Approved,Vesicles,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 25.6;skin: 13.3,adrenal gland: 8.1,Cell line enhanced,,NTERA-2: 3.3
3,ADGRF2,"GPR111, hGPCR35, PGR20",ENSG00000164393,Adhesion G protein-coupled receptor F2,6,47656436-47697797,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,HPA035507,Uncertain,,,,,Not detected,Tissue enhanced,,fallopian tube: 1.5;skin: 1.4,esophagus: 0.3,Not detected,,
4,AIM1L,"CRYBG2, FLJ38020",ENSG00000176092,Absent in melanoma 1-like,1,26321859-26360052,Predicted intracellular proteins,Evidence at protein level,"HPA029629, HPA029631",Uncertain,,Approved,Nucleoplasm,"Endometrial cancer:5.11e-6 (unfavourable), Pancreatic cancer:3.53e-4 (unfavourable)",Mixed,Tissue enhanced,,esophagus: 51.2;skin: 21.5,placenta: 13.7,Cell line enhanced,,BEWO: 33.9;CACO-2: 36.7;CAPAN-2: 27.8
5,AJUBA,"JUB, MGC15563",ENSG00000129474,Ajuba LIM protein,14,22971174-22982642,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,HPA006171,Approved,,Approved,Nucleus<br>Golgi apparatus,Pancreatic cancer:5.67e-4 (unfavourable),Expressed in all,Tissue enhanced,,skin: 73.7,placenta: 28.0,Mixed,,
6,AL513523.2,,ENSG00000279767,,1,153772371-153774079,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,lymph node: 1.4;skin: 3.5,"cerebral cortex,lung: 0.8",Cell line enhanced,,MCF7: 7.6;SK-BR-3: 5.9;THP-1: 5.5
7,ALS2CL,"DKFZp686I0110, FLJ36525, RN49018",ENSG00000178038,ALS2 C-terminal like,3,46668997-46693704,Predicted intracellular proteins,Evidence at protein level,"CAB046465, HPA048301",Uncertain,,,,Endometrial cancer:8.10e-4 (unfavourable),Expressed in all,Tissue enhanced,,skin: 38.8,esophagus: 15.8,Cell line enhanced,,CAPAN-2: 30.1;HaCaT: 16.9;HBEC3-KT: 25.9;hTCEpi: 18.1;RT4: 15.4
8,ANKK1,X-kinase,ENSG00000170209,Ankyrin repeat and kinase domain containing 1,11,113387791-113400418,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA012813,Uncertain,,,,,Mixed,Tissue enhanced,,skin: 4.2,fallopian tube: 1.3,Cell line enhanced,,hTCEpi: 1.5
9,ANKRD22,MGC22805,ENSG00000152766,Ankyrin repeat domain 22,10,88822132-88851818,Predicted intracellular proteins,Evidence at protein level,HPA012922,Approved,,Approved,Nucleus,"Endometrial cancer:8.73e-6 (favourable), Pancreatic cancer:6.15e-4 (unfavourable)",Expressed in all,Tissue enhanced,,skin: 38.6;stomach: 49.2,esophagus: 27.0,Cell line enhanced,,A-431: 13.9;CAPAN-2: 43.6;RT4: 27.0;T-47d: 21.2
10,ANXA8,ANX8,ENSG00000265190,Annexin A8,10,47460162-47484158,Predicted intracellular proteins,Evidence at protein level,"HPA045246, HPA047451",,,Approved,Nucleoplasm,"Pancreatic cancer:2.68e-4 (unfavourable), Head and neck cancer:6.07e-4 (unfavourable)",Tissue enhanced,Tissue enhanced,,esophagus: 229.1;skin: 368.9,urinary bladder: 64.2,Cell line enhanced,,HaCaT: 409.1;HBEC3-KT: 486.4;hTCEpi: 269.3
11,APCDD1,B7323,ENSG00000154856,APC down-regulated 1,18,10454628-10489948,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,,,,,,Endometrial cancer:6.39e-4 (favourable),Expressed in all,Tissue enhanced,,skin: 153.1,cerebral cortex: 60.6,Cell line enhanced,,AF22: 31.6;BJ hTERT+: 56.8;HaCaT: 37.9;HSkMC: 28.6
12,ARHGEF19,"FLJ33962, WGEF",ENSG00000142632,Rho guanine nucleotide exchange factor 19,1,16197854-16212609,Predicted intracellular proteins,Evidence at protein level,HPA068108,,,Approved,Nuclear bodies,"Renal cancer:8.88e-5 (unfavourable), Lung cancer:6.53e-4 (favourable)",Expressed in all,Tissue enhanced,,skin: 20.9,thyroid gland: 11.5,Cell line enhanced,,T-47d: 23.8
13,ARHGEF4,"ASEF, KIAA1112, STM6",ENSG00000136002,Rho guanine nucleotide exchange factor 4,2,130836916-131047263,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA018267,Approved,,,,Testis cancer:7.00e-4 (favourable),Mixed,Tissue enhanced,,cerebral cortex: 61.6;skin: 44.1,esophagus: 14.5,Cell line enhanced,,HaCaT: 31.5;hTCEpi: 52.8;SCLC-21H: 52.6
14,ARR3,ARRX,ENSG00000120500,Arrestin 3,X,70268305-70281840,Predicted intracellular proteins,Evidence at protein level,HPA063129,Supported,,,,,Not detected,Tissue enhanced,,skin: 2.7,lymph node: 1.1,Cell line enhanced,,Karpas-707: 1.5
15,ATG9B,"APG9L2, FLJ14885, NOS3AS, SONE",ENSG00000181652,Autophagy related 9B,7,151012209-151024499,Predicted membrane proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enhanced,,esophagus: 9.2;placenta: 5.8;skin: 13.5,testis: 3.8,Cell line enhanced,,BEWO: 12.5;CAPAN-2: 3.7
16,ATP6V1C2,"ATP6C2, VMA5",ENSG00000143882,ATPase H+ transporting V1 subunit C2,2,10721649-10785110,"Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA034734, HPA067305",Approved,,Uncertain,Mitochondria,Renal cancer:1.12e-11 (unfavourable),Mixed,Tissue enhanced,,"cervix, uterine: 83.9;epididymis: 99.0;skin: 123.7",placenta: 55.1,Group enriched,9.0,BEWO: 71.4;SK-BR-3: 20.0
17,AWAT2,"DGAT2L4, MFAT",ENSG00000147160,Acyl-CoA wax alcohol acyltransferase 2,X,70040542-70049938,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA062748,Approved,,,,,Tissue enriched,Tissue enhanced,,breast: 2.0;skin: 1.2,testis: 0.5,Not detected,,
18,B3GNT4,"B3GN-T4, beta3Gn-T4",ENSG00000176383,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",12,122203543-122208952,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA055261,Uncertain,,Approved,Nucleoli<br>Mitochondria,Renal cancer:3.52e-6 (unfavourable),Mixed,Tissue enhanced,,cerebral cortex: 4.3;skin: 2.9,kidney: 1.9,Cell line enhanced,,HDLM-2: 4.5;hTCEpi: 4.9;T-47d: 5.0
19,BCL11A,"BCL11A-L, BCL11A-S, BCL11A-XL, CTIP1, EVI9, HBFQTL5, ZNF856",ENSG00000119866,B-cell CLL/lymphoma 11A,2,60451167-60553567,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB014891, HPA029003",Enhanced,,Enhanced,Nucleoplasm<br>Nuclear bodies,,Mixed,Tissue enhanced,,skin: 41.0,tonsil: 30.6,Cell line enhanced,,Daudi: 24.7;MOLT-4: 28.5;REH: 32.5;U-698: 43.2
20,BCL11B,"CTIP-2, CTIP2, hRIT1-alpha, ZNF856B",ENSG00000127152,B-cell CLL/lymphoma 11B,14,99169287-99271524,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA049117,Enhanced,Supported,Approved,Nucleus<br>Nucleoli fibrillar center,Urothelial cancer:7.48e-4 (favourable),Mixed,Tissue enhanced,,lymph node: 12.2;skin: 18.7,tonsil: 7.4,Cell line enriched,6.0,MOLT-4: 41.1
21,BCL2L10,"BCL-B, Boo, Diva",ENSG00000137875,BCL2 like 10,15,52109263-52112775,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA042222,Approved,,,,,Mixed,Tissue enhanced,,skin: 6.1,kidney: 3.3,Group enriched,8.0,NB-4: 21.5;SiHa: 4.5
22,BICDL1,"BICDR-1, CCDC64, FLJ26450",ENSG00000135127,BICD family like cargo adaptor 1,12,119989869-120094494,Predicted intracellular proteins,Evidence at protein level,HPA061116,Enhanced,,Approved,Nucleoplasm<br>Vesicles<br>Cytosol,"Stomach cancer:1.21e-5 (favourable), Renal cancer:3.93e-5 (favourable), Head and neck cancer:3.15e-4 (favourable), Cervical cancer:6.50e-4 (favourable), Liver cancer:6.84e-4 (unfavourable)",Expressed in all,Tissue enhanced,,kidney: 73.9;skin: 58.6,epididymis: 45.6,Cell line enhanced,,hTCEpi: 35.3;SCLC-21H: 36.3
23,BICDL2,CCDC64B,ENSG00000162069,BICD family like cargo adaptor 2,16,3027682-3036926,Predicted intracellular proteins,Evidence at protein level,HPA043251,Uncertain,,Approved,Intermediate filaments<br>Actin filaments<br>Cytosol,Urothelial cancer:9.04e-4 (favourable),Mixed,Tissue enhanced,,skin: 28.5,stomach: 17.2,Cell line enhanced,,BEWO: 14.7;CAPAN-2: 12.6;HaCaT: 19.6;MCF7: 17.2;T-47d: 13.1
24,C11orf80,"FLJ22531, TOPOVIBL",ENSG00000173715,Chromosome 11 open reading frame 80,11,66744451-66843328,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA038932, HPA038933",Approved,,Approved,Centrosome,,Expressed in all,Tissue enhanced,,skin: 48.2,testis: 26.7,Mixed,,
25,C15orf62,LOC643338,ENSG00000188277,Chromosome 15 open reading frame 62,15,40770080-40772449,Predicted intracellular proteins,Evidence at protein level,HPA044636,Approved,,,,,Mixed,Tissue enhanced,,esophagus: 14.9;skin: 12.6,tonsil: 4.6,Cell line enhanced,,RPTEC TERT1: 13.6
26,C1QTNF9B,CTRP9B,ENSG00000205863,C1q and tumor necrosis factor related protein 9B,13,23890525-23902655,Predicted secreted proteins,Evidence at protein level,HPA056632,Uncertain,,,,,Tissue enhanced,Tissue enhanced,,skin: 9.4,testis: 3.3,Not detected,,
27,C2CD4D,FAM148D,ENSG00000225556,C2 calcium dependent domain containing 4D,1,151837819-151840557,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enhanced,,skin: 1.9,cerebral cortex: 1.2,Cell line enriched,8.0,HDLM-2: 17.9
