,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PSG1,"CD66f, PBG1, PSBG1, PSGGA",ENSG00000231924,Pregnancy specific beta-1-glycoprotein 1,19,42866464-42879822,"CD markers, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA046327,Approved,,,,,Tissue enhanced,Tissue enriched,377,placenta: 362.6,"smooth muscle,spleen: 0.9",Cell line enriched,23.0,U-2197: 384.6
1,CSHL1,"CS-5, CSHP1, CSL, hCS-L, MGC149868",ENSG00000204414,Chorionic somatomammotropin hormone like 1,17,63909597-63918838,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB025646, HPA043715",Enhanced,,,,,Not detected,Tissue enriched,352,placenta: 216.7,smooth muscle: 0.6,Not detected,,
2,PSG2,"CEA, PSBG2, PSG1, PSGGB",ENSG00000242221,Pregnancy specific beta-1-glycoprotein 2,19,43064211-43083045,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Not detected,Tissue enriched,222,placenta: 343.4,smooth muscle: 1.5,Group enriched,6.0,BJ: 9.2;fHDF/TERT166: 18.4;HBF TERT88: 34.3;U-2197: 42.9
3,CSH1,"CSA, CSMT, FLJ75407, hCS-A, PL",ENSG00000136488,Chorionic somatomammotropin hormone 1,17,63894909-63896661,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB026374, HPA043715",Enhanced,,,,,Tissue enriched,Tissue enriched,211,placenta: 13487.0,smooth muscle: 63.9,Cell line enriched,6.0,BEWO: 11.1
4,GH2,"GH-V, GHL, GHV, hGH-V",ENSG00000136487,Growth hormone 2,17,63880215-63881935,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,HPA043715,Supported,,,,,Not detected,Tissue enriched,199,placenta: 189.1,smooth muscle: 0.9,Cell line enriched,21.0,BEWO: 7.8
5,CSH2,"CS-2, CSB, hCS-B",ENSG00000213218,Chorionic somatomammotropin hormone 2,17,63872012-63873766,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA043715,Supported,,,,,Tissue enhanced,Tissue enriched,193,placenta: 3932.3,smooth muscle: 20.4,Cell line enriched,27.0,BEWO: 7.7
6,XAGE3,"CT12.3a, CT12.3b, GAGED4, PLAC6, pp9012, XAGE-3",ENSG00000171402,X antigen family member 3,X,52862525-52868068,Predicted intracellular proteins,Evidence at protein level,"HPA052507, HPA059045, HPA060900",Approved,,,,,Mixed,Tissue enriched,167,placenta: 575.4,adipose tissue: 3.4,Cell line enhanced,,BEWO: 1.2;U-266/70: 1.6;U-266/84: 1.4
7,PSG3,,ENSG00000221826,Pregnancy specific beta-1-glycoprotein 3,19,42721638-42740569,Predicted secreted proteins,Evidence at protein level,HPA046327,Approved,,,,,Not detected,Tissue enriched,162,placenta: 188.8,testis: 1.1,Cell line enriched,6.0,U-2197: 1.2
8,HBG2,HBG-T1,ENSG00000196565,Hemoglobin subunit gamma 2,11,5253190-5645789,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB016143, HPA043234",Approved,,Approved,Vesicles,,Not detected,Tissue enriched,147,placenta: 18253.8,bone marrow: 124.0,Group enriched,301.0,HEL: 12101.5;K-562: 8442.3
9,PSG9,"PSG11, PSGII",ENSG00000183668,Pregnancy specific beta-1-glycoprotein 9,19,43211791-43269530,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA046327,Approved,,,,,Not detected,Tissue enriched,118,placenta: 147.0,smooth muscle: 1.2,Cell line enhanced,,BJ: 4.4;BJ hTERT+ SV40 Large T+: 4.2;HBF TERT88: 9.0;T-47d: 4.0;U-2197: 9.0
