,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ACAN,"AGC1, CSPG1, CSPGCP, MSK16",ENSG00000157766,Aggrecan,15,88803443-88875354,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB016377, HPA038241, HPA038242",Enhanced,,,,Renal cancer:1.47e-6 (unfavourable),Mixed,Tissue enhanced,,seminal vesicle: 5.0,testis: 3.3,Cell line enriched,5.0,WM-115: 28.1
1,ACTG2,"ACTA3, ACTL3, ACTSG",ENSG00000163017,"Actin, gamma 2, smooth muscle, enteric",2,73892314-73919865,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA041264, HPA041271",Supported,,,,Renal cancer:3.95e-7 (unfavourable),Expressed in all,Tissue enhanced,,seminal vesicle: 8158.9;smooth muscle: 11634.7,prostate: 3438.5,Cell line enhanced,,BEWO: 57.4;BJ hTERT+ SV40 Large T+: 177.9;U-251 MG: 176.7
2,ADGRD2,"GPR144, PGR24",ENSG00000180264,Adhesion G protein-coupled receptor D2,9,124451425-124478589,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,seminal vesicle: 1.8,skin: 0.5,Not detected,,
3,ADRA2C,"ADRA2L2, ADRA2RL2, ADRARL2",ENSG00000184160,Adrenoceptor alpha 2C,4,3766348-3768526,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,HPA057688,Uncertain,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 20.9;endometrium: 26.0;seminal vesicle: 26.8",fallopian tube: 7.9,Cell line enhanced,,Hep G2: 9.0;MCF7: 16.8;SCLC-21H: 9.5;SH-SY5Y: 10.3
4,ANGPT1,"Ang1, KIAA0003",ENSG00000154188,Angiopoietin 1,8,107249482-107498055,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins",Evidence at protein level,"CAB017815, HPA018793, HPA018816",Enhanced,,,,Renal cancer:4.40e-4 (favourable),Mixed,Tissue enhanced,,seminal vesicle: 46.2,lung: 32.9,Cell line enhanced,,ASC diff: 60.0;HEL: 46.9;HSkMC: 105.6;U-138 MG: 70.1;WM-115: 46.8
5,ANGPTL7,"AngX, CDT6",ENSG00000171819,Angiopoietin like 7,1,11189341-11195981,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enriched,Tissue enhanced,,seminal vesicle: 9.3,gallbladder: 5.8,Cell line enriched,434.0,SCLC-21H: 48.4
6,ANO1,"DOG1, FLJ10261, ORAOV2, TAOS2, TMEM16A",ENSG00000131620,Anoctamin 1,11,70078302-70189528,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA032148, HPA057356",Enhanced,,,,"Renal cancer:4.09e-6 (unfavourable), Endometrial cancer:4.58e-6 (favourable), Head and neck cancer:7.28e-5 (unfavourable), Pancreatic cancer:1.70e-4 (unfavourable), Lung cancer:2.40e-4 (unfavourable)",Expressed in all,Tissue enhanced,,epididymis: 220.9;seminal vesicle: 298.5,skin: 115.8,Group enriched,5.0,A-431: 121.8;CAPAN-2: 182.7;HaCaT: 224.5
7,ARHGAP6,rhoGAPX-1,ENSG00000047648,Rho GTPase activating protein 6,X,11137543-11665701,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA036779, HPA064390",Enhanced,,,,Renal cancer:1.55e-8 (favourable),Tissue enhanced,Tissue enhanced,,prostate: 44.3;seminal vesicle: 43.3,thyroid gland: 42.4,Cell line enhanced,,ASC TERT1: 23.8;HEL: 32.1;HMC-1: 21.3;HSkMC: 24.5;K-562: 23.6
8,C12orf75,"AGD3, OCC-1, OCC1",ENSG00000235162,Chromosome 12 open reading frame 75,12,105235290-105396097,Predicted intracellular proteins,Evidence at protein level,HPA065311,Uncertain,,Approved,Vesicles,"Renal cancer:1.69e-5 (favourable), Liver cancer:1.70e-4 (unfavourable)",Expressed in all,Tissue enhanced,,seminal vesicle: 138.7,prostate: 61.0,Expressed in all,,
9,C2orf40,"augurin, ECRG4",ENSG00000119147,Chromosome 2 open reading frame 40,2,106063246-106078159,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,HPA008546,Uncertain,,,,Breast cancer:4.58e-4 (favourable),Tissue enriched,Tissue enhanced,,seminal vesicle: 116.4;thyroid gland: 128.1,prostate: 61.6,Not detected,,
10,CA14,,ENSG00000118298,Carbonic anhydrase 14,1,150257159-150265078,"Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA008482,Approved,,Approved,Plasma membrane,,Group enriched,Tissue enhanced,,cerebral cortex: 10.6;seminal vesicle: 21.2,skeletal muscle: 9.4,Group enriched,23.0,AF22: 83.4;AN3-CA: 46.6;NTERA-2: 65.8;SK-MEL-30: 134.5
11,CALD1,"CDM, H-CAD, L-CAD",ENSG00000122786,Caldesmon 1,7,134744252-134970728,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB000006, HPA008066, HPA017330",Enhanced,,Enhanced,Plasma membrane<br>Actin filaments,"Renal cancer:1.84e-5 (unfavourable), Melanoma:3.73e-4 (unfavourable)",Expressed in all,Tissue enhanced,,seminal vesicle: 1289.8,smooth muscle: 1185.8,Cell line enhanced,,fHDF/TERT166: 910.7
