,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ACAP1,"CENTB1, KIAA0050",ENSG00000072818,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",17,7336529-7351478,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA075570,Approved,,Approved,Golgi apparatus,"Renal cancer:1.65e-10 (unfavourable), Endometrial cancer:2.97e-5 (favourable), Head and neck cancer:4.17e-5 (favourable), Cervical cancer:3.66e-4 (favourable)",Expressed in all,Tissue enhanced,,lymph node: 94.2,spleen: 69.8,Cell line enhanced,,HDLM-2: 59.1;Karpas-707: 44.7;NB-4: 49.0
1,ADGRG5,"GPR114, PGR27",ENSG00000159618,Adhesion G protein-coupled receptor G5,16,57542421-57591681,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA007133,Enhanced,,Approved,Nucleoplasm<br>Nuclear membrane<br>Vesicles,Cervical cancer:4.25e-4 (favourable),Mixed,Tissue enhanced,,lymph node: 11.2;tonsil: 8.8,"appendix,spleen: 5.9",Cell line enriched,8.0,HMC-1: 31.8
2,ADORA2A,"ADORA2, RDC8",ENSG00000128271,Adenosine A2a receptor,22,24417879-24442360,"Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB001943, HPA065566, HPA075997",Enhanced,Supported,,,,Not detected,Tissue enhanced,,bone marrow: 24.6;lymph node: 22.7,appendix: 17.8,Cell line enhanced,,Karpas-707: 36.8;SK-BR-3: 55.0;U-266/70: 38.8;U-266/84: 50.0;U-698: 37.2
3,AIM2,PYHIN4,ENSG00000163568,Absent in melanoma 2,1,159062484-159147096,Predicted intracellular proteins,Evidence at protein level,"HPA031365, HPA040309",Uncertain,,Supported,Nucleoplasm<br>Mitochondria<br>Cytosol,,Mixed,Tissue enhanced,,lymph node: 52.5;spleen: 30.9;tonsil: 40.1,appendix: 26.0,Cell line enhanced,,Daudi: 60.6;HDLM-2: 110.5;Karpas-707: 32.8;U-266/70: 28.9;U-87 MG: 34.1
4,AL513523.2,,ENSG00000279767,,1,153772371-153774079,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,lymph node: 1.4;skin: 3.5,"cerebral cortex,lung: 0.8",Cell line enhanced,,MCF7: 7.6;SK-BR-3: 5.9;THP-1: 5.5
5,ANKRD34B,DP58,ENSG00000189127,Ankyrin repeat domain 34B,5,80556755-80570488,Predicted intracellular proteins,Evidence at protein level,HPA043327,Uncertain,,Approved,Nucleoplasm<br>Mitochondria<br>Cytosol,,Tissue enhanced,Tissue enhanced,,bone marrow: 1.1;lymph node: 1.0;tonsil: 1.1,kidney: 0.7,Cell line enriched,23.0,RPTEC TERT1: 71.4
6,ANXA2R,"AXIIR, C5orf39",ENSG00000177721,Annexin A2 receptor,5,43039081-43043170,Predicted intracellular proteins,Evidence at protein level,HPA051482,Uncertain,,Approved,Nucleoplasm<br>Cytosol<br>Cytoplasmic bodies,Renal cancer:6.36e-8 (unfavourable),Expressed in all,Tissue enhanced,,lymph node: 21.9,spleen: 15.4,Cell line enhanced,,REH: 21.2;U-937: 66.7
7,ARHGAP15,BM046,ENSG00000075884,Rho GTPase activating protein 15,2,143091362-143768352,Predicted intracellular proteins,Evidence at protein level,HPA032125,Uncertain,,Uncertain,Nucleoplasm<br>Golgi apparatus<br>Vesicles,Renal cancer:6.95e-5 (unfavourable),Mixed,Tissue enhanced,,lymph node: 65.4,spleen: 59.6,Cell line enhanced,,HEL: 77.1;HL-60: 97.4;MOLT-4: 65.5;NB-4: 59.8;THP-1: 85.7;U-698: 65.7
8,ARHGAP30,FLJ00267,ENSG00000186517,Rho GTPase activating protein 30,1,161046946-161069970,Predicted intracellular proteins,Evidence at protein level,HPA036300,Uncertain,,Supported,Vesicles,Renal cancer:9.78e-4 (unfavourable),Expressed in all,Tissue enhanced,,lymph node: 86.1;spleen: 80.6,appendix: 73.2,Cell line enhanced,,Daudi: 82.8;HL-60: 72.0;HMC-1: 106.5;U-266/70: 103.3
9,ARHGAP45,"HA-1, HMHA1, KIAA0223",ENSG00000180448,Rho GTPase activating protein 45,19,1065923-1086628,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA019816,Enhanced,,,,"Endometrial cancer:6.02e-4 (favourable), Head and neck cancer:7.82e-4 (favourable)",Expressed in all,Tissue enhanced,,appendix: 56.4;lymph node: 66.6;spleen: 77.8,bone marrow: 44.0,Cell line enhanced,,Karpas-707: 72.0;U-266/70: 99.7
10,ARL11,"ARLTS1, FLJ33930",ENSG00000152213,ADP ribosylation factor like GTPase 11,13,49628299-49633872,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA040855, HPA040887",Uncertain,,,,,Mixed,Tissue enhanced,,lymph node: 7.6,spleen: 6.3,Cell line enhanced,,Daudi: 5.3;HMC-1: 8.9;NB-4: 6.7;THP-1: 9.3
