,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,SFTPA1,"COLEC4, SFTP1, SP-A, SP-A1",ENSG00000122852,Surfactant protein A1,10,79610939-79615455,"Disease related genes, Predicted secreted proteins",Evidence at protein level,"CAB016793, HPA042638, HPA045752, HPA049368",Supported,,,,,Tissue enriched,Tissue enriched,1180,lung: 10513.5,adrenal gland: 8.9,Group enriched,6.0,RPMI-8226: 29.9;U-2197: 6.8
1,SFTPB,"SFTP3, SP-B",ENSG00000168878,Surfactant protein B,2,85657314-85668741,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB002440, HPA034820, HPA062148",Enhanced,,,,"Endometrial cancer:1.71e-6 (unfavourable), Renal cancer:2.99e-6 (unfavourable)",Group enriched,Tissue enriched,912,lung: 5318.7,adrenal gland: 5.8,Cell line enhanced,,BEWO: 2.8;U-2197: 6.3
2,SFTPC,"BRICD6, PSP-C, SFTP2, SMDP2, SP-C",ENSG00000168484,Surfactant protein C,8,22156913-22164479,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA010928,Enhanced,,,,,Tissue enriched,Tissue enriched,832,lung: 25269.5,adrenal gland: 30.3,Group enriched,9.0,BEWO: 9.2;NB-4: 8.0;SCLC-21H: 6.1;U-2197: 24.0
3,SFTPA2,"COLEC5, SP-A2",ENSG00000185303,Surfactant protein A2,10,79555852-79560402,"Disease related genes, Predicted secreted proteins",Evidence at protein level,"CAB002439, HPA042638, HPA045752, HPA049368",Enhanced,,,,,Tissue enriched,Tissue enriched,383,lung: 15972.2,prostate: 41.7,Group enriched,18.0,BEWO: 7.1;NB-4: 5.1;RPMI-8226: 17.9;U-2197: 13.9
4,SCGB3A2,"LU103, PNSP1, UGRP1",ENSG00000164265,Secretoglobin family 3A member 2,5,147870682-147882191,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,188,lung: 1867.1,thyroid gland: 9.9,Cell line enhanced,,A-431: 76.2;EFO-21: 49.6;NTERA-2: 60.1;PC-3: 279.6
5,AGER,"RAGE, SCARJ1",ENSG00000204305,Advanced glycosylation end-product specific receptor,6,32180968-32184324,"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB011682, HPA064436",Enhanced,,Approved,Nucleoli fibrillar center<br>Plasma membrane<br>Cell Junctions,"Renal cancer:9.01e-7 (unfavourable), Urothelial cancer:2.74e-6 (favourable), Pancreatic cancer:3.41e-4 (favourable)",Expressed in all,Tissue enriched,181,lung: 889.2,thyroid gland: 4.9,Cell line enhanced,,HEK93: 2.5;U-266/70: 2.6
6,SFTPD,"COLEC7, SFTP4, SP-D",ENSG00000133661,Surfactant protein D,10,79937740-79982614,Predicted secreted proteins,Evidence at protein level,"CAB004578, HPA044582, HPA056768",Enhanced,,,,,Tissue enriched,Tissue enriched,56,lung: 782.5,bone marrow: 13.8,Cell line enhanced,,BEWO: 1.3;hTCEpi: 2.3;MCF7: 1.1
7,NAPSA,"KAP, Kdap, NAP1, NAPA",ENSG00000131400,Napsin A aspartic peptidase,19,50358477-50365830,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB009591, HPA045280, HPA047236, HPA047744",Enhanced,,,,Renal cancer:1.21e-4 (favourable),Tissue enriched,Tissue enriched,14,lung: 1412.2,kidney: 101.4,Cell line enriched,23.0,U-698: 27.1
8,MS4A15,,ENSG00000166961,Membrane spanning 4-domains A15,11,60756953-60776732,Predicted membrane proteins,Evidence at transcript level,,,,,,,Tissue enhanced,Tissue enriched,11,lung: 71.4,endometrium: 6.2,Cell line enhanced,,HEL: 6.6;MOLT-4: 2.7;U-266/70: 7.9;U-266/84: 3.3
9,LRRN4,"C20orf75, dJ1056H1.1, NLRR4",ENSG00000125872,Leucine rich repeat neuronal 4,20,6040778-6054049,Predicted membrane proteins,Evidence at protein level,HPA075974,,,Approved,Nucleoli<br>Cytosol,,Group enriched,Tissue enriched,10,lung: 13.5,fallopian tube: 1.2,Cell line enriched,12.0,RPTEC TERT1: 53.0
10,SFTA2,SFTPG,ENSG00000196260,Surfactant associated 2,6,30931353-30955636,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,Pancreatic cancer:1.26e-4 (unfavourable),Tissue enhanced,Tissue enriched,10,lung: 53.8,esophagus: 5.2,Group enriched,5.0,CACO-2: 7.9;CAPAN-2: 4.5
11,SLC34A2,NAPI-3B,ENSG00000157765,Solute carrier family 34 member 2,4,25655301-25678748,"Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA037989,Enhanced,,,,,Tissue enhanced,Tissue enriched,10,lung: 1121.1,fallopian tube: 111.8,Group enriched,76.0,BEWO: 31.0;EFO-21: 114.1;RPTEC TERT1: 66.5
12,SCGB1A1,"CC10, CC16, CCSP, UGB",ENSG00000149021,Secretoglobin family 1A member 1,11,62405103-62423195,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB025686, HPA031828",Supported,,,,,Tissue enriched,Tissue enriched,9,lung: 4742.5,fallopian tube: 521.2,Cell line enriched,70.0,HaCaT: 1741.2
13,RTKN2,"bA531F24.1, Em:AC024597.2, FLJ39352, PLEKHK1",ENSG00000182010,Rhotekin 2,10,62183035-62268707,Predicted intracellular proteins,Evidence at protein level,"HPA037946, HPA038446",Enhanced,,Approved,Nucleoplasm<br>Mitochondria,,Mixed,Tissue enriched,8,lung: 121.3,testis: 14.7,Cell line enhanced,,A-431: 40.4
14,LAMP3,"CD208, DC-LAMP, DCLAMP, LAMP, TSC403",ENSG00000078081,Lysosomal associated membrane protein 3,3,183122213-183163839,"CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB025133, HPA051467",Enhanced,,Enhanced,Vesicles,"Renal cancer:1.89e-7 (unfavourable), Ovarian cancer:9.90e-4 (favourable)",Mixed,Tissue enriched,7,lung: 319.3,appendix: 44.9,Group enriched,8.0,EFO-21: 154.0;HDLM-2: 40.5;HHSteC: 50.0;hTCEpi: 40.3
15,SLC22A31,,ENSG00000259803,Solute carrier family 22 member 31,16,89195761-89201664,Predicted membrane proteins,Evidence at transcript level,,,,,,,Group enriched,Tissue enriched,7,lung: 23.0,pancreas: 3.4,Cell line enhanced,,BEWO: 33.0;Hep G2: 19.4;NB-4: 9.3;RPMI-8226: 11.9
16,CACNA2D2,KIAA0558,ENSG00000007402,Calcium voltage-gated channel auxiliary subunit alpha2delta 2,3,50362799-50504244,"FDA approved drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA034771, HPA071829",Enhanced,,Approved,Vesicles,"Endometrial cancer:7.62e-5 (unfavourable), Pancreatic cancer:1.21e-4 (favourable)",Tissue enhanced,Tissue enriched,6,lung: 72.9,testis: 12.4,Cell line enriched,8.0,SH-SY5Y: 201.7
17,WIF1,,ENSG00000156076,WNT inhibitory factor 1,12,65050626-65121566,"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA039104,Approved,,,,,Tissue enhanced,Tissue enriched,6,lung: 159.4,cerebral cortex: 26.4,Cell line enhanced,,HEK93: 1.9;NTERA-2: 2.7
