,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,CYP11B2,"ALDOS, CPN2, CYP11B, CYP11BL, P-450C18, P450aldo",ENSG00000179142,Cytochrome P450 family 11 subfamily B member 2,8,142910559-142917843,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA049171, HPA056348, HPA057752",Supported,,,,,Not detected,Tissue enriched,1057,adrenal gland: 126.3,testis: 0.1,Not detected,,
1,CYP11B1,"CPN1, CYP11B, FHI, P450C11",ENSG00000160882,Cytochrome P450 family 11 subfamily B member 1,8,142872356-142879846,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA049171, HPA056348, HPA057752",Supported,,,,,Not detected,Tissue enriched,916,adrenal gland: 1871.2,testis: 2.0,Not detected,,
2,HSD3B2,SDR11E2,ENSG00000203859,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",1,119414931-119423035,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA043261, HPA043264, HPA044028",Supported,,,,,Tissue enhanced,Tissue enriched,433,adrenal gland: 2384.5,testis: 5.5,Cell line enhanced,,SK-MEL-30: 1.2
3,CYP21A2,"CA21H, CAH1, CPS1, CYP21, CYP21B, P450c21B",ENSG00000231852,Cytochrome P450 family 21 subfamily A member 2,6,32038265-32041670,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins",Evidence at protein level,"HPA048979, HPA053371",Enhanced,,,,,Tissue enhanced,Tissue enriched,257,adrenal gland: 266.4,epididymis: 1.0,Group enriched,5.0,HDLM-2: 6.1;Karpas-707: 1.2
4,TH,DYT5b,ENSG00000180176,Tyrosine hydroxylase,11,2163929-2171877,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB002522, HPA013768, HPA061003, CAB072340",Enhanced,Supported,,,,Tissue enhanced,Tissue enriched,81,adrenal gland: 259.8,adipose tissue: 3.2,Group enriched,26.0,PC-3: 54.8;SK-BR-3: 15.7
5,GML,LY6DL,ENSG00000104499,Glycosylphosphatidylinositol anchored molecule like,8,142834247-142916506,"Predicted secreted proteins, Transporters",Evidence at transcript level,,,,,,,Not detected,Tissue enriched,39,adrenal gland: 251.3,testis: 6.4,Not detected,,
6,NOV,"CCN3, IGFBP9",ENSG00000136999,Nephroblastoma overexpressed,8,119416306-119424353,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA018449, HPA019684, CAB034423",Enhanced,,Supported,Vesicles,,Expressed in all,Tissue enriched,39,adrenal gland: 1392.1,prostate: 35.4,Cell line enhanced,,BJ hTERT+: 99.0;U-2197: 116.0
7,DBH,DBM,ENSG00000123454,Dopamine beta-hydroxylase,9,133636360-133659344,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA002130, HPA005960, HPA070789",Enhanced,,Enhanced,Endoplasmic reticulum<br>Vesicles,,Mixed,Tissue enriched,28,adrenal gland: 356.8,liver: 12.6,Cell line enriched,370.0,SH-SY5Y: 1924.2
8,CHGB,"SCG1, SgI",ENSG00000089199,Chromogranin B,20,5911430-5925361,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA008759, CAB009403, HPA012602",Enhanced,Supported,Enhanced,Vesicles,"Head and neck cancer:1.89e-4 (unfavourable), Pancreatic cancer:9.96e-4 (favourable)",Tissue enriched,Tissue enriched,26,adrenal gland: 4382.4,cerebral cortex: 168.3,Group enriched,25.0,SCLC-21H: 405.5;SH-SY5Y: 559.4
9,CYP17A1,"CPT7, CYP17, P450C17, S17AH",ENSG00000148795,Cytochrome P450 family 17 subfamily A member 1,10,102830531-102837533,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA048533,Enhanced,,,,Renal cancer:5.43e-7 (favourable),Tissue enriched,Tissue enriched,25,adrenal gland: 3751.4,testis: 152.4,Cell line enhanced,,HMC-1: 2.6;SCLC-21H: 1.3
10,MC2R,ACTHR,ENSG00000185231,Melanocortin 2 receptor,18,13882044-13915707,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Not detected,Tissue enriched,23,adrenal gland: 50.6,epididymis: 2.1,Not detected,,
11,ARHGAP36,FLJ30058,ENSG00000147256,Rho GTPase activating protein 36,X,131058242-131089883,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA002064,Enhanced,,Approved,Nucleus<br>Vesicles<br>Plasma membrane,,Tissue enriched,Tissue enriched,19,adrenal gland: 137.8,cerebral cortex: 7.4,Cell line enriched,173.0,SH-SY5Y: 188.2
12,PHOX2A,"ARIX, CFEOM2, FEOM2, PMX2A",ENSG00000165462,Paired like homeobox 2a,11,72239077-72245664,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA065621, HPA078004",Enhanced,,Approved,Nucleus<br>Nuclear membrane<br>Vesicles,,Tissue enriched,Tissue enriched,14,adrenal gland: 26.4,appendix: 1.8,Cell line enriched,240.0,SH-SY5Y: 603.9
13,STAR,"StAR, STARD1",ENSG00000147465,Steroidogenic acute regulatory protein,8,38143649-38151265,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA023644, HPA027318, CAB032598",Enhanced,,,,,Tissue enhanced,Tissue enriched,12,adrenal gland: 2879.8,ovary: 245.8,Group enriched,7.0,HEL: 92.1;K-562: 433.7
14,ADGRV1,"DKFZp761P0710, FEB4, GPR98, KIAA0686, MASS1, USH2C, VLGR1",ENSG00000164199,Adhesion G protein-coupled receptor V1,5,90529344-91164437,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA067503,Approved,,Approved,Lipid droplets,,Mixed,Tissue enriched,11,adrenal gland: 261.4,kidney: 22.9,Cell line enhanced,,AF22: 15.3;HAP1: 23.8;NTERA-2: 11.7;SCLC-21H: 13.1
15,AKAIN1,C18orf42,ENSG00000231824,A-kinase anchor inhibitor 1,18,5145285-5197503,Predicted intracellular proteins,Evidence at protein level,HPA049365,Uncertain,,,,,Not detected,Tissue enriched,11,adrenal gland: 20.1,testis: 1.7,Cell line enhanced,,SCLC-21H: 1.1
16,CYP11A1,"CYP11A, P450SCC",ENSG00000140459,Cytochrome P450 family 11 subfamily A member 1,15,74337759-74367740,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,HPA016436,Enhanced,,,,,Mixed,Tissue enriched,11,adrenal gland: 748.5,testis: 68.5,Group enriched,25.0,BEWO: 102.7;HEL: 79.0;SiHa: 23.2
