,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PRM1,CT94.1,ENSG00000175646,Protamine 1,16,11280836-11281350,Predicted intracellular proteins,Evidence at protein level,HPA055150,Enhanced,,,,,Tissue enriched,Tissue enriched,5169,testis: 9195.1,small intestine: 1.7,Cell line enhanced,,NB-4: 1.3;U-2197: 1.4
1,PRM2,CT94.2,ENSG00000122304,Protamine 2,16,11275639-11276480,Predicted intracellular proteins,Evidence at protein level,"CAB032738, HPA056386",Enhanced,,,,,Tissue enriched,Tissue enriched,5145,testis: 7760.7,small intestine: 1.5,Cell line enhanced,,BEWO: 1.1;U-2197: 1.7
2,BOD1L2,"BOD1P, FAM44C, MGC33608",ENSG00000228075,Biorientation of chromosomes in cell division 1 like 2,18,57147062-57150300,Predicted intracellular proteins,Evidence at transcript level,HPA036293,Uncertain,,,,,Not detected,Tissue enriched,4257,testis: 425.7,all non-specific tissues: 0.0,Not detected,,
3,C16orf82,TNT,ENSG00000234186,Chromosome 16 open reading frame 82,16,27066707-27069165,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,3011,testis: 301.0,all non-specific tissues: 0.0,Not detected,,
4,AKAP4,"AKAP82, CT99, Fsc1, hAKAP82, HI, p82",ENSG00000147081,A-kinase anchoring protein 4,X,50190768-50201013,Predicted intracellular proteins,Evidence at protein level,"HPA005949, HPA020046",Enhanced,,,,,Not detected,Tissue enriched,2796,testis: 279.5,all non-specific tissues: 0.0,Not detected,,
5,LELP1,,ENSG00000203784,Late cornified envelope like proline rich 1,1,153203443-153205120,Predicted intracellular proteins,Evidence at protein level,HPA070231,Enhanced,,,,,Tissue enriched,Tissue enriched,2787,testis: 784.3,"seminal vesicle,small intestine: 0.2",Not detected,,
6,TPD52L3,NYD-SP25,ENSG00000170777,Tumor protein D52 like 3,9,6328375-6331900,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,2754,testis: 275.3,all non-specific tissues: 0.0,Cell line enriched,12.0,BEWO: 1.2
7,TNP1,,ENSG00000118245,Transition protein 1,2,216859458-216860064,Predicted intracellular proteins,Evidence at protein level,HPA044387,Enhanced,,,,,Group enriched,Tissue enriched,2184,testis: 4403.1,thyroid gland: 2.0,Cell line enhanced,,Hep G2: 1.7;U-2197: 1.0
8,ADAD1,Tenr,ENSG00000164113,Adenosine deaminase domain containing 1,4,122378966-122429802,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,2122,testis: 212.1,all non-specific tissues: 0.0,Not detected,,
9,TUBA3C,"bA408E5.3, TUBA2",ENSG00000198033,Tubulin alpha 3c,13,19173770-19181852,Predicted intracellular proteins,Evidence at protein level,"HPA039247, HPA043684, HPA063394",Uncertain,,Supported,Microtubules,,Mixed,Tissue enriched,2118,testis: 513.8,epididymis: 0.2,Group enriched,51.0,HDLM-2: 97.4;U-2 OS: 263.4;U-266/70: 63.0;U-266/84: 75.1
10,ACTL7A,,ENSG00000187003,Actin like 7A,9,108862266-108863759,Predicted intracellular proteins,Evidence at protein level,HPA021624,Enhanced,,,,,Not detected,Tissue enriched,1938,testis: 193.7,all non-specific tissues: 0.0,Not detected,,
11,GK2,"GKP2, GKTA",ENSG00000196475,Glycerol kinase 2,4,79406352-79408293,"Enzymes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA060687,Uncertain,,,,,Not detected,Tissue enriched,1527,testis: 152.6,all non-specific tissues: 0.0,Cell line enriched,45.0,SCLC-21H: 4.4
12,SPATA8,MGC44294,ENSG00000185594,Spermatogenesis associated 8,15,96783389-96785615,Predicted intracellular proteins,Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,1454,testis: 404.5,"adrenal gland,gallbladder,placenta: 0.2",Not detected,,
13,ODF1,"CT133, HSPB10, ODF27, ODFPG, RT7",ENSG00000155087,Outer dense fiber of sperm tails 1,8,102551572-102561017,Predicted intracellular proteins,Evidence at protein level,HPA064295,Approved,,,,,Not detected,Tissue enriched,1426,testis: 418.3,cerebral cortex: 0.2,Not detected,,
14,CETN1,"CEN1, CETN",ENSG00000177143,Centrin 1,18,580357-582114,Predicted intracellular proteins,Evidence at protein level,"HPA028956, CAB037244",Approved,,,,,Tissue enriched,Tissue enriched,1424,testis: 142.4,all non-specific tissues: 0.0,Not detected,,
15,HDGFL1,"dJ309H15.1, PWWP1",ENSG00000112273,Hepatoma derived growth factor-like 1,6,22569493-22571666,Predicted intracellular proteins,Evidence at protein level,"HPA045679, HPA063707",Enhanced,,,,,Tissue enriched,Tissue enriched,1395,testis: 139.4,all non-specific tissues: 0.0,Cell line enriched,8.0,K-562: 1.0
16,PPP3R2,PPP3RL,ENSG00000188386,"Protein phosphatase 3 regulatory subunit B, beta",9,101591615-101595021,"FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,HPA047157,Uncertain,,Approved,Plasma membrane<br>Cytosol,,Not detected,Tissue enriched,1372,testis: 137.1,all non-specific tissues: 0.0,Not detected,,
17,KIF2B,,ENSG00000141200,Kinesin family member 2B,17,53822901-53825213,Predicted intracellular proteins,Evidence at protein level,"HPA023081, HPA023103, HPA024795",Uncertain,,Uncertain,Nucleoli<br>Microtubules<br>Cytokinetic bridge<br>Mitotic spindle,,Not detected,Tissue enriched,1329,testis: 132.9,all non-specific tissues: 0.0,Not detected,,
18,TEX44,"C2orf57, MGC35154",ENSG00000177673,Testis expressed 44,2,231592901-231594283,Predicted intracellular proteins,Evidence at protein level,"HPA049917, HPA056433",Enhanced,,,,,Not detected,Tissue enriched,1204,testis: 120.3,all non-specific tissues: 0.0,Not detected,,
19,CCDC70,"DKFZP434K1172, FLJ25853",ENSG00000123171,Coiled-coil domain containing 70,13,51861981-51866232,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,1157,testis: 115.6,all non-specific tissues: 0.0,Not detected,,
20,CXorf51B,,ENSG00000235699,Chromosome X open reading frame 51B,X,146809784-146810409,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,1092,testis: 109.1,all non-specific tissues: 0.0,Cell line enhanced,,U-138 MG: 1.0
21,C10orf62,bA548K23.1,ENSG00000203942,Chromosome 10 open reading frame 62,10,97589727-97590934,Predicted intracellular proteins,Evidence at protein level,HPA072947,Enhanced,,,,,Not detected,Tissue enriched,1082,testis: 244.6,kidney: 0.2,Not detected,,
22,PRR30,"C2orf53, MGC44505",ENSG00000186143,Proline rich 30,2,27136848-27139410,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,1041,testis: 104.0,all non-specific tissues: 0.0,Not detected,,
23,ACTRT2,"Arp-T2, ARPM2, FLJ25424",ENSG00000169717,Actin related protein T2,1,3021483-3022903,Predicted intracellular proteins,Evidence at protein level,"HPA006480, HPA025079",Enhanced,,,,,Not detected,Tissue enriched,1022,testis: 102.2,all non-specific tissues: 0.0,Not detected,,
24,CMTM2,"CKLFSF2, FLJ25732, MGC39436",ENSG00000140932,CKLF like MARVEL transmembrane domain containing 2,16,66579448-66588275,Predicted membrane proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enriched,1018,testis: 712.6,"appendix,bone marrow: 0.6",Cell line enriched,23.0,REH: 29.0
25,PDHA2,PDHAL,ENSG00000163114,Pyruvate dehydrogenase (lipoamide) alpha 2,4,95840019-95841474,"Citric acid cycle related proteins, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA047487, HPA047864, HPA063053",Approved,,Supported,Mitochondria,,Not detected,Tissue enriched,1010,testis: 101.0,all non-specific tissues: 0.0,Not detected,,
26,SHCBP1L,C1orf14,ENSG00000157060,SHC binding and spindle associated 1 like,1,182899865-182953525,Predicted intracellular proteins,Evidence at protein level,"HPA036124, HPA036125, HPA064821",Enhanced,,,,,Tissue enhanced,Tissue enriched,989,testis: 98.9,all non-specific tissues: 0.0,Not detected,,
27,RP11-322N21.2,,ENSG00000250719,"Homo sapiens phosphoinositide-3-kinase regulatory subunit 3 (PIK3R3), transcript variant 13, mRNA.",1,46175486-46176478,"Predicted intracellular proteins, RAS pathway related proteins",Evidence at transcript level,,,,,,,Not detected,Tissue enriched,937,testis: 93.7,all non-specific tissues: 0.0,Not detected,,
28,HMGB4,FLJ40388,ENSG00000176256,High mobility group box 4,1,33860475-33864791,Predicted intracellular proteins,Evidence at protein level,HPA035699,Enhanced,,,,,Not detected,Tissue enriched,936,testis: 93.5,all non-specific tissues: 0.0,Not detected,,
29,C12orf50,FLJ35821,ENSG00000165805,Chromosome 12 open reading frame 50,12,87980035-88034037,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,880,testis: 87.9,all non-specific tissues: 0.0,Not detected,,
30,SLC25A31,"ANT4, DKFZP434N1235",ENSG00000151475,Solute carrier family 25 member 31,4,127730378-127774299,"Predicted membrane proteins, Transporters",Evidence at protein level,"HPA015064, HPA016841, HPA046835, HPA071684",Uncertain,,Enhanced,Mitochondria,,Not detected,Tissue enriched,852,testis: 85.1,all non-specific tissues: 0.0,Not detected,,
