,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PGA4,,ENSG00000229183,"Pepsinogen 4, group I (pepsinogen A)",11,61222216-61231927,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA046875,Supported,,,,,Not detected,Tissue enriched,2994,stomach: 34510.3,cerebral cortex: 11.5,Group enriched,7.0,BJ hTERT+: 12.2;THP-1: 5.2
1,GIF,"IF, IFMH, INF, TCN3",ENSG00000134812,Gastric intrinsic factor,11,59829268-59845501,"Disease related genes, Predicted secreted proteins",Evidence at protein level,"HPA039908, HPA040774",Enhanced,,,,,Tissue enriched,Tissue enriched,1701,stomach: 1311.7,cerebral cortex: 0.7,Not detected,,
2,GKN1,"AMP18, BRICD1, CA11",ENSG00000169605,Gastrokine 1,2,68974573-68980974,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA047684,Enhanced,,,,"Pancreatic cancer:1.54e-4 (unfavourable), Urothelial cancer:4.53e-4 (favourable)",Tissue enriched,Tissue enriched,1189,stomach: 31769.6,placenta: 26.7,Group enriched,11.0,HaCaT: 5.1;HMC-1: 13.6;MOLT-4: 9.1;NTERA-2: 14.8;REH: 6.0;U-2 OS: 9.9;U-266/70: 7.3
3,PGA3,,ENSG00000229859,"Pepsinogen 3, group I (pepsinogen A)",11,61203307-61213098,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB026358, HPA046875",Enhanced,,,,,Tissue enriched,Tissue enriched,716,stomach: 6775.4,cerebral cortex: 9.4,Group enriched,5.0,HMC-1: 7.5;THP-1: 1.9
4,PGA5,,ENSG00000256713,"Pepsinogen 5, group I (pepsinogen A)",11,61241042-61251448,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA046875,Supported,,,,,Tissue enriched,Tissue enriched,684,stomach: 3513.1,cerebral cortex: 5.1,Cell line enriched,13.0,BJ hTERT+: 23.3
5,ATP4A,ATP6A,ENSG00000105675,ATPase H+/K+ transporting alpha subunit,19,35550043-35563658,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA039154,Enhanced,,,,,Tissue enriched,Tissue enriched,260,stomach: 557.9,pancreas: 2.1,Not detected,,
6,GAST,GAS,ENSG00000184502,Gastrin,17,41712326-41715969,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,CAB000038,Supported,,,,,Group enriched,Tissue enriched,200,stomach: 11203.5,duodenum: 55.9,Group enriched,6.0,BEWO: 2.6;HaCaT: 4.7;hTCEpi: 2.3
7,ATP4B,ATP6B,ENSG00000186009,ATPase H+/K+ transporting beta subunit,13,113648804-113658186,"Predicted membrane proteins, Transporters",Evidence at protein level,"HPA045400, HPA052649",Enhanced,,,,,Tissue enriched,Tissue enriched,87,stomach: 953.2,fallopian tube: 10.9,Not detected,,
8,LIPF,"HGL, HLAL",ENSG00000182333,"Lipase F, gastric type",10,88664441-88678814,"Enzymes, FDA approved drug targets, Predicted secreted proteins",Evidence at protein level,HPA045930,Enhanced,,,,,Tissue enriched,Tissue enriched,86,stomach: 22415.5,duodenum: 259.5,Cell line enhanced,,HMC-1: 3.6;MOLT-4: 2.7;NTERA-2: 3.5;THP-1: 4.5;U-2 OS: 2.4;U-266/70: 2.4
9,GAGE12G,,ENSG00000215269,G antigen 12G,X,49570434-49577754,Predicted intracellular proteins,Evidence at protein level,HPA043232,Supported,,Uncertain,Golgi apparatus<br>Plasma membrane<br>Cytosol,,Not detected,Tissue enriched,78,stomach: 7.8,all non-specific tissues: 0.0,Cell line enriched,7.0,AN3-CA: 898.2
10,MUC5AC,MUC5,ENSG00000215182,"Mucin 5AC, oligomeric mucus/gel-forming",11,1157953-1201138,Predicted secreted proteins,Evidence at protein level,"CAB002774, CAB009395, HPA040456, HPA040615",Enhanced,,Uncertain,Vesicles,,Tissue enhanced,Tissue enriched,61,stomach: 179.1,"cervix, uterine: 2.9",Cell line enriched,18.0,A549: 18.0
