,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,CLDN18,SFTPJ,ENSG00000066405,Claudin 18,3,137998735-138033655,Predicted membrane proteins,Evidence at protein level,"CAB013010, CAB013243, HPA018446",Enhanced,,,,,Group enriched,Group enriched,85,lung: 361.8;stomach: 689.7,heart muscle: 6.1,Not detected,,
1,GAGE2E,GAGE8,ENSG00000275113,G antigen 2E,X,49341192-49345922,Predicted intracellular proteins,Evidence at transcript level,HPA043232,Approved,,Uncertain,Golgi apparatus<br>Plasma membrane<br>Cytosol,,Not detected,Group enriched,60,stomach: 15.4;testis: 8.6,small intestine: 0.2,Group enriched,5.0,AN3-CA: 943.7;K-562: 455.5;T-47d: 231.8
2,DAZ4,,ENSG00000205916,Deleted in azoospermia 4,Y,24833843-24907040,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA047113,Approved,,,,,Not detected,Group enriched,40,stomach: 22.3;testis: 21.5,skin: 0.5,Group enriched,123.0,U-266/70: 117.1;U-266/84: 107.2
3,TFF2,SML1,ENSG00000160181,Trefoil factor 2,21,42346357-42351128,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,"CAB025834, HPA036705",Enhanced,,,,Liver cancer:1.99e-4 (unfavourable),Group enriched,Group enriched,29,duodenum: 1027.1;stomach: 5110.7,gallbladder: 107.1,Group enriched,20.0,CAPAN-2: 32.8;PC-3: 124.0
4,DAZ2,"MGC126442, pDP1678",ENSG00000205944,Deleted in azoospermia 2,Y,23219434-23291356,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA047113,Approved,,,,,Not detected,Group enriched,27,stomach: 15.5;testis: 7.2,skin: 0.4,Cell line enriched,9.0,SK-MEL-30: 1.4
5,NKX6-2,"GTX, NKX6.1, NKX6B",ENSG00000148826,NK6 homeobox 2,10,132783179-132786052,"Predicted intracellular proteins, Transcription factors",Evidence at transcript level,,,,,,,Tissue enriched,Group enriched,25,cerebral cortex: 15.7;stomach: 16.7,testis: 0.6,Not detected,,
6,MUC6,,ENSG00000184956,"Mucin 6, oligomeric mucus/gel-forming",11,1012821-1036706,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,CAB002165,Enhanced,,,,,Tissue enhanced,Group enriched,24,duodenum: 15.4;seminal vesicle: 40.2;stomach: 24.0,epididymis: 1.1,Not detected,,
7,C6orf58,LEG1,ENSG00000184530,Chromosome 6 open reading frame 58,6,127519455-127591817,Predicted secreted proteins,Evidence at protein level,"HPA036263, HPA041449",Enhanced,,,,,Group enriched,Group enriched,21,duodenum: 603.5;salivary gland: 163.4;stomach: 314.9,esophagus: 17.1,Cell line enhanced,,RPMI-8226: 1.8;WM-115: 1.8
8,TAAR1,"TA1, TAR1, TRAR1",ENSG00000146399,Trace amine associated receptor 1,6,132644984-132646003,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,HPA055614,Approved,,,,,Tissue enhanced,Group enriched,17,fallopian tube: 2.2;stomach: 7.8,"duodenum,endometrium,prostate,urinary bladder: 0.2",Not detected,,
9,CCKBR,,ENSG00000110148,Cholecystokinin B receptor,11,6259736-6272127,"Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,13,cerebral cortex: 13.6;pancreas: 5.4;stomach: 16.4,prostate: 0.9,Cell line enriched,8.0,NTERA-2: 69.8
10,FUT9,Fuc-TIX,ENSG00000172461,Fucosyltransferase 9,6,96015984-96215612,Predicted membrane proteins,Evidence at protein level,HPA070923,,,Approved,Nucleoplasm<br>Microtubules<br>Cytokinetic bridge<br>Cytosol,,Tissue enhanced,Group enriched,12,cerebral cortex: 28.1;stomach: 22.4,duodenum: 2.0,Cell line enhanced,,MCF7: 2.2;RT4: 5.1;SCLC-21H: 7.5;SK-BR-3: 2.7
11,CHIA,"AMCase, CHIT2, TSA1902",ENSG00000134216,"Chitinase, acidic",1,111290862-111320566,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA059193,Approved,,,,,Tissue enhanced,Group enriched,11,lung: 15.6;stomach: 8.2,endometrium: 1.1,Cell line enhanced,,ASC diff: 1.1
12,CYP2C18,"CPCI, CYP2C, CYP2C17, P450IIC17",ENSG00000108242,Cytochrome P450 family 2 subfamily C member 18,10,94683621-94736190,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,11,duodenum: 103.1;esophagus: 24.6;gallbladder: 24.5;liver: 97.8;small intestine: 88.1;stomach: 62.2,tonsil: 6.2,Cell line enhanced,,BEWO: 3.0
13,CCKAR,,ENSG00000163394,Cholecystokinin A receptor,4,26481400-26490462,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Group enriched,10,gallbladder: 47.2;stomach: 15.2,tonsil: 3.1,Not detected,,
14,VSIG1,MGC44287,ENSG00000101842,V-set and immunoglobulin domain containing 1,X,108044970-108079184,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA001445, HPA036310, HPA036311",Enhanced,,Approved,Vesicles<br>Cytosol,,Group enriched,Group enriched,10,stomach: 185.7;testis: 91.1,gallbladder: 14.3,Cell line enhanced,,HBEC3-KT: 2.5;HUVEC TERT2: 5.9;PC-3: 2.2
15,COL2A1,"AOM, SEDC, STL1",ENSG00000139219,Collagen type II alpha 1 chain,12,47972965-48004486,"Cancer-related genes, Disease related genes, Predicted secreted proteins",Evidence at protein level,"CAB002214, HPA055753",Supported,,Approved,Nucleoplasm,,Mixed,Group enriched,9,epididymis: 23.0;stomach: 6.2,prostate: 1.6,Group enriched,23.0,AF22: 154.1;HAP1: 101.9;HEK93: 33.7
16,CTSE,,ENSG00000196188,Cathepsin E,1,206009264-206023909,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA012940, CAB032687",Enhanced,,,,Urothelial cancer:5.26e-5 (favourable),Group enriched,Group enriched,9,duodenum: 229.1;stomach: 1121.8,lung: 74.6,Group enriched,7.0,BEWO: 20.3;RT4: 32.6
17,NTS,,ENSG00000133636,Neurotensin,12,85874295-85882992,Predicted secreted proteins,Evidence at protein level,HPA026664,Enhanced,,,,"Cervical cancer:9.94e-5 (favourable), Endometrial cancer:5.10e-4 (unfavourable)",Tissue enhanced,Group enriched,9,small intestine: 189.6;stomach: 43.5,lymph node: 13.4,Cell line enhanced,,HEL: 45.5;NTERA-2: 10.8
18,AQP5,,ENSG00000161798,Aquaporin 5,12,49961870-49965681,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA065008,Enhanced,,Approved,Plasma membrane,Head and neck cancer:1.75e-5 (favourable),Tissue enhanced,Group enriched,8,salivary gland: 255.6;stomach: 53.3;testis: 176.4,breast: 21.1,Group enriched,9.0,CAPAN-2: 7.6;REH: 9.2
19,FAM159B,,ENSG00000145642,Family with sequence similarity 159 member B,5,64690308-64718090,Predicted membrane proteins,Evidence at protein level,HPA011778,Enhanced,,,,,Tissue enriched,Group enriched,8,pancreas: 1.0;stomach: 3.4,"cerebral cortex,duodenum: 0.2",Group enriched,17.0,NTERA-2: 3.5;RPTEC TERT1: 5.5;SCLC-21H: 1.5
20,PSCA,,ENSG00000167653,Prostate stem cell antigen,8,142670308-142682724,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA030783, HPA056418",Approved,,Supported,Plasma membrane,Pancreatic cancer:5.60e-5 (unfavourable),Tissue enriched,Group enriched,8,prostate: 344.6;stomach: 1648.5;urinary bladder: 343.4,esophagus: 101.7,Cell line enhanced,,CAPAN-2: 18.6;HeLa: 27.5;RT4: 47.1
21,ALDH3A1,ALDH3,ENSG00000108602,Aldehyde dehydrogenase 3 family member A1,17,19737984-19748943,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB045957, HPA051150, HPA063783",Enhanced,,Enhanced,Vesicles<br>Plasma membrane<br>Cytosol,Head and neck cancer:7.55e-5 (favourable),Mixed,Group enriched,7,esophagus: 406.1;skin: 84.3;stomach: 207.2,tonsil: 31.0,Cell line enriched,21.0,A549: 4306.9
22,EPS8L3,"FLJ21522, MGC16817",ENSG00000198758,EPS8 like 3,1,109750080-109764027,Predicted intracellular proteins,Evidence at protein level,HPA030998,Approved,,Approved,Vesicles,"Renal cancer:2.52e-5 (unfavourable), Liver cancer:4.13e-5 (unfavourable), Urothelial cancer:1.82e-4 (favourable)",Group enriched,Group enriched,7,colon: 75.0;duodenum: 152.1;gallbladder: 59.8;rectum: 86.1;small intestine: 167.1;stomach: 53.4,appendix: 15.1,Group enriched,12.0,CACO-2: 13.3;CAPAN-2: 13.3;EFO-21: 5.8;Hep G2: 25.0
23,ERN2,IRE1b,ENSG00000134398,Endoplasmic reticulum to nucleus signaling 2,16,23690326-23713500,"Enzymes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA016558,Uncertain,,,,,Mixed,Group enriched,7,"cervix, uterine: 27.6;colon: 27.5;duodenum: 12.3;gallbladder: 25.1;rectum: 23.2;small intestine: 9.9;stomach: 49.1",appendix: 3.8,Cell line enriched,8.0,CAPAN-2: 5.9
24,ESRRB,"DFNB35, ERR2, ERRb, ERRbeta, ESRL2, NR3B2",ENSG00000119715,Estrogen related receptor beta,14,76310614-76501841,"Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Mixed,Group enriched,7,heart muscle: 2.3;kidney: 5.2;skeletal muscle: 1.7;stomach: 1.5;testis: 1.4,breast: 0.3,Cell line enhanced,,HMC-1: 1.0;K-562: 3.3;U-266/70: 1.2
25,PAX6,"AN, AN2, D11S812E, WAGR",ENSG00000007372,Paired box 6,11,31784779-31818062,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors",Evidence at protein level,"HPA030775, CAB034143",Supported,,Enhanced,Nucleoplasm,,Tissue enhanced,Group enriched,7,cerebral cortex: 22.3;stomach: 11.2,testis: 2.5,Cell line enhanced,,AF22: 15.6;AN3-CA: 19.1;HEK93: 17.3;U-251 MG: 14.4
26,PSAPL1,,ENSG00000178597,Prosaposin-like 1 (gene/pseudogene),4,7430294-7434973,Predicted secreted proteins,Evidence at protein level,"HPA038013, HPA038482",Approved,,Enhanced,Cytosol,,Mixed,Group enriched,7,skin: 52.7;stomach: 36.5,breast: 6.4,Cell line enhanced,,CACO-2: 13.5;HaCaT: 3.9;hTCEpi: 3.9;RPMI-8226: 16.8
27,C2orf70,LOC339778,ENSG00000173557,Chromosome 2 open reading frame 70,2,26562582-26579532,Predicted intracellular proteins,Evidence at protein level,HPA062453,Enhanced,,Approved,Nuclear membrane<br>Vesicles,Pancreatic cancer:6.49e-4 (favourable),Mixed,Group enriched,6,fallopian tube: 12.0;stomach: 4.9;testis: 17.5,thyroid gland: 1.9,Cell line enhanced,,A-431: 3.6;CAPAN-2: 2.7;EFO-21: 1.8;RPTEC TERT1: 2.8
28,HNF4A,"HNF4, MODY, MODY1, NR2A1, TCF14",ENSG00000101076,Hepatocyte nuclear factor 4 alpha,20,44355700-44434596,"Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA004712, CAB019417",Enhanced,,Supported,Nucleoplasm,,Tissue enhanced,Group enriched,6,colon: 58.0;duodenum: 103.0;kidney: 44.7;liver: 51.0;rectum: 47.8;small intestine: 90.9;stomach: 21.9,gallbladder: 9.2,Group enriched,8.0,CACO-2: 126.0;Hep G2: 77.0
