,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,RFX4,,ENSG00000111783,Regulatory factor X4,12,106582907-106762803,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA050527,Enhanced,,Approved,Nucleus,,Tissue enriched,Group enriched,236,cerebral cortex: 30.8;testis: 135.8,prostate: 0.3,Cell line enriched,13.0,AF22: 47.1
1,MMD2,PAQR10,ENSG00000136297,Monocyte to macrophage differentiation associated 2,7,4905989-4959213,"Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,83,cerebral cortex: 41.2;testis: 12.4,adrenal gland: 0.3,Not detected,,
2,NXPH1,,ENSG00000122584,Neurexophilin 1,7,8433955-8752963,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,HPA020062,Uncertain,,,,,Group enriched,Group enriched,81,adrenal gland: 52.1;cerebral cortex: 47.2,breast: 0.6,Cell line enhanced,,Karpas-707: 7.7;SCLC-21H: 1.3;WM-115: 3.3
3,MCHR2,"GPR145, MCH2, MCH2R, SLT",ENSG00000152034,Melanin concentrating hormone receptor 2,6,99919910-99994247,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,47,cerebral cortex: 8.6;testis: 4.3,"colon,small intestine: 0.1",Not detected,,
4,POU3F3,"BRN1, OTF8",ENSG00000198914,POU class 3 homeobox 3,2,104855511-104858574,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA052792, HPA056039, HPA067151",Approved,,Enhanced,Nucleus,Endometrial cancer:4.26e-5 (unfavourable),Group enriched,Group enriched,45,cerebral cortex: 43.9;epididymis: 46.3;kidney: 36.6;seminal vesicle: 23.2,skin: 0.8,Group enriched,5.0,AF22: 58.4;AN3-CA: 52.7;HEK93: 20.3;RPTEC TERT1: 50.7;SH-SY5Y: 19.7
5,ZIC5,,ENSG00000139800,Zic family member 5,13,99962964-99971909,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA074045,,,Uncertain,Nucleoplasm<br>Vesicles,,Mixed,Group enriched,45,cerebral cortex: 2.3;testis: 6.6,all non-specific tissues: 0.0,Cell line enhanced,,AF22: 21.7;NTERA-2: 15.0;SCLC-21H: 100.6
6,KIAA1549L,"C11orf41, C11orf69, G2, MGC34830",ENSG00000110427,KIAA1549 like,11,33542072-33674102,Predicted membrane proteins,Evidence at protein level,HPA051594,,,Approved,Nucleoplasm,,Mixed,Group enriched,41,cerebral cortex: 34.9;parathyroid gland: 146.2,skin: 2.2,Cell line enhanced,,TIME: 43.4;U-138 MG: 64.2;WM-115: 44.5
7,SCN1A,"FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI",ENSG00000144285,Sodium voltage-gated channel alpha subunit 1,2,165989160-166149214,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,HPA078664,,,Supported,Nucleoplasm<br>Nuclear bodies<br>Plasma membrane,,Tissue enriched,Group enriched,41,cerebral cortex: 10.3;fallopian tube: 2.9;lung: 2.2,"adrenal gland,placenta,testis: 0.1",Cell line enhanced,,AF22: 1.1;ASC TERT1: 4.4;Hep G2: 1.1
8,PHF24,KIAA1045,ENSG00000122733,PHD finger protein 24,9,34957608-34982544,Predicted intracellular proteins,Evidence at protein level,HPA020974,Approved,,,,,Tissue enhanced,Group enriched,36,cerebral cortex: 58.6;testis: 25.9,skin: 1.1,Cell line enhanced,,WM-115: 1.1
9,ELAVL2,"HEL-N1, HuB",ENSG00000107105,ELAV like RNA binding protein 2,9,23690104-23826337,Predicted intracellular proteins,Evidence at protein level,"CAB022222, HPA063001",Enhanced,,Approved,Nucleoplasm<br>Cytosol,,Tissue enhanced,Group enriched,32,cerebral cortex: 37.9;testis: 80.3,adrenal gland: 1.8,Cell line enhanced,,AF22: 36.8;SCLC-21H: 145.6
10,FRMPD4,"KIAA0316, PDZD10, PDZK10",ENSG00000169933,FERM and PDZ domain containing 4,X,12138466-12724523,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,31,cerebral cortex: 17.7;parathyroid gland: 30.1,heart muscle: 0.7,Cell line enhanced,,LHCN-M2: 3.5;U-2197: 6.0;U-266/70: 4.5
11,EGR4,"NGFI-C, PAT133",ENSG00000135625,Early growth response 4,2,73290929-73293705,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA028983,Enhanced,,,,,Mixed,Group enriched,29,cerebral cortex: 9.7;testis: 3.2,"adipose tissue,appendix: 0.2",Cell line enriched,6.0,HMC-1: 1.4
12,HIPK4,FLJ32818,ENSG00000160396,Homeodomain interacting protein kinase 4,19,40379271-40390187,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA027733,Uncertain,,,,,Not detected,Group enriched,29,cerebral cortex: 4.7;testis: 14.6,endometrium: 0.3,Not detected,,
13,SOHLH1,"bA100C15.3, bHLHe80, C9orf157, NOHLH, SPATA27, TEB2",ENSG00000165643,Spermatogenesis and oogenesis specific basic helix-loop-helix 1,9,135693407-135699528,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA059439,,,Approved,Nuclear speckles,,Mixed,Group enriched,27,cerebral cortex: 6.3;testis: 13.4,skin: 0.3,Group enriched,36.0,CACO-2: 14.6;U-266/84: 19.8
14,KCNJ4,"HIR, hIRK2, HRK1, IRK3, Kir2.3",ENSG00000168135,Potassium voltage-gated channel subfamily J member 4,22,38426327-38455199,"Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,25,cerebral cortex: 40.9;heart muscle: 11.4,gallbladder: 1.0,Cell line enriched,8.0,SCLC-21H: 13.4
15,NKX6-2,"GTX, NKX6.1, NKX6B",ENSG00000148826,NK6 homeobox 2,10,132783179-132786052,"Predicted intracellular proteins, Transcription factors",Evidence at transcript level,,,,,,,Tissue enriched,Group enriched,25,cerebral cortex: 15.7;stomach: 16.7,testis: 0.6,Not detected,,
16,SLC7A10,asc-1,ENSG00000130876,Solute carrier family 7 member 10,19,33208664-33225850,"Predicted membrane proteins, Transporters",Evidence at transcript level,"HPA041884, HPA057036",Uncertain,,Uncertain,Nucleus<br>Nucleoli,,Mixed,Group enriched,24,adipose tissue: 31.6;cerebral cortex: 6.5,breast: 0.8,Cell line enhanced,,BEWO: 1.8;HSkMC: 1.2;THP-1: 2.6;U-2 OS: 1.1
17,UNC5A,"KIAA1976, UNC5H1",ENSG00000113763,Unc-5 netrin receptor A,5,176810477-176880895,Predicted membrane proteins,Evidence at protein level,HPA071450,,,Approved,Plasma membrane<br>Cytosol,Endometrial cancer:2.23e-4 (unfavourable),Tissue enhanced,Group enriched,22,adrenal gland: 10.3;cerebral cortex: 35.4,lymph node: 1.0,Cell line enriched,14.0,SCLC-21H: 104.8
18,CDH10,,ENSG00000040731,Cadherin 10,5,24487100-24644978,Predicted membrane proteins,Evidence at protein level,HPA010651,Approved,,,,,Group enriched,Group enriched,20,cerebral cortex: 32.6;prostate: 7.5,adrenal gland: 1.0,Cell line enhanced,,AF22: 7.0;HAP1: 4.8;U-138 MG: 1.5
19,PNMA5,KIAA1934,ENSG00000198883,Paraneoplastic Ma antigen family member 5,X,152988824-152994127,Predicted intracellular proteins,Evidence at protein level,HPA044690,Enhanced,,,,"Colorectal cancer:2.25e-4 (unfavourable), Lung cancer:3.16e-4 (favourable)",Mixed,Group enriched,20,cerebral cortex: 8.1;testis: 16.3,"skin,spleen: 0.5",Group enriched,495.0,HMC-1: 311.7;U-266/70: 426.0;U-266/84: 249.2
20,FNDC9,"C5orf40, MGC27121",ENSG00000172568,Fibronectin type III domain containing 9,5,157341600-157345721,Predicted membrane proteins,Evidence at transcript level,"HPA011115, HPA017291",Approved,,,,,Tissue enriched,Group enriched,18,adrenal gland: 6.2;cerebral cortex: 20.7,appendix: 0.7,Not detected,,
21,NPY,PYY4,ENSG00000122585,Neuropeptide Y,7,24284163-24291865,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB016733, CAB034368, HPA036636, HPA044572, HPA056798",Supported,Supported,Enhanced,Golgi apparatus,Endometrial cancer:5.78e-4 (unfavourable),Tissue enriched,Group enriched,18,adrenal gland: 153.2;cerebral cortex: 211.6;prostate: 495.0,appendix: 16.1,Cell line enriched,39.0,SH-SY5Y: 696.9
22,LYPD1,"LYPDC1, MGC29643",ENSG00000150551,LY6/PLAUR domain containing 1,2,132644853-132671579,Predicted secreted proteins,Evidence at transcript level,,,,,,,Tissue enhanced,Group enriched,17,cerebral cortex: 27.2;fallopian tube: 127.3,salivary gland: 4.5,Cell line enhanced,,hTEC/SVTERT24-B: 56.7;U-251 MG: 88.0;WM-115: 207.2
23,RAB3C,,ENSG00000152932,"RAB3C, member RAS oncogene family",5,58582221-58859394,Predicted intracellular proteins,Evidence at protein level,"HPA003160, HPA048156",Enhanced,,Approved,Cytosol,,Mixed,Group enriched,17,adrenal gland: 12.0;cerebral cortex: 55.3,small intestine: 2.0,Cell line enhanced,,HEL: 2.2;SCLC-21H: 11.9;SH-SY5Y: 3.9
