,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABAT,GABAT,ENSG00000183044,4-aminobutyrate aminotransferase,16,8674565-8784575,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA041528, HPA041690",Enhanced,Supported,Supported,Mitochondria,"Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 164.5;kidney: 135.3;liver: 175.2,thyroid gland: 47.5,Cell line enhanced,,Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1
1,ABCC6,"ARA, EST349056, MLP1, MRP6, PXE, URG7",ENSG00000091262,ATP binding cassette subfamily C member 6,16,16148928-16223522,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA038105,,,Supported,Plasma membrane,Liver cancer:3.82e-4 (favourable),Tissue enhanced,Tissue enhanced,,kidney: 16.9;liver: 23.4,duodenum: 13.0,Cell line enriched,6.0,Hep G2: 45.5
2,AC009014.3,,ENSG00000271824,,5,136191468-136193134,Predicted membrane proteins,Evidence at transcript level,,,,,,"Liver cancer:1.63e-4 (favourable), Pancreatic cancer:6.13e-4 (favourable)",Tissue enhanced,Tissue enhanced,,duodenum: 13.2;kidney: 22.7,small intestine: 6.8,Cell line enhanced,,SCLC-21H: 2.0
3,ACOT4,"FLJ31235, PTE-Ib, PTE2B",ENSG00000177465,Acyl-CoA thioesterase 4,14,73591706-73596496,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA000779,Enhanced,,,,"Renal cancer:8.43e-5 (favourable), Pancreatic cancer:1.77e-4 (unfavourable)",Expressed in all,Tissue enhanced,,kidney: 8.9,liver: 4.9,Cell line enhanced,,CAPAN-2: 9.1;SK-BR-3: 12.3;T-47d: 38.6
4,ACOT6,C14orf42,ENSG00000205669,Acyl-CoA thioesterase 6,14,73610945-73619888,Predicted intracellular proteins,Evidence at protein level,HPA058258,Uncertain,,,,,Not detected,Tissue enhanced,,kidney: 3.8,adipose tissue: 1.7,Cell line enriched,7.0,T-47d: 9.6
5,ACSF2,"ACSMW, FLJ20920",ENSG00000167107,Acyl-CoA synthetase family member 2,17,50426158-50474845,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA024693,Enhanced,,Approved,Nucleoplasm<br>Microtubules<br>Cytosol,"Renal cancer:2.17e-4 (unfavourable), Urothelial cancer:2.41e-4 (favourable)",Expressed in all,Tissue enhanced,,kidney: 136.9,thyroid gland: 68.6,Expressed in all,,
6,ACY3,"ACY-3, HCBP1, MGC9740",ENSG00000132744,Aminoacylase 3,11,67642555-67650659,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA039219, HPA048187",Enhanced,,,,Endometrial cancer:4.80e-4 (favourable),Mixed,Tissue enhanced,,duodenum: 80.6;kidney: 53.3;small intestine: 78.6,"cervix, uterine: 16.1",Cell line enhanced,,CACO-2: 8.4;CAPAN-2: 13.6;Daudi: 41.2
7,ADGRF1,"GPR110, hGPCR36, PGR19",ENSG00000153292,Adhesion G protein-coupled receptor F1,6,46997703-47042363,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA038438,Approved,,,,Renal cancer:1.35e-5 (favourable),Mixed,Tissue enhanced,,esophagus: 14.6;kidney: 17.6;urinary bladder: 18.9,gallbladder: 9.4,Group enriched,9.0,A-431: 27.0;CAPAN-2: 99.3;HaCaT: 22.4;PC-3: 33.9;RPTEC TERT1: 38.6;RT4: 104.1
8,AGMAT,FLJ23384,ENSG00000116771,Agmatinase,1,15572353-15585110,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA026443, HPA028321",Enhanced,,,,Renal cancer:5.13e-4 (favourable),Group enriched,Tissue enhanced,,kidney: 158.9,liver: 36.6,Cell line enhanced,,CACO-2: 35.2;Hep G2: 70.8
9,AIF1L,"C9orf58, FLJ12783, IBA2",ENSG00000126878,Allograft inflammatory factor 1 like,9,131096476-131123152,Predicted intracellular proteins,Evidence at protein level,"HPA020522, HPA056852",Enhanced,,,,Renal cancer:5.54e-6 (favourable),Expressed in all,Tissue enhanced,,kidney: 287.5;spleen: 288.1,thyroid gland: 155.2,Cell line enhanced,,AF22: 139.6;NTERA-2: 106.7;RPTEC TERT1: 230.5
