,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,SLC22A11,OAT4,ENSG00000168065,Solute carrier family 22 member 11,11,64555626-64572875,"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA026076,Approved,,,,Renal cancer:3.68e-5 (favourable),Group enriched,Group enriched,114,epididymis: 10.0;kidney: 26.0;placenta: 44.8,seminal vesicle: 0.2,Cell line enhanced,,BEWO: 1.2
1,IFIT1B,"bA149I23.6, IFIT1L",ENSG00000204010,Interferon induced protein with tetratricopeptide repeats 1B,10,89378056-89385205,Predicted intracellular proteins,Evidence at protein level,HPA062924,Approved,,,,,Not detected,Group enriched,97,bone marrow: 15.3;placenta: 4.1,all non-specific tissues: 0.0,Not detected,,
2,IGFBP1,"AFBP, hIGFBP-1, IBP1, IGF-BP25, PP12",ENSG00000146678,Insulin like growth factor binding protein 1,7,45888357-45893668,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB004445, HPA046972, HPA050640",Enhanced,,Approved,Golgi apparatus,"Renal cancer:6.90e-11 (unfavourable), Lung cancer:1.03e-4 (unfavourable), Stomach cancer:6.64e-4 (unfavourable)",Tissue enriched,Group enriched,52,endometrium: 120.4;liver: 563.0;placenta: 265.8,fallopian tube: 6.0,Group enriched,8.0,Hep G2: 33.4;U-2197: 71.7;U-87 MG: 128.8
3,NAA11,"ARD1B, ARD2, hARD2",ENSG00000156269,"N(alpha)-acetyltransferase 11, NatA catalytic subunit",4,79225694-79326050,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA035922,Approved,,,,,Tissue enhanced,Group enriched,37,placenta: 6.1;testis: 11.4,"cerebral cortex,endometrium,parathyroid gland,smooth muscle,thyroid gland: 0.2",Cell line enhanced,,K-562: 11.1;U-266/70: 25.3;U-266/84: 8.0
4,DUSP9,"MKP-4, MKP4",ENSG00000130829,Dual specificity phosphatase 9,X,153642492-153651326,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA003336,Enhanced,,Approved,Endoplasmic reticulum,Endometrial cancer:1.60e-4 (unfavourable),Mixed,Group enriched,35,kidney: 29.0;placenta: 103.3,testis: 1.8,Cell line enriched,6.0,Hep G2: 251.7
5,HBA1,HBA-T3,ENSG00000206172,Hemoglobin subunit alpha 1,16,176680-177522,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB032534, HPA043780",Enhanced,,,,,Tissue enhanced,Group enriched,34,bone marrow: 17119.3;placenta: 3433.6,spleen: 303.5,Group enriched,51.0,HEL: 3255.0;K-562: 2173.8
6,ERVFRD-1,"envFRD, ERVFRDE1, HERV-FRD, HERV-W/FRD, syncytin-2",ENSG00000244476,Endogenous retrovirus group FRD member 1,6,11102489-11111732,"Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Not detected,Group enriched,32,parathyroid gland: 30.4;placenta: 51.8,epididymis: 1.2,Cell line enriched,34.0,BEWO: 8.9
7,HBA2,HBA-T2,ENSG00000188536,Hemoglobin subunit alpha 2,16,172847-173710,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB038417, HPA043780",Enhanced,,,,,Expressed in all,Group enriched,27,bone marrow: 18369.0;placenta: 4302.7,spleen: 427.2,Group enriched,18.0,HEL: 802.0;K-562: 265.1
8,TRIML2,"FLJ25801, SPRYD6",ENSG00000179046,Tripartite motif family like 2,4,188091273-188109603,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA043838,Uncertain,,Approved,Plasma membrane<br>Cytosol,,Tissue enriched,Group enriched,26,placenta: 5.9;testis: 3.4,"cerebral cortex,lung: 0.1",Cell line enhanced,,A549: 30.5;BEWO: 17.7;hTCEpi: 15.4;NTERA-2: 34.0
9,LVRN,"APQ, AQPEP, FLJ90650, TAQPEP",ENSG00000172901,Laeverin,5,115962454-116027619,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA053254,Enhanced,,,,,Not detected,Group enriched,22,adipose tissue: 11.8;placenta: 31.5,breast: 1.0,Not detected,,
