,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABC13-47488600E17.1,,ENSG00000283199,,13,113953705-113973997,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Tissue enhanced,,stomach: 2.6;testis: 5.9,lung: 2.1,Cell line enhanced,,hTEC/SVTERT24-B: 1.2
1,ACSM6,"bA310E22.3, C10orf129",ENSG00000173124,Acyl-CoA synthetase medium-chain family member 6,10,95194200-95228928,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA044593,Uncertain,,,,Urothelial cancer:7.71e-4 (favourable),Tissue enriched,Tissue enhanced,,stomach: 1.7,urinary bladder: 0.6,Cell line enriched,27.0,RT4: 3.0
2,ADH1C,ADH3,ENSG00000248144,"Alcohol dehydrogenase 1C (class I), gamma polypeptide",4,99336492-99353027,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA047814, HPA060902",Supported,,Supported,Plasma membrane<br>Cytosol,"Lung cancer:2.99e-4 (favourable), Liver cancer:4.55e-4 (favourable)",Tissue enriched,Tissue enhanced,,duodenum: 508.1;liver: 888.0;stomach: 477.4,colon: 276.3,Cell line enhanced,,ASC TERT1: 2.5;HSkMC: 7.7
3,AGR2,"AG2, HAG-2, PDIA17, XAG-2",ENSG00000106541,"Anterior gradient 2, protein disulphide isomerase family member",7,16791811-16833433,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA007912,Enhanced,,Approved,Cytosol,"Renal cancer:8.79e-5 (unfavourable), Liver cancer:1.15e-4 (unfavourable)",Mixed,Tissue enhanced,,rectum: 1322.0;stomach: 1307.3,"cervix, uterine: 939.5",Cell line enhanced,,A549: 239.4;RPTEC TERT1: 465.3;RT4: 298.0;T-47d: 1243.5
4,AKR1B10,"AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI",ENSG00000198074,Aldo-keto reductase family 1 member B10,7,134527592-134541408,Predicted intracellular proteins,Evidence at protein level,"HPA020280, CAB070163, HPA073633",Enhanced,,Supported,Plasma membrane<br>Cytosol,"Renal cancer:4.80e-9 (unfavourable), Colorectal cancer:1.91e-4 (favourable)",Tissue enhanced,Tissue enhanced,,duodenum: 635.9;gallbladder: 283.3;small intestine: 387.2;stomach: 414.4,esophagus: 89.8,Group enriched,74.0,A549: 2731.1;Hep G2: 580.9
5,AMTN,"RSTI689, UNQ689",ENSG00000187689,Amelotin,4,70518540-70532742,Predicted secreted proteins,Evidence at protein level,"HPA036136, HPA036137",Uncertain,,,,,Group enriched,Tissue enhanced,,stomach: 6.9;tonsil: 24.9,prostate: 3.3,Cell line enhanced,,hTERT-HME1: 3.4;MCF7: 2.6
6,ANKRD22,MGC22805,ENSG00000152766,Ankyrin repeat domain 22,10,88822132-88851818,Predicted intracellular proteins,Evidence at protein level,HPA012922,Approved,,Approved,Nucleus,"Endometrial cancer:8.73e-6 (favourable), Pancreatic cancer:6.15e-4 (unfavourable)",Expressed in all,Tissue enhanced,,skin: 38.6;stomach: 49.2,esophagus: 27.0,Cell line enhanced,,A-431: 13.9;CAPAN-2: 43.6;RT4: 27.0;T-47d: 21.2
7,ANO7,"IPCA-5, NGEP, PCANAP5, PCANAP5L, TMEM16G",ENSG00000146205,Anoctamin 7,2,241188509-241225377,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA035730,Uncertain,,,,,Tissue enriched,Tissue enhanced,,prostate: 100.6;stomach: 26.0,small intestine: 15.4,Cell line enhanced,,BEWO: 2.1;Hep G2: 1.5
8,ARL14,"ARF7, FLJ22595",ENSG00000179674,ADP ribosylation factor like GTPase 14,3,160677159-160678452,Predicted intracellular proteins,Evidence at protein level,,,,,,"Lung cancer:2.64e-5 (unfavourable), Pancreatic cancer:6.71e-4 (unfavourable)",Group enriched,Tissue enhanced,,gallbladder: 209.1;stomach: 70.2,duodenum: 50.9,Group enriched,5.0,A-431: 8.4;CAPAN-2: 31.7;HaCaT: 7.9;RT4: 14.0
9,B3GNT6,B3Gn-T6,ENSG00000198488,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",11,77034398-77041973,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA012158, HPA039805",Enhanced,Approved,,,Colorectal cancer:2.31e-4 (favourable),Group enriched,Tissue enhanced,,colon: 21.7;rectum: 18.2;stomach: 23.5,small intestine: 7.9,Not detected,,
10,B4GALNT3,"B4GalNac-T3, FLJ16224, FLJ40362",ENSG00000139044,"Beta-1,4-N-acetyl-galactosaminyltransferase 3",12,460364-563509,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA011404,Enhanced,,,,Endometrial cancer:1.69e-10 (favourable),Mixed,Tissue enhanced,,stomach: 69.3,colon: 21.5,Cell line enhanced,,BEWO: 37.3;NTERA-2: 17.2
11,BCAS1,"AIBC1, NABC1",ENSG00000064787,Breast carcinoma amplified sequence 1,20,53936777-54070594,Predicted intracellular proteins,Evidence at protein level,"CAB033558, HPA051816, HPA054745",Enhanced,,Approved,Vesicles,,Mixed,Tissue enhanced,,cerebral cortex: 108.7;stomach: 155.8,rectum: 80.7,Group enriched,6.0,RT4: 143.2;SK-BR-3: 277.9
12,BPIFB1,"bA49G10.6, C20orf114, dJ1187J4.1, LPLUNC1, MGC14597, VEMSGP",ENSG00000125999,BPI fold containing family B member 1,20,33273480-33309878,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA024256,Supported,,,,,Tissue enhanced,Tissue enhanced,,"cervix, uterine: 839.4;stomach: 443.3",lung: 157.3,Cell line enhanced,,CAPAN-2: 2.2;RT4: 1.6;SK-BR-3: 3.1
13,CA2,"CA-II, CAII, Car2",ENSG00000104267,Carbonic anhydrase 2,8,85463852-85481493,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001550, CAB010102",Enhanced,,,,Renal cancer:5.57e-6 (favourable),Expressed in all,Tissue enhanced,,colon: 604.8;rectum: 627.5;stomach: 918.8,kidney: 308.3,Group enriched,11.0,HaCaT: 204.1;HEK93: 884.1;THP-1: 278.7
14,CA9,"CAIX, MN",ENSG00000107159,Carbonic anhydrase 9,9,35673856-35681159,"Enzymes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB005100, CAB017107, HPA055207",Enhanced,,Enhanced,Plasma membrane<br>Cytosol,"Renal cancer:2.22e-7 (unfavourable), Liver cancer:1.71e-5 (unfavourable), Testis cancer:9.50e-4 (favourable)",Mixed,Tissue enhanced,,gallbladder: 36.0;stomach: 93.6,small intestine: 14.5,Group enriched,11.0,A-431: 152.1;HDLM-2: 84.3;U-87 MG: 337.9
15,CAPN13,FLJ23523,ENSG00000162949,Calpain 13,2,30722771-30820542,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA029496, HPA029497, HPA030034",Uncertain,,Approved,Nucleoplasm,,Mixed,Tissue enhanced,,rectum: 26.8;small intestine: 32.4;stomach: 26.5,duodenum: 20.8,Cell line enhanced,,RT4: 7.4;SK-BR-3: 16.4;T-47d: 2.8
16,CAPN9,"GC36, nCL-4",ENSG00000135773,Calpain 9,1,230747384-230802003,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA020398, CAB033483",Enhanced,,,,,Mixed,Tissue enhanced,,rectum: 25.2;stomach: 58.9,colon: 14.4,Cell line enriched,9.0,SCLC-21H: 17.8
17,CFC1,"CRYPTIC, HTX2",ENSG00000136698,"Cripto, FRL-1, cryptic family 1",2,130592168-130599575,"Disease related genes, Predicted secreted proteins",Evidence at protein level,HPA041773,Uncertain,,,,,Tissue enriched,Tissue enhanced,,pancreas: 4.1;prostate: 10.4;stomach: 8.0,fallopian tube: 1.6,Group enriched,18.0,RPMI-8226: 13.6;SCLC-21H: 12.6
