,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AC018755.18,,ENSG00000268500,,19,51612091-51646889,Predicted membrane proteins,Evidence at transcript level,HPA009085,Approved,,,,,Not detected,Tissue enhanced,,appendix: 10.0;bone marrow: 17.4,spleen: 5.5,Group enriched,14.0,HMC-1: 68.6;U-937: 25.7
1,ADAMTS8,"ADAM-TS8, FLJ41712, METH2",ENSG00000134917,ADAM metallopeptidase with thrombospondin type 1 motif 8,11,130404925-130428993,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Evidence at transcript level,HPA066349,Approved,,,,Endometrial cancer:1.38e-4 (favourable),Tissue enhanced,Tissue enhanced,,appendix: 10.9;lung: 15.5,seminal vesicle: 5.5,Cell line enhanced,,HMC-1: 3.2;NTERA-2: 1.8;U-2 OS: 8.7
2,ADCYAP1,PACAP,ENSG00000141433,Adenylate cyclase activating polypeptide 1,18,904943-912172,Predicted secreted proteins,Evidence at protein level,HPA065887,,Approved,,,Renal cancer:2.91e-6 (favourable),Tissue enhanced,Tissue enhanced,,appendix: 19.3;cerebral cortex: 16.0;gallbladder: 15.7,testis: 5.6,Cell line enriched,17.0,SCLC-21H: 20.8
3,ADGRE1,"EMR1, TM7LN3",ENSG00000174837,Adhesion G protein-coupled receptor E1,19,6887566-6940459,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at transcript level,HPA052809,Uncertain,,,,,Mixed,Tissue enhanced,,appendix: 9.9;spleen: 19.7,lung: 6.8,Cell line enhanced,,BJ hTERT+: 8.5;HDLM-2: 24.5;HMC-1: 15.9;Karpas-707: 16.0
4,ADGRE2,"CD312, EMR2",ENSG00000127507,Adhesion G protein-coupled receptor E2,19,14732393-14778541,"CD markers, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA055200,,,Uncertain,Vesicles,Renal cancer:4.35e-6 (unfavourable),Mixed,Tissue enhanced,,appendix: 27.0;spleen: 15.4,adipose tissue: 6.0,Cell line enhanced,,HEL: 10.6;HMC-1: 16.0;U-937: 11.8
5,ADGRE3,EMR3,ENSG00000131355,Adhesion G protein-coupled receptor E3,19,14619117-14690027,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins",Evidence at transcript level,HPA015638,Uncertain,,,,,Not detected,Tissue enhanced,,appendix: 8.7;spleen: 8.6,lung: 3.9,Cell line enriched,50.0,HMC-1: 39.7
6,APOBEC3A,"ARP3, PHRBN",ENSG00000128383,Apolipoprotein B mRNA editing enzyme catalytic subunit 3A,22,38952741-38992778,Predicted intracellular proteins,Evidence at protein level,"HPA043237, HPA056980, HPA066719",Approved,,Uncertain,Nucleoplasm,,Tissue enhanced,Tissue enhanced,,appendix: 29.8;bone marrow: 59.0,spleen: 19.5,Not detected,,
7,AQP9,"HsT17287, SSC1",ENSG00000103569,Aquaporin 9,15,58138169-58185911,Predicted membrane proteins,Evidence at protein level,"HPA074762, CAB075684",Enhanced,,,,Renal cancer:5.72e-11 (unfavourable),Tissue enriched,Tissue enhanced,,appendix: 102.4;liver: 353.0,epididymis: 50.3,Cell line enriched,37.0,U-87 MG: 27.9
8,ARHGAP45,"HA-1, HMHA1, KIAA0223",ENSG00000180448,Rho GTPase activating protein 45,19,1065923-1086628,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA019816,Enhanced,,,,"Endometrial cancer:6.02e-4 (favourable), Head and neck cancer:7.82e-4 (favourable)",Expressed in all,Tissue enhanced,,appendix: 56.4;lymph node: 66.6;spleen: 77.8,bone marrow: 44.0,Cell line enhanced,,Karpas-707: 72.0;U-266/70: 99.7
9,BCL2A1,"ACC-1, ACC-2, ACC1, ACC2, BCL2L5, BFL1, GRS, HBPA1",ENSG00000140379,BCL2 related protein A1,15,79960889-79971446,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,,,,,,Renal cancer:2.77e-5 (unfavourable),Expressed in all,Tissue enhanced,,appendix: 115.2;bone marrow: 277.0,lymph node: 62.1,Cell line enhanced,,HMC-1: 76.7;SK-MEL-30: 329.3;U-138 MG: 43.6
