,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,TG,"AITD3, TGN",ENSG00000042832,Thyroglobulin,8,132866958-133134903,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB000077, HPA002740, CAB056155",Enhanced,,,,,Tissue enriched,Tissue enriched,1104,thyroid gland: 15620.0,gallbladder: 14.1,Cell line enhanced,,HDLM-2: 1.9;Karpas-707: 4.0;PC-3: 2.6
1,TSHR,LGR3,ENSG00000165409,Thyroid stimulating hormone receptor,14,80954989-81146302,"Cancer-related genes, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,CAB000473,Approved,,,,,Tissue enriched,Tissue enriched,282,thyroid gland: 445.5,lymph node: 1.5,Cell line enhanced,,MOLT-4: 18.4;SCLC-21H: 25.2;U-266/70: 7.9
2,TPO,TPX,ENSG00000115705,Thyroid peroxidase,2,1374223-1543711,"Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA007987, CAB009587",Enhanced,,,,,Tissue enriched,Tissue enriched,103,thyroid gland: 1817.4,spleen: 17.6,Cell line enhanced,,Karpas-707: 6.9;RPMI-8226: 2.9
3,CALCB,"CALC2, CGRP-II, FLJ30166",ENSG00000175868,Calcitonin related polypeptide beta,11,14904997-15082342,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA059886,,Supported,,,Endometrial cancer:3.42e-5 (unfavourable),Tissue enhanced,Tissue enriched,46,thyroid gland: 32.6,testis: 0.7,Cell line enhanced,,HEK93: 5.4;Karpas-707: 7.5;SH-SY5Y: 3.8;U-266/70: 11.8
4,IYD,"C6orf71, DEHAL1, dJ422F24.1",ENSG00000009765,Iodotyrosine deiodinase,6,150368892-150405969,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,HPA059627,Enhanced,,Supported,Plasma membrane,Liver cancer:6.22e-4 (favourable),Tissue enriched,Tissue enriched,28,thyroid gland: 794.5,kidney: 27.9,Cell line enhanced,,CACO-2: 1.1;SK-BR-3: 2.4
5,SLC26A4,"DFNB4, PDS",ENSG00000091137,Solute carrier family 26 member 4,7,107660635-107717809,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA042860,Approved,,,,,Tissue enriched,Tissue enriched,28,thyroid gland: 419.0,cerebral cortex: 15.1,Cell line enhanced,,LHCN-M2: 3.7;SCLC-21H: 1.9
6,RAG2,,ENSG00000175097,Recombination activating 2,11,36575574-36598279,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA065704,,,Approved,Nucleoplasm,,Tissue enriched,Tissue enriched,22,thyroid gland: 40.1,testis: 1.8,Group enriched,114.0,MOLT-4: 37.4;REH: 167.6
7,SLC26A7,SUT2,ENSG00000147606,Solute carrier family 26 member 7,8,91209494-91398152,Predicted membrane proteins,Evidence at transcript level,,,,,,,Group enriched,Tissue enriched,21,thyroid gland: 550.6,kidney: 26.3,Not detected,,
8,BMP8A,,ENSG00000183682,Bone morphogenetic protein 8a,1,39491646-39525935,Predicted secreted proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enriched,19,thyroid gland: 82.0,testis: 4.4,Cell line enhanced,,U-2197: 12.8;U-266/70: 5.4;U-266/84: 4.6
9,OTOS,OTOSP,ENSG00000178602,Otospiralin,2,240139026-240144562,Predicted secreted proteins,Evidence at transcript level,,,,,,,Group enriched,Tissue enriched,16,thyroid gland: 74.1,cerebral cortex: 4.6,Not detected,,
10,FOXE1,"FKHL15, FOXE2, HFKH4, TITF2, TTF-2",ENSG00000178919,Forkhead box E1,9,97853254-97856715,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enriched,15,thyroid gland: 327.9,tonsil: 22.1,Cell line enhanced,,A-431: 12.2;HeLa: 13.5;RPTEC TERT1: 14.9;SiHa: 15.7
11,PAX8,,ENSG00000125618,Paired box 8,2,113215997-113278950,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA030062, CAB055097, CAB061888, HPA064554",Enhanced,,Enhanced,Nucleoplasm,Endometrial cancer:1.75e-5 (unfavourable),Group enriched,Tissue enriched,10,thyroid gland: 644.0,kidney: 65.2,Group enriched,8.0,EFO-21: 76.3;RPTEC TERT1: 144.9
12,IGFBPL1,bA113O24.1,ENSG00000137142,Insulin like growth factor binding protein like 1,9,38408994-38424447,Predicted secreted proteins,Evidence at protein level,HPA051354,Uncertain,,Approved,Nucleoplasm<br>Vesicles,,Mixed,Tissue enriched,8,thyroid gland: 31.5,cerebral cortex: 3.9,Group enriched,6.0,AF22: 359.4;NTERA-2: 100.5;RH-30: 101.1;SCLC-21H: 438.6;SH-SY5Y: 383.3
13,GOLGA8Q,,ENSG00000178115,Golgin A8 family member Q,15,30552078-30562501,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,7,thyroid gland: 20.9,parathyroid gland: 2.8,Group enriched,6.0,THP-1: 4.4;U-937: 7.0
14,RGS16,"A28-RGS14, RGS-r",ENSG00000143333,Regulator of G-protein signaling 16,1,182598623-182604408,Predicted intracellular proteins,Evidence at protein level,"HPA053250, HPA055824",Uncertain,,Approved,Cytosol,Renal cancer:1.70e-4 (unfavourable),Expressed in all,Tissue enriched,7,thyroid gland: 171.8,gallbladder: 25.1,Cell line enhanced,,Daudi: 77.3;SCLC-21H: 127.9;U-266/70: 93.7;U-698: 109.4
15,SCUBE3,"CEGF3, FLJ34743",ENSG00000146197,"Signal peptide, CUB domain and EGF like domain containing 3",6,35214419-35253079,Predicted secreted proteins,Evidence at protein level,HPA040606,Uncertain,,Supported,Plasma membrane,Thyroid cancer:1.38e-4 (unfavourable),Tissue enhanced,Tissue enriched,7,thyroid gland: 49.4,seminal vesicle: 6.8,Cell line enhanced,,AF22: 27.2;ASC diff: 56.0;ASC TERT1: 76.2;HSkMC: 37.2;hTEC/SVTERT24-B: 32.0;U-138 MG: 30.4;WM-115: 26.3
16,ZNF804B,FLJ32110,ENSG00000182348,Zinc finger protein 804B,7,88759368-89337057,Predicted intracellular proteins,Evidence at protein level,HPA026702,Uncertain,,,,,Not detected,Tissue enriched,7,thyroid gland: 7.3,kidney: 0.9,Not detected,,
17,PDE8B,,ENSG00000113231,Phosphodiesterase 8B,5,77210449-77429807,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA036911, HPA036912",Enhanced,,Approved,Nucleoplasm<br>Cytosol,,Tissue enriched,Tissue enriched,6,thyroid gland: 293.7,cerebral cortex: 53.0,Cell line enhanced,,BJ hTERT+: 14.6;HeLa: 32.2;SK-BR-3: 10.4
18,TCERG1L,FLJ38950,ENSG00000176769,Transcription elongation regulator 1 like,10,131092391-131311721,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Tissue enriched,Tissue enriched,6,thyroid gland: 25.1,cerebral cortex: 4.1,Cell line enhanced,,BEWO: 4.1;U-2 OS: 1.1
19,ZNF571,HSPC059,ENSG00000180479,Zinc finger protein 571,19,37554782-37594790,"Predicted intracellular proteins, Transcription factors",Evidence at transcript level,HPA054762,,,Approved,Nucleus<br>Nucleoli<br>Plasma membrane,,Mixed,Tissue enriched,6,thyroid gland: 130.6,parathyroid gland: 21.6,Mixed,,
20,TNFRSF11B,"OCIF, OPG, TR1",ENSG00000164761,TNF receptor superfamily member 11b,8,118923557-118952200,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,CAB034939,Approved,,,,"Urothelial cancer:3.88e-4 (unfavourable), Cervical cancer:6.22e-4 (unfavourable), Renal cancer:6.79e-4 (favourable)",Expressed in all,Tissue enriched,5,thyroid gland: 140.4,kidney: 25.7,Cell line enhanced,,BJ: 369.9;BJ hTERT+: 1312.6;fHDF/TERT166: 188.6
