,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,DEFB119,"DEFB-19, DEFB-20, DEFB120",ENSG00000180483,Defensin beta 119,20,31377164-31390603,Predicted secreted proteins,Evidence at protein level,HPA043059,Supported,,,,,Tissue enriched,Group enriched,3499,epididymis: 2335.6;testis: 472.8,duodenum: 0.4,Not detected,,
1,DEFB123,DEFB-23,ENSG00000180424,Defensin beta 123,20,31440519-31450257,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enriched,Group enriched,438,epididymis: 108.1;testis: 178.0,small intestine: 0.3,Not detected,,
2,MAGEB3,CT3.5,ENSG00000198798,MAGE family member B3,X,30230436-30237492,Predicted intracellular proteins,Evidence at protein level,HPA072203,Approved,,,,,Not detected,Group enriched,156,epididymis: 21.5;testis: 9.5,all non-specific tissues: 0.0,Cell line enriched,10.0,U-266/70: 1.6
3,EPPIN,"CT71, dJ461P17.2, EPPIN1, EPPIN2, EPPIN3, SPINLW1, WAP7, WFDC7",ENSG00000101448,Epididymal peptidase inhibitor,20,45540626-45547752,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,117,epididymis: 414.2;testis: 128.4,fallopian tube: 2.3,Cell line enhanced,,U-87 MG: 2.6
4,MAGEB4,"CT3.6, MGC33144",ENSG00000120289,MAGE family member B4,X,30242052-30244193,Predicted intracellular proteins,Evidence at protein level,HPA030456,Enhanced,,,,,Not detected,Group enriched,117,epididymis: 34.1;testis: 17.0,breast: 0.2,Not detected,,
5,SLC22A11,OAT4,ENSG00000168065,Solute carrier family 22 member 11,11,64555626-64572875,"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA026076,Approved,,,,Renal cancer:3.68e-5 (favourable),Group enriched,Group enriched,114,epididymis: 10.0;kidney: 26.0;placenta: 44.8,seminal vesicle: 0.2,Cell line enhanced,,BEWO: 1.2
6,CAMP,"CAP18, FALL-39, FALL39, LL37",ENSG00000164047,Cathelicidin antimicrobial peptide,3,48223347-48225491,Predicted secreted proteins,Evidence at protein level,"CAB015949, CAB016522, HPA029874",Enhanced,,,,Cervical cancer:5.73e-4 (favourable),Tissue enhanced,Group enriched,101,bone marrow: 1341.0;epididymis: 330.5,lymph node: 8.2,Group enriched,12.0,Daudi: 18.4;hTCEpi: 12.5;U-698: 50.9
7,EPPIN-WFDC6,SPINLW1-WFDC6,ENSG00000249139,EPPIN-WFDC6 readthrough,20,45536986-45547426,Predicted secreted proteins,Evidence at protein level,,,,,,,Not detected,Group enriched,78,epididymis: 41.7;testis: 58.2,fallopian tube: 0.6,Not detected,,
8,POU3F3,"BRN1, OTF8",ENSG00000198914,POU class 3 homeobox 3,2,104855511-104858574,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA052792, HPA056039, HPA067151",Approved,,Enhanced,Nucleus,Endometrial cancer:4.26e-5 (unfavourable),Group enriched,Group enriched,45,cerebral cortex: 43.9;epididymis: 46.3;kidney: 36.6;seminal vesicle: 23.2,skin: 0.8,Group enriched,5.0,AF22: 58.4;AN3-CA: 52.7;HEK93: 20.3;RPTEC TERT1: 50.7;SH-SY5Y: 19.7
9,DNAJC5G,"CSP-gamma, FLJ40417",ENSG00000163793,DnaJ heat shock protein family (Hsp40) member C5 gamma,2,27275421-27281499,Predicted membrane proteins,Evidence at transcript level,HPA041445,Approved,,,,,Not detected,Group enriched,41,epididymis: 65.0;testis: 42.7,cerebral cortex: 1.3,Cell line enhanced,,HAP1: 1.0
10,U82695.5,,ENSG00000214897,,X,153395640-153401420,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Mixed,Group enriched,35,epididymis: 5.8;ovary: 4.7;testis: 10.9,fallopian tube: 0.2,Not detected,,
11,KRT71,"K6IRS1, KRT6IRS, KRT6IRS1",ENSG00000139648,Keratin 71,12,52543909-52553147,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA049404,Supported,,,,,Tissue enhanced,Group enriched,34,breast: 1.4;epididymis: 5.3,all non-specific tissues: 0.0,Cell line enriched,11.0,CACO-2: 5.1
12,RP11-14J7.7,,ENSG00000259060,Probable ribonuclease 11 precursor ,14,20582892-20609795,Predicted secreted proteins,Evidence at transcript level,,,,,,,Not detected,Group enriched,34,epididymis: 5.4;testis: 1.2,all non-specific tissues: 0.0,Not detected,,
13,SPINT3,HKIB9,ENSG00000101446,"Serine peptidase inhibitor, Kunitz type 3",20,45512461-45515624,Predicted secreted proteins,Evidence at protein level,HPA026852,Enhanced,,,,,Not detected,Group enriched,32,epididymis: 5.8;seminal vesicle: 15.4,skin: 0.3,Not detected,,
14,AC133551.1,,ENSG00000274175,,Unmapped,17234-19833,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Group enriched,28,epididymis: 7.4;testis: 4.1,placenta: 0.2,Not detected,,
15,CDY2A,CDY2,ENSG00000182415,Chromodomain Y-linked 2A,Y,18025787-18028597,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,24,epididymis: 1.3;testis: 3.5,all non-specific tissues: 0.0,Not detected,,
16,NXF2,"CT39, TAPL-2",ENSG00000269405,Nuclear RNA export factor 2,X,102247161-102326719,Predicted intracellular proteins,Evidence at protein level,HPA002079,Uncertain,,,,,Not detected,Group enriched,21,epididymis: 18.6;testis: 23.3,fallopian tube: 0.9,Cell line enriched,38.0,U-266/84: 24.8
17,ROS1,"c-ros-1, MCF3, ROS",ENSG00000047936,"ROS proto-oncogene 1, receptor tyrosine kinase",6,117288300-117425855,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA049098, HPA072424",Uncertain,,Approved,Vesicles,,Tissue enriched,Group enriched,18,epididymis: 70.9;lung: 47.2,seminal vesicle: 3.2,Cell line enhanced,,HSkMC: 7.5;hTCEpi: 15.7;LHCN-M2: 12.7
18,LEMD1,"CT50, LEMP-1",ENSG00000186007,LEM domain containing 1,1,205381378-205457091,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,HPA045425,,,Approved,Nucleoli<br>Cytosol,"Ovarian cancer:1.26e-4 (favourable), Pancreatic cancer:1.70e-4 (unfavourable)",Tissue enhanced,Group enriched,16,epididymis: 18.1;testis: 71.4,fallopian tube: 2.7,Group enriched,6.0,CAPAN-2: 34.9;NTERA-2: 7.0
19,WFDC6,"C20orf171, dJ461P17.11, WAP6",ENSG00000243543,WAP four-disulfide core domain 6,20,45534196-45539495,Predicted secreted proteins,Evidence at transcript level,,,,,,,Tissue enhanced,Group enriched,16,epididymis: 323.7;testis: 83.8,fallopian tube: 12.5,Cell line enriched,7.0,U-87 MG: 2.6
20,MAGEA11,"CT1.11, MAGE-11, MAGE11, MAGEA-11, MGC10511",ENSG00000185247,MAGE family member A11,X,149688228-149717266,Predicted intracellular proteins,Evidence at protein level,HPA052687,,,Supported,Nucleoplasm<br>Nuclear bodies<br>Cytosol,,Mixed,Group enriched,15,epididymis: 25.8;testis: 6.9,placenta: 1.0,Cell line enhanced,,PC-3: 5.2;U-2 OS: 25.0;U-2197: 3.2
21,REG3G,"LPPM429, PAP1B, UNQ429",ENSG00000143954,Regenerating family member 3 gamma,2,79025686-79028505,Predicted secreted proteins,Evidence at protein level,"HPA047894, HPA048334, HPA060705",Uncertain,,Approved,Cytosol,,Tissue enriched,Group enriched,15,epididymis: 201.5;testis: 107.2,pancreas: 10.0,Not detected,,
22,TP53TG3F,,ENSG00000278848,TP53 target 3 family member F,16,33459045-33462249,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Group enriched,14,epididymis: 7.4;testis: 4.2,placenta: 0.4,Cell line enhanced,,HEL: 1.0
23,PNMA3,"MA3, MA5, MGC132756, MGC132758",ENSG00000183837,Paraneoplastic Ma antigen 3,X,153056409-153060467,Predicted intracellular proteins,Evidence at transcript level,HPA047920,Approved,,,,Endometrial cancer:4.14e-5 (unfavourable),Mixed,Group enriched,13,cerebral cortex: 15.4;epididymis: 45.4;testis: 12.3,fallopian tube: 1.8,Cell line enhanced,,NTERA-2: 3.2;SCLC-21H: 1.2
24,CTNNA2,"CAP-R, CT114",ENSG00000066032,Catenin alpha 2,2,79185231-80648861,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,CAB037175,Enhanced,,,,,Group enriched,Group enriched,12,cerebral cortex: 111.6;epididymis: 81.5;testis: 32.2,adrenal gland: 6.3,Cell line enhanced,,AF22: 7.0;Karpas-707: 5.9;NTERA-2: 6.7;SCLC-21H: 4.5;SH-SY5Y: 11.4
25,SLC30A3,ZNT3,ENSG00000115194,Solute carrier family 30 member 3,2,27253684-27275817,"Predicted membrane proteins, Transporters",Evidence at protein level,"HPA060505, HPA067637, CAB079044",Enhanced,Approved,Approved,Nucleus<br>Nucleoli<br>Vesicles<br>Cytosol,,Mixed,Group enriched,12,cerebral cortex: 36.6;epididymis: 55.4;testis: 43.5,heart muscle: 3.6,Cell line enhanced,,HAP1: 10.6;Hep G2: 9.5;REH: 20.7;RH-30: 11.0
26,DEFB125,DEFB-25,ENSG00000178591,Defensin beta 125,20,87250-97094,Predicted secreted proteins,Evidence at transcript level,HPA043095,Uncertain,,,,,Not detected,Group enriched,11,epididymis: 1.3;seminal vesicle: 1.5,testis: 0.1,Not detected,,
27,MCF2,"ARHGEF21, DBL",ENSG00000101977,MCF.2 cell line derived transforming sequence,X,139581770-139708227,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,11,adrenal gland: 38.3;cerebral cortex: 8.7;epididymis: 15.0;ovary: 12.9;seminal vesicle: 24.0;testis: 34.6,prostate: 2.0,Cell line enriched,12.0,U-251 MG: 30.6
28,SRD5A2,,ENSG00000277893,Steroid 5 alpha-reductase 2,2,31522480-31581067,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Group enriched,Group enriched,11,epididymis: 27.9;fallopian tube: 31.6;liver: 30.6;prostate: 26.6;seminal vesicle: 24.5,testis: 2.5,Cell line enhanced,,RT4: 1.2
29,ADIG,"MGC39724, RP5-1100H13.2, SMAF1",ENSG00000182035,Adipogenin,20,38581195-38588463,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at transcript level,HPA041124,Uncertain,,,,,Tissue enhanced,Group enriched,10,epididymis: 5.1;testis: 16.1;thyroid gland: 3.4,seminal vesicle: 0.8,Not detected,,
30,DCSTAMP,"DC-STAMP, FIND, TM7SF4",ENSG00000164935,Dendrocyte expressed seven transmembrane protein,8,104339087-104356689,"Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,10,epididymis: 2.4;lung: 5.6,"cerebral cortex,cervix, uterine,lymph node,urinary bladder: 0.3",Not detected,,
31,CCNB3,,ENSG00000147082,Cyclin B3,X,50202713-50351910,Predicted intracellular proteins,Evidence at protein level,HPA000496,Enhanced,,Supported,Nuclear speckles,,Not detected,Group enriched,9,epididymis: 5.8;testis: 7.9,cerebral cortex: 0.7,Cell line enhanced,,CAPAN-2: 1.5
32,COL2A1,"AOM, SEDC, STL1",ENSG00000139219,Collagen type II alpha 1 chain,12,47972965-48004486,"Cancer-related genes, Disease related genes, Predicted secreted proteins",Evidence at protein level,"CAB002214, HPA055753",Supported,,Approved,Nucleoplasm,,Mixed,Group enriched,9,epididymis: 23.0;stomach: 6.2,prostate: 1.6,Group enriched,23.0,AF22: 154.1;HAP1: 101.9;HEK93: 33.7
33,LOXHD1,"DFNB77, FLJ32670, LH2D1",ENSG00000167210,Lipoxygenase homology domains 1,18,46476972-46657033,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,9,epididymis: 8.3;testis: 41.3,fallopian tube: 2.6,Not detected,,
