,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,LIPE,HSL,ENSG00000079435,"Lipase E, hormone sensitive type",19,42401507-42427426,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA006567, CAB017700",Enhanced,,Supported,Cytosol,Pancreatic cancer:1.15e-4 (favourable),Expressed in all,Tissue enriched,20,adipose tissue: 870.5,testis: 44.0,Cell line enriched,6.0,ASC diff: 94.1
1,TUSC5,"IFITMD3, LOST1",ENSG00000184811,Tumor suppressor candidate 5,17,1279663-1300987,Predicted membrane proteins,Evidence at protein level,HPA050825,Approved,,,,,Tissue enhanced,Tissue enriched,18,adipose tissue: 110.0,breast: 6.1,Cell line enriched,207.0,ASC diff: 20.6
2,ADIPOQ,"ACDC, ACRP30, adiponectin, AdipoQ, apM1, GBP28",ENSG00000181092,"Adiponectin, C1Q and collagen domain containing",3,186842690-186858463,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB046467, HPA051767",Uncertain,,,,,Group enriched,Tissue enriched,17,adipose tissue: 937.7,breast: 56.0,Cell line enriched,475.0,ASC diff: 213.8
3,PLIN4,"KIAA1881, S3-12",ENSG00000167676,Perilipin 4,19,4502180-4518465,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA044682, HPA054657",Enhanced,,Supported,Vesicles<br>Lipid droplets<br>Plasma membrane<br>Cytosol,"Endometrial cancer:2.31e-4 (unfavourable), Colorectal cancer:8.31e-4 (unfavourable)",Mixed,Tissue enriched,14,adipose tissue: 812.2,skeletal muscle: 59.1,Cell line enriched,7.0,ASC diff: 171.0
4,CIDEA,CIDE-A,ENSG00000176194,Cell death-inducing DFFA-like effector a,18,12254319-12277595,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Mixed,Tissue enriched,13,adipose tissue: 221.8,breast: 17.2,Cell line enriched,8.0,hTEC/SVTERT24-B: 1.4
5,GYG2,GN-2,ENSG00000056998,Glycogenin 2,X,2828788-2882820,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA005495, HPA064686",Enhanced,,Approved,Nucleus<br>Nucleoli<br>Cytosol,Pancreatic cancer:3.01e-5 (favourable),Expressed in all,Tissue enriched,13,adipose tissue: 173.1,breast: 13.2,Cell line enhanced,,AF22: 39.5;NTERA-2: 39.5;SK-MEL-30: 68.1
6,PNPLA2,"ATGL, desnutrin, FP17548, iPLA2zeta, TTS-2.2",ENSG00000177666,Patatin like phospholipase domain containing 2,11,818902-825573,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA055173, HPA062602",,,Enhanced,Nucleoplasm<br>Lipid droplets,,Expressed in all,Tissue enriched,13,adipose tissue: 420.0,skeletal muscle: 33.4,Expressed in all,,
7,RP11-407P15.2,,ENSG00000259916,,2,94588522-94604573,Predicted membrane proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,13,adipose tissue: 7.6,kidney: 0.5,Cell line enriched,9.0,ASC diff: 1.3
8,LEP,"OB, OBS",ENSG00000174697,Leptin,7,128241284-128257628,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB010490, HPA030721",Approved,Approved,,,,Tissue enhanced,Tissue enriched,11,adipose tissue: 322.5,breast: 29.6,Cell line enhanced,,BEWO: 2.1
9,PLIN1,PLIN,ENSG00000166819,Perilipin 1,15,89664365-89679427,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA024299, CAB033821, CAB037333",Enhanced,,Uncertain,Peroxisomes,,Tissue enhanced,Tissue enriched,10,adipose tissue: 1012.5,breast: 100.6,Cell line enriched,157.0,ASC diff: 142.8
10,AC009477.8,,ENSG00000284479,,2,131035092-131035262,Predicted membrane proteins,Evidence at transcript level,,,,,,,,Tissue enriched,8,adipose tissue: 1.1,"colon,small intestine: 0.1",Cell line enhanced,,HEK93: 1.4
11,ACVR1C,"ACVRLK7, ALK7",ENSG00000123612,Activin A receptor type 1C,2,157526767-157629005,"Enzymes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA007982, HPA011933",Approved,,,,,Mixed,Tissue enriched,8,adipose tissue: 34.1,ovary: 4.3,Cell line enhanced,,ASC diff: 7.5;HDLM-2: 4.8
12,CIDEC,"CIDE-3, FLJ20871, Fsp27",ENSG00000187288,Cell death inducing DFFA like effector c,3,9866711-9880254,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA018837, HPA020553",Approved,,,,,Mixed,Tissue enriched,8,adipose tissue: 761.8,small intestine: 99.2,Cell line enhanced,,ASC diff: 1149.6;ASC TERT1: 262.9;HSkMC: 164.2
13,CFD,"ADN, DF, PFD",ENSG00000197766,Complement factor D,19,859643-863630,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins",Evidence at protein level,HPA052799,,,Uncertain,Plasma membrane,"Pancreatic cancer:1.77e-4 (favourable), Renal cancer:7.09e-4 (unfavourable)",Expressed in all,Tissue enriched,7,adipose tissue: 378.5,breast: 52.5,Group enriched,6.0,ASC diff: 82.6;THP-1: 121.6
14,FABP4,"A-FABP, aP2",ENSG00000170323,Fatty acid binding protein 4,8,81478419-81483263,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA002188, CAB024961",Enhanced,,,,,Group enriched,Tissue enriched,7,adipose tissue: 3652.0,breast: 559.1,Group enriched,277.0,ASC diff: 2538.9;RT4: 1531.5
15,LGALS12,GRIP1,ENSG00000133317,Galectin 12,11,63506084-63516774,Predicted intracellular proteins,Evidence at protein level,,,,,,Renal cancer:4.60e-7 (unfavourable),Mixed,Tissue enriched,7,adipose tissue: 89.9,bone marrow: 12.5,Group enriched,15.0,ASC diff: 21.2;HL-60: 45.6;NB-4: 70.9;U-937: 93.2
16,ACACB,"ACC2, ACCB, HACC275",ENSG00000076555,Acetyl-CoA carboxylase beta,12,109116595-109268226,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA006554,Enhanced,,,,"Renal cancer:1.15e-5 (favourable), Pancreatic cancer:1.93e-4 (favourable)",Expressed in all,Tissue enriched,6,adipose tissue: 194.8,parathyroid gland: 30.6,Cell line enriched,13.0,ASC diff: 152.8
17,AQP7,"AQP7L, AQP9, AQPap",ENSG00000165269,Aquaporin 7,9,33383179-33402682,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,Renal cancer:9.21e-8 (favourable),Mixed,Tissue enriched,5,adipose tissue: 355.1,parathyroid gland: 66.5,Cell line enriched,49.0,ASC diff: 181.4
18,KIF25,KNSL3,ENSG00000125337,Kinesin family member 25,6,167996241-168045089,Predicted intracellular proteins,Evidence at protein level,HPA046153,Uncertain,,,,,Tissue enhanced,Tissue enriched,5,adipose tissue: 8.7,placenta: 1.6,Cell line enhanced,,HDLM-2: 1.1;U-937: 1.3;WM-115: 1.0
19,TIMP4,,ENSG00000157150,TIMP metallopeptidase inhibitor 4,3,12153051-12159351,"Plasma proteins, Predicted secreted proteins",Evidence at transcript level,,,,,,,Tissue enriched,Tissue enriched,5,adipose tissue: 138.8,cerebral cortex: 27.5,Cell line enhanced,,ASC diff: 99.5;HSkMC: 45.7;NTERA-2: 37.0;U-87 MG: 36.7
