,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AANAT,SNAT,ENSG00000129673,Aralkylamine N-acetyltransferase,17,76453351-76470117,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA054321,,,Supported,Cytosol,,Not detected,Tissue enhanced,,testis: 4.5,appendix: 2.2,Cell line enhanced,,A549: 2.2;SCLC-21H: 3.5;U-698: 2.5
1,ABC13-47488600E17.1,,ENSG00000283199,,13,113953705-113973997,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Tissue enhanced,,stomach: 2.6;testis: 5.9,lung: 2.1,Cell line enhanced,,hTEC/SVTERT24-B: 1.2
2,ABCB9,EST122234,ENSG00000150967,ATP binding cassette subfamily B member 9,12,122920951-122981649,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB033052, HPA035113, HPA035114",Approved,,Supported,Vesicles,Glioma:4.62e-4 (unfavourable),Mixed,Tissue enhanced,,testis: 23.8,cerebral cortex: 12.0,Mixed,,
3,ABCC12,MRP9,ENSG00000140798,ATP binding cassette subfamily C member 12,16,48082973-48156018,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA043100,Uncertain,,,,,Tissue enhanced,Tissue enhanced,,testis: 2.9,breast: 0.6,Not detected,,
4,ABHD16A,"BAT5, D6S82E, NG26",ENSG00000204427,Abhydrolase domain containing 16A,6,31686949-31703444,Predicted membrane proteins,Evidence at protein level,HPA058606,Approved,,,,Endometrial cancer:2.63e-4 (unfavourable),Expressed in all,Tissue enhanced,,gallbladder: 1.7;testis: 1.2;thyroid gland: 1.4,esophagus: 0.9,Not detected,,
5,AC007040.11,,ENSG00000258881,,2,70939318-70995336,Predicted membrane proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,testis: 1.1,skin: 0.7,Cell line enhanced,,U-2 OS: 2.3
6,AC138647.1,,ENSG00000226490,,8,141514638-141518737,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,testis: 1.8,skin: 0.3,Not detected,,
7,ACPT,,ENSG00000142513,"Acid phosphatase, testicular",19,50790415-50795224,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,skin: 1.4;testis: 2.2,parathyroid gland: 0.5,Cell line enhanced,,HEK93: 1.3;U-266/84: 1.3
8,ACSM4,,ENSG00000215009,Acyl-CoA synthetase medium-chain family member 4,12,7304284-7328724,"Enzymes, Predicted membrane proteins",Evidence at transcript level,HPA049895,Uncertain,,,,,Not detected,Tissue enhanced,,testis: 1.7,spleen: 0.7,Cell line enhanced,,HDLM-2: 1.6;NB-4: 1.1;SH-SY5Y: 2.2;U-87 MG: 2.8
9,ADORA1,RDC7,ENSG00000163485,Adenosine A1 receptor,1,203090654-203167405,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters",Evidence at protein level,HPA044383,,,Supported,Plasma membrane,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 50.2;testis: 25.4,parathyroid gland: 18.9,Cell line enhanced,,CACO-2: 33.2;RH-30: 62.4;RPTEC TERT1: 23.7;SK-BR-3: 26.3
