,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABLIM2,KIAA1808,ENSG00000163995,Actin binding LIM protein family member 2,4,7965310-8158832,Predicted intracellular proteins,Evidence at protein level,HPA035808,Uncertain,,Approved,Nucleoplasm<br>Mitochondria,,Mixed,Tissue enhanced,,skeletal muscle: 37.5;spleen: 28.4,cerebral cortex: 22.1,Group enriched,6.0,SCLC-21H: 16.3;SiHa: 6.6;U-2197: 19.7
1,AC007325.4,,ENSG00000278817,,Unmapped,131494-137392,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Tissue enhanced,,cerebral cortex: 27.4;heart muscle: 34.4;skeletal muscle: 40.5,thyroid gland: 14.9,Cell line enhanced,,A549: 14.5;T-47d: 10.8
2,ACHE,YT,ENSG00000087085,Acetylcholinesterase (Cartwright blood group),7,100889994-100896974,"Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA019704, HPA027098",,,Approved,Golgi apparatus<br>Vesicles,"Renal cancer:3.88e-5 (unfavourable), Glioma:7.16e-4 (unfavourable)",Mixed,Tissue enhanced,,skeletal muscle: 58.5,cerebral cortex: 14.1,Cell line enhanced,,BEWO: 11.7;CACO-2: 17.5;K-562: 20.7;Karpas-707: 25.8
3,ADCY2,"AC2, HBAC2, KIAA1060",ENSG00000078295,Adenylate cyclase 2,5,7396208-7830081,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB031482, HPA038015, HPA038483",Approved,,,,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 57.2;skeletal muscle: 23.6,prostate: 8.4,Group enriched,7.0,AF22: 5.6;NTERA-2: 4.3;SK-MEL-30: 3.8
4,AGBL1,"CCP4, FLJ32310",ENSG00000273540,ATP/GTP binding protein like 1,15,86079973-87029052,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Tissue enhanced,,lung: 1.3;skeletal muscle: 4.4,esophagus: 1.0,Not detected,,
5,AGL,,ENSG00000162688,"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",1,99850084-99924023,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,"HPA028498, HPA054340",Approved,,Supported,Nucleoplasm<br>Cytosol,Renal cancer:1.73e-10 (favourable),Expressed in all,Tissue enhanced,,skeletal muscle: 90.3,parathyroid gland: 35.1,Mixed,,
6,ALPK2,HAK,ENSG00000198796,Alpha kinase 2,18,58481247-58628957,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA027377, HPA027976, HPA028084, HPA029801",Uncertain,,Approved,Cytosol,Renal cancer:8.20e-5 (unfavourable),Tissue enriched,Tissue enhanced,,heart muscle: 28.6;skeletal muscle: 14.1,lymph node: 6.9,Cell line enhanced,,BJ: 44.5;BJ hTERT+: 25.8;fHDF/TERT166: 37.1;U-138 MG: 25.6
7,ALPK3,"KIAA1330, MAK, Midori",ENSG00000136383,Alpha kinase 3,15,84816680-84873482,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA026558,Uncertain,,Approved,Nucleus,Renal cancer:3.95e-7 (favourable),Mixed,Tissue enhanced,,heart muscle: 32.8;parathyroid gland: 36.2;skeletal muscle: 47.6,adipose tissue: 12.3,Cell line enhanced,,BEWO: 12.8;HUVEC TERT2: 12.1;LHCN-M2: 16.5;NTERA-2: 12.1;RH-30: 34.1
8,ART3,,ENSG00000156219,ADP-ribosyltransferase 3,4,76011184-76112802,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA011268,Enhanced,,,,,Tissue enhanced,Tissue enhanced,,skeletal muscle: 77.0;testis: 174.4,heart muscle: 29.1,Group enriched,7.0,NB-4: 3.4;NTERA-2: 14.0;SK-MEL-30: 4.9
9,ASB14,DKFZp313L0121,ENSG00000239388,Ankyrin repeat and SOCS box containing 14,3,57268347-57292682,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enhanced,,skeletal muscle: 9.9,heart muscle: 2.4,Not detected,,
10,ASB15,FLJ43370,ENSG00000146809,Ankyrin repeat and SOCS box containing 15,7,123567010-123639481,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enhanced,,heart muscle: 19.2;skeletal muscle: 43.9,kidney: 7.5,Not detected,,
11,ASB2,ASB-2,ENSG00000100628,Ankyrin repeat and SOCS box containing 2,14,93934153-93976791,Predicted intracellular proteins,Evidence at protein level,,,,,,Endometrial cancer:3.62e-6 (favourable),Mixed,Tissue enhanced,,skeletal muscle: 85.8,smooth muscle: 25.6,Cell line enhanced,,Karpas-707: 7.3;RPMI-8226: 6.6;U-266/70: 21.0;U-266/84: 4.6
12,ASB5,,ENSG00000164122,Ankyrin repeat and SOCS box containing 5,4,176213673-176277571,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,HPA028870,,,Approved,Plasma membrane,Head and neck cancer:5.67e-4 (unfavourable),Tissue enhanced,Tissue enhanced,,skeletal muscle: 75.7,prostate: 20.8,Cell line enriched,14.0,LHCN-M2: 986.5
13,BEST3,"MGC13168, MGC40411, VMD2L3",ENSG00000127325,Bestrophin 3,12,69643360-69699476,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,HPA054582,Approved,,,,,Tissue enriched,Tissue enhanced,,cerebral cortex: 16.3;skeletal muscle: 12.2,testis: 5.6,Group enriched,13.0,REH: 32.4;RPMI-8226: 26.4;U-698: 43.2
14,C1orf127,FLJ37118,ENSG00000175262,Chromosome 1 open reading frame 127,1,10946471-10982037,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,HPA027654,Uncertain,,,,,Tissue enriched,Tissue enhanced,,skeletal muscle: 5.7,stomach: 2.1,Cell line enhanced,,THP-1: 1.7
