,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,NKX2-5,"CSX, CSX1, NKX2.5, NKX2E, NKX4-1",ENSG00000183072,NK2 homeobox 5,5,173232109-173235357,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA065034,,,Approved,Nucleoplasm<br>Cytosol,,Mixed,Group enriched,126,heart muscle: 32.7;spleen: 14.5,"breast,placenta,urinary bladder: 0.1",Cell line enhanced,,HEK93: 27.1;NTERA-2: 10.7;U-2 OS: 24.8;U-251 MG: 15.4
1,NMRK2,"ITGB1BP3, MIBP, NRK2",ENSG00000077009,Nicotinamide riboside kinase 2,19,3933103-3942416,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA049909, HPA054792, HPA072450",Approved,,Enhanced,Nucleoplasm<br>Vesicles,Renal cancer:1.19e-4 (favourable),Tissue enhanced,Group enriched,49,heart muscle: 374.4;skeletal muscle: 218.4,esophagus: 6.1,Group enriched,9.0,BEWO: 28.1;NTERA-2: 24.3
2,HRC,MGC133236,ENSG00000130528,Histidine rich calcium binding protein,19,49151198-49155424,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA004833,Enhanced,,,,,Mixed,Group enriched,39,heart muscle: 351.8;skeletal muscle: 155.5,"epididymis,prostate: 6.5",Group enriched,6.0,Hep G2: 3.9;HSkMC: 4.0;K-562: 7.1;THP-1: 9.3;U-266/84: 3.0
3,FBXO40,"Fbx40, KIAA1195",ENSG00000163833,F-box protein 40,3,121593119-121630295,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,36,heart muscle: 56.2;skeletal muscle: 54.0,prostate: 1.5,Not detected,,
4,MYL2,CMH10,ENSG00000111245,Myosin light chain 2,12,110910819-110920722,"Candidate cardiovascular disease genes, Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA019763, HPA039262",Supported,,Uncertain,Microtubules,Head and neck cancer:2.60e-4 (unfavourable),Group enriched,Group enriched,36,heart muscle: 16309.5;skeletal muscle: 9731.7,esophagus: 357.2,Group enriched,6.0,EFO-21: 3.7;HSkMC: 6.1;U-2 OS: 17.9
5,C10orf71,FLJ45913,ENSG00000177354,Chromosome 10 open reading frame 71,10,49299193-49327487,Predicted intracellular proteins,Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,34,heart muscle: 28.8;parathyroid gland: 74.8;skeletal muscle: 97.7,prostate: 1.9,Group enriched,17.0,K-562: 6.2;RH-30: 9.6
6,ACTN2,,ENSG00000077522,Actinin alpha 2,1,236686454-236764631,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA006035, HPA008315",Enhanced,,,,,Tissue enhanced,Group enriched,28,heart muscle: 477.5;skeletal muscle: 758.7,esophagus: 22.4,Cell line enhanced,,HEK93: 1.8;HSkMC: 5.5;hTEC/SVTERT24-B: 4.9
7,MYH7,"CMD1S, CMH1, MPD1",ENSG00000092054,Myosin heavy chain 7,14,23412738-23435718,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001239, HPA001349, CAB015384",Enhanced,,,,,Group enriched,Group enriched,27,heart muscle: 2309.1;skeletal muscle: 5111.1,esophagus: 135.7,Cell line enriched,23.0,HSkMC: 8.2
8,MYPN,MYOP,ENSG00000138347,Myopalladin,10,68106117-68212017,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA036299, HPA061494",Enhanced,,Approved,Nucleus<br>Vesicles<br>Cytosol,,Tissue enriched,Group enriched,27,heart muscle: 41.6;skeletal muscle: 99.9,prostate: 2.6,Cell line enhanced,,BJ: 33.6;fHDF/TERT166: 87.0;HBF TERT88: 24.6;LHCN-M2: 39.6
9,LRRC14B,,ENSG00000185028,Leucine rich repeat containing 14B,5,191511-195353,Predicted intracellular proteins,Evidence at protein level,"HPA038046, HPA038047",Uncertain,,,,,Tissue enhanced,Group enriched,26,heart muscle: 13.6;skeletal muscle: 30.1,prostate: 0.8,Cell line enhanced,,REH: 6.8;U-266/70: 7.1;U-266/84: 28.6
10,CSRP3,"CLP, CMD1M, MLP",ENSG00000129170,Cysteine and glycine rich protein 3,11,19182030-19210573,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA042581,Enhanced,,,,,Tissue enriched,Group enriched,25,heart muscle: 1501.4;skeletal muscle: 467.9,prostate: 40.1,Not detected,,
11,KCNJ4,"HIR, hIRK2, HRK1, IRK3, Kir2.3",ENSG00000168135,Potassium voltage-gated channel subfamily J member 4,22,38426327-38455199,"Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,25,cerebral cortex: 40.9;heart muscle: 11.4,gallbladder: 1.0,Cell line enriched,8.0,SCLC-21H: 13.4
12,COX6A2,,ENSG00000156885,Cytochrome c oxidase subunit 6A2,16,31427731-31428428,"Predicted intracellular proteins, Transporters",Evidence at protein level,,,,,,,Group enriched,Group enriched,23,heart muscle: 687.3;skeletal muscle: 1846.8,esophagus: 54.9,Cell line enhanced,,HSkMC: 1.6;SiHa: 1.0;U-266/84: 7.0
13,CKMT2,SMTCK,ENSG00000131730,"Creatine kinase, mitochondrial 2",5,81233285-81266397,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA051880,Enhanced,,,,,Mixed,Group enriched,22,heart muscle: 710.7;skeletal muscle: 505.3,adrenal gland: 27.9,Cell line enhanced,,BEWO: 3.3;T-47d: 5.1
14,SMPX,"DFN6, DFNX4",ENSG00000091482,"Small muscle protein, X-linked",X,21705972-21758163,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA077360,,,Approved,Plasma membrane,Head and neck cancer:3.04e-5 (unfavourable),Tissue enhanced,Group enriched,22,heart muscle: 456.2;skeletal muscle: 383.1,esophagus: 19.4,Cell line enhanced,,CACO-2: 1.2;Hep G2: 2.7;HSkMC: 3.0;Karpas-707: 2.2;U-266/70: 3.3;U-266/84: 1.2
15,XIRP2,CMYA3,ENSG00000163092,Xin actin binding repeat containing 2,2,166888487-167259753,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA034813, HPA074599",Uncertain,,Approved,Nucleoplasm<br>Plasma membrane,,Tissue enriched,Group enriched,22,heart muscle: 84.0;skeletal muscle: 301.6,prostate: 8.8,Cell line enhanced,,AN3-CA: 1.4;HUVEC TERT2: 3.5;U-2197: 2.7
16,FSD2,"RP11-127F21, SPRYD1",ENSG00000186628,Fibronectin type III and SPRY domain containing 2,15,82755362-82806070,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Group enriched,21,heart muscle: 34.5;skeletal muscle: 53.5,esophagus: 2.1,Mixed,,
17,TRDN,,ENSG00000186439,Triadin,6,123216339-123637093,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA038226, HPA058226",Enhanced,,Approved,Plasma membrane<br>Cytosol,,Tissue enhanced,Group enriched,21,heart muscle: 273.5;skeletal muscle: 650.2,prostate: 22.2,Cell line enhanced,,MCF7: 1.4
18,UNC45B,"CMYA4, UNC45",ENSG00000141161,Unc-45 myosin chaperone B,17,35147817-35189345,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA017861,Uncertain,,Supported,Cytosol,,Group enriched,Group enriched,21,heart muscle: 65.8;skeletal muscle: 68.0,prostate: 3.1,Group enriched,9.0,BEWO: 1.6;HSkMC: 1.8
19,C14orf180,"C14orf77, NRAC",ENSG00000184601,Chromosome 14 open reading frame 180,14,104579684-104590515,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,,,,,,,Tissue enhanced,Group enriched,19,adipose tissue: 34.5;heart muscle: 28.5,adrenal gland: 1.6,Cell line enriched,14.0,ASC diff: 2.0
20,LMOD2,,ENSG00000170807,Leiomodin 2,7,123655807-123664290,Predicted intracellular proteins,Evidence at protein level,HPA051039,Enhanced,,,,,Group enriched,Group enriched,19,heart muscle: 506.5;skeletal muscle: 316.7,esophagus: 21.9,Cell line enriched,8.0,HSkMC: 1.0
21,MYOM2,,ENSG00000036448,Myomesin 2,8,2045040-2165552,Predicted intracellular proteins,Evidence at protein level,"HPA001765, HPA005953",Enhanced,,Approved,Mitochondria,,Mixed,Group enriched,19,heart muscle: 197.4;skeletal muscle: 110.2,breast: 8.1,Group enriched,8.0,HEK93: 4.8;SCLC-21H: 2.6;U-266/84: 2.0
22,PPP1R3A,"GM, PPP1R3",ENSG00000154415,Protein phosphatase 1 regulatory subunit 3A,7,113876777-114075920,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,18,heart muscle: 26.6;skeletal muscle: 53.1,prostate: 2.2,Cell line enriched,59.0,THP-1: 9.8
23,TCAP,"CMD1N, LGMD2G, T-cap, TELE, telethonin",ENSG00000173991,Titin-cap,17,39664187-39666555,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB004591, HPA026477",Enhanced,,,,Urothelial cancer:4.55e-4 (favourable),Group enriched,Group enriched,18,heart muscle: 2132.6;skeletal muscle: 4963.5,esophagus: 195.0,Cell line enhanced,,SK-BR-3: 5.6
24,LMOD3,,ENSG00000163380,Leiomodin 3,3,69106872-69123032,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA036034,Uncertain,,,,,Tissue enriched,Group enriched,17,heart muscle: 73.7;skeletal muscle: 162.2,esophagus: 6.9,Cell line enhanced,,HSkMC: 2.1
25,NRAP,,ENSG00000197893,Nebulin related anchoring protein,10,113588716-113664127,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA037953, HPA037954",Approved,,,,,Group enriched,Group enriched,17,heart muscle: 210.6;skeletal muscle: 814.0,prostate: 30.3,Not detected,,
26,SRL,,ENSG00000185739,Sarcalumenin,16,4189374-4242080,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA041535, HPA045520",Enhanced,,,,,Group enriched,Group enriched,17,heart muscle: 161.0;skeletal muscle: 178.8,esophagus: 10.2,Cell line enriched,11.0,HSkMC: 2.9
27,DHRS7C,SDR32C2,ENSG00000184544,Dehydrogenase/reductase 7C,17,9771434-9791297,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,16,heart muscle: 62.4;skeletal muscle: 122.7,esophagus: 5.9,Not detected,,
28,TNNC1,TNNC,ENSG00000114854,"Troponin C1, slow skeletal and cardiac type",3,52451102-52454070,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002450, HPA044848, HPA056897",Enhanced,,Approved,Nucleoplasm<br>Actin filaments<br>Mitochondria,,Mixed,Group enriched,16,heart muscle: 4938.6;skeletal muscle: 7104.7,esophagus: 383.0,Cell line enhanced,,CACO-2: 53.1;EFO-21: 58.5;HSkMC: 46.0;U-2 OS: 99.1
