,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PIP,"GCDFP-15, GCDFP15, GPIP4",ENSG00000159763,Prolactin induced protein,7,143132077-143139746,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB002661, HPA009177",Enhanced,,,,Renal cancer:5.96e-5 (favourable),Tissue enriched,Group enriched,618,breast: 4504.1;salivary gland: 6904.2;seminal vesicle: 4198.4,"cervix, uterine: 8.4",Cell line enriched,415.0,T-47d: 649.3
1,AQP2,,ENSG00000167580,Aquaporin 2,12,49950741-49958881,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA046834,Enhanced,,,,,Group enriched,Group enriched,132,kidney: 435.9;seminal vesicle: 302.5,testis: 2.8,Cell line enhanced,,EFO-21: 3.0;HMC-1: 1.7
2,POU3F3,"BRN1, OTF8",ENSG00000198914,POU class 3 homeobox 3,2,104855511-104858574,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA052792, HPA056039, HPA067151",Approved,,Enhanced,Nucleus,Endometrial cancer:4.26e-5 (unfavourable),Group enriched,Group enriched,45,cerebral cortex: 43.9;epididymis: 46.3;kidney: 36.6;seminal vesicle: 23.2,skin: 0.8,Group enriched,5.0,AF22: 58.4;AN3-CA: 52.7;HEK93: 20.3;RPTEC TERT1: 50.7;SH-SY5Y: 19.7
3,SPINT3,HKIB9,ENSG00000101446,"Serine peptidase inhibitor, Kunitz type 3",20,45512461-45515624,Predicted secreted proteins,Evidence at protein level,HPA026852,Enhanced,,,,,Not detected,Group enriched,32,epididymis: 5.8;seminal vesicle: 15.4,skin: 0.3,Not detected,,
4,MUC6,,ENSG00000184956,"Mucin 6, oligomeric mucus/gel-forming",11,1012821-1036706,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,CAB002165,Enhanced,,,,,Tissue enhanced,Group enriched,24,duodenum: 15.4;seminal vesicle: 40.2;stomach: 24.0,epididymis: 1.1,Not detected,,
5,DEFB125,DEFB-25,ENSG00000178591,Defensin beta 125,20,87250-97094,Predicted secreted proteins,Evidence at transcript level,HPA043095,Uncertain,,,,,Not detected,Group enriched,11,epididymis: 1.3;seminal vesicle: 1.5,testis: 0.1,Not detected,,
6,LCN1,"MGC71975, PMFA, TLC, TP, VEGP",ENSG00000160349,Lipocalin 1,9,135521438-135526532,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,11,fallopian tube: 3.1;seminal vesicle: 12.2,testis: 0.6,Not detected,,
7,MCF2,"ARHGEF21, DBL",ENSG00000101977,MCF.2 cell line derived transforming sequence,X,139581770-139708227,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,11,adrenal gland: 38.3;cerebral cortex: 8.7;epididymis: 15.0;ovary: 12.9;seminal vesicle: 24.0;testis: 34.6,prostate: 2.0,Cell line enriched,12.0,U-251 MG: 30.6
8,SLC39A2,ZIP2,ENSG00000165794,Solute carrier family 39 member 2,14,20999255-21001871,Predicted membrane proteins,Evidence at protein level,HPA030489,Uncertain,,,,,Mixed,Group enriched,11,esophagus: 19.0;prostate: 19.2;seminal vesicle: 46.9;skin: 34.1,breast: 2.6,Cell line enriched,67.0,HaCaT: 20.5
9,SRD5A2,,ENSG00000277893,Steroid 5 alpha-reductase 2,2,31522480-31581067,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Group enriched,Group enriched,11,epididymis: 27.9;fallopian tube: 31.6;liver: 30.6;prostate: 26.6;seminal vesicle: 24.5,testis: 2.5,Cell line enhanced,,RT4: 1.2
10,PADI3,PDI3,ENSG00000142619,Peptidyl arginine deiminase 3,1,17249098-17284233,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA043739,Uncertain,,Approved,Nucleoplasm<br>Vesicles,"Renal cancer:1.55e-11 (unfavourable), Endometrial cancer:3.22e-4 (unfavourable)",Tissue enhanced,Group enriched,10,esophagus: 3.7;seminal vesicle: 4.9;urinary bladder: 10.2,epididymis: 0.6,Cell line enhanced,,EFO-21: 13.2;RT4: 13.9;T-47d: 12.0
11,CDH8,,ENSG00000150394,Cadherin 8,16,61647242-62037035,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA014908,Approved,,,,,Tissue enhanced,Group enriched,8,cerebral cortex: 27.8;seminal vesicle: 6.9,ovary: 2.1,Cell line enhanced,,AF22: 6.9;fHDF/TERT166: 4.9;HaCaT: 12.6;LHCN-M2: 14.1
12,HOXD13,"HOX4I, SPD",ENSG00000128714,Homeobox D13,2,176092891-176095938,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA064064,,,Supported,Nucleus,Colorectal cancer:6.95e-5 (unfavourable),Mixed,Group enriched,8,"cervix, uterine: 7.9;colon: 4.9;prostate: 16.9;rectum: 9.5;seminal vesicle: 24.5",urinary bladder: 1.5,Cell line enhanced,,HAP1: 20.6;HEK93: 52.3;HL-60: 52.4;NB-4: 24.7;SCLC-21H: 19.3
13,ARC,"Arg3.1, KIAA0278",ENSG00000198576,Activity regulated cytoskeleton associated protein,8,142611044-142614472,Predicted intracellular proteins,Evidence at protein level,"HPA056430, CAB079013",,Supported,Approved,Vesicles<br>Microtubules,,Tissue enriched,Group enriched,7,adipose tissue: 14.2;adrenal gland: 13.4;cerebral cortex: 14.4;gallbladder: 3.3;seminal vesicle: 5.5,placenta: 1.4,Cell line enhanced,,HEK93: 9.2;SCLC-21H: 27.7;U-2 OS: 11.9;U-87 MG: 12.5
14,ARHGAP40,"C20orf95, dJ1100H13.4",ENSG00000124143,Rho GTPase activating protein 40,20,38601934-38651035,Predicted intracellular proteins,Evidence at protein level,"HPA042636, HPA042840",Uncertain,,Supported,Nucleoplasm<br>Plasma membrane<br>Centrosome<br>Cytosol,Renal cancer:2.89e-4 (unfavourable),Mixed,Group enriched,7,breast: 38.1;epididymis: 43.7;esophagus: 12.6;seminal vesicle: 11.3;skin: 53.8,prostate: 4.4,Cell line enhanced,,BEWO: 8.0;HBEC3-KT: 9.7;RPTEC TERT1: 8.8;SK-BR-3: 9.5;T-47d: 14.4
15,CBLN2,,ENSG00000141668,Cerebellin 2 precursor,18,72536680-72638521,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,7,cerebral cortex: 30.2;seminal vesicle: 7.3,small intestine: 2.8,Cell line enriched,8.0,SH-SY5Y: 57.5
16,MYH3,"HEMHC, MYHC-EMB, MYHSE1, SMHCE",ENSG00000109063,Myosin heavy chain 3,17,10628526-10657309,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA021808,Enhanced,,,,,Mixed,Group enriched,7,esophagus: 9.7;prostate: 46.3;seminal vesicle: 24.5,"testis,urinary bladder: 4.0",Cell line enriched,30.0,HSkMC: 43.3
17,NWD1,,ENSG00000188039,NACHT and WD repeat domain containing 1,19,16719976-16817963,Predicted intracellular proteins,Evidence at protein level,,,,,,Endometrial cancer:2.55e-4 (favourable),Tissue enriched,Group enriched,7,cerebral cortex: 1.9;fallopian tube: 7.7;prostate: 5.8;seminal vesicle: 1.6,lung: 0.6,Group enriched,7.0,MCF7: 1.0;U-937: 2.3
18,ACSL6,"ACS2, FACL6, KIAA0837, LACS2, LACS5",ENSG00000164398,Acyl-CoA synthetase long-chain family member 6,5,131949973-132012243,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA040470,Enhanced,,,,,Group enriched,Group enriched,6,bone marrow: 18.0;cerebral cortex: 61.9;parathyroid gland: 22.5;seminal vesicle: 29.0;testis: 51.4,adrenal gland: 6.4,Group enriched,6.0,SCLC-21H: 13.0;U-937: 5.2
