,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,OR5AK2,,ENSG00000181273,Olfactory receptor family 5 subfamily AK member 2,11,56988872-56989867,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,,,,,,,Not detected,Tissue enriched,68,spleen: 7.2,lung: 0.1,Not detected,,
1,CD5L,"API6, Spalpha",ENSG00000073754,CD5 molecule like,1,157830914-157898256,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA065686, HPA068384",Enhanced,,,,Liver cancer:8.88e-5 (favourable),Tissue enriched,Tissue enriched,14,spleen: 787.1,liver: 54.4,Not detected,,
2,SPIC,"MGC40611, SPI-C",ENSG00000166211,Spi-C transcription factor,12,101475421-101486997,"Predicted intracellular proteins, Transcription factors",Evidence at transcript level,,,,,,,Tissue enhanced,Tissue enriched,12,spleen: 46.7,lymph node: 3.9,Not detected,,
3,CCM2L,"C20orf160, dJ310O13.5",ENSG00000101331,CCM2 like scaffolding protein,20,32010450-32032180,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA008434, HPA071063",Uncertain,,Approved,Nucleoplasm,,Expressed in all,Tissue enriched,8,spleen: 122.6,placenta: 15.0,Cell line enhanced,,EFO-21: 9.4;HUVEC TERT2: 10.0;NTERA-2: 6.4;SCLC-21H: 12.8
4,FAM9C,TEX39C,ENSG00000187268,Family with sequence similarity 9 member C,X,13035618-13044682,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,7,spleen: 54.4,testis: 8.1,Cell line enriched,56.0,AN3-CA: 169.6
5,NOS3,"ECNOS, eNOS",ENSG00000164867,Nitric oxide synthase 3,7,150990995-151014588,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,CAB002168,Enhanced,,,,Renal cancer:3.63e-4 (unfavourable),Expressed in all,Tissue enriched,7,spleen: 71.8,adipose tissue: 10.6,Cell line enhanced,,BEWO: 22.3;HUVEC TERT2: 37.6;TIME: 67.7
6,STAB2,"DKFZP434E0321, FEEL-2, FELL, HARE, SCARH1, STAB-2",ENSG00000136011,Stabilin 2,12,103587273-103766727,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA026871,Enhanced,,Uncertain,Cytosol,,Not detected,Tissue enriched,6,spleen: 48.3,liver: 7.8,Cell line enhanced,,BEWO: 11.1;HaCaT: 2.8
7,ITGAD,"ADB2, CD11d",ENSG00000156886,Integrin subunit alpha D,16,31393312-31426505,"CD markers, Predicted membrane proteins",Evidence at protein level,HPA026786,Uncertain,,,,,Mixed,Tissue enriched,5,spleen: 27.9,lymph node: 5.1,Not detected,,
8,TLX1,"HOX11, TCL3",ENSG00000107807,T-cell leukemia homeobox 1,10,101130505-101137789,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,Colorectal cancer:7.32e-4 (unfavourable),Mixed,Tissue enriched,5,spleen: 31.3,salivary gland: 6.0,Cell line enhanced,,HAP1: 4.1;K-562: 10.7;SH-SY5Y: 2.9
9,VCAM1,CD106,ENSG00000162692,Vascular cell adhesion molecule 1,1,100719742-100739045,"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB000154, HPA034796, HPA069867",Enhanced,,Approved,Cell Junctions,"Head and neck cancer:7.19e-5 (favourable), Cervical cancer:3.82e-4 (favourable)",Tissue enriched,Tissue enriched,5,spleen: 549.1,lymph node: 109.7,Cell line enhanced,,HHSteC: 144.7;HSkMC: 83.9;hTEC/SVTERT24-B: 31.1;U-138 MG: 25.9
