,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,IL36A,"FIL1, FIL1E, IL-1F6, IL1(EPSILON), IL1F6, MGC129552, MGC129553",ENSG00000136694,"Interleukin 36, alpha",2,113005461-113008044,Predicted intracellular proteins,Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,1237,esophagus: 459.4;tonsil: 105.4,endometrium: 0.2,Cell line enhanced,,MOLT-4: 1.0
1,TMPRSS11B,,ENSG00000185873,"Transmembrane protease, serine 11B",4,68226653-68245720,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,Head and neck cancer:6.91e-4 (favourable),Group enriched,Group enriched,184,esophagus: 311.6;tonsil: 74.5,"cervix, uterine: 1.0",Not detected,,
2,TMPRSS11A,ECRG1,ENSG00000187054,"Transmembrane protease, serine 11A",4,67909385-67964140,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,,Group enriched,Group enriched,64,esophagus: 96.0;tonsil: 26.0,"cervix, uterine: 0.9",Not detected,,
3,TMPRSS11D,,ENSG00000153802,"Transmembrane protease, serine 11D",4,67820876-67884032,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA052834,Uncertain,,,,,Group enriched,Group enriched,39,esophagus: 70.5;tonsil: 30.6,"cervix, uterine: 1.3",Not detected,,
4,LCE3E,LEP17,ENSG00000185966,Late cornified envelope 3E,1,152565654-152566772,Predicted intracellular proteins,Evidence at protein level,,,,,,,Group enriched,Group enriched,35,esophagus: 9.6;skin: 9.0;tonsil: 18.1,breast: 0.3,Not detected,,
5,SLURP1,"ANUP, ARS, ArsB, LY6LS, MDM",ENSG00000126233,Secreted LY6/PLAUR domain containing 1,8,142740944-142742411,"Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA050967,Approved,,,,,Tissue enhanced,Group enriched,33,esophagus: 740.6;skin: 297.1,tonsil: 15.7,Cell line enhanced,,HaCaT: 1.1;MCF7: 1.1;T-47d: 2.4
6,CNFN,PLAC8L2,ENSG00000105427,Cornifelin,19,42387019-42390287,Predicted intracellular proteins,Evidence at protein level,"HPA049073, HPA053997",Enhanced,,Approved,Microtubules<br>Cytokinetic bridge,Thyroid cancer:4.02e-5 (favourable),Expressed in all,Group enriched,32,esophagus: 1158.0;skin: 272.5;tonsil: 260.7,breast: 17.6,Cell line enhanced,,A549: 17.1;HEK93: 24.4
7,SPINK5,"DKFZp686K19184, FLJ21544, FLJ97536, FLJ97596, FLJ99794, LEKTI, LETKI, NETS, NS, VAKTI",ENSG00000133710,"Serine peptidase inhibitor, Kazal type 5",5,148025683-148137289,"Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA009067, HPA011351, CAB015347",Enhanced,,Enhanced,Vesicles,,Tissue enhanced,Group enriched,26,esophagus: 1130.0;skin: 383.9;tonsil: 270.0,breast: 22.9,Cell line enhanced,,HaCaT: 13.2;HeLa: 14.7;Karpas-707: 13.8
8,SPINK7,"ECG2, ECRG2",ENSG00000145879,"Serine peptidase inhibitor, Kazal type 7 (putative)",5,148312419-148315922,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA036294,Enhanced,,,,,Group enriched,Group enriched,25,esophagus: 416.8;tonsil: 106.3,"cervix, uterine: 10.5",Not detected,,
9,BPIFB2,"BPIL1, C20orf184, dJ726C3.2, LPLUNC2",ENSG00000078898,BPI fold containing family B member 2,20,33007600-33023709,"Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,"HPA049491, HPA060121",Enhanced,,Approved,Vesicles,Endometrial cancer:1.97e-5 (favourable),Group enriched,Group enriched,23,esophagus: 98.5;salivary gland: 90.5,"cervix, uterine: 4.0",Cell line enriched,418.0,Hep G2: 146.8
10,NCCRP1,"FBXO50, LOC342897, NCCRP-1",ENSG00000188505,Non-specific cytotoxic cell receptor protein 1 homolog (zebrafish),19,39196961-39201884,Predicted intracellular proteins,Evidence at protein level,HPA052812,Uncertain,,Approved,Mitochondria,Endometrial cancer:1.01e-4 (unfavourable),Mixed,Group enriched,22,esophagus: 263.4;skin: 175.5;tonsil: 113.3,breast: 8.2,Cell line enriched,7.0,SK-BR-3: 23.1
11,SPRR2B,,ENSG00000196805,Small proline rich protein 2B,1,153070224-153070840,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Tissue enriched,Group enriched,18,esophagus: 30.3;skin: 17.1;testis: 8.2;tonsil: 14.1,ovary: 0.9,Not detected,,
12,SPRR2E,,ENSG00000203785,Small proline rich protein 2E,1,153093135-153106184,Predicted intracellular proteins,Evidence at transcript level,,,,,,Urothelial cancer:9.47e-4 (unfavourable),Tissue enhanced,Group enriched,18,esophagus: 2005.4;skin: 804.8;tonsil: 459.7,breast: 61.4,Cell line enriched,9.0,hTCEpi: 12.1
13,FAM83C,"C20orf128, dJ614O4.7",ENSG00000125998,Family with sequence similarity 83 member C,20,35285731-35292401,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB034227, HPA049978",Uncertain,,,,,Tissue enhanced,Group enriched,17,esophagus: 19.8;skin: 43.0,tonsil: 1.8,Not detected,,
14,KRT33A,"Ha-3I, Krt1-3, KRTHA3A",ENSG00000006059,Keratin 33A,17,41346092-41350812,Predicted intracellular proteins,Evidence at protein level,HPA055194,Supported,,,,,Tissue enhanced,Group enriched,15,esophagus: 1.4;testis: 1.6,all non-specific tissues: 0.0,Cell line enhanced,,RT4: 1.1
15,PI3,"cementoin, ELAFIN, ESI, SKALP, WAP3, WFDC14",ENSG00000124102,Peptidase inhibitor 3,20,45174876-45176544,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB009449, HPA017737",Enhanced,,Approved,Plasma membrane,"Renal cancer:1.94e-8 (unfavourable), Ovarian cancer:3.84e-6 (unfavourable), Pancreatic cancer:6.89e-4 (unfavourable), Breast cancer:6.94e-4 (favourable)",Tissue enhanced,Group enriched,15,esophagus: 2285.4;tonsil: 1739.8,appendix: 133.6,Group enriched,7.0,EFO-21: 78.9;HaCaT: 92.0;PC-3: 163.0
16,FAM25C,bA164N7.4,ENSG00000276430,Family with sequence similarity 25 member C,10,47995355-47999791,Predicted intracellular proteins,Evidence at transcript level,HPA044808,Uncertain,,,,,Tissue enhanced,Group enriched,14,breast: 5.3;esophagus: 4.0;skin: 9.0;small intestine: 4.3;tonsil: 2.1,"skeletal muscle,testis: 0.3",Cell line enriched,5.0,SK-BR-3: 12.1
17,KRT32,"Ha-2, KRTHA2",ENSG00000108759,Keratin 32,17,41459811-41467429,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Group enriched,14,esophagus: 7.4;skin: 2.4,breast: 0.3,Not detected,,
18,FABP12,,ENSG00000197416,Fatty acid binding protein 12,8,81524981-81531378,Predicted intracellular proteins,Evidence at protein level,HPA044041,Approved,,,,,Tissue enhanced,Group enriched,13,esophagus: 4.3;testis: 15.4,lung: 0.7,Not detected,,
