,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,NKX2-5,"CSX, CSX1, NKX2.5, NKX2E, NKX4-1",ENSG00000183072,NK2 homeobox 5,5,173232109-173235357,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA065034,,,Approved,Nucleoplasm<br>Cytosol,,Mixed,Group enriched,126,heart muscle: 32.7;spleen: 14.5,"breast,placenta,urinary bladder: 0.1",Cell line enhanced,,HEK93: 27.1;NTERA-2: 10.7;U-2 OS: 24.8;U-251 MG: 15.4
1,CR2,"C3DR, CD21",ENSG00000117322,Complement C3d receptor 2,1,207454230-207489895,"CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB002659, HPA052942, HPA060715",Enhanced,,,,Breast cancer:6.90e-4 (favourable),Mixed,Group enriched,21,appendix: 68.3;lymph node: 206.0;spleen: 100.2;tonsil: 153.8,kidney: 6.2,Cell line enhanced,,Daudi: 17.1;MOLT-4: 10.7;RPMI-8226: 3.2
2,FAM129C,"BCNP1, FLJ39802",ENSG00000167483,Family with sequence similarity 129 member C,19,17523301-17553839,Predicted intracellular proteins,Evidence at protein level,HPA043277,Approved,,,,,Mixed,Group enriched,15,appendix: 13.9;bone marrow: 11.3;lymph node: 28.2;spleen: 36.9;tonsil: 9.4,gallbladder: 1.3,Group enriched,20.0,Daudi: 35.8;REH: 23.1;U-698: 21.5
3,MS4A1,"B1, Bp35, CD20, MS4A2",ENSG00000156738,Membrane spanning 4-domains A1,11,60455752-60470760,"CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB000015, HPA014341, HPA014391",Enhanced,,Supported,Plasma membrane,Breast cancer:4.34e-5 (favourable),Mixed,Group enriched,15,appendix: 240.0;lymph node: 770.3;spleen: 468.8;tonsil: 789.8,urinary bladder: 38.3,Group enriched,19.0,Daudi: 534.8;U-698: 258.0
4,FCRL3,"CD307c, FCRH3, IFGP3, IRTA3, SPAP2, SPAP2a, SPAP2b, SPAP2c, SPAP2d, SPAP2e",ENSG00000160856,Fc receptor like 3,1,157674321-157700857,"CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA048022,Enhanced,,,,,Mixed,Group enriched,13,appendix: 18.1;lymph node: 55.9;spleen: 36.7;tonsil: 32.3,urinary bladder: 2.8,Cell line enriched,7.0,Daudi: 6.9
5,OTOA,"CT108, DFNB22",ENSG00000155719,Otoancorin,16,21678514-21760729,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA041405,Uncertain,,,,,Not detected,Group enriched,13,spleen: 2.6;testis: 6.0,epididymis: 0.3,Not detected,,
6,CD19,,ENSG00000177455,CD19 molecule,16,28931939-28939346,"CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,CAB016110,Enhanced,,,,,Mixed,Group enriched,11,appendix: 37.4;lymph node: 84.0;spleen: 47.4;tonsil: 68.3,urinary bladder: 5.5,Group enriched,40.0,Daudi: 103.6;REH: 70.5;U-698: 22.6
7,GPR88,,ENSG00000181656,G protein-coupled receptor 88,1,100538137-100542018,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins",Evidence at transcript level,HPA007488,,Approved,,,,Tissue enriched,Group enriched,11,breast: 9.4;cerebral cortex: 3.1;liver: 4.9;ovary: 3.1;parathyroid gland: 4.9;spleen: 14.4,prostate: 0.6,Group enriched,8.0,HSkMC: 1.1;SCLC-21H: 2.3
8,BLK,MGC10442,ENSG00000136573,"BLK proto-oncogene, Src family tyrosine kinase",8,11494001-11564604,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB005093, HPA069571",Approved,,Approved,Nucleoplasm,,Mixed,Group enriched,10,appendix: 22.0;lymph node: 61.2;spleen: 40.6;tonsil: 51.4,urinary bladder: 4.3,Group enriched,6.0,Daudi: 99.9;REH: 39.4;RPMI-8226: 47.4;U-698: 55.4;U-87 MG: 29.9
9,CLEC17A,FLJ45910,ENSG00000187912,C-type lectin domain family 17 member A,19,14583084-14611157,Predicted membrane proteins,Evidence at protein level,,,,,,,Mixed,Group enriched,10,appendix: 16.6;lymph node: 30.4;spleen: 19.2;tonsil: 28.4,urinary bladder: 2.3,Group enriched,11.0,Daudi: 6.8;U-698: 12.0
10,CSAG3,CSAG3A,ENSG00000268916,CSAG family member 3,X,152753921-152760222,Predicted intracellular proteins,Evidence at transcript level,HPA078264,,,Approved,Vesicles,,Mixed,Group enriched,10,lymph node: 1.7;skin: 1.2;spleen: 1.9;testis: 4.2,"adipose tissue,lung,placenta: 0.2",Cell line enhanced,,HDLM-2: 23.7;HMC-1: 22.9;SH-SY5Y: 35.8;SK-BR-3: 23.6;U-2 OS: 25.4;U-266/70: 61.5;U-266/84: 30.6
11,FCRLA,"FCRL, FCRLa, FCRLb, FCRLc1, FCRLc2, FCRLd, FCRLe, FCRLM1, FCRLX, FREB, MGC4595",ENSG00000132185,Fc receptor like A,1,161706972-161714352,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,CAB016545,Enhanced,,,,,Tissue enriched,Group enriched,10,appendix: 31.2;lymph node: 80.5;spleen: 56.4;tonsil: 86.7,urinary bladder: 6.2,Cell line enhanced,,Daudi: 338.0;SK-MEL-30: 150.5;U-698: 179.6
12,P2RX5,"LRH-1, P2X5",ENSG00000083454,Purinergic receptor P2X 5,17,3672199-3696404,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA021948, HPA067827",Supported,,Supported,Cytosol,,Mixed,Group enriched,10,appendix: 40.9;lymph node: 89.8;spleen: 74.3;tonsil: 47.1,bone marrow: 6.2,Cell line enhanced,,Daudi: 36.5;RPMI-8226: 40.2;U-698: 32.6
13,TNFRSF13C,"BAFFR, CD268",ENSG00000159958,TNF receptor superfamily member 13C,22,41922023-41926818,"CD markers, Disease related genes, Predicted membrane proteins",Evidence at protein level,"HPA003246, CAB008380",Enhanced,,Uncertain,Nucleus,Cervical cancer:4.44e-7 (favourable),Mixed,Group enriched,10,appendix: 22.9;lymph node: 46.1;spleen: 43.5;tonsil: 49.9,bone marrow: 4.0,Cell line enhanced,,REH: 19.1;U-698: 7.7
14,CD72,"CD72b, LYB2",ENSG00000137101,CD72 molecule,9,35609533-35646810,"CD markers, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB002505, HPA044658",Enhanced,,Approved,Nucleus<br>Mitochondria,Renal cancer:2.49e-8 (unfavourable),Expressed in all,Group enriched,8,appendix: 25.1;lymph node: 71.1;spleen: 64.7;tonsil: 42.6,gallbladder: 6.2,Cell line enhanced,,Daudi: 13.0;Karpas-707: 8.1;REH: 7.0;U-698: 27.7
15,CPLX3,CPX-III,ENSG00000213578,Complexin 3,15,74826547-74831802,Predicted intracellular proteins,Evidence at protein level,CAB079003,,Supported,,,,Not detected,Group enriched,8,prostate: 143.7;spleen: 74.6,cerebral cortex: 12.8,Cell line enhanced,,Daudi: 1.6;Karpas-707: 1.4;SCLC-21H: 1.0
16,FCRL2,"CD307b, FCRH2, IRTA4, SPAP1",ENSG00000132704,Fc receptor like 2,1,157745733-157777132,"CD markers, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Group enriched,8,appendix: 16.3;lymph node: 28.4;spleen: 25.9;tonsil: 23.7,rectum: 3.0,Group enriched,27.0,Daudi: 9.2;U-266/70: 2.0;U-698: 7.2
17,MCF2L2,"ARHGEF22, KIAA0861",ENSG00000053524,MCF.2 cell line derived transforming sequence-like 2,3,183178043-183428778,"Disease related genes, Predicted intracellular proteins",Evidence at transcript level,"HPA038946, HPA038947",Uncertain,,Approved,Plasma membrane<br>Cytosol,,Not detected,Group enriched,8,adrenal gland: 10.2;cerebral cortex: 17.2;parathyroid gland: 7.7;spleen: 3.5;testis: 4.7,prostate: 1.0,Cell line enhanced,,HDLM-2: 5.5;Karpas-707: 3.6;REH: 3.1
18,BTLA,"BTLA1, CD272",ENSG00000186265,B and T lymphocyte associated,3,112463968-112499561,"CD markers, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA047211, HPA062029",Enhanced,,,,,Mixed,Group enriched,7,appendix: 14.1;lymph node: 29.3;spleen: 14.6;tonsil: 24.7,urinary bladder: 3.0,Cell line enhanced,,U-698: 1.3
19,CXCL13,"ANGIE, ANGIE2, BCA-1, BLC, BLR1L, SCYB13",ENSG00000156234,C-X-C motif chemokine ligand 13,4,77511753-77611834,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,HPA052613,Uncertain,,,,"Renal cancer:1.16e-10 (unfavourable), Ovarian cancer:5.41e-4 (favourable), Endometrial cancer:5.52e-4 (favourable), Colorectal cancer:9.12e-4 (favourable)",Expressed in all,Group enriched,7,appendix: 163.3;lymph node: 599.9;spleen: 423.8;tonsil: 395.7,urinary bladder: 57.9,Cell line enhanced,,U-266/70: 1.0
20,FCER2,"CD23, CD23A, CLEC4J, FCE2",ENSG00000104921,Fc fragment of IgE receptor II,19,7688758-7702146,"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB002624, HPA008928",Enhanced,,,,,Mixed,Group enriched,7,appendix: 21.9;lymph node: 47.4;spleen: 52.6;tonsil: 38.0,adipose tissue: 5.8,Cell line enriched,16.0,HDLM-2: 416.1
21,LTB,"p33, TNFC, TNFSF3",ENSG00000227507,Lymphotoxin beta,6,31580525-31582522,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA048884,Approved,,Approved,Centrosome,"Renal cancer:3.31e-7 (unfavourable), Endometrial cancer:2.36e-6 (favourable), Head and neck cancer:1.74e-4 (favourable)",Expressed in all,Group enriched,7,appendix: 18.6;lymph node: 22.1;spleen: 25.8;tonsil: 10.1,bone marrow: 2.6,Cell line enhanced,,Daudi: 20.4;HDLM-2: 15.0;NB-4: 11.8;REH: 16.1;U-698: 14.4
22,RP11-277P12.6,,ENSG00000255641,,12,10412312-10436001,Predicted membrane proteins,Evidence at transcript level,HPA062570,Uncertain,,,,,Not detected,Group enriched,7,cerebral cortex: 8.2;spleen: 6.1,bone marrow: 1.0,Cell line enriched,5.0,HeLa: 5.8
23,SIGLEC11,,ENSG00000161640,Sialic acid binding Ig like lectin 11,19,49948985-49961172,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA060278,Approved,,,,,Mixed,Group enriched,7,ovary: 80.0;spleen: 31.7,adrenal gland: 8.1,Cell line enriched,15.0,HEL: 9.4
24,TLR10,CD290,ENSG00000174123,Toll like receptor 10,4,38772239-38782990,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Group enriched,7,appendix: 21.1;lymph node: 51.7;spleen: 34.7;tonsil: 45.1,urinary bladder: 5.5,Group enriched,65.0,Daudi: 51.1;REH: 22.0;U-698: 17.6
