,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,NPPB,,ENSG00000120937,Natriuretic peptide B,1,11857464-11858931,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enriched,1857,heart muscle: 3255.2,testis: 1.7,Group enriched,7.0,BEWO: 134.5;CACO-2: 309.8
1,NPPA,"ANP, PND",ENSG00000175206,Natriuretic peptide A,1,11845709-11848345,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA058269,Enhanced,Supported,,,,Tissue enriched,Tissue enriched,1345,heart muscle: 24003.4,epididymis: 17.8,Cell line enhanced,,SCLC-21H: 13.6;SH-SY5Y: 11.7
2,MYL7,"MYL2A, MYLC2A",ENSG00000106631,Myosin light chain 7,7,44138864-44141332,Predicted intracellular proteins,Evidence at protein level,"HPA013331, CAB033884, HPA039262",Enhanced,,,,,Tissue enriched,Tissue enriched,1272,heart muscle: 8172.3,breast: 6.4,Group enriched,26.0,BEWO: 34.4;CACO-2: 103.4
3,MYBPC3,"CMH4, FHC, MYBP-C",ENSG00000134571,"Myosin binding protein C, cardiac",11,47331397-47352702,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA040147, HPA043898",Enhanced,,,,,Not detected,Tissue enriched,496,heart muscle: 711.2,testis: 1.4,Cell line enriched,15.0,U-937: 4.9
4,TNNT2,"CMD1D, CMH2, CMPD2",ENSG00000118194,"Troponin T2, cardiac type",1,201359008-201377762,"Candidate cardiovascular disease genes, Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB015371, HPA015774, HPA017888",Enhanced,,Uncertain,Nucleus<br>Nucleoli<br>Focal adhesion sites,,Mixed,Tissue enriched,203,heart muscle: 5120.1,skin: 25.2,Cell line enriched,30.0,RH-30: 1495.9
5,TNNI3,"CMD2A, CMH7, TNNC1",ENSG00000129991,"Troponin I3, cardiac type",19,55151767-55157773,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB009349, HPA046428",Enhanced,,Approved,Vesicles<br>Cytosol,,Mixed,Tissue enriched,174,heart muscle: 3607.1,breast: 20.7,Cell line enhanced,,HEK93: 11.1;HMC-1: 17.7;K-562: 34.7
6,ANKRD1,"ALRP, C-193, CARP, CVARP, MCARP",ENSG00000148677,Ankyrin repeat domain 1,10,90912096-90921276,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA038736,Enhanced,,Supported,Nucleus<br>Nucleoli fibrillar center,Head and neck cancer:1.95e-4 (unfavourable),Tissue enhanced,Tissue enriched,108,heart muscle: 3714.2,lung: 34.4,Group enriched,6.0,CACO-2: 348.0;EFO-21: 1053.3;HUVEC TERT2: 325.0;LHCN-M2: 1166.6;TIME: 1606.3
7,MYH6,,ENSG00000197616,Myosin heavy chain 6,14,23381990-23408277,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001239, HPA001349, CAB075723, CAB075724, CAB075725",Enhanced,,,,,Tissue enriched,Tissue enriched,96,heart muscle: 1838.3,skeletal muscle: 19.1,Cell line enriched,33.0,NTERA-2: 4.6
8,BMP10,,ENSG00000163217,Bone morphogenetic protein 10,2,68865481-68871517,Predicted secreted proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,91,heart muscle: 327.8,liver: 3.5,Not detected,,
9,RD3L,"TDRD9-AS1, TDRD9AS1",ENSG00000227729,Retinal degeneration 3-like,14,103940426-103942308,Predicted intracellular proteins,Evidence at transcript level,HPA067971,Uncertain,,,,,Not detected,Tissue enriched,89,heart muscle: 20.8,liver: 0.2,Not detected,,
10,SBK2,SGK069,ENSG00000187550,SH3 domain binding kinase family member 2,19,55529733-55537089,"Enzymes, Predicted membrane proteins",Evidence at transcript level,HPA030631,Uncertain,,,,,Tissue enhanced,Tissue enriched,30,heart muscle: 24.2,testis: 0.8,Group enriched,5.0,A549: 2.5;Hep G2: 1.4;MCF7: 2.2;NTERA-2: 5.5;RH-30: 4.9;U-2 OS: 3.1
11,LRRC10,"HRLRRP, LRRC10A",ENSG00000198812,Leucine rich repeat containing 10,12,69608564-69611162,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,28,heart muscle: 22.6,lymph node: 0.7,Not detected,,
12,CHRNE,ACHRE,ENSG00000108556,Cholinergic receptor nicotinic epsilon subunit,17,4897774-4903074,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Mixed,Tissue enriched,26,heart muscle: 33.9,epididymis: 1.3,Group enriched,15.0,HEL: 3.9;HMC-1: 9.2
13,MYL4,"ALC1, AMLC, GT1, PRO1957",ENSG00000198336,Myosin light chain 4,17,47200446-47223679,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA046859, HPA051884, HPA063034",Enhanced,,Approved,Plasma membrane,,Group enriched,Tissue enriched,21,heart muscle: 1686.3,bone marrow: 79.9,Group enriched,20.0,HEL: 495.8;K-562: 118.9
14,SCN5A,"CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1",ENSG00000183873,Sodium voltage-gated channel alpha subunit 5,3,38548057-38649673,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,,,,,,,Mixed,Tissue enriched,18,heart muscle: 27.8,"cervix, uterine: 1.5",Cell line enhanced,,LHCN-M2: 23.1;RH-30: 22.0
15,TECRL,"DKFZp313B2333, DKFZp313D0829, GPSN2L, SRD5A2L2, TERL",ENSG00000205678,"Trans-2,3-enoyl-CoA reductase-like",4,64275257-64409468,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Not detected,Tissue enriched,18,heart muscle: 371.9,skeletal muscle: 20.5,Not detected,,
16,MYBPHL,,ENSG00000221986,Myosin binding protein H like,1,109292365-109307041,Predicted intracellular proteins,Evidence at protein level,,,,,,,Mixed,Tissue enriched,14,heart muscle: 53.2,fallopian tube: 3.7,Cell line enhanced,,Hep G2: 1.7;RH-30: 1.3
17,CCDC141,"CAMDI, FLJ39502",ENSG00000163492,Coiled-coil domain containing 141,2,178830269-179050086,Predicted intracellular proteins,Evidence at protein level,HPA012718,,,Approved,Nucleoplasm,,Not detected,Tissue enriched,13,heart muscle: 50.2,lung: 3.9,Cell line enhanced,,CACO-2: 4.0;HEL: 6.8;RH-30: 3.7;U-266/70: 3.7;U-698: 4.4
18,CASQ2,PDIB2,ENSG00000118729,Calsequestrin 2,1,115700007-115768781,"Disease related genes, Predicted secreted proteins",Evidence at protein level,"HPA027285, HPA055298",Enhanced,,,,"Urothelial cancer:2.25e-5 (unfavourable), Head and neck cancer:2.30e-4 (unfavourable)",Mixed,Tissue enriched,11,heart muscle: 679.4,skeletal muscle: 62.3,Cell line enriched,14.0,HSkMC: 9.6
19,ACTC1,"ACTC, CMD1R",ENSG00000159251,"Actin, alpha, cardiac muscle 1",15,34788096-34796139,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB037330, HPA041264, HPA041271",Enhanced,,,,"Head and neck cancer:3.72e-5 (unfavourable), Urothelial cancer:9.32e-4 (unfavourable)",Group enriched,Tissue enriched,10,heart muscle: 1903.0,seminal vesicle: 191.9,Group enriched,7.0,fHDF/TERT166: 217.0;LHCN-M2: 930.7;RH-30: 512.0
20,PPP1R1C,Inhibitor-1-like,ENSG00000150722,Protein phosphatase 1 regulatory inhibitor subunit 1C,2,181954241-182131398,Predicted intracellular proteins,Evidence at protein level,HPA055043,,,Approved,Nucleus<br>Nucleoli<br>Golgi apparatus,,Mixed,Tissue enriched,9,heart muscle: 14.1,prostate: 1.6,Not detected,,
21,MT1HL1,MT1P2,ENSG00000244020,Metallothionein 1H like 1,1,237004103-237004418,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,8,heart muscle: 2.8,urinary bladder: 0.3,Not detected,,
22,MYOZ2,"C4orf5, CS-1",ENSG00000172399,Myozenin 2,4,119135784-119187789,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA035763, HPA035764",Enhanced,,Approved,Nucleus<br>Cytosol,,Tissue enhanced,Tissue enriched,8,heart muscle: 500.2,skeletal muscle: 63.4,Cell line enhanced,,HSkMC: 1.6;SK-MEL-30: 4.7;U-87 MG: 6.0
23,RYR2,"ARVC2, ARVD2, VTSIP",ENSG00000198626,Ryanodine receptor 2,1,237042205-237833988,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA020028,Approved,,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,,Mixed,Tissue enriched,8,heart muscle: 65.9,cerebral cortex: 7.9,Cell line enhanced,,HDLM-2: 4.8;HEK93: 6.3;K-562: 2.0;NTERA-2: 2.5;U-937: 2.5
24,TNNI3K,CARK,ENSG00000116783,TNNI3 interacting kinase,1,74235401-74544428,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Tissue enriched,7,heart muscle: 39.5,testis: 5.3,Not detected,,
25,FABP3,"FABP11, H-FABP, MDGI, O-FABP",ENSG00000121769,Fatty acid binding protein 3,1,31365625-31376850,"Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB017830, HPA055754",Enhanced,,Approved,Golgi apparatus,Renal cancer:1.54e-7 (favourable),Expressed in all,Tissue enriched,6,heart muscle: 2930.0,skeletal muscle: 471.2,Cell line enriched,5.0,ASC TERT1: 434.0
26,SBK3,SgK110,ENSG00000231274,SH3 domain binding kinase family member 3,19,55540656-55545543,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,HPA078322,,,Approved,Mitochondria,,Not detected,Tissue enriched,6,heart muscle: 17.8,adipose tissue: 2.7,Cell line enhanced,,A549: 4.5;CACO-2: 1.4;CAPAN-2: 2.6;RH-30: 2.1
27,PLN,"CMD1P, PLB",ENSG00000198523,Phospholamban,6,118548298-118560730,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB005597, HPA026900",Enhanced,,,,"Renal cancer:4.11e-4 (unfavourable), Urothelial cancer:5.59e-4 (unfavourable)",Mixed,Tissue enriched,5,heart muscle: 1461.9,smooth muscle: 270.2,Not detected,,
