,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,CR2,"C3DR, CD21",ENSG00000117322,Complement C3d receptor 2,1,207454230-207489895,"CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB002659, HPA052942, HPA060715",Enhanced,,,,Breast cancer:6.90e-4 (favourable),Mixed,Group enriched,21,appendix: 68.3;lymph node: 206.0;spleen: 100.2;tonsil: 153.8,kidney: 6.2,Cell line enhanced,,Daudi: 17.1;MOLT-4: 10.7;RPMI-8226: 3.2
1,FAM129C,"BCNP1, FLJ39802",ENSG00000167483,Family with sequence similarity 129 member C,19,17523301-17553839,Predicted intracellular proteins,Evidence at protein level,HPA043277,Approved,,,,,Mixed,Group enriched,15,appendix: 13.9;bone marrow: 11.3;lymph node: 28.2;spleen: 36.9;tonsil: 9.4,gallbladder: 1.3,Group enriched,20.0,Daudi: 35.8;REH: 23.1;U-698: 21.5
2,MS4A1,"B1, Bp35, CD20, MS4A2",ENSG00000156738,Membrane spanning 4-domains A1,11,60455752-60470760,"CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB000015, HPA014341, HPA014391",Enhanced,,Supported,Plasma membrane,Breast cancer:4.34e-5 (favourable),Mixed,Group enriched,15,appendix: 240.0;lymph node: 770.3;spleen: 468.8;tonsil: 789.8,urinary bladder: 38.3,Group enriched,19.0,Daudi: 534.8;U-698: 258.0
3,FCRL3,"CD307c, FCRH3, IFGP3, IRTA3, SPAP2, SPAP2a, SPAP2b, SPAP2c, SPAP2d, SPAP2e",ENSG00000160856,Fc receptor like 3,1,157674321-157700857,"CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA048022,Enhanced,,,,,Mixed,Group enriched,13,appendix: 18.1;lymph node: 55.9;spleen: 36.7;tonsil: 32.3,urinary bladder: 2.8,Cell line enriched,7.0,Daudi: 6.9
4,AICDA,"AID, ARP2, CDA2, HIGM2",ENSG00000111732,Activation induced cytidine deaminase,12,8602166-8612871,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,11,appendix: 4.9;lymph node: 18.7;tonsil: 11.0,spleen: 1.0,Group enriched,5.0,Daudi: 101.6;U-698: 81.2
5,CD19,,ENSG00000177455,CD19 molecule,16,28931939-28939346,"CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,CAB016110,Enhanced,,,,,Mixed,Group enriched,11,appendix: 37.4;lymph node: 84.0;spleen: 47.4;tonsil: 68.3,urinary bladder: 5.5,Group enriched,40.0,Daudi: 103.6;REH: 70.5;U-698: 22.6
6,BLK,MGC10442,ENSG00000136573,"BLK proto-oncogene, Src family tyrosine kinase",8,11494001-11564604,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB005093, HPA069571",Approved,,Approved,Nucleoplasm,,Mixed,Group enriched,10,appendix: 22.0;lymph node: 61.2;spleen: 40.6;tonsil: 51.4,urinary bladder: 4.3,Group enriched,6.0,Daudi: 99.9;REH: 39.4;RPMI-8226: 47.4;U-698: 55.4;U-87 MG: 29.9
7,CLEC17A,FLJ45910,ENSG00000187912,C-type lectin domain family 17 member A,19,14583084-14611157,Predicted membrane proteins,Evidence at protein level,,,,,,,Mixed,Group enriched,10,appendix: 16.6;lymph node: 30.4;spleen: 19.2;tonsil: 28.4,urinary bladder: 2.3,Group enriched,11.0,Daudi: 6.8;U-698: 12.0
8,FCRLA,"FCRL, FCRLa, FCRLb, FCRLc1, FCRLc2, FCRLd, FCRLe, FCRLM1, FCRLX, FREB, MGC4595",ENSG00000132185,Fc receptor like A,1,161706972-161714352,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,CAB016545,Enhanced,,,,,Tissue enriched,Group enriched,10,appendix: 31.2;lymph node: 80.5;spleen: 56.4;tonsil: 86.7,urinary bladder: 6.2,Cell line enhanced,,Daudi: 338.0;SK-MEL-30: 150.5;U-698: 179.6
9,P2RX5,"LRH-1, P2X5",ENSG00000083454,Purinergic receptor P2X 5,17,3672199-3696404,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA021948, HPA067827",Supported,,Supported,Cytosol,,Mixed,Group enriched,10,appendix: 40.9;lymph node: 89.8;spleen: 74.3;tonsil: 47.1,bone marrow: 6.2,Cell line enhanced,,Daudi: 36.5;RPMI-8226: 40.2;U-698: 32.6
