,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AATK,"AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77",ENSG00000181409,Apoptosis associated tyrosine kinase,17,81117295-81166077,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA009073,Enhanced,,Uncertain,Mitochondria,,Mixed,Tissue enhanced,,cerebral cortex: 36.4;duodenum: 23.4,small intestine: 18.3,Group enriched,5.0,CACO-2: 35.4;SH-SY5Y: 15.1
1,AC009014.3,,ENSG00000271824,,5,136191468-136193134,Predicted membrane proteins,Evidence at transcript level,,,,,,"Liver cancer:1.63e-4 (favourable), Pancreatic cancer:6.13e-4 (favourable)",Tissue enhanced,Tissue enhanced,,duodenum: 13.2;kidney: 22.7,small intestine: 6.8,Cell line enhanced,,SCLC-21H: 2.0
2,AC009133.22,,ENSG00000277669,,16,29663279-29695144,Predicted secreted proteins,Evidence at protein level,HPA011887,Uncertain,,,,,Not detected,Tissue enhanced,,colon: 2.6;duodenum: 1.8;spleen: 1.0,lung: 0.4,Cell line enhanced,,BEWO: 44.0;EFO-21: 114.1;SH-SY5Y: 19.3
3,ACE,"ACE1, CD143, DCP1",ENSG00000159640,Angiotensin I converting enzyme,17,63477061-63498380,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB002426, CAB002921, HPA029298, HPA069790",Enhanced,,Approved,Vesicles,,Expressed in all,Tissue enhanced,,duodenum: 178.9;small intestine: 291.6,testis: 83.7,Cell line enhanced,,ASC TERT1: 44.4;HUVEC TERT2: 28.2
4,ACY3,"ACY-3, HCBP1, MGC9740",ENSG00000132744,Aminoacylase 3,11,67642555-67650659,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA039219, HPA048187",Enhanced,,,,Endometrial cancer:4.80e-4 (favourable),Mixed,Tissue enhanced,,duodenum: 80.6;kidney: 53.3;small intestine: 78.6,"cervix, uterine: 16.1",Cell line enhanced,,CACO-2: 8.4;CAPAN-2: 13.6;Daudi: 41.2
5,ADAT3,TAD3,ENSG00000213638,"Adenosine deaminase, tRNA specific 3",19,1905378-1913447,Predicted intracellular proteins,Evidence at protein level,HPA058899,Uncertain,,Approved,Nucleus,"Head and neck cancer:6.13e-4 (favourable), Stomach cancer:6.98e-4 (favourable)",Expressed in all,Tissue enhanced,,duodenum: 7.5,small intestine: 5.3,Cell line enhanced,,HEK93: 11.3
6,ADGRG4,"GPR112, PGR17, RP1-299I16",ENSG00000156920,Adhesion G protein-coupled receptor G4,X,136300963-136416888,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA035324,Uncertain,,,,,Not detected,Tissue enhanced,,duodenum: 2.5;small intestine: 1.7,fallopian tube: 0.5,Not detected,,
7,ADH1C,ADH3,ENSG00000248144,"Alcohol dehydrogenase 1C (class I), gamma polypeptide",4,99336492-99353027,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA047814, HPA060902",Supported,,Supported,Plasma membrane<br>Cytosol,"Lung cancer:2.99e-4 (favourable), Liver cancer:4.55e-4 (favourable)",Tissue enriched,Tissue enhanced,,duodenum: 508.1;liver: 888.0;stomach: 477.4,colon: 276.3,Cell line enhanced,,ASC TERT1: 2.5;HSkMC: 7.7
8,AKR1B10,"AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI",ENSG00000198074,Aldo-keto reductase family 1 member B10,7,134527592-134541408,Predicted intracellular proteins,Evidence at protein level,"HPA020280, CAB070163, HPA073633",Enhanced,,Supported,Plasma membrane<br>Cytosol,"Renal cancer:4.80e-9 (unfavourable), Colorectal cancer:1.91e-4 (favourable)",Tissue enhanced,Tissue enhanced,,duodenum: 635.9;gallbladder: 283.3;small intestine: 387.2;stomach: 414.4,esophagus: 89.8,Group enriched,74.0,A549: 2731.1;Hep G2: 580.9
9,ANKS4B,"FLJ38819, HARP",ENSG00000175311,Ankyrin repeat and sterile alpha motif domain containing 4B,16,21233665-21253845,Predicted intracellular proteins,Evidence at protein level,HPA043523,Approved,,Approved,Nucleoplasm<br>Cytosol,,Group enriched,Tissue enhanced,,duodenum: 9.0;rectum: 7.8;small intestine: 12.9,colon: 6.8,Group enriched,10.0,CACO-2: 1.1;HDLM-2: 3.2;Hep G2: 5.5
10,ANO9,"PIG5, TMEM16J, TP53I5",ENSG00000185101,Anoctamin 9,11,417933-442011,"Predicted membrane proteins, Transporters",Evidence at protein level,"HPA039948, HPA040112",Approved,,Uncertain,Golgi apparatus,Urothelial cancer:8.81e-4 (favourable),Tissue enhanced,Tissue enhanced,,duodenum: 31.6;small intestine: 30.9,skin: 21.6,Cell line enhanced,,BEWO: 8.6;CAPAN-2: 24.1;HaCaT: 14.1;RPMI-8226: 13.6
11,AQP11,,ENSG00000178301,Aquaporin 11,11,77589391-77610355,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA042879,Approved,,Approved,Nucleoplasm<br>Vesicles,Ovarian cancer:9.89e-4 (favourable),Mixed,Tissue enhanced,,duodenum: 24.1;small intestine: 23.1,adrenal gland: 10.0,Cell line enhanced,,Hep G2: 7.7
12,ARHGDIG,RHOGDI-3,ENSG00000242173,Rho GDP dissociation inhibitor gamma,16,268727-283010,Predicted intracellular proteins,Evidence at protein level,HPA078260,,,Approved,Plasma membrane<br>Cytosol,,Mixed,Tissue enhanced,,cerebral cortex: 131.1;duodenum: 44.2,small intestine: 17.9,Cell line enhanced,,HEK93: 24.6;MCF7: 27.2;SCLC-21H: 14.0;SH-SY5Y: 15.7
13,ARHGEF16,"GEF16, NBR",ENSG00000130762,Rho guanine nucleotide exchange factor 16,1,3454426-3481113,Predicted intracellular proteins,Evidence at protein level,HPA010609,Approved,,,,"Renal cancer:1.24e-10 (favourable), Liver cancer:1.82e-4 (unfavourable)",Mixed,Tissue enhanced,,duodenum: 42.1,small intestine: 35.9,Cell line enhanced,,CAPAN-2: 48.8;MCF7: 24.6;SK-BR-3: 25.6
