,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AC018755.18,,ENSG00000268500,,19,51612091-51646889,Predicted membrane proteins,Evidence at transcript level,HPA009085,Approved,,,,,Not detected,Tissue enhanced,,appendix: 10.0;bone marrow: 17.4,spleen: 5.5,Group enriched,14.0,HMC-1: 68.6;U-937: 25.7
1,ADAM8,"CD156, CD156a, MS2",ENSG00000151651,ADAM metallopeptidase domain 8,10,133262403-133276868,"CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA064637,Approved,,,,Renal cancer:3.99e-10 (unfavourable),Expressed in all,Tissue enhanced,,bone marrow: 43.8;spleen: 32.9,appendix: 30.1,Cell line enhanced,,A-431: 51.7;BEWO: 78.4;CAPAN-2: 61.7;HaCaT: 61.1;HDLM-2: 42.3;U-87 MG: 33.6
2,ADORA2A,"ADORA2, RDC8",ENSG00000128271,Adenosine A2a receptor,22,24417879-24442360,"Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB001943, HPA065566, HPA075997",Enhanced,Supported,,,,Not detected,Tissue enhanced,,bone marrow: 24.6;lymph node: 22.7,appendix: 17.8,Cell line enhanced,,Karpas-707: 36.8;SK-BR-3: 55.0;U-266/70: 38.8;U-266/84: 50.0;U-698: 37.2
3,ANKLE1,"ANKRD41, FLJ39369, LEMD6",ENSG00000160117,Ankyrin repeat and LEM domain containing 1,19,17281645-17287646,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA026789, HPA073498",Approved,,Approved,Nucleoplasm<br>Cytosol,Endometrial cancer:4.86e-5 (unfavourable),Mixed,Tissue enhanced,,bone marrow: 13.7,lymph node: 3.6,Cell line enhanced,,Daudi: 47.2;U-937: 40.1
4,ANKRD18A,"FLJ35740, KIAA2015",ENSG00000180071,Ankyrin repeat domain 18A,9,38571358-38620660,Predicted intracellular proteins,Evidence at protein level,"HPA046346, HPA046695, HPA049923, HPA051288",Uncertain,,Supported,Nucleoli<br>Cytosol,,Mixed,Tissue enhanced,,bone marrow: 11.3;testis: 10.2,thyroid gland: 3.5,Cell line enhanced,,HL-60: 13.8
5,ANKRD34B,DP58,ENSG00000189127,Ankyrin repeat domain 34B,5,80556755-80570488,Predicted intracellular proteins,Evidence at protein level,HPA043327,Uncertain,,Approved,Nucleoplasm<br>Mitochondria<br>Cytosol,,Tissue enhanced,Tissue enhanced,,bone marrow: 1.1;lymph node: 1.0;tonsil: 1.1,kidney: 0.7,Cell line enriched,23.0,RPTEC TERT1: 71.4
6,APOBEC3A,"ARP3, PHRBN",ENSG00000128383,Apolipoprotein B mRNA editing enzyme catalytic subunit 3A,22,38952741-38992778,Predicted intracellular proteins,Evidence at protein level,"HPA043237, HPA056980, HPA066719",Approved,,Uncertain,Nucleoplasm,,Tissue enhanced,Tissue enhanced,,appendix: 29.8;bone marrow: 59.0,spleen: 19.5,Not detected,,
7,APOBEC3B,"FLJ21201, PHRBNL",ENSG00000179750,Apolipoprotein B mRNA editing enzyme catalytic subunit 3B,22,38982347-38992804,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,"HPA056980, HPA066719",,,Approved,Nucleoplasm,"Cervical cancer:2.58e-5 (favourable), Renal cancer:2.78e-4 (unfavourable)",Expressed in all,Tissue enhanced,,bone marrow: 18.9,rectum: 13.9,Cell line enhanced,,A-431: 241.1;Karpas-707: 215.9
8,ARG1,,ENSG00000118520,Arginase 1,6,131573144-131584332,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA003595, CAB009434, HPA024006, CAB056159",Enhanced,,,,,Tissue enriched,Tissue enhanced,,bone marrow: 171.2;liver: 566.2,skin: 78.2,Not detected,,
9,ARHGAP11B,"B'-T, FAM7B1",ENSG00000187951,Rho GTPase activating protein 11B,15,30624494-30772993,Predicted intracellular proteins,Evidence at protein level,HPA064479,Uncertain,,Approved,Vesicles,,Mixed,Tissue enhanced,,bone marrow: 2.0,"lymph node,testis: 1.1",Mixed,,
