,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AC009133.22,,ENSG00000277669,,16,29663279-29695144,Predicted secreted proteins,Evidence at protein level,HPA011887,Uncertain,,,,,Not detected,Tissue enhanced,,colon: 2.6;duodenum: 1.8;spleen: 1.0,lung: 0.4,Cell line enhanced,,BEWO: 44.0;EFO-21: 114.1;SH-SY5Y: 19.3
1,ADAMDEC1,M12.219,ENSG00000134028,ADAM like decysin 1,8,24384285-24406013,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Expressed in all,Tissue enhanced,,colon: 210.9;rectum: 339.7;small intestine: 476.3,duodenum: 189.1,Group enriched,7.0,U-266/70: 8.1;U-266/84: 1.9
2,AIFM3,"AIFL, FLJ30473",ENSG00000183773,"Apoptosis inducing factor, mitochondria associated 3",22,20965108-20981360,Predicted intracellular proteins,Evidence at protein level,HPA001271,,,Enhanced,Mitochondria,Urothelial cancer:7.13e-5 (favourable),Tissue enhanced,Tissue enhanced,,cerebral cortex: 18.5;colon: 18.7,rectum: 9.0,Cell line enhanced,,Hep G2: 5.1;HMC-1: 9.5;T-47d: 5.0;THP-1: 5.1
3,ATP10B,"ATPVB, FLJ21477, KIAA0715",ENSG00000118322,ATPase phospholipid transporting 10B (putative),5,160563120-160852214,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA034574,Uncertain,,,,,Group enriched,Tissue enhanced,,colon: 36.0;rectum: 40.3,gallbladder: 21.4,Cell line enriched,23.0,WM-115: 13.6
4,B3GALT1,beta3Gal-T1,ENSG00000172318,"Beta-1,3-galactosyltransferase 1",2,167868948-167874041,"Enzymes, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 5.2;colon: 3.7;rectum: 4.0,skeletal muscle: 1.8,Cell line enriched,7.0,AN3-CA: 33.1
5,B3GNT6,B3Gn-T6,ENSG00000198488,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",11,77034398-77041973,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA012158, HPA039805",Enhanced,Approved,,,Colorectal cancer:2.31e-4 (favourable),Group enriched,Tissue enhanced,,colon: 21.7;rectum: 18.2;stomach: 23.5,small intestine: 7.9,Not detected,,
6,B4GALNT2,"Cad, GALGT2, Sda",ENSG00000167080,"Beta-1,4-N-acetyl-galactosaminyltransferase 2",17,49132460-49176840,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA015721,Approved,,,,Renal cancer:1.29e-5 (favourable),Mixed,Tissue enhanced,,colon: 33.3,rectum: 14.9,Mixed,,
7,BCL2L15,"Bfk, C1orf178, FLJ22588",ENSG00000188761,BCL2 like 15,1,113878168-113887547,Predicted intracellular proteins,Evidence at protein level,"HPA029732, HPA029733",Enhanced,,,,Endometrial cancer:5.63e-4 (favourable),Tissue enhanced,Tissue enhanced,,colon: 47.4;duodenum: 66.5;rectum: 52.2;small intestine: 64.3,stomach: 24.0,Cell line enhanced,,CAPAN-2: 22.4;EFO-21: 8.1;RPTEC TERT1: 5.6
8,BEST2,"FLJ20132, VMD2L1",ENSG00000039987,Bestrophin 2,19,12751702-12758458,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at transcript level,HPA046229,Approved,,,,,Tissue enhanced,Tissue enhanced,,colon: 15.4;rectum: 14.8,tonsil: 4.5,Mixed,,
9,BEST4,VMD2L2,ENSG00000142959,Bestrophin 4,1,44783585-44787705,Predicted membrane proteins,Evidence at protein level,HPA058564,Uncertain,,,,,Mixed,Tissue enhanced,,colon: 26.2;rectum: 21.3,duodenum: 11.3,Cell line enhanced,,Hep G2: 2.1
10,C15orf48,NMES1,ENSG00000166920,Chromosome 15 open reading frame 48,15,45430529-45448761,Predicted intracellular proteins,Evidence at protein level,HPA012943,Enhanced,,,,,Expressed in all,Tissue enhanced,,colon: 716.6;rectum: 832.9,small intestine: 330.3,Cell line enhanced,,A-431: 52.4;CAPAN-2: 96.3
11,C2orf72,LOC257407,ENSG00000204128,Chromosome 2 open reading frame 72,2,231037490-231049719,Predicted intracellular proteins,Evidence at protein level,HPA044962,Uncertain,,Approved,Nucleus<br>Plasma membrane,"Renal cancer:4.74e-4 (unfavourable), Pancreatic cancer:5.27e-4 (favourable)",Tissue enhanced,Tissue enhanced,,cerebral cortex: 2.8;colon: 2.9;liver: 4.7,stomach: 1.3,Cell line enhanced,,BEWO: 8.2;CACO-2: 1.7;EFO-21: 2.9
12,CA2,"CA-II, CAII, Car2",ENSG00000104267,Carbonic anhydrase 2,8,85463852-85481493,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001550, CAB010102",Enhanced,,,,Renal cancer:5.57e-6 (favourable),Expressed in all,Tissue enhanced,,colon: 604.8;rectum: 627.5;stomach: 918.8,kidney: 308.3,Group enriched,11.0,HaCaT: 204.1;HEK93: 884.1;THP-1: 278.7
13,CA4,"CAIV, Car4, RP17",ENSG00000167434,Carbonic anhydrase 4,17,60149936-60170899,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA011089, HPA017258",Enhanced,,Supported,Vesicles,,Mixed,Tissue enhanced,,colon: 253.5;rectum: 180.9,adipose tissue: 88.7,Not detected,,
14,CA7,,ENSG00000168748,Carbonic anhydrase 7,16,66844379-66854153,"Enzymes, FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,HPA047237,Uncertain,,,,,Tissue enhanced,Tissue enhanced,,colon: 54.6;rectum: 49.8,small intestine: 10.7,Cell line enhanced,,REH: 1.0;SCLC-21H: 1.0;THP-1: 1.2
15,CDC42EP5,"Borg3, CEP5",ENSG00000167617,CDC42 effector protein 5,19,54465026-54473264,Predicted intracellular proteins,Evidence at protein level,HPA043449,Approved,,,,"Renal cancer:2.79e-5 (unfavourable), Urothelial cancer:1.36e-4 (favourable)",Expressed in all,Tissue enhanced,,colon: 3.1;prostate: 2.4,adipose tissue: 0.9,Not detected,,
16,CEACAM1,"BGP, BGP1, CD66a",ENSG00000079385,Carcinoembryonic antigen related cell adhesion molecule 1,19,42507304-42561234,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB002146, HPA011041",Enhanced,,,,Endometrial cancer:6.32e-7 (favourable),Mixed,Tissue enhanced,,colon: 202.3;rectum: 130.6,esophagus: 46.5,Cell line enhanced,,CAPAN-2: 25.2;Hep G2: 56.7;RT4: 43.1;SK-MEL-30: 47.4
17,CEACAM5,"CD66e, CEA",ENSG00000105388,Carcinoembryonic antigen related cell adhesion molecule 5,19,41708585-41729798,"Cancer-related genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB000021, CAB000022, HPA011041, HPA019758",Enhanced,,Supported,Plasma membrane,,Tissue enhanced,Tissue enhanced,,colon: 1012.7;rectum: 1086.0,appendix: 257.7,Cell line enriched,6.0,HaCaT: 11.8
18,CES3,"ES31, FLJ21736",ENSG00000172828,Carboxylesterase 3,16,66961237-66975148,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA041008, HPA041307",Approved,,Approved,Nuclear membrane<br>Endoplasmic reticulum,Liver cancer:7.26e-5 (favourable),Mixed,Tissue enhanced,,colon: 37.2;duodenum: 30.5;rectum: 34.1,small intestine: 26.6,Cell line enhanced,,AN3-CA: 7.1
19,CH17-360D5.1,,ENSG00000264717,,10,47918739-47923524,Predicted membrane proteins,Evidence at transcript level,HPA027863,Uncertain,,,,,Not detected,Tissue enhanced,,colon: 3.0;rectum: 2.4,skin: 2.0,Cell line enriched,12.0,A549: 17.8
20,CKMT1B,"CKMT, CKMT1, UMTCK",ENSG00000237289,"Creatine kinase, mitochondrial 1B",15,43593054-43604901,"Enzymes, FDA approved drug targets, Predicted secreted proteins",Evidence at protein level,HPA043491,Uncertain,,,,Endometrial cancer:2.55e-5 (unfavourable),Mixed,Tissue enhanced,,colon: 78.0;rectum: 68.4,duodenum: 63.0,Cell line enhanced,,HaCaT: 120.7;SCLC-21H: 60.9;SK-BR-3: 124.3;T-47d: 91.0
21,CLDN23,CLDNL,ENSG00000253958,Claudin 23,8,8701938-8704106,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA070578,,,Uncertain,Nucleus<br>Plasma membrane,"Renal cancer:9.65e-8 (favourable), Colorectal cancer:3.46e-4 (favourable)",Expressed in all,Tissue enhanced,,colon: 23.7;stomach: 24.5,small intestine: 16.5,Cell line enhanced,,BEWO: 7.4
22,CLDN3,"C7orf1, CPE-R2, CPETR2, HRVP1, RVP1",ENSG00000165215,Claudin 3,7,73768997-73770270,"Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB002702, HPA014361",Supported,,Supported,Cell Junctions,Renal cancer:3.39e-5 (favourable),Mixed,Tissue enhanced,,colon: 87.7;small intestine: 119.5,duodenum: 55.0,Cell line enhanced,,MCF7: 175.3;PC-3: 44.1;SCLC-21H: 68.2;T-47d: 98.9
23,CTC-273B12.7,,ENSG00000268465,,19,48465837-48472431,Predicted intracellular proteins,Evidence at transcript level,HPA060662,,,,,,Not detected,Tissue enhanced,,colon: 1.1;endometrium: 1.3;testis: 2.8,small intestine: 0.6,Cell line enhanced,,AN3-CA: 1.0;LHCN-M2: 1.1;U-698: 1.2
