,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PRB2,"cP7, PRPPRB1, Ps",ENSG00000121335,Proline rich protein BstNI subfamily 2,12,11391540-11501041,Predicted secreted proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,4978,salivary gland: 4971.2,"bone marrow,skin: 0.9",Not detected,,
1,PRB1,"PM, PMF, PMS, PRB1L, PRB1M",ENSG00000251655,Proline rich protein BstNI subfamily 1,12,11351823-11395566,Predicted secreted proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,4399,salivary gland: 6733.7,skin: 1.5,Not detected,,
2,PRB3,PRG,ENSG00000197870,Proline rich protein BstNI subfamily 3,12,11265924-11269805,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enhanced,Tissue enriched,3949,salivary gland: 5770.7,skin: 1.4,Cell line enriched,5.0,NTERA-2: 2.2
3,PRB4,,ENSG00000230657,Proline rich protein BstNI subfamily 4,12,11307083-11310435,Predicted secreted proteins,Evidence at transcript level,,,,,,,Group enriched,Tissue enriched,3551,salivary gland: 1351.8,"skin,testis: 0.3",Cell line enriched,23.0,CACO-2: 2.2
4,PRH1,Pa,ENSG00000231887,Proline rich protein HaeIII subfamily 1,12,10824960-11171544,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,,,,,,,Not detected,Tissue enriched,2295,salivary gland: 17934.0,ovary: 7.8,Cell line enhanced,,CAPAN-2: 1.6
5,PRH2,Pr,ENSG00000134551,Proline rich protein HaeIII subfamily 2,12,10929236-10932341,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,1858,salivary gland: 16591.4,ovary: 8.9,Not detected,,
6,HTN1,HIS1,ENSG00000126550,Histatin 1,4,70050402-70058845,Predicted secreted proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,1777,salivary gland: 24297.5,ovary: 13.6,Not detected,,
7,STATH,STR,ENSG00000126549,Statherin,4,69995930-70002570,"Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA044569,Enhanced,,,,,Group enriched,Tissue enriched,1719,salivary gland: 44726.6,ovary: 26.0,Not detected,,
8,HTN3,HIS2,ENSG00000205649,Histatin 3,4,70028413-70036538,"Predicted secreted proteins, Transporters",Evidence at protein level,CAB073541,Enhanced,,Uncertain,Vesicles,,Tissue enhanced,Tissue enriched,1666,salivary gland: 47614.6,ovary: 28.5,Mixed,,
9,SMR3B,"P-B, PRL3, PROL3",ENSG00000171201,Submaxillary gland androgen regulated protein 3B,4,70370093-70390244,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,1608,salivary gland: 85397.1,ovary: 53.0,Cell line enriched,34.0,EFO-21: 3.9
