Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000004921,ENSG00000006074,ENST00000004921,0.904,0.966,PredHel=0,0.0272144,extr 32,0.901,NA
ENSP00000005259,ENSG00000075790,ENST00000005259,0.208,0.968,PredHel=3,0.804505,"E.R. 26, extr 3",0.921,Q9UHQ4
ENSP00000006015,ENSG00000005073,ENST00000006015,0.106,0.089,PredHel=0,0.945645,nucl 32,0.908,P31270
ENSP00000007660,ENSG00000006377,ENST00000007660,0.11,0.055,PredHel=0,0.35123,nucl 32,0.914,NA
ENSP00000011473,ENSG00000008282,ENST00000011473,0.134,0.037,PredHel=3,0.978729,plas 30,0.904,Q16563
ENSP00000011989,ENSG00000186115,ENST00000011989,0.115,0.127,PredHel=0,0.935571,"extr 11, cyto_nucl 10.5, nucl 9.5, cyto 8.5",0.968,A0A0A0MQR0
ENSP00000012049,ENSG00000011478,ENST00000012049,0.181,0.111,PredHel=1,0.771218,"plas 6, nucl 6, cyto 6, mito 6, cyto_nucl 6, ",0.905,Q9NXS2
ENSP00000053243,ENSG00000048462,ENST00000053243,0.137,0.366,PredHel=1,0.973093,"cyto 19, plas 5, E.R._mito 3.5, E.R. 3, extr ",0.946,Q02223
ENSP00000054668,ENSG00000049247,ENST00000054668,0.213,0.169,PredHel=0,0.623974,"extr 17, cyto 8, cyto_nucl 6.83333, cyto_pero",0.945,O95399
ENSP00000166139,ENSG00000070404,ENST00000166139,0.724,0.938,PredHel=0,0.705936,"extr 20, nucl 7, mito 3",0.915,O95633
ENSP00000168712,ENSG00000075388,ENST00000168712,0.702,0.95,PredHel=1,0.267833,"extr 25, mito 3, E.R. 2, lyso 2",0.931,P08620
ENSP00000168977,ENSG00000077009,ENST00000168977,0.145,0.131,PredHel=0,0.383237,"cyto_nucl 11.8333, cyto 11, nucl 9.5, cyto_pe",0.951,Q9NPI5
ENSP00000192314,ENSG00000154252,ENST00000192314,0.405,0.982,PredHel=1,0.992392,"extr 18, golg 7, E.R. 5",0.956,Q9H3Q3
ENSP00000193029,ENSG00000080823,ENST00000193029,0.19,0.465,PredHel=0,7.92E-05,"nucl 15.5, cyto_nucl 13.5, cyto 8.5, mito_nuc",0.941,A0A0A0MQR5
ENSP00000200307,ENSG00000108688,ENST00000200307,0.863,0.962,PredHel=0,0.427565,"extr 22, mito 7",0.939,NA
ENSP00000206262,ENSG00000091844,ENST00000206262,0.176,0.062,PredHel=0,0.813095,"extr 11, cyto_nucl 9.16667, cyto 8.5, nucl 6.",0.919,Q9UGC6
ENSP00000206513,ENSG00000092067,ENST00000206513,0.099,0.077,PredHel=0,0.983781,"nucl 26, cyto 5",0.93,Q15744
ENSP00000207636,ENSG00000093010,ENST00000207636,0.344,0.995,PredHel=1,0.337211,"extr 24, E.R. 6",0.974,F8WBW9
ENSP00000211076,ENSG00000095917,ENST00000211076,0.932,0.987,PredHel=0,0.257531,"extr 22, plas 2, E.R. 2, pero 2, lyso 2",0.908,Q9BZJ3
ENSP00000215368,ENSG00000099617,ENST00000215368,0.786,0.901,PredHel=0,1.90E-07,extr 31,0.935,O43921
ENSP00000215375,ENSG00000099624,ENST00000215375,0.157,0.04,PredHel=0,0.617283,"mito 27, nucl 3",0.916,P30049
ENSP00000215570,ENSG00000099800,ENST00000215570,0.108,0.087,PredHel=0,0.209989,"extr 20, cyto 8, mito 2",0.937,Q9Y5L4
ENSP00000215631,ENSG00000099860,ENST00000215631,0.106,0.163,PredHel=0,0.547641,"extr 26, nucl 3",0.924,O75293
ENSP00000215754,ENSG00000240972,ENST00000215754,0.128,0.152,PredHel=0,0.439213,"cyto_nucl 14.1667, cyto 11, nucl 9, cyto_pero",0.925,P14174
ENSP00000216259,ENSG00000100417,ENST00000216259,0.151,0.058,PredHel=0,0.743217,"cyto 22, cyto_nucl 13, pero 5, nucl 2, mito 2",0.901,Q92871
ENSP00000216336,ENSG00000100448,ENST00000216336,0.898,0.952,PredHel=0,0.587787,extr 29,0.925,P08311
ENSP00000216456,ENSG00000100568,ENST00000216456,0.107,0.045,PredHel=0,0.957065,"nucl 18.5, cyto_nucl 13.5, extr 6, cyto 5.5",0.937,J3KMW2
ENSP00000217224,ENSG00000101246,ENST00000217224,0.198,0.132,PredHel=0,0.207858,"extr 21, cyto_nucl 5.83333, nucl 5, cyto 4.5,",0.931,NA
