,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ADAMTS1,"C3-C5, KIAA1346, METH1",ENSG00000154734,ADAM metallopeptidase with thrombospondin type 1 motif 1,21,26835747-26845409,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,CAB016394,Uncertain,,,,Head and neck cancer:5.13e-4 (unfavourable),Expressed in all,Tissue enhanced,,ovary: 412.9,adipose tissue: 279.9,Cell line enhanced,,BJ: 346.6;hTEC/SVTERT24-B: 277.6
1,ADAMTS16,ADAMTS16s,ENSG00000145536,ADAM metallopeptidase with thrombospondin type 1 motif 16,5,5140330-5320304,Predicted secreted proteins,Evidence at protein level,,,,,,Renal cancer:3.29e-5 (favourable),Mixed,Tissue enhanced,,gallbladder: 9.9;ovary: 11.2,adipose tissue: 6.3,Cell line enhanced,,hTEC/SVTERT24-B: 3.9;U-2197: 5.3
2,ADRB3,,ENSG00000188778,Adrenoceptor beta 3,8,37962991-37966965,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA061969,Uncertain,,,,,Not detected,Tissue enhanced,,ovary: 8.9;placenta: 3.7,gallbladder: 2.2,Not detected,,
3,AJAP1,"MOT8, SHREW-1, SHREW1",ENSG00000196581,Adherens junctions associated protein 1,1,4654732-4792534,Predicted membrane proteins,Evidence at protein level,,,,,,Renal cancer:1.89e-7 (favourable),Mixed,Tissue enhanced,,cerebral cortex: 11.3;ovary: 6.0,"kidney,seminal vesicle: 3.2",Cell line enhanced,,BEWO: 7.2;EFO-21: 6.2;RPTEC TERT1: 18.3
4,AMHR2,"MISR2, MISRII",ENSG00000135409,Anti-Mullerian hormone receptor type 2,12,53423855-53431534,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enhanced,,adrenal gland: 32.1;ovary: 40.9,testis: 10.1,Group enriched,19.0,HEL: 36.1;K-562: 19.9
5,ANGPTL5,,ENSG00000187151,Angiopoietin like 5,11,101890674-101916522,Predicted secreted proteins,Evidence at protein level,HPA038516,Uncertain,,,,,Not detected,Tissue enhanced,,ovary: 27.1,breast: 7.2,Cell line enhanced,,ASC diff: 1.8
6,ART5,,ENSG00000167311,ADP-ribosyltransferase 5,11,3638503-3642316,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,"HPA041637, HPA044099",Uncertain,,,,Renal cancer:1.85e-4 (favourable),Tissue enhanced,Tissue enhanced,,ovary: 10.2;testis: 22.6,endometrium: 5.1,Cell line enhanced,,BEWO: 2.9;HEK93: 1.9;U-2 OS: 2.1
7,ASXL3,KIAA1713,ENSG00000141431,"Additional sex combs like 3, transcriptional regulator",18,33578577-33751192,"Disease related genes, Predicted intracellular proteins",Evidence at transcript level,"HPA039539, HPA040034",Uncertain,,,,,Not detected,Tissue enhanced,,ovary: 2.9,testis: 2.7,Group enriched,11.0,AF22: 2.4;HEK93: 1.2;RPMI-8226: 5.8;SCLC-21H: 3.3;SH-SY5Y: 1.5
8,B4GALNT4,"FLJ25045, NGalNAc-T1",ENSG00000182272,"Beta-1,4-N-acetyl-galactosaminyltransferase 4",11,369796-382116,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA053126,Uncertain,,Approved,Nucleoplasm<br>Microtubules<br>Cytokinetic bridge<br>Mitotic spindle,,Mixed,Tissue enhanced,,cerebral cortex: 30.9;ovary: 11.7,"endometrium,fallopian tube: 6.9",Cell line enhanced,,AF22: 38.5;NTERA-2: 34.8;SCLC-21H: 50.7;SH-SY5Y: 55.6
9,BAMBI,NMA,ENSG00000095739,BMP and activin membrane bound inhibitor,10,28677342-28682939,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,"HPA010819, HPA010866",Approved,,Approved,Nucleoli fibrillar center<br>Vesicles<br>Lipid droplets,"Liver cancer:9.42e-6 (unfavourable), Renal cancer:5.25e-4 (favourable)",Expressed in all,Tissue enhanced,,ovary: 87.8,adrenal gland: 50.0,Cell line enhanced,,CACO-2: 120.2;SK-MEL-30: 134.8
